Date,KRE,XLU,VIX,AvgVIX,zscore
2022-01-31,63.50882339477539,30.44284439086914,24.829999923706055,23.18100004196167,1.8032499542747147
2022-02-01,64.46678924560547,30.038406372070312,21.959999084472656,23.448999977111818,2.0557528230392976
2022-02-02,64.29824829101562,30.482404708862305,22.09000015258789,23.707999992370606,1.8905854107335396
2022-02-03,63.925724029541016,30.34613037109375,24.350000381469727,23.939000034332274,1.8874584345709002
2022-02-04,65.14977264404297,30.104347229003906,23.219999313354492,24.119499969482423,2.12104187792544
2022-02-07,65.4602279663086,30.060386657714844,22.860000610351562,24.324499988555907,2.174662762617617
2022-02-08,67.08342742919922,30.082368850708008,21.440000534057617,24.426500034332275,2.3734638418788
2022-02-09,66.5157470703125,30.214248657226562,19.959999084472656,24.503999996185303,2.2587391405058797
2022-02-10,66.35606384277344,29.449329376220703,23.90999984741211,24.818499946594237,2.4861962131599116
2022-02-11,65.80615997314453,29.46691131591797,27.360000610351562,25.171000003814697,2.410741331175446
2022-02-14,65.29168701171875,29.216341018676758,28.329999923706055,25.62799997329712,2.4266207406881772
2022-02-15,67.03907775878906,29.08005714416504,25.700000762939453,25.773499965667725,2.692430313151782
2022-02-16,67.16324615478516,29.1460018157959,24.290000915527344,25.795499992370605,2.686826586728094
2022-02-17,65.11429595947266,29.163585662841797,28.110000610351562,25.92150001525879,2.4212013332001026
2022-02-18,65.22960662841797,29.11082649230957,27.75,25.866499996185304,2.452915445331857
2022-02-22,64.90139770507812,29.08005714416504,28.809999465942383,25.811999988555907,2.421243170579481
2022-02-23,63.75718688964844,28.587697982788086,31.020000457763672,25.805000019073486,2.4355356137161897
2022-02-24,62.612953186035156,28.81629753112793,30.31999969482422,25.723000049591064,2.2163469577199892
2022-02-25,65.49568939208984,29.708698272705078,27.59000015258789,25.57800006866455,2.293053610924
2022-02-28,65.885986328125,29.862560272216797,30.149999618530273,25.70250005722046,2.2927395775371844
2022-03-01,62.28478240966797,29.60318946838379,33.31999969482422,26.127000045776366,1.9198847720789467
2022-03-02,65.06106567382812,29.963674545288086,30.739999771118164,26.566000080108644,2.1553444810746667
2022-03-03,64.6530532836914,30.491201400756836,30.479999542236328,26.985500049591064,1.9327473901227508
