Date,KBE,INTC,VIX,AvgVIX,zscore
2015-01-30,23.246278762817383,25.349252700805664,20.969999313354492,19.119499969482423,-1.447313616897728
2015-02-02,23.867090225219727,25.817270278930664,19.43000030517578,19.201499938964844,-1.330620875620295
2015-02-03,24.40360450744629,25.855634689331055,17.329999923706055,19.071999931335448,-1.1684714770831481
2015-02-04,24.273305892944336,25.96381378173828,18.329999923706055,18.932499885559082,-1.2275253815163503
2015-02-05,24.725509643554688,26.226533889770508,16.850000381469727,18.80949993133545,-1.12943348160733
2015-02-06,25.14706039428711,25.73198890686035,17.290000915527344,18.823499965667725,-0.9141731711017569
2015-02-09,24.924789428710938,25.44607925415039,18.549999237060547,18.873499965667726,-0.9361370188674232
2015-02-10,25.078073501586914,26.041093826293945,17.229999542236328,18.754999923706055,-0.9876067295995011
2015-02-11,24.955448150634766,25.925168991088867,16.959999084472656,18.57499990463257,-1.0067247949110942
2015-02-12,25.415307998657227,26.373367309570312,15.34000015258789,18.267999935150147,-0.9372845839008117
2015-02-13,25.491962432861328,26.55108070373535,14.6899995803833,17.88299994468689,-0.9429567570501094
2015-02-17,25.660572052001953,26.844728469848633,15.800000190734863,17.62549991607666,-0.9391490569211385
2015-02-18,25.23136329650879,26.481536865234375,15.449999809265137,17.403499937057497,-1.0131925429242288
2015-02-19,25.20836639404297,26.43517303466797,15.289999961853027,17.22549991607666,-1.0126548390600485
2015-02-20,25.422977447509766,26.5897216796875,14.300000190734863,17.12049994468689,-0.9711021101838199
2015-02-23,25.361661911010742,26.087448120117188,14.5600004196167,17.015499973297118,-0.9062647387104886
2015-02-24,25.50728416442871,26.5897216796875,13.6899995803833,16.9239999294281,-0.9446128600140002
2015-02-25,25.45363426208496,26.234272003173828,13.84000015258789,16.754999971389772,-0.9019517398556435
2015-02-26,25.53028106689453,26.00244903564453,13.90999984741211,16.428499937057495,-0.8390518407493208
2015-02-27,25.361661911010742,25.693355560302734,13.34000015258789,16.157499933242796,-0.8402762436247628
2015-03-02,25.583921432495117,26.319271087646484,13.039999961853027,15.760999965667725,-0.8752479874726352
2015-03-03,25.537935256958008,26.350173950195312,13.859999656677246,15.482499933242797,-0.894871390968113
