Date,KO,KLAC,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,160.7316436767578,15.489999771118164,13.696000051498412,1.5735720027905808
2020-01-31,48.25005340576172,154.05776977539062,18.84000015258789,14.014500045776368,1.5573931433694967
2020-02-03,48.39876174926758,157.952392578125,17.969999313354492,14.211999988555908,1.5490646275151132
2020-02-04,48.61357116699219,166.19717407226562,16.049999237060547,14.32199993133545,1.5071151265000409
2020-02-05,48.62184524536133,159.20724487304688,15.149999618530273,14.389999914169312,1.5889790253324105
2020-02-06,48.73751449584961,159.63482666015625,14.960000038146973,14.465499925613404,1.6122229427177972
2020-02-07,48.90275192260742,153.46282958984375,15.470000267028809,14.611999940872192,1.7229133927741294
2020-02-10,49.36542892456055,157.01361083984375,15.039999961853027,14.735999917984008,1.7948640172909258
2020-02-11,49.23322296142578,160.8431396484375,15.180000305175781,14.878999948501587,1.7189661573814978
2020-02-12,49.084510803222656,163.56668090820312,13.739999771118164,14.946499919891357,1.6516889275697135
2020-02-13,49.249752044677734,166.12283325195312,14.149999618530273,15.032999897003174,1.6626713615772777
2020-02-14,49.53066635131836,163.85484313964844,13.680000305175781,15.100999927520752,1.7568934748281884
2020-02-18,49.183650970458984,157.3017120361328,14.829999923706055,15.237499904632568,1.7473678874428145
2020-02-19,49.3819465637207,160.7874298095703,14.380000114440918,15.313999891281128,1.755769302704082
2020-02-20,49.340641021728516,156.2757110595703,15.5600004196167,15.446499919891357,1.7972657208881397
2020-02-21,49.67937469482422,150.5029296875,17.079999923706055,15.651499938964843,1.9455865532488221
2020-02-24,48.45659255981445,143.5998992919922,25.030000686645508,16.174999952316284,1.7270884938366977
2020-02-25,47.77085876464844,137.6963653564453,27.850000381469727,16.655999994277956,1.6277721986620364
2020-02-26,47.58909225463867,137.56556701660156,27.559999465942383,17.219999933242796,1.5850642912172244
2020-02-27,45.38313293457031,138.2382049560547,39.15999984741211,18.35849995613098,1.0409332234119992
2020-02-28,44.19340515136719,143.5812225341797,40.11000061035156,19.589499998092652,0.6905765094754187
2020-03-02,46.20106887817383,148.27976989746094,33.41999816894531,20.318499898910524,1.1251263576448798
2020-03-03,46.31674575805664,143.67466735839844,36.81999969482422,21.26099991798401,1.2058646885550635
2020-03-04,48.6796760559082,150.11997985839844,31.989999771118164,22.05799994468689,1.7068537896581644
2020-03-05,46.878562927246094,146.36485290527344,39.619998931884766,23.281499910354615,1.3117556025205577
2020-03-06,45.655784606933594,145.42137145996094,41.939998626708984,24.630499839782715,1.0251775635094322
2020-03-09,42.846702575683594,135.3704833984375,54.459999084472656,26.57999978065491,0.45688242719938676
2020-03-10,44.3338623046875,144.384521484375,47.29999923706055,28.192999744415282,0.7155562379275443
2020-03-11,43.13587951660156,135.3704833984375,53.900001525878906,30.12899980545044,0.5272047083923901
2020-03-12,38.963565826416016,117.09935760498047,75.47000122070312,33.21549987792969,-0.2786955555588353
2020-03-13,40.3970947265625,135.79080200195312,57.83000183105469,35.39949998855591,-0.1436168313606491
2020-03-16,37.721736907958984,120.96654510498047,82.69000244140625,38.850000095367434,-0.6248626253549822
2020-03-17,39.32194519042969,139.7700653076172,75.91000366210938,41.9040002822876,-0.4505310104112967
2020-03-18,37.38002395629883,123.32050323486328,76.44999694824219,45.007500123977664,-0.7348518865232158
2020-03-19,34.863014221191406,118.96756744384766,72.0,47.829500102996825,-1.2972131166333893
2020-03-20,31.920957565307617,106.506591796875,66.04000091552734,50.27750015258789,-1.8703126848884173
2020-03-23,31.304208755493164,108.69242095947266,61.59000015258789,52.10550012588501,-2.045264709687557
2020-03-24,32.87941360473633,127.37449645996094,61.66999816894531,53.796500015258786,-1.875626085448578
2020-03-25,34.67966842651367,128.41136169433594,63.95000076293945,55.61600008010864,-1.4496836471669847
2020-03-26,36.91328811645508,139.89151000976562,61.0,56.708000087738036,-1.037657540213671
2020-03-27,35.67979431152344,132.8670654296875,65.54000091552734,57.97950010299682,-1.2573734564570485
2020-03-30,37.50503921508789,139.6673583984375,57.08000183105469,59.16250028610229,-0.8911943607163877
