Date,KLAC,FDX,VIX,AvgVIX,zscore
2020-01-30,160.7316436767578,132.14723205566406,15.489999771118164,13.696000051498412,-0.8887144289510286
2020-01-31,154.0577392578125,128.920654296875,18.84000015258789,14.014500045776368,-0.9235536207876135
2020-02-03,157.95237731933594,128.20755004882812,17.969999313354492,14.211999988555908,-0.8701703856857832
2020-02-04,166.1972198486328,131.47872924804688,16.049999237060547,14.32199993133545,-0.8180286319592549
2020-02-05,159.20726013183594,133.653564453125,15.149999618530273,14.389999914169312,-0.9252338713102998
2020-02-06,159.63487243652344,132.4770050048828,14.960000038146973,14.465499925613404,-0.9053895687211664
2020-02-07,153.46290588378906,138.74298095703125,15.470000267028809,14.611999940872192,-1.0553779602587938
2020-02-10,157.0135955810547,139.7412872314453,15.039999961853027,14.735999917984008,-1.0276970134344778
2020-02-11,160.84317016601562,140.82867431640625,15.180000305175781,14.878999948501587,-0.997977748116785
2020-02-12,163.5666961669922,141.2832489013672,13.739999771118164,14.946499919891357,-0.9727835334913586
2020-02-13,166.12283325195312,143.92156982421875,14.149999618530273,15.032999897003174,-0.9772969035310323
2020-02-14,163.85484313964844,141.38125610351562,13.680000305175781,15.100999927520752,-0.970753503547421
2020-02-18,157.3017578125,141.33677673339844,14.829999923706055,15.237499904632568,-1.0447327341169075
2020-02-19,160.78746032714844,143.62742614746094,14.380000114440918,15.313999891281128,-1.0342451533211365
2020-02-20,156.27569580078125,146.98770141601562,15.5600004196167,15.446499919891357,-1.1283523423915682
2020-02-21,150.50296020507812,145.5081024169922,17.079999923706055,15.651499938964843,-1.1751826716057496
2020-02-24,143.59988403320312,138.0210723876953,25.030000686645508,16.174999952316284,-1.1583848186969967
2020-02-25,137.69635009765625,129.77630615234375,27.850000381469727,16.655999994277956,-1.1205690458442088
2020-02-26,137.56558227539062,128.82260131835938,27.559999465942383,17.219999933242796,-1.1099140566174373
2020-02-27,138.2381134033203,123.6796646118164,39.15999984741211,18.35849995613098,-1.0367837844779035
2020-02-28,143.58123779296875,125.82778930664062,40.11000061035156,19.589499998092652,-1.0033522178328225
2020-03-02,148.27976989746094,124.56204986572266,33.41999816894531,20.318499898910524,-0.9337880295537961
2020-03-03,143.67465209960938,118.62590026855469,36.81999969482422,21.26099991798401,-0.9105952173367375
2020-03-04,150.11997985839844,121.58509826660156,31.989999771118164,22.05799994468689,-0.8749519558940834
2020-03-05,146.36483764648438,115.80931091308594,39.619998931884766,23.281499910354615,-0.8441318570756813
2020-03-06,145.42138671875,114.37600708007812,41.939998626708984,24.630499839782715,-0.8366154105951402
2020-03-09,135.37045288085938,103.6443099975586,54.459999084472656,26.57999978065491,-0.8143153974567308
2020-03-10,144.3845672607422,108.09645080566406,47.29999923706055,28.192999744415282,-0.7684586709801723
