Date,PEP,PG,VIX,AvgVIX,zscore
2022-01-31,151.7125701904297,143.81546020507812,24.829999923706055,23.18100004196167,-0.9569608606580173
2022-02-01,150.68084716796875,143.17909240722656,21.959999084472656,23.448999977111818,-1.0665681803257798
2022-02-02,153.41751098632812,145.74253845214844,22.09000015258789,23.707999992370606,-0.812580696222831
2022-02-03,153.33004760742188,147.12290954589844,24.350000381469727,23.939000034332274,-0.8820782166049399
2022-02-04,150.81201171875,144.7835235595703,23.219999313354492,24.119499969482423,-1.1165838950244764
2022-02-07,150.21749877929688,143.69894409179688,22.860000610351562,24.324499988555907,-1.1496100393999544
2022-02-08,150.40106201171875,143.3762969970703,21.440000534057617,24.426500034332275,-1.1118131574004977
2022-02-09,150.3311309814453,143.05361938476562,19.959999084472656,24.503999996185303,-1.107508541650844
2022-02-10,147.2097930908203,140.8755340576172,23.90999984741211,24.818499946594237,-1.4284975778856983
2022-02-11,147.3934326171875,140.08673095703125,27.360000610351562,25.171000003814697,-1.3711236725634675
2022-02-14,145.74966430664062,140.4901123046875,28.329999923706055,25.62799997329712,-1.6052425370182237
2022-02-15,145.10269165039062,140.5618438720703,25.700000762939453,25.773499965667725,-1.6937363152889557
2022-02-16,145.39996337890625,141.62843322753906,24.290000915527344,25.795499992370605,-1.6992287536104682
2022-02-17,145.79339599609375,143.25074768066406,28.110000610351562,25.92150001525879,-1.7153423141395745
2022-02-18,146.63275146484375,143.322509765625,27.75,25.866499996185304,-1.6074526476682982
2022-02-22,147.1923065185547,141.5567169189453,28.809999465942383,25.811999988555907,-1.4594007494242585
2022-02-23,145.74090576171875,139.79092407226562,31.020000457763672,25.805000019073486,-1.57705128837914
2022-02-24,143.2053680419922,136.02638244628906,30.31999969482422,25.723000049591064,-1.754048394999683
2022-02-25,147.2185516357422,141.83456420898438,27.59000015258789,25.57800006866455,-1.467595715851446
2022-02-28,143.1616668701172,139.72821044921875,30.149999618530273,25.70250005722046,-1.9152071022692094
2022-03-01,141.87643432617188,137.41571044921875,33.31999969482422,26.127000045776366,-1.9879541762459392
2022-03-02,143.8436737060547,137.8459014892578,30.739999771118164,26.566000080108644,-1.7460851889154558
2022-03-03,143.6896514892578,138.35682678222656,30.479999542236328,26.985500049591064,-1.7878818875592717
2022-03-04,145.8722381591797,139.0559844970703,31.979999542236328,27.367000007629393,-1.528849516551712
2022-03-07,142.96795654296875,136.9944305419922,36.45000076293945,28.028500080108643,-1.8260508790153762
2022-03-08,138.93722534179688,131.57168579101562,35.130001068115234,28.642000102996825,-2.1310008338807926
2022-03-09,138.5235595703125,133.34640502929688,32.45000076293945,29.192500114440918,-2.260151441314921
2022-03-10,135.98016357421875,129.9134521484375,30.229999542236328,29.706000137329102,-2.452105311048338
2022-03-11,135.2937469482422,128.37176513671875,30.75,30.048000144958497,-2.4780873212288337
2022-03-14,137.19467163085938,130.01202392578125,31.770000457763672,30.268500137329102,-2.295773034043738
2022-03-15,139.93173217773438,134.69090270996094,29.829999923706055,30.3435001373291,-2.1305286221801656
2022-03-16,140.54779052734375,134.23373413085938,26.670000076293945,30.392000102996825,-2.0299407166901977
2022-03-17,141.63905334472656,134.65499877929688,25.670000076293945,30.461000061035158,-1.9034375813097495
2022-03-18,143.26719665527344,134.58331298828125,23.8700008392334,30.249000072479248,-1.6853061606793585
2022-03-21,143.0647430419922,135.09422302246094,23.530000686645508,30.038000106811523,-1.733501335122608
2022-03-22,144.63131713867188,136.1339569091797,22.940000534057617,29.744500160217285,-1.5701568438791755
2022-03-23,143.87442016601562,135.18385314941406,23.56999969482422,29.37200012207031,-1.6302830050414618
2022-03-24,144.7457275390625,135.4169158935547,21.670000076293945,28.9395001411438,-1.5249422258986298
2022-03-25,145.4233856201172,136.9854736328125,20.809999465942383,28.600500106811523,-1.5012453611615333
2022-03-28,145.8546142578125,137.92662048339844,19.6299991607666,28.07450008392334,-1.4837729552977674
2022-03-29,148.01962280273438,139.3428192138672,18.899999618530273,27.353500080108642,-1.2571610019030142
2022-03-30,147.81716918945312,138.38372802734375,19.329999923706055,26.78300008773804,-1.2436527349256206
2022-03-31,147.30674743652344,136.95858764648438,20.559999465942383,26.28700008392334,-1.2512730495469642
2022-04-01,149.40133666992188,139.0111541748047,19.6299991607666,25.669500064849853,-1.0606770183000507
2022-04-04,149.0140838623047,138.10585021972656,18.56999969482422,24.77550001144409,-1.0738435194019411
2022-04-05,149.1724853515625,138.58987426757812,21.030000686645508,24.070499992370607,-1.0732312921727352
2022-04-06,151.7158966064453,140.57078552246094,22.100000381469727,23.55299997329712,-0.8203258206152885
2022-04-07,151.85670471191406,142.3903045654297,21.549999237060547,23.11899995803833,-0.8780956918695104
2022-04-08,152.36717224121094,143.5017547607422,21.15999984741211,22.639499950408936,-0.8573021534817765
2022-04-11,151.90072631835938,142.95501708984375,24.3700008392334,22.26949996948242,-0.895983091900741
2022-04-12,152.5167694091797,142.52476501464844,24.260000228881836,21.99099998474121,-0.7965270253337282
2022-04-13,152.25277709960938,142.92808532714844,21.81999969482422,21.748499965667726,-0.848337061167494
2022-04-14,151.28466796875,142.13034057617188,22.700000762939453,21.6,-0.9427654273827835
2022-04-18,149.98216247558594,140.7769317626953,22.170000076293945,21.51499996185303,-1.0580526758842475
2022-04-19,152.1647491455078,142.88327026367188,21.3700008392334,21.40699996948242,-0.8580868525655856
