Date,META,KDP,VIX,AvgVIX,zscore
2020-01-30,207.8985137939453,24.535131454467773,15.489999771118164,13.696000051498412,-1.0442599297035413
2020-01-31,200.33786010742188,24.423839569091797,18.84000015258789,14.014500045776368,-1.2907150595985146
2020-02-03,202.60009765625,24.552257537841797,17.969999313354492,14.211999988555908,-1.2751738922751774
2020-02-04,208.1962127685547,24.54369354248047,16.049999237060547,14.32199993133545,-1.037113484271483
2020-02-05,208.47401428222656,24.56081771850586,15.149999618530273,14.389999914169312,-1.0360338456097469
2020-02-06,209.20826721191406,24.44952392578125,14.960000038146973,14.465499925613404,-0.9373872945460185
2020-02-07,210.67669677734375,24.458086013793945,15.470000267028809,14.611999940872192,-0.8815338838392486
2020-02-10,211.40101623535156,24.577938079833984,15.039999961853027,14.735999917984008,-0.924734787142826
2020-02-11,205.5767364501953,24.54369354248047,15.180000305175781,14.878999948501587,-1.1460939303934736
2020-02-12,209.1189422607422,24.51801109313965,13.739999771118164,14.946499919891357,-0.9830096834658908
2020-02-13,211.4804229736328,24.466650009155273,14.149999618530273,15.032999897003174,-0.8533358965934218
2020-02-14,212.51229858398438,24.714908599853516,13.680000305175781,15.100999927520752,-0.9623110109139306
2020-02-18,216.1041259765625,24.714908599853516,14.829999923706055,15.237499904632568,-0.8128769622482356
2020-02-19,215.79653930664062,24.69779396057129,14.380000114440918,15.313999891281128,-0.8152016151157216
2020-02-20,212.90919494628906,25.08302116394043,15.5600004196167,15.446499919891357,-1.171040330998899
2020-02-21,208.54344177246094,25.254230499267578,17.079999923706055,15.651499938964843,-1.4574327683225645
2020-02-24,199.1571044921875,24.946048736572266,25.030000686645508,16.174999952316284,-1.6593699304256395
2020-02-25,195.23788452148438,24.757715225219727,27.850000381469727,16.655999994277956,-1.7071867464085704
2020-02-26,195.66453552246094,24.595060348510742,27.559999465942383,17.219999933242796,-1.589910671396033
2020-02-27,188.27255249023438,24.17557716369629,39.15999984741211,18.35849995613098,-1.6407714775309534
2020-02-28,190.97134399414062,23.86739158630371,40.11000061035156,19.589499998092652,-1.3399177453795132
