Date,CVX,BP,VIX,AvgVIX,zscore
2020-01-30,84.41715240478516,26.357297897338867,15.489999771118164,13.696000051498412,-2.7051714158739184
2020-01-31,81.18898010253906,25.716697692871094,18.84000015258789,14.014500045776368,-2.7255228621929564
2020-02-03,80.53730773925781,25.076093673706055,17.969999313354492,14.211999988555908,-2.553084939885023
2020-02-04,80.96923065185547,25.980052947998047,16.049999237060547,14.32199993133545,-2.8329019392714403
2020-02-05,83.56842041015625,26.81283950805664,15.149999618530273,14.389999914169312,-2.9259761440206167
2020-02-06,82.96977233886719,26.250530242919922,14.960000038146973,14.465499925613404,-2.776605718435234
2020-02-07,82.55300903320312,25.88752555847168,15.470000267028809,14.611999940872192,-2.682445256363007
2020-02-10,83.1971206665039,25.7593994140625,15.039999961853027,14.735999917984008,-2.5900074640462094
2020-02-11,84.27316284179688,26.015634536743164,15.180000305175781,14.878999948501587,-2.597969634966805
2020-02-12,84.9021224975586,26.45694351196289,13.739999771118164,14.946499919891357,-2.7032907483617588
2020-02-13,84.61418151855469,26.1962890625,14.149999618530273,15.032999897003174,-2.6348324765372104
2020-02-14,84.39187622070312,26.06595802307129,13.680000305175781,15.100999927520752,-2.606463469337146
2020-02-18,84.5145263671875,26.13112449645996,14.829999923706055,15.237499904632568,-2.61978799554329
2020-02-19,84.8978271484375,26.246976852416992,14.380000114440918,15.313999891281128,-2.6311109563447137
2020-02-20,84.18486022949219,26.051475524902344,15.5600004196167,15.446499919891357,-2.6169527704949784
2020-02-21,83.571533203125,25.602563858032227,17.079999923706055,15.651499938964843,-2.507836738052205
2020-02-24,80.27497863769531,24.661293029785156,25.030000686645508,16.174999952316284,-2.429483779595256
2020-02-25,77.20842742919922,23.843114852905273,27.850000381469727,16.655999994277956,-2.376424411479318
2020-02-26,75.16150665283203,23.66209602355957,27.559999465942383,17.219999933242796,-2.4670808567241815
2020-02-27,72.16392517089844,22.82943344116211,39.15999984741211,18.35849995613098,-2.403859345207843
2020-02-28,71.55825805664062,22.65566635131836,40.11000061035156,19.589499998092652,-2.389177193232005
2020-03-02,74.04986572265625,23.33626937866211,33.41999816894531,20.318499898910524,-2.4377525272779925
2020-03-03,72.3632583618164,23.111814498901367,36.81999969482422,21.26099991798401,-2.486449911873543
2020-03-04,75.53714752197266,23.995161056518555,31.989999771118164,22.05799994468689,-2.5539802083568213
2020-03-05,74.50984191894531,23.604171752929688,39.619998931884766,23.281499910354615,-2.4958408658859157
2020-03-06,73.07623291015625,22.626697540283203,41.939998626708984,24.630499839782715,-2.2655909844320314
2020-03-09,61.84493637084961,18.30409812927246,54.459999084472656,26.57999978065491,-1.6133915084692196
2020-03-10,65.149169921875,19.397415161132812,47.29999923706055,28.192999744415282,-1.7436712240113919
2020-03-11,63.654212951660156,17.855180740356445,53.900001525878906,30.12899980545044,-1.3230008280410612
2020-03-12,58.46405029296875,15.617856979370117,75.47000122070312,33.21549987792969,-0.9388128907963875
2020-03-13,63.95320510864258,16.05228614807129,57.83000183105469,35.39949998855591,-0.6780915908561345
2020-03-16,53.43489074707031,13.641183853149414,82.69000244140625,38.850000095367434,-0.6325801051228152
