Date,XOM,XLU,VIX,AvgVIX,zscore
2022-01-31,65.46409606933594,30.442842483520508,24.829999923706055,23.18100004196167,-2.5440076968058216
2022-02-01,69.66114807128906,30.038408279418945,21.959999084472656,23.448999977111818,-2.2387636290885053
2022-02-02,69.48017883300781,30.48240852355957,22.09000015258789,23.707999992370606,-2.1606096646000372
2022-02-03,68.6700668334961,30.346128463745117,24.350000381469727,23.939000034332274,-2.26541293600076
2022-02-04,70.16102600097656,30.10434913635254,23.219999313354492,24.119499969482423,-2.1779805210025516
2022-02-07,71.00560760498047,30.060386657714844,22.860000610351562,24.324499988555907,-2.108544417276624
2022-02-08,69.169921875,30.082366943359375,21.440000534057617,24.426500034332275,-2.2752124756326624
2022-02-09,68.83879852294922,30.214248657226562,19.959999084472656,24.503999996185303,-2.2778926717023125
2022-02-10,68.17655181884766,29.449329376220703,23.90999984741211,24.818499946594237,-2.5034666752285717
2022-02-11,69.89315795898438,29.466915130615234,27.360000610351562,25.171000003814697,-2.3394454503839395
2022-02-14,68.82138061523438,29.21633529663086,28.329999923706055,25.62799997329712,-2.4931454612753683
2022-02-15,67.95869445800781,29.080060958862305,25.700000762939453,25.773499965667725,-2.602855654485596
2022-02-16,68.27239227294922,29.145999908447266,24.290000915527344,25.795499992370605,-2.559454104774061
2022-02-17,68.16783905029297,29.163583755493164,28.110000610351562,25.92150001525879,-2.565450608374912
2022-02-18,67.40973663330078,29.11083221435547,27.75,25.866499996185304,-2.6475172053616394
2022-02-22,66.6255111694336,29.080060958862305,28.809999465942383,25.811999988555907,-2.7273171676294465
2022-02-23,66.89562225341797,28.587697982788086,31.020000457763672,25.805000019073486,-2.807502323624422
2022-02-24,66.05038452148438,28.816295623779297,30.31999969482422,25.723000049591064,-2.8374742031353626
2022-02-25,67.8279800415039,29.70870590209961,27.59000015258789,25.57800006866455,-2.480482548983937
2022-02-28,68.33340454101562,29.86256217956543,30.149999618530273,25.70250005722046,-2.4003612782390404
2022-03-01,68.98693084716797,29.60318946838379,33.31999969482422,26.127000045776366,-2.394875057508878
2022-03-02,70.17200469970703,29.963668823242188,30.739999771118164,26.566000080108644,-2.207071500387393
2022-03-03,70.61639404296875,30.49119758605957,30.479999542236328,26.985500049591064,-2.0526549250367743
2022-03-04,73.27410888671875,31.163795471191406,31.979999542236328,27.367000007629393,-1.660554275223308
2022-03-07,75.91437530517578,31.568235397338867,36.45000076293945,28.028500080108643,-1.3274880394658932
2022-03-08,76.489501953125,31.080278396606445,35.130001068115234,28.642000102996825,-1.3782547649249952
2022-03-09,72.14131927490234,30.8604679107666,32.45000076293945,29.192500114440918,-1.8312420719674856
2022-03-10,74.38076782226562,31.067087173461914,30.229999542236328,29.706000137329102,-1.577942989400701
2022-03-11,73.99734497070312,30.961578369140625,30.75,30.048000144958497,-1.63632468788518
2022-03-14,71.34835815429688,30.92640495300293,31.770000457763672,30.268500137329102,-1.8911548910965559
2022-03-15,67.28775024414062,31.322065353393555,29.829999923706055,30.3435001373291,-2.1855392348180724
2022-03-16,67.03504943847656,31.26490592956543,26.670000076293945,30.392000102996825,-2.2213668456721565
2022-03-17,68.82138061523438,31.396787643432617,25.670000076293945,30.461000061035158,-2.0263686002795955
2022-03-18,68.5512466430664,31.128629684448242,23.8700008392334,30.249000072479248,-2.1089928881235775
2022-03-21,71.627197265625,31.336626052856445,23.530000686645508,30.038000106811523,-1.7773059802393256
2022-03-22,71.31351470947266,31.38088607788086,22.940000534057617,29.744500160217285,-1.79711543558421
2022-03-23,72.43757629394531,31.425140380859375,23.56999969482422,29.37200012207031,-1.6827031528359102
2022-03-24,72.65542602539062,31.748188018798828,21.670000076293945,28.9395001411438,-1.593209525522217
2022-03-25,74.2413330078125,32.208438873291016,20.809999465942383,28.600500106811523,-1.3466271091771325
2022-03-28,72.15872955322266,32.416439056396484,19.6299991607666,28.07450008392334,-1.4965246637352445
2022-03-29,71.77533721923828,32.717369079589844,18.899999618530273,27.353500080108642,-1.4678957689721273
2022-03-30,73.00397491455078,32.98733139038086,19.329999923706055,26.78300008773804,-1.2954025297822005
2022-03-31,71.96704864501953,32.95191955566406,20.559999465942383,26.28700008392334,-1.3997872149484951
2022-04-01,72.42884826660156,33.41215896606445,19.6299991607666,25.669500064849853,-1.2581501353764608
2022-04-04,72.46372985839844,33.15549087524414,18.56999969482422,24.77550001144409,-1.3098395196187576
2022-04-05,72.08904266357422,33.36347961425781,21.030000686645508,24.070499992370607,-1.3002941995910433
