Date,AVGO,GILD,VIX,AvgVIX,zscore
2020-01-30,27.060224533081055,50.496456146240234,15.489999771118164,13.696000051498412,-0.621435534773767
2020-01-31,26.198284149169922,49.841880798339844,18.84000015258789,14.014500045776368,-0.62037189937153
2020-02-03,26.204296112060547,52.333984375,17.969999313354492,14.211999988555908,-0.8412922717936311
2020-02-04,26.751163482666016,53.1541633605957,16.049999237060547,14.32199993133545,-0.8779233358734669
2020-02-05,27.24738311767578,51.947547912597656,15.149999618530273,14.389999914169312,-0.7379124114207728
2020-02-06,27.445695877075195,53.792945861816406,14.960000038146973,14.465499925613404,-0.8886682795679421
2020-02-07,27.062801361083984,54.313446044921875,15.470000267028809,14.611999940872192,-0.9602436774544812
2020-02-10,26.974376678466797,54.40808868408203,15.039999961853027,14.735999917984008,-0.9745031573655529
2020-02-11,27.48604393005371,53.43806838989258,15.180000305175781,14.878999948501587,-0.854480981036725
2020-02-12,27.875808715820312,52.79927062988281,13.739999771118164,14.946499919891357,-0.7719449565889178
2020-02-13,27.813135147094727,52.68098068237305,14.149999618530273,15.032999897003174,-0.7655894031053888
2020-02-14,27.280864715576172,53.280338287353516,13.680000305175781,15.100999927520752,-0.8540579210619551
2020-02-18,26.678192138671875,52.846580505371094,14.829999923706055,15.237499904632568,-0.8554388826483262
2020-02-19,27.102293014526367,53.11473083496094,14.380000114440918,15.313999891281128,-0.8511736459777515
2020-02-20,26.548551559448242,52.83869934082031,15.5600004196167,15.446499919891357,-0.8633222857647294
2020-02-21,26.141620635986328,54.968013763427734,17.079999923706055,15.651499938964843,-1.07936446812363
2020-02-24,25.03414535522461,57.49165344238281,25.030000686645508,16.174999952316284,-1.376807851618657
2020-02-25,24.268356323242188,55.28348159790039,27.850000381469727,16.655999994277956,-1.2314065773131782
2020-02-26,24.54307746887207,58.911190032958984,27.559999465942383,17.219999933242796,-1.5353867599451596
2020-02-27,23.51887321472168,57.30240249633789,39.15999984741211,18.35849995613098,-1.4603248233524033
2020-02-28,23.404691696166992,54.69988250732422,40.11000061035156,19.589499998092652,-1.2367603519031183
2020-03-02,24.464954376220703,59.463253021240234,33.41999816894531,20.318499898910524,-1.5895867145519755
2020-03-03,23.54463005065918,58.524776458740234,36.81999969482422,21.26099991798401,-1.5671759315263596
2020-03-04,24.506162643432617,59.9443244934082,31.989999771118164,22.05799994468689,-1.6295813093971385
2020-03-05,23.526594161987305,60.03895950317383,39.619998931884766,23.281499910354615,-1.7028414353845682
2020-03-06,23.132545471191406,63.26449966430664,41.939998626708984,24.630499839782715,-2.0153841791830223
2020-03-09,21.267004013061523,57.98060607910156,54.459999084472656,26.57999978065491,-1.669647596765648
2020-03-10,22.570220947265625,57.05002212524414,47.29999923706055,28.192999744415282,-1.500720334609332
2020-03-11,21.116764068603516,58.122554779052734,53.900001525878906,30.12899980545044,-1.6922009250769028
2020-03-12,18.78247833251953,54.588417053222656,75.47000122070312,33.21549987792969,-1.5328913082067697
2020-03-13,20.108013153076172,56.315696716308594,57.83000183105469,35.39949998855591,-1.5985256236554133
2020-03-16,16.10392189025879,54.84313201904297,82.69000244140625,38.850000095367434,-1.7328552949526388
2020-03-17,17.128124237060547,59.3165397644043,75.91000366210938,41.9040002822876,-2.0623181829061386
2020-03-18,14.41180419921875,63.216854095458984,76.44999694824219,45.007500123977664,-2.58854036402801
2020-03-19,16.693721771240234,62.52435302734375,72.0,47.829500102996825,-2.375958402843344
2020-03-20,16.782779693603516,58.3136100769043,66.04000091552734,50.27750015258789,-1.996114887112906
2020-03-23,16.89191436767578,57.79621124267578,61.59000015258789,52.10550012588501,-1.9429401509528563
2020-03-24,18.576128005981445,58.87080001831055,61.66999816894531,53.796500015258786,-1.9268627792088007
2020-03-25,18.99434471130371,55.44806671142578,63.95000076293945,55.61600008010864,-1.5952076029581144
2020-03-26,21.231231689453125,58.79119873046875,61.0,56.708000087738036,-1.7440030383322753
2020-03-27,20.141603469848633,57.987247467041016,65.54000091552734,57.97950010299682,-1.7447485233177138
2020-03-30,20.964069366455078,60.438880920410156,57.08000183105469,59.16250028610229,-1.9080186129808003
2020-03-31,20.701261520385742,59.50759506225586,53.540000915527344,59.99850034713745,-1.8427132195659637
2020-04-01,19.52519416809082,57.71662902832031,57.060001373291016,61.252000427246095,-1.7615270312339568
2020-04-02,20.697771072387695,61.274662017822266,50.90999984741211,61.81650047302246,-1.9998737731680383
2020-04-03,20.453298568725586,62.25370407104492,46.79999923706055,62.059500503540036,-2.1030065804294322
2020-04-06,22.040603637695312,61.87165069580078,45.2400016784668,61.598500633239745,-1.9639840930847994
2020-04-07,22.113067626953125,59.435943603515625,46.70000076293945,61.568500709533694,-1.7428763947645005
2020-04-08,22.79670524597168,59.690670013427734,43.349998474121094,61.041000556945804,-1.720235461323645
2020-04-09,22.2029972076416,58.512611389160156,41.66999816894531,59.35100040435791,-1.6549231199653347
2020-04-13,22.69368553161621,59.92149353027344,41.16999816894531,58.51800022125244,-1.747555190841734
2020-04-14,23.366844177246094,61.88755798339844,37.7599983215332,56.27150001525879,-1.8775883448971271
2020-04-15,22.477153778076172,59.404109954833984,40.84000015258789,54.51799983978272,-1.7159437062070206
2020-04-16,22.551362991333008,60.9244270324707,40.11000061035156,52.70100002288818,-1.8460465476247097
2020-04-17,23.214048385620117,66.8544921875,38.150001525878906,51.00850009918213,-2.328807587578162
2020-04-20,22.550493240356445,64.68146514892578,43.83000183105469,49.898000144958495,-2.1797586930361654
2020-04-21,21.622379302978516,62.5084228515625,45.40999984741211,49.089000129699706,-2.048224492915933
2020-04-22,22.69804573059082,64.72126007080078,41.97999954223633,48.104500198364256,-2.1735235614465207
2020-04-23,22.607248306274414,61.91143798828125,41.380001068115234,46.976000213623045,-1.930000805618207
2020-04-24,23.120630264282227,63.391990661621094,35.93000030517578,45.722500228881835,-2.0274952717349106
2020-04-27,23.438438415527344,63.598915100097656,33.290000915527344,44.11000022888184,-2.024830179324538
2020-04-28,23.113643646240234,62.619873046875,33.56999969482422,42.93450012207031,-1.9593877230990888
2020-04-29,24.099376678466797,66.17791748046875,31.229999542236328,41.81900005340576,-2.2101061400314017
2020-04-30,23.715213775634766,66.86245727539062,34.150001525878906,40.673500061035156,-2.2963335248134955
2020-05-01,22.674470901489258,63.63872528076172,37.189998626708984,39.9875,-2.078946805133032
2020-05-04,22.89798355102539,63.87751007080078,35.970001220703125,39.44600009918213,-2.085354329587047
2020-05-05,23.125865936279297,62.99401092529297,33.61000061035156,38.86450004577637,-1.991804892055259
2020-05-06,23.06562614440918,61.66468811035156,34.119998931884766,38.235499954223634,-1.8777389497914265
