Date,BAC,HD,VIX,AvgVIX,zscore
2015-01-30,11.95394229888916,80.13097381591797,20.969999313354492,19.119499969482423,0.8073428967416808
2015-02-02,12.198545455932617,80.13865661621094,19.43000030517578,19.201499938964844,0.9253261644995637
2015-02-03,12.53783130645752,82.29500579833984,17.329999923706055,19.071999931335448,0.8924148813613043
2015-02-04,12.458927154541016,83.19285583496094,18.329999923706055,18.932499885559082,0.7718777970549386
2015-02-05,12.60095500946045,83.6379623413086,16.850000381469727,18.80949993133545,0.8000173024396017
2015-02-06,13.011256217956543,83.67632293701172,17.290000915527344,18.823499965667725,0.9955907210069996
2015-02-09,12.90079402923584,83.13914489746094,18.549999237060547,18.873499965667726,0.9912021668462232
2015-02-10,12.956021308898926,84.92716979980469,17.229999542236328,18.754999923706055,0.854200878436198
2015-02-11,12.908681869506836,84.6509017944336,16.959999084472656,18.57499990463257,0.85653927666797
2015-02-12,13.15328311920166,86.07058715820312,15.34000015258789,18.267999935150147,0.8451697430429175
2015-02-13,13.105940818786621,85.86336517333984,14.6899995803833,17.88299994468689,0.8411815292012159
2015-02-17,13.12171745300293,85.94780731201172,15.800000190734863,17.62549991607666,0.8411010712155792
2015-02-18,12.86133861541748,85.94013214111328,15.449999809265137,17.403499937057497,0.7154623813507831
2015-02-19,12.79032039642334,85.1343765258789,15.289999961853027,17.22549991607666,0.7548170212367586
2015-02-20,12.92446231842041,86.1319808959961,14.300000190734863,17.12049994468689,0.728516418166885
2015-02-23,12.782435417175293,86.16268157958984,14.5600004196167,17.015499973297118,0.6567892446166173
2015-02-24,12.92446231842041,89.59291076660156,13.6899995803833,16.9239999294281,0.4114647479515097
2015-02-25,13.011256217956543,89.2552719116211,13.84000015258789,16.754999971389772,0.4845098391118661
2015-02-26,12.65618896484375,88.54155731201172,13.90999984741211,16.428499937057495,0.3776055838597366
2015-02-27,12.47470760345459,88.05810546875,13.34000015258789,16.157499933242796,0.3338351000564092
2015-03-02,12.632514953613281,89.10944366455078,13.039999961853027,15.760999965667725,0.31409501537822504
2015-03-03,12.65618896484375,89.07107543945312,13.859999656677246,15.482499933242797,0.3290970578302135
2015-03-04,12.537461280822754,88.06580352783203,14.229999542236328,15.327499914169312,0.363579418197752
2015-03-05,12.664104461669922,88.94831848144531,14.039999961853027,15.11299991607666,0.34418345797922445
2015-03-06,12.838231086730957,87.82791137695312,15.199999809265137,15.03049988746643,0.5313128656180645
2015-03-09,12.798660278320312,88.44183349609375,15.0600004196167,14.918999862670898,0.45587152353036203
2015-03-10,12.497886657714844,86.82201385498047,16.690000534057617,14.825999927520751,0.4583189934768491
2015-03-11,12.75117015838623,87.21538543701172,16.8700008392334,14.807999992370606,0.5451816730016339
2015-03-12,12.735337257385254,89.55255889892578,15.420000076293945,14.73100004196167,0.32339350330952643
2015-03-13,12.735337257385254,88.56523895263672,16.0,14.764000034332275,0.41384070961282443
2015-03-16,12.767000198364258,89.86109924316406,15.609999656677246,14.810000038146972,0.31049207675158064
2015-03-17,12.735337257385254,89.15145111083984,15.65999984741211,14.803000020980836,0.3601385108374579
2015-03-18,12.648274421691895,89.53711700439453,13.970000267028809,14.729000043869018,0.2825632257685027
2015-03-19,12.35541820526123,88.82750701904297,14.069999694824219,14.668000030517579,0.2054691781185898
2015-03-20,12.537461280822754,90.62472534179688,13.020000457763672,14.604000043869018,0.12915963351538381
2015-03-23,12.442480087280273,89.5294189453125,13.40999984741211,14.54650001525879,0.1834122895569444
2015-03-24,12.35541820526123,89.59113311767578,13.619999885559082,14.543000030517579,0.13551429921512737
2015-03-25,12.19711685180664,87.68592071533203,15.4399995803833,14.623000001907348,0.23323708288672912
2015-03-26,12.20502758026123,86.67544555664062,15.800000190734863,14.717500019073487,0.3296439781323175
2015-03-27,12.117959976196289,87.82476043701172,15.069999694824219,14.803999996185302,0.1821094036770087
2015-03-30,12.284178733825684,88.41868591308594,14.510000228881836,14.877500009536742,0.20835376281059068
2015-03-31,12.18128490447998,87.63192749023438,15.289999961853027,14.949000024795533,0.23050131291135828
2015-04-01,12.19711685180664,87.26166534423828,15.109999656677246,14.993000030517578,0.2721026129702929
2015-04-02,12.300008773803711,88.34922790527344,14.670000076293945,15.024500036239624,0.22239782795329605
2015-04-06,12.276263236999512,88.6655044555664,14.739999771118164,15.001500034332276,0.1819022284239027
2015-04-07,12.236689567565918,88.16413879394531,14.779999732971191,14.9875,0.20862968556077033
2015-04-08,12.35541820526123,89.15916442871094,13.979999542236328,14.851999950408935,0.1750864371773127
2015-04-09,12.434563636779785,88.37240600585938,13.09000015258789,14.66299991607666,0.28556362525472656
2015-04-10,12.442480087280273,88.88920593261719,12.579999923706055,14.520999908447266,0.24206144240243635
2015-04-13,12.505799293518066,88.2721176147461,13.9399995803833,14.417999887466431,0.3293161052520192
2015-04-14,12.521631240844727,87.97130584716797,13.670000076293945,14.320999908447266,0.3645551387242978
2015-04-15,12.379159927368164,87.50849914550781,12.84000015258789,14.179999923706054,0.3378219508901208
2015-04-16,12.497886657714844,87.44679260253906,12.600000381469727,14.111499929428101,0.40108375530836626
2015-04-17,12.315837860107422,86.46717071533203,13.890000343322754,14.102499961853027,0.4024914861487006
2015-04-20,12.323756217956543,87.05339813232422,13.300000190734863,14.116499948501588,0.352630058958482
2015-04-21,12.268349647521973,87.29251098632812,13.25,14.10849995613098,0.3038406718770623
2015-04-22,12.458308219909668,87.15367889404297,12.710000038146973,14.062999963760376,0.40873118491855953
2015-04-23,12.41873550415039,87.90188598632812,12.479999542236328,13.914999961853027,0.32098723062365986
2015-04-24,12.379159927368164,87.70135498046875,12.289999961853027,13.739499950408936,0.32015465716525504
2015-04-27,12.315837860107422,85.91951751708984,13.119999885559082,13.641999959945679,0.4526613444507116
2015-04-28,12.387073516845703,85.29474639892578,12.40999984741211,13.536999940872192,0.5444610634351006
2015-04-29,12.648274421691895,83.85235595703125,13.390000343322754,13.44199995994568,0.8033374258324071
2015-04-30,12.608696937561035,82.51793670654297,14.550000190734863,13.413999986648559,0.9063780807212222
2015-05-01,12.75117015838623,84.5002670288086,12.699999809265137,13.315499973297118,0.7939104419560626
2015-05-04,13.012368202209473,84.89366912841797,12.850000381469727,13.221000003814698,0.8846106442475858
2015-05-05,12.941132545471191,83.3509750366211,14.3100004196167,13.197500038146973,0.9913698359156146
2015-05-06,12.893640518188477,83.54381561279297,15.149999618530273,13.25600004196167,0.950659715631958
2015-05-07,12.854066848754883,84.87823486328125,15.130000114440918,13.358000040054321,0.8092130998169709
2015-05-08,13.020281791687012,86.75259399414062,12.859999656677246,13.372000026702882,0.718156603360923
2015-05-11,13.051942825317383,86.31292724609375,13.850000381469727,13.367500066757202,0.7737966133795121
2015-05-12,13.004450798034668,86.79115295410156,13.859999656677246,13.377000045776366,0.7069427005065555
2015-05-13,13.036110877990723,85.76529693603516,13.760000228881836,13.423000049591064,0.816282349796507
2015-05-14,13.075688362121582,86.34380340576172,12.739999771118164,13.430000019073486,0.7824899659325312
2015-05-15,12.941132545471191,87.43136596679688,12.380000114440918,13.354500007629394,0.6175700746053479
2015-05-18,13.067771911621094,88.18729400634766,12.729999542236328,13.325999975204468,0.6097687400865854
2015-05-19,13.273560523986816,86.65230560302734,12.850000381469727,13.305999994277954,0.8502405723137472
2015-05-20,13.249822616577148,86.46717071533203,12.880000114440918,13.314499998092652,0.8556823803712067
2015-05-21,13.241904258728027,86.39776611328125,12.109999656677246,13.296000003814697,0.8581982840146215
2015-05-22,13.257732391357422,86.51348876953125,12.130000114440918,13.288000011444092,0.855277243222835
2015-05-26,13.059854507446289,85.5647201538086,14.0600004196167,13.335000038146973,0.8461779056571079
2015-05-27,13.249822616577148,86.51348876953125,13.270000457763672,13.378000068664551,0.8514392385006596
2015-05-28,13.194412231445312,86.53661346435547,13.3100004196167,13.374000072479248,0.8224344188813277
