Date,KDP,FDX,VIX,AvgVIX,zscore
2020-01-30,24.535133361816406,132.14720153808594,15.489999771118164,13.696000051498412,-0.9817707556697466
2020-01-31,24.423845291137695,128.92063903808594,18.84000015258789,14.014500045776368,-0.989680934576538
2020-02-03,24.5522518157959,128.20758056640625,17.969999313354492,14.211999988555908,-0.9465457164644215
2020-02-04,24.54369354248047,131.478759765625,16.049999237060547,14.32199993133545,-0.9741349569927087
2020-02-05,24.560813903808594,133.6535186767578,15.149999618530273,14.389999914169312,-0.9857855215479033
2020-02-06,24.449522018432617,132.47702026367188,14.960000038146973,14.465499925613404,-1.0094137263316094
2020-02-07,24.458087921142578,138.74301147460938,15.470000267028809,14.611999940872192,-1.054939385656219
2020-02-10,24.57793426513672,139.74127197265625,15.039999961853027,14.735999917984008,-1.0274352302913379
2020-02-11,24.54369354248047,140.8287353515625,15.180000305175781,14.878999948501587,-1.045816957572901
2020-02-12,24.51801109313965,141.2832489013672,13.739999771118164,14.946499919891357,-1.0568355462556671
2020-02-13,24.46664810180664,143.9215850830078,14.149999618530273,15.032999897003174,-1.0921299885104887
2020-02-14,24.71491050720215,141.3813018798828,13.680000305175781,15.100999927520752,-0.9998261101532705
2020-02-18,24.71491050720215,141.33676147460938,14.829999923706055,15.237499904632568,-0.999484639170024
2020-02-19,24.69778823852539,143.62741088867188,14.380000114440918,15.313999891281128,-1.0220688841911465
2020-02-20,25.083023071289062,146.98773193359375,15.5600004196167,15.446499919891357,-0.9348208860163603
2020-02-21,25.254234313964844,145.5081329345703,17.079999923706055,15.651499938964843,-0.8732520304553877
2020-02-24,24.9460506439209,138.02099609375,25.030000686645508,16.174999952316284,-0.9062583726323721
2020-02-25,24.757713317871094,129.77633666992188,27.850000381469727,16.655999994277956,-0.8982997709452896
2020-02-26,24.595060348510742,128.82257080078125,27.559999465942383,17.219999933242796,-0.9387025265319553
2020-02-27,24.17557716369629,123.67970275878906,39.15999984741211,18.35849995613098,-1.022331428856324
2020-02-28,23.867389678955078,125.82772827148438,40.11000061035156,19.589499998092652,-1.1292072876119863
2020-03-02,24.192705154418945,124.56209564208984,33.41999816894531,20.318499898910524,-1.0240717740974064
2020-03-03,23.584890365600586,118.62586212158203,36.81999969482422,21.26099991798401,-1.1568660701174576
2020-03-04,23.77322769165039,121.5850601196289,31.989999771118164,22.05799994468689,-1.1243034484593935
2020-03-05,23.114042282104492,115.80931091308594,39.619998931884766,23.281499910354615,-1.2733978641178398
2020-03-06,22.797304153442383,114.37602996826172,41.939998626708984,24.630499839782715,-1.355325841503606
2020-03-09,20.93105697631836,103.64431762695312,54.459999084472656,26.57999978065491,-1.820521133294277
2020-03-10,21.61591148376465,108.09644317626953,47.29999923706055,28.192999744415282,-1.6537489746419307
2020-03-11,20.9824161529541,99.44300079345703,53.900001525878906,30.12899980545044,-1.7732451499303057
2020-03-12,19.681182861328125,86.89281463623047,75.47000122070312,33.21549987792969,-2.058750141180013
2020-03-13,20.092100143432617,95.5193862915039,57.83000183105469,35.39949998855591,-2.004342045296941
2020-03-16,16.779085159301758,81.06114196777344,82.69000244140625,38.850000095367434,-2.865382345197754
2020-03-17,17.395458221435547,85.06536102294922,75.91000366210938,41.9040002822876,-2.715265574198602
2020-03-18,17.044466018676758,89.29357147216797,76.44999694824219,45.007500123977664,-2.850646183256357
2020-03-19,20.81976318359375,100.04318237304688,72.0,47.829500102996825,-1.8255613122309964
2020-03-20,20.14346694946289,99.48780822753906,66.04000091552734,50.27750015258789,-2.0196974867483415
2020-03-23,19.84383773803711,100.1148452758789,61.59000015258789,52.10550012588501,-2.112402019505953
2020-03-24,20.451650619506836,107.53209686279297,61.66999816894531,53.796500015258786,-1.9909625733986047
2020-03-25,21.401893615722656,105.98234558105469,63.95000076293945,55.61600008010864,-1.700324076806081
2020-03-26,21.222124099731445,112.51277160644531,61.0,56.708000087738036,-1.8031259215239523
2020-03-27,20.871126174926758,108.01582336425781,65.54000091552734,57.97950010299682,-1.8716163948888105
2020-03-30,21.21355628967285,111.357177734375,57.08000183105469,59.16250028610229,-1.7967799085217344
2020-03-31,20.77696418762207,108.62496948242188,53.540000915527344,59.99850034713745,-1.9039092040185521
2020-04-01,20.254751205444336,101.6556396484375,57.060001373291016,61.252000427246095,-2.003671618341796
2020-04-02,20.55628776550293,104.48637390136719,50.90999984741211,61.81650047302246,-1.936916714206553
2020-04-03,20.504596710205078,97.8395004272461,46.79999923706055,62.059500503540036,-1.901121925508445
2020-04-06,21.185211181640625,106.61839294433594,45.2400016784668,61.598500633239745,-1.7687649468962634
2020-04-07,22.32244110107422,103.86827087402344,46.70000076293945,61.568500709533694,-1.414070456532733
2020-04-08,22.925521850585938,112.45899200439453,43.349998474121094,61.041000556945804,-1.3030156547078446
2020-04-09,23.140905380249023,109.54763793945312,41.66999816894531,59.35100040435791,-1.2175120837110844
2020-04-13,22.684288024902344,110.65843963623047,41.16999816894531,58.51800022125244,-1.3599784659566843
2020-04-14,23.683673858642578,112.04692840576172,37.7599983215332,56.27150001525879,-1.077449885218
2020-04-15,23.123674392700195,107.40666961669922,40.84000015258789,54.51799983978272,-1.206153028800003
2020-04-16,23.097829818725586,106.67211151123047,40.11000061035156,52.70100002288818,-1.2081031070011183
2020-04-17,22.529211044311523,111.84091186523438,38.150001525878906,51.00850009918213,-1.4145363411992011
