Date,PEP,MNST,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,43.36000061035156,24.829999923706055,23.18100004196167,0.49861945550940107
2022-02-01,150.6808624267578,43.23500061035156,21.959999084472656,23.448999977111818,0.33050174762594775
2022-02-02,153.41748046875,43.60499954223633,22.09000015258789,23.707999992370606,0.7679723654745586
2022-02-03,153.33004760742188,43.040000915527344,24.350000381469727,23.939000034332274,0.8757005345287707
2022-02-04,150.81198120117188,42.14500045776367,23.219999313354492,24.119499969482423,0.5951742490491878
2022-02-07,150.21746826171875,42.27000045776367,22.860000610351562,24.324499988555907,0.45495072231134065
2022-02-08,150.40109252929688,42.36000061035156,21.440000534057617,24.426500034332275,0.46996565488538855
2022-02-09,150.33111572265625,43.14500045776367,19.959999084472656,24.503999996185303,0.28398929662558076
2022-02-10,147.2097930908203,41.915000915527344,23.90999984741211,24.818499946594237,-0.037213504621141716
2022-02-11,147.39340209960938,41.400001525878906,27.360000610351562,25.171000003814697,0.11090497932018246
2022-02-14,145.74969482421875,41.28499984741211,28.329999923706055,25.62799997329712,-0.17544727701346755
2022-02-15,145.10267639160156,41.38999938964844,25.700000762939453,25.773499965667725,-0.32122575082728017
2022-02-16,145.39990234375,41.61000061035156,24.290000915527344,25.795499992370605,-0.31327309852352647
2022-02-17,145.79339599609375,41.06999969482422,28.110000610351562,25.92150001525879,-0.11985898995089068
2022-02-18,146.6327667236328,40.6349983215332,27.75,25.866499996185304,0.13499426763946565
2022-02-22,147.19232177734375,40.82500076293945,28.809999465942383,25.811999988555907,0.19928568602451754
2022-02-23,145.74090576171875,39.70500183105469,31.020000457763672,25.805000019073486,0.1705029363218906
2022-02-24,143.2053680419922,40.17499923706055,30.31999969482422,25.723000049591064,-0.4136502815831957
2022-02-25,147.2185516357422,42.28499984741211,27.59000015258789,25.57800006866455,-0.1169566152219473
2022-02-28,143.1616973876953,42.20000076293945,30.149999618530273,25.70250005722046,-0.8674526660638271
2022-03-01,141.87643432617188,41.6150016784668,33.31999969482422,26.127000045776366,-0.9824378654210867
2022-03-02,143.84365844726562,41.875,30.739999771118164,26.566000080108644,-0.6666462733566891
2022-03-03,143.68960571289062,41.67499923706055,30.479999542236328,26.985500049591064,-0.6518529935115304
2022-03-04,145.87220764160156,40.65999984741211,31.979999542236328,27.367000007629393,-0.014711565725889055
2022-03-07,142.96800231933594,37.5,36.45000076293945,28.028500080108643,0.12987294254018458
2022-03-08,138.937255859375,36.244998931884766,35.130001068115234,28.642000102996825,-0.3582598668632098
2022-03-09,138.52359008789062,38.34000015258789,32.45000076293945,29.192500114440918,-0.8976155847250464
2022-03-10,135.98019409179688,37.69499969482422,30.229999542236328,29.706000137329102,-1.2379471724848607
2022-03-11,135.29373168945312,36.61000061035156,30.75,30.048000144958497,-1.1293918183123615
2022-03-14,137.19468688964844,36.6150016784668,31.770000457763672,30.268500137329102,-0.7700629402236777
2022-03-15,139.9317169189453,37.540000915527344,29.829999923706055,30.3435001373291,-0.45462027926178117
2022-03-16,140.54776000976562,38.595001220703125,26.670000076293945,30.392000102996825,-0.5699273775323493
2022-03-17,141.6390838623047,39.13999938964844,25.670000076293945,30.461000061035158,-0.48291324045309
2022-03-18,143.26719665527344,40.29499816894531,23.8700008392334,30.249000072479248,-0.42832837754049324
2022-03-21,143.06478881835938,39.5,23.530000686645508,30.038000106811523,-0.29179756387289985
2022-03-22,144.6313018798828,40.650001525878906,22.940000534057617,29.744500160217285,-0.24779282144825163
2022-03-23,143.8744354248047,39.025001525878906,23.56999969482422,29.37200012207031,-0.03378033079800366
2022-03-24,144.74571228027344,39.279998779296875,21.670000076293945,28.9395001411438,0.07531530130184254
2022-03-25,145.4233856201172,39.349998474121094,20.809999465942383,28.600500106811523,0.18840435013348328
2022-03-28,145.85462951660156,40.0099983215332,19.6299991607666,28.07450008392334,0.12496291498714848
2022-03-29,148.01959228515625,41.290000915527344,18.899999618530273,27.353500080108642,0.2538346182544239
2022-03-30,147.8171844482422,40.029998779296875,19.329999923706055,26.78300008773804,0.4926713353846584
2022-03-31,147.3067626953125,39.95000076293945,20.559999465942383,26.28700008392334,0.4134936355861558
2022-04-01,149.40133666992188,41.07500076293945,19.6299991607666,25.669500064849853,0.5631215726086475
2022-04-04,149.01405334472656,41.29999923706055,18.56999969482422,24.77550001144409,0.4401889133720723
2022-04-05,149.17250061035156,40.95000076293945,21.030000686645508,24.070499992370607,0.5472346376246365
2022-04-06,151.71591186523438,40.40999984741211,22.100000381469727,23.55299997329712,1.1482822406138666
2022-04-07,151.8567352294922,40.88999938964844,21.549999237060547,23.11899995803833,1.069377855472976
2022-04-08,152.36715698242188,40.810001373291016,21.15999984741211,22.639499950408936,1.1837564133908094
2022-04-11,151.90072631835938,41.084999084472656,24.3700008392334,22.26949996948242,1.034816709999913
2022-04-12,152.5167999267578,41.345001220703125,24.260000228881836,21.99099998474121,1.0944235958720012
2022-04-13,152.2527618408203,42.005001068115234,21.81999969482422,21.748499965667726,0.8991537484345165
2022-04-14,151.28468322753906,41.29499816894531,22.700000762939453,21.6,0.871810257112514
2022-04-18,149.98216247558594,41.220001220703125,22.170000076293945,21.51499996185303,0.6413469390218385
2022-04-19,152.16473388671875,41.900001525878906,21.3700008392334,21.40699996948242,0.9055643102769108
2022-04-20,154.42654418945312,42.67499923706055,20.31999969482422,21.27599992752075,1.163905254347679
2022-04-21,153.87208557128906,43.439998626708984,22.68000030517578,21.23149995803833,0.8904694072052428
2022-04-22,151.50466918945312,42.82500076293945,28.209999084472656,21.558499908447267,0.5769034053079839
2022-04-25,152.90399169921875,43.34000015258789,27.020000457763672,21.86899995803833,0.7289154498895032
2022-04-26,152.5167999267578,43.130001068115234,33.52000045776367,22.563500022888185,0.7017043183648716
2022-04-27,153.880859375,43.375,31.600000381469727,23.198500061035155,0.9064333586608135
2022-04-28,156.21310424804688,43.904998779296875,29.989999771118164,23.73150005340576,1.2320314114920266
2022-04-29,151.11746215820312,42.84000015258789,33.400001525878906,24.37350015640259,0.5001872821925949
2022-05-02,147.64114379882812,42.375,32.34000015258789,25.00900020599365,-0.056632356288514284
