Date,KO,FDX,VIX,AvgVIX,zscore
2020-01-30,48.630104064941406,132.14723205566406,15.489999771118164,13.696000051498412,0.2480349734175403
2020-01-31,48.25005340576172,128.920654296875,18.84000015258789,14.014500045776368,0.2043721989698263
2020-02-03,48.398765563964844,128.20755004882812,17.969999313354492,14.211999988555908,0.23291987626317656
2020-02-04,48.61356735229492,131.47872924804688,16.049999237060547,14.32199993133545,0.2491991838596488
2020-02-05,48.62184143066406,133.653564453125,15.149999618530273,14.389999914169312,0.2379390404233858
2020-02-06,48.737518310546875,132.4770050048828,14.960000038146973,14.465499925613404,0.2637531033075764
2020-02-07,48.902740478515625,138.74298095703125,15.470000267028809,14.611999940872192,0.25451852473641096
2020-02-10,49.36541748046875,139.7412872314453,15.039999961853027,14.735999917984008,0.32467228048834207
2020-02-11,49.23322677612305,140.82867431640625,15.180000305175781,14.878999948501587,0.29666493802891003
2020-02-12,49.084510803222656,141.2832489013672,13.739999771118164,14.946499919891357,0.2696166110718563
2020-02-13,49.249755859375,143.92156982421875,14.149999618530273,15.032999897003174,0.28143326704453947
2020-02-14,49.53065872192383,141.38125610351562,13.680000305175781,15.100999927520752,0.34228070021273294
2020-02-18,49.183650970458984,141.33677673339844,14.829999923706055,15.237499904632568,0.28557935729439077
2020-02-19,49.38195037841797,143.62742614746094,14.380000114440918,15.313999891281128,0.30483887609422294
2020-02-20,49.340633392333984,146.98770141601562,15.5600004196167,15.446499919891357,0.27856076728328655
2020-02-21,49.679378509521484,145.5081024169922,17.079999923706055,15.651499938964843,0.34274847269503095
2020-02-24,48.456600189208984,138.0210723876953,25.030000686645508,16.174999952316284,0.18547553322600172
2020-02-25,47.77085876464844,129.77630615234375,27.850000381469727,16.655999994277956,0.12075058911800617
2020-02-26,47.589080810546875,128.82260131835938,27.559999465942383,17.219999933242796,0.09644608866318047
2020-02-27,45.38313674926758,123.6796646118164,39.15999984741211,18.35849995613098,-0.23580840413874987
2020-02-28,44.193416595458984,125.82778930664062,40.11000061035156,19.589499998092652,-0.4435577256023914
2020-03-02,46.20106506347656,124.56204986572266,33.41999816894531,20.318499898910524,-0.10666953515026172
2020-03-03,46.31674575805664,118.62590026855469,36.81999969482422,21.26099991798401,-0.053239936165473796
2020-03-04,48.67966842651367,121.58509826660156,31.989999771118164,22.05799994468689,0.31745167539578967
2020-03-05,46.8785514831543,115.80931091308594,39.619998931884766,23.281499910354615,0.05531909160382988
2020-03-06,45.65578079223633,114.37600708007812,41.939998626708984,24.630499839782715,-0.13707601971847796
2020-03-09,42.846702575683594,103.6443099975586,54.459999084472656,26.57999978065491,-0.5359059450948237
2020-03-10,44.3338623046875,108.09645080566406,47.29999923706055,28.192999744415282,-0.31762797512362323
2020-03-11,43.1358757019043,99.44300842285156,53.900001525878906,30.12899980545044,-0.46406402319243606
