Date,AMD,UPS,VIX,AvgVIX,zscore
2020-01-30,48.779998779296875,83.85881805419922,15.489999771118164,13.696000051498412,-0.4520553138682614
2020-01-31,47.0,80.38024139404297,18.84000015258789,14.014500045776368,-0.4380598540027811
2020-02-03,48.02000045776367,79.22327423095703,17.969999313354492,14.211999988555908,-0.3456824497268129
2020-02-04,49.45000076293945,80.27151489257812,16.049999237060547,14.32199993133545,-0.30127160559541877
2020-02-05,49.84000015258789,82.33692932128906,15.149999618530273,14.389999914169312,-0.3458714667350339
2020-02-06,49.31999969482422,82.70187377929688,14.960000038146973,14.465499925613404,-0.3857990780453641
2020-02-07,49.72999954223633,80.06964111328125,15.470000267028809,14.611999940872192,-0.2796012180358573
2020-02-10,52.2599983215332,80.03081512451172,15.039999961853027,14.735999917984008,-0.14068732677736862
2020-02-11,53.79999923706055,81.428466796875,15.180000305175781,14.878999948501587,-0.10142589138645233
2020-02-12,53.88999938964844,81.94869995117188,13.739999771118164,14.946499919891357,-0.11310760962399419
2020-02-13,54.529998779296875,81.71576690673828,14.149999618530273,15.032999897003174,-0.07085701298784003
2020-02-14,55.310001373291016,82.26704406738281,13.680000305175781,15.100999927520752,-0.04597977308172845
2020-02-18,56.88999938964844,82.63199615478516,14.829999923706055,15.237499904632568,0.02836931916873856
2020-02-19,58.900001525878906,82.89599609375,14.380000114440918,15.313999891281128,0.1293354625193664
2020-02-20,57.27000045776367,82.67858123779297,15.5600004196167,15.446499919891357,0.04756345762092617
2020-02-21,53.279998779296875,79.92988586425781,17.079999923706055,15.651499938964843,-0.08196480079149193
2020-02-24,49.119998931884766,77.23234558105469,25.030000686645508,16.174999952316284,-0.22237421908970573
2020-02-25,47.56999969482422,73.6330337524414,27.850000381469727,16.655999994277956,-0.19201501868558038
2020-02-26,47.4900016784668,73.49974060058594,27.559999465942383,17.219999933242796,-0.19212040113724446
2020-02-27,44.0099983215332,70.76299285888672,39.15999984741211,18.35849995613098,-0.2942765171027762
2020-02-28,45.47999954223633,70.95903778076172,40.11000061035156,19.589499998092652,-0.22053028665608268
2020-03-02,47.459999084472656,72.73123931884766,33.41999816894531,20.318499898910524,-0.1692616993130329
2020-03-03,46.75,71.59420776367188,36.81999969482422,21.26099991798401,-0.1716621035850769
2020-03-04,50.11000061035156,75.13861846923828,31.989999771118164,22.05799994468689,-0.10177566893026081
2020-03-05,48.11000061035156,72.91944122314453,39.619998931884766,23.281499910354615,-0.1398879623154632
2020-03-06,48.59000015258789,73.71144104003906,41.939998626708984,24.630499839782715,-0.1390077702240458
2020-03-09,43.27000045776367,68.36345672607422,54.459999084472656,26.57999978065491,-0.2580746179494687
