Date,GOOGL,LOW,VIX,AvgVIX,zscore
2015-01-30,26.657180786132812,55.22126388549805,20.969999313354492,19.119499969482423,-1.2764243043516297
2015-02-02,26.39187240600586,55.75095748901367,19.43000030517578,19.201499938964844,-1.4158928143324017
2015-02-03,26.446422576904297,56.745208740234375,17.329999923706055,19.071999931335448,-1.5653355599049794
2015-02-04,26.089372634887695,57.59275817871094,18.329999923706055,18.932499885559082,-1.7747788446798445
2015-02-05,26.274343490600586,58.244712829589844,16.850000381469727,18.80949993133545,-1.8424362411726938
2015-02-06,26.47518539428711,58.595130920410156,17.290000915527344,18.823499965667725,-1.8581799494816742
2015-02-09,26.247068405151367,57.8209342956543,18.549999237060547,18.873499965667726,-1.7795576510358007
2015-02-10,26.786609649658203,58.48104476928711,17.229999542236328,18.754999923706055,-1.7764399627857603
2015-02-11,26.67949104309082,58.21210861206055,16.959999084472656,18.57499990463257,-1.7547965033306747
2015-02-12,27.076711654663086,58.831478118896484,15.34000015258789,18.267999935150147,-1.7740375972193017
2015-02-13,27.332103729248047,58.7173957824707,14.6899995803833,17.88299994468689,-1.703690798547144
2015-02-17,27.02712059020996,59.05967330932617,15.800000190734863,17.62549991607666,-1.8209654460527245
2015-02-18,26.91008949279785,59.100399017333984,15.449999809265137,17.403499937057497,-1.8513360989787913
2015-02-19,27.09853172302246,58.91298294067383,15.289999961853027,17.22549991607666,-1.782761046119551
2015-02-20,26.867937088012695,59.94796371459961,14.300000190734863,17.12049994468689,-1.9967562670831889
2015-02-23,26.53072166442871,60.08652114868164,14.5600004196167,17.015499973297118,-2.0876913514545907
2015-02-24,26.71172523498535,60.836265563964844,13.6899995803833,16.9239999294281,-2.171944734406722
2015-02-25,27.142169952392578,60.65697479248047,13.84000015258789,16.754999971389772,-2.0554771942992023
2015-02-26,27.735267639160156,60.388038635253906,13.90999984741211,16.428499937057495,-1.8914643947339147
2015-02-27,27.90089988708496,60.3798942565918,13.34000015258789,16.157499933242796,-1.856472714311869
2015-03-02,28.515321731567383,61.194854736328125,13.039999961853027,15.760999965667725,-1.8631325790475686
2015-03-03,28.70227813720703,61.129661560058594,13.859999656677246,15.482499933242797,-1.814594005096694
2015-03-04,28.679466247558594,60.32284164428711,14.229999542236328,15.327499914169312,-1.6889612458076362
2015-03-05,28.833192825317383,60.76292419433594,14.039999961853027,15.11299991607666,-1.728761954602247
2015-03-06,28.410188674926758,59.907203674316406,15.199999809265137,15.03049988746643,-1.6766014659052142
2015-03-09,28.469697952270508,60.518436431884766,15.0600004196167,14.918999862670898,-1.7631929083842568
2015-03-10,27.76304054260254,59.54050064086914,16.690000534057617,14.825999927520751,-1.748972206345838
2015-03-11,27.556745529174805,59.54865264892578,16.8700008392334,14.807999992370606,-1.7922327512807936
2015-03-12,27.82849884033203,61.072601318359375,15.420000076293945,14.73100004196167,-1.9830394409693477
2015-03-13,27.423343658447266,60.436946868896484,16.0,14.764000034332275,-1.9627822167323639
2015-03-16,27.851804733276367,61.480079650878906,15.609999656677246,14.810000038146972,-2.044093188703667
2015-03-17,27.651958465576172,60.77106857299805,15.65999984741211,14.803000020980836,-1.9702478338170384
2015-03-18,28.07595443725586,60.730316162109375,13.970000267028809,14.729000043869018,-1.877460173476069
2015-03-19,27.952472686767578,60.76292419433594,14.069999694824219,14.668000030517579,-1.9078316879697907
2015-03-20,28.015945434570312,61.308937072753906,13.020000457763672,14.604000043869018,-1.9830867248676687
2015-03-23,28.036775588989258,61.42303466796875,13.40999984741211,14.54650001525879,-1.9972739458405657
2015-03-24,28.640287399291992,61.61861038208008,13.619999885559082,14.543000030517579,-1.9061448342122955
2015-03-25,28.11760711669922,60.518436431884766,15.4399995803833,14.623000001907348,-1.8347807026076552
2015-03-26,27.950984954833984,59.37751388549805,15.800000190734863,14.717500019073487,-1.6844427827247739
2015-03-27,27.648983001708984,60.037635803222656,15.069999694824219,14.803999996185302,-1.852431143723971
2015-03-30,27.827009201049805,60.95848846435547,14.510000228881836,14.877500009536742,-1.9649174050844673
2015-03-31,27.507648468017578,60.6243782043457,15.289999961853027,14.949000024795533,-1.9759042741286477
2015-04-01,27.24928855895996,60.6243782043457,15.109999656677246,14.993000030517578,-2.0284345138753954
2015-04-02,26.843637466430664,60.991111755371094,14.670000076293945,15.024500036239624,-2.1701258891097464
2015-04-06,26.97455406188965,61.170387268066406,14.739999771118164,15.001500034332276,-2.172453890374589
2015-04-07,27.019683837890625,60.39619827270508,14.779999732971191,14.9875,-2.0382757594774676
2015-04-08,27.217050552368164,60.96665573120117,13.979999542236328,14.851999950408935,-2.090254090006234
2015-04-09,27.176387786865234,60.510292053222656,13.09000015258789,14.66299991607666,-2.0248362400601465
2015-04-10,27.202173233032227,61.03998947143555,12.579999923706055,14.520999908447266,-2.105119602436832
2015-04-13,27.20713233947754,60.15168762207031,13.9399995803833,14.417999887466431,-1.9606841380435498
2015-04-14,26.767765045166016,60.290245056152344,13.670000076293945,14.320999908447266,-2.072388939665082
2015-04-15,26.830249786376953,59.82572555541992,12.84000015258789,14.179999923706054,-1.9846820807520498
2015-04-16,26.95323371887207,60.371742248535156,12.600000381469727,14.111499929428101,-2.0478378036370035
2015-04-17,26.41864776611328,59.12487030029297,13.890000343322754,14.102499961853027,-1.9552081748431411
2015-04-20,27.003318786621094,59.378292083740234,13.300000190734863,14.116499948501588,-1.87724976278881
2015-04-21,26.923477172851562,59.87699890136719,13.25,14.10849995613098,-1.9740056141594757
2015-04-22,27.23390769958496,59.738037109375,12.710000038146973,14.062999963760376,-1.8884511986499977
2015-04-23,27.644515991210938,59.98328399658203,12.479999542236328,13.914999961853027,-1.844563622822509
2015-04-24,28.447877883911133,59.81159210205078,12.289999961853027,13.739499950408936,-1.6535007679259444
2015-04-27,28.07396697998047,58.73242950439453,13.119999885559082,13.641999959945679,-1.5552810957587169
2015-04-28,27.9871883392334,58.650699615478516,12.40999984741211,13.536999940872192,-1.5597288104383524
2015-04-29,27.839405059814453,57.587852478027344,13.390000343322754,13.44199995994568,-1.4181667594442722
2015-04-30,27.213577270507812,56.29615783691406,14.550000190734863,13.413999986648559,-1.3368514279910833
2015-05-01,27.332103729248047,57.800437927246094,12.699999809265137,13.315499973297118,-1.555636767635778
2015-05-04,27.4154109954834,58.250091552734375,12.850000381469727,13.221000003814698,-1.6113006348376422
2015-05-05,26.929428100585938,57.57971954345703,14.3100004196167,13.197500038146973,-1.6018718850633245
2015-05-06,26.534692764282227,57.857666015625,15.149999618530273,13.25600004196167,-1.7270080905692329
2015-05-07,26.879840850830078,59.100345611572266,15.130000114440918,13.358000040054321,-1.857477688747323
2015-05-08,27.22250747680664,59.89335632324219,12.859999656677246,13.372000026702882,-1.915847295827208
2015-05-11,27.065303802490234,59.86066818237305,13.850000381469727,13.367500066757202,-1.9425323538930868
2015-05-12,26.715696334838867,60.22857666015625,13.859999656677246,13.377000045776366,-2.0730185364550366
2015-05-13,26.75338363647461,59.770729064941406,13.760000228881836,13.423000049591064,-1.9914308017687345
2015-05-14,27.234905242919922,59.0758056640625,12.739999771118164,13.430000019073486,-1.7813230313556356
2015-05-15,27.100513458251953,59.75434875488281,12.380000114440918,13.354500007629394,-1.9182068896608497
2015-05-18,27.10944175720215,59.729862213134766,12.729999542236328,13.325999975204468,-1.9124379196789156
2015-05-19,27.238872528076172,58.724273681640625,12.850000381469727,13.305999994277954,-1.7237572686129146
2015-05-20,27.3990478515625,56.00184631347656,12.880000114440918,13.314499998092652,-1.251621002818574
2015-05-21,27.612287521362305,56.18170928955078,12.109999656677246,13.296000003814697,-1.2373057694505865
2015-05-22,27.49872589111328,56.85209655761719,12.130000114440918,13.288000011444092,-1.3686375431326596
2015-05-26,27.13522720336914,56.884769439697266,14.0600004196167,13.335000038146973,-1.4478202394317892
2015-05-27,27.485334396362305,57.81679153442383,13.270000457763672,13.378000068664551,-1.5271220994143493
2015-05-28,27.481863021850586,57.59606170654297,13.3100004196167,13.374000072479248,-1.4921883828330522
2015-05-29,27.042491912841797,57.21180725097656,13.84000015258789,13.3385000705719,-1.5194796031470101
2015-06-01,27.23539924621582,57.34260559082031,13.970000267028809,13.402000093460083,-1.5013762959920092
2015-06-02,27.470458984375,57.35078430175781,14.239999771118164,13.471500062942505,-1.4549040450046693
2015-06-03,27.536909103393555,57.759578704833984,13.65999984741211,13.439000034332276,-1.5073981203350217
2015-06-04,27.358383178710938,57.34260559082031,14.710000038146973,13.41700005531311,-1.4763709633824298
2015-06-05,27.25126838684082,57.05647277832031,14.210000038146973,13.371000051498413,-1.4519501185544688
2015-06-08,26.95124626159668,56.14900588989258,15.289999961853027,13.492500066757202,-1.3664296026644576
2015-06-09,26.88578987121582,56.0263786315918,14.470000267028809,13.523500061035156,-1.3599386567251213
2015-06-10,27.40350914001465,56.54958724975586,13.220000267028809,13.491500091552734,-1.3391533805501148
2015-06-11,27.27655792236328,56.44332504272461,12.850000381469727,13.446000099182129,-1.3478080197750677
2015-06-12,27.149112701416016,56.435150146484375,13.779999732971191,13.49800009727478,-1.3724004935224858
2015-06-15,26.927444458007812,56.50054931640625,15.390000343322754,13.648500108718872,-1.4280300061017226
2015-06-16,27.02018165588379,56.73762893676758,14.8100004196167,13.75250015258789,-1.447453895105563
2015-06-17,27.105972290039062,56.95836639404297,14.5,13.835000133514404,-1.4656515313960274
2015-06-18,27.581043243408203,57.35078430175781,13.1899995803833,13.850500106811523,-1.4324198381460302
2015-06-19,27.647493362426758,57.21998596191406,13.960000038146973,13.94300012588501,-1.3977900831011618
2015-06-22,27.754608154296875,57.46525192260742,12.739999771118164,13.973500108718872,-1.4156124762051356
2015-06-23,27.938587188720703,57.71869659423828,12.109999656677246,13.8760000705719,-1.4191272345012778
2015-06-24,27.699562072753906,57.293556213378906,13.260000228881836,13.875500059127807,-1.3990821860572011
2015-06-25,27.6688175201416,56.950191497802734,14.010000228881836,13.910500049591064,-1.349892806612678
2015-06-26,27.42632293701172,56.09178924560547,14.020000457763672,13.919500064849853,-1.2605977628685352
2015-06-29,26.840660095214844,55.20881271362305,18.850000381469727,14.1635000705719,-1.2371085404070374
2015-06-30,26.780662536621094,54.750999450683594,18.229999542236328,14.363000059127808,-1.175387825063606
2015-07-01,26.942323684692383,54.97173309326172,16.09000015258789,14.484500074386597,-1.1781587048123139
2015-07-02,27.14266586303711,54.530269622802734,16.790000915527344,14.588500118255615,-1.066145080695713
2015-07-06,27.057371139526367,54.16237258911133,17.010000228881836,14.728500127792358,-1.0240859062011494
2015-07-07,27.276065826416016,55.07802200317383,16.09000015258789,14.768500137329102,-1.1274632437805674
2015-07-08,26.862977981567383,54.39128875732422,19.65999984741211,15.028000116348267,-1.1005716092793851
2015-07-09,27.009265899658203,54.7918701171875,19.969999313354492,15.36550006866455,-1.1355068118443352
2015-07-10,27.57756996154785,55.47043991088867,16.829999923706055,15.564500045776366,-1.1295214939561664
2015-07-13,28.352170944213867,55.838340759277344,13.899999618530273,15.570500040054322,-1.0314301936616241
2015-07-14,28.969568252563477,55.91191101074219,13.369999885559082,15.469500017166137,-0.917778585350177
2015-07-15,28.958656311035156,55.81381607055664,13.229999542236328,15.39049997329712,-0.9041585978783929
2015-07-16,29.842355728149414,55.781105041503906,12.109999656677246,15.270999956130982,-0.7192015171378927
2015-07-17,34.69425582885742,55.20881271362305,11.949999809265137,15.208999967575073,0.3596998354245175
2015-07-20,34.358036041259766,54.75731658935547,12.25,15.123499965667724,0.364238530255114
2015-07-21,34.48250198364258,54.5027961730957,12.220000267028809,15.097499990463257,0.4306406138828064
2015-07-22,34.4701042175293,55.36481475830078,12.119999885559082,15.098000001907348,0.28893646032820086
2015-07-23,33.459957122802734,55.578243255615234,12.640000343322754,15.067000007629394,0.04909075190801416
2015-07-24,32.470130920410156,55.1513557434082,13.739999771118164,15.053499984741212,-0.08323644271212648
2015-07-27,32.64370346069336,55.036415100097656,15.600000381469727,15.132499980926514,-0.029386766943833905
2015-07-28,32.71263122558594,55.660343170166016,13.4399995803833,14.861999940872192,-0.11611303725866824
2015-07-29,32.8004035949707,56.432029724121094,12.5,14.575499963760375,-0.22286519549994657
2015-07-30,32.95561981201172,56.530555725097656,12.130000114440918,14.377499961853028,-0.20721455673110104
2015-07-31,32.60551834106445,56.941017150878906,12.119999885559082,14.143999910354614,-0.3446718735263545
2015-08-03,32.96355438232422,56.57158660888672,12.5600004196167,13.921499919891357,-0.2122262211346711
2015-08-04,32.792964935302734,56.941017150878906,13.0,13.766999912261962,-0.3065598670197552
2015-08-05,33.38854217529297,57.41716766357422,12.510000228881836,13.40949993133545,-0.26234625139995893
2015-08-06,33.232826232910156,56.89999008178711,13.770000457763672,13.099499988555909,-0.2105020908035156
2015-08-07,32.94718933105469,57.08058166503906,13.390000343322754,12.927500009536743,-0.2977370558337667
2015-08-10,32.88521194458008,57.11343765258789,12.229999542236328,12.844000005722046,-0.31564341869612833
2015-08-11,34.232078552246094,56.99030303955078,13.710000038146973,12.86100001335144,-0.02191429233314808
2015-08-12,34.29009246826172,56.62085723876953,13.609999656677246,12.880000019073487,0.04953274111635318
2015-08-13,34.04412841796875,58.45979309082031,13.489999771118164,12.949000024795533,-0.29739577341185336
2015-08-14,34.185951232910156,59.198631286621094,12.829999923706055,12.993000030517578,-0.38785452171109513
2015-08-17,34.42101287841797,59.502376556396484,13.020000457763672,13.031500053405761,-0.3891047092061907
2015-08-18,34.15421676635742,59.9456901550293,13.789999961853027,13.110000038146973,-0.5149286022761754
2015-08-19,34.41754150390625,61.05400466918945,15.25,13.26650004386902,-0.6403398016267564
2015-08-20,33.69550323486328,60.077030181884766,19.139999389648438,13.591499996185302,-0.6294015800738695
2015-08-21,31.93754005432129,58.37770080566406,28.030000686645508,14.30600004196167,-0.7124566203089651
2015-08-24,30.652162551879883,56.07904815673828,40.7400016784668,15.563000106811524,-0.6026565673185647
2015-08-25,30.372472763061523,54.99536895751953,36.02000045776367,16.692000150680542,-0.4845504141579663
2015-08-26,32.71659851074219,56.44025421142578,30.31999969482422,17.583000135421752,-0.2412325521959981
2015-08-27,33.12422180175781,56.69473648071289,26.100000381469727,18.281500148773194,-0.1994430575958855
2015-08-28,32.71411895751953,56.1939582824707,26.049999237060547,18.978000116348266,-0.20196921770163997
2015-08-31,32.12548065185547,56.785030364990234,28.43000030517578,19.77150011062622,-0.4170881018178106
2015-09-01,31.219966888427734,55.61931228637695,31.399999618530273,20.691500091552733,-0.4129795198788483
2015-09-02,31.981170654296875,56.67832946777344,26.09000015258789,21.370500087738037,-0.42920133009007944
2015-09-03,31.591398239135742,56.72758102416992,25.610000610351562,21.96250009536743,-0.5164028810011039
2015-09-04,31.190214157104492,55.660343170166016,27.799999237060547,22.68300004005432,-0.4256538398296923
2015-09-08,31.930095672607422,56.89999008178711,24.899999618530273,23.31650004386902,-0.47537580479316066
2015-09-09,31.906789779663086,55.91484451293945,26.229999542236328,23.942500019073485,-0.3210506352846542
2015-09-10,32.287147521972656,55.7670783996582,24.3700008392334,24.480500078201295,-0.21985691708461186
2015-09-11,32.49641799926758,56.34174346923828,23.200000762939453,24.96600012779236,-0.27009432151480434
2015-09-14,32.3560791015625,55.94768142700195,24.25,25.537000131607055,-0.23500217589649927
2015-09-15,32.980918884277344,57.006683349609375,22.540000915527344,26.013000154495238,-0.27894731295120845
2015-09-16,33.003231048583984,57.52388381958008,21.350000381469727,26.391000175476073,-0.35791908502506414
2015-09-17,33.30821228027344,57.8604850769043,21.139999389648438,26.685500144958496,-0.35025808609333214
2015-09-18,32.775115966796875,55.98051452636719,22.280000686645508,26.84250020980835,-0.1551040889708249
2015-09-21,33.07562255859375,57.13804244995117,20.139999389648438,26.448000144958495,-0.2809015065849309
2015-09-22,32.39228057861328,56.374576568603516,22.440000534057617,25.53300008773804,-0.29656904903743014
2015-09-23,32.39674377441406,56.42383575439453,22.1299991607666,24.838500022888184,-0.3036150797938701
2015-09-24,32.477073669433594,56.21858215332031,23.469999313354492,24.496000003814697,-0.25414155152622836
2015-09-25,31.745126724243164,56.390987396240234,23.6200008392334,24.37200002670288,-0.43079935904620514
2015-09-28,30.956642150878906,55.12672805786133,27.6299991607666,24.451000022888184,-0.3869854859132035
2015-09-29,30.875320434570312,54.81475830078125,26.829999923706055,24.371000003814697,-0.3531486528766519
2015-09-30,31.6568603515625,56.579803466796875,24.5,24.026000022888184,-0.4792325075950971
2015-10-01,31.836864471435547,57.29402542114258,22.549999237060547,23.848999977111816,-0.5579535661796807
2015-10-02,32.58021545410156,57.65523147583008,20.940000534057617,23.61549997329712,-0.4651351206230255
2015-10-05,33.30870056152344,58.91951370239258,19.540000915527344,23.20250005722046,-0.5211518975692454
2015-10-06,33.30671691894531,58.443363189697266,19.399999618530273,22.92750005722046,-0.44467490721256064
2015-10-07,33.22539520263672,58.93592834472656,18.399999618530273,22.536000061035157,-0.5407400495699999
2015-10-08,33.076622009277344,60.06884765625,17.420000076293945,22.188500022888185,-0.7539125472713135
2015-10-09,33.28688049316406,60.200199127197266,17.079999923706055,21.882499980926514,-0.7323706801745193
2015-10-12,33.544246673583984,60.594234466552734,16.170000076293945,21.478499984741212,-0.7436642993085664
2015-10-13,33.87849807739258,59.9046516418457,17.670000076293945,21.23499994277954,-0.5643620944046572
2015-10-14,33.74162292480469,59.14117431640625,18.030000686645508,21.06899995803833,-0.468919089730549
2015-10-15,34.36695861816406,59.641944885253906,16.049999237060547,20.814499950408937,-0.4226301358156536
2015-10-16,34.48101043701172,59.748661041259766,15.050000190734863,20.452999925613405,-0.41667152307040634
2015-10-19,34.71062469482422,60.515106201171875,14.979999542236328,20.194999933242798,-0.49373782538116057
2015-10-20,33.72129440307617,60.02886962890625,15.75,19.860499906539918,-0.616381560788565
2015-10-21,33.31465148925781,59.92997360229492,16.700000762939453,19.58899998664856,-0.6830930199317301
2015-10-22,33.7778205871582,60.50687026977539,14.449999809265137,19.138000011444092,-0.6820675811719473
2015-10-23,35.67167663574219,60.61400604248047,14.460000038146973,18.67999997138977,-0.31430345932079506
2015-10-26,36.25634002685547,61.116695404052734,15.289999961853027,18.063000011444093,-0.2765938895802874
2015-10-27,36.34064483642578,60.61400604248047,15.430000305175781,17.493000030517578,-0.17828754224976467
2015-10-28,36.543968200683594,61.00131607055664,14.329999923706055,16.984500026702882,-0.19948336844706469
2015-10-29,36.93721389770508,60.877723693847656,14.609999656677246,16.587500047683715,-0.099572390845977
2015-10-30,36.56727600097656,60.844749450683594,15.069999694824219,16.294000005722047,-0.16946479050935556
2015-11-02,37.08053207397461,60.7952880859375,14.149999618530273,16.024499940872193,-0.05712242574195649
2015-11-03,37.13408660888672,60.943641662597656,14.539999961853027,15.78149995803833,-0.07018710802108769
2015-11-04,37.45592498779297,60.243125915527344,15.510000228881836,15.636999988555909,0.10835651016794721
2015-11-05,37.72172927856445,60.63871383666992,15.050000190734863,15.518499994277954,0.09852786079177239
2015-11-06,37.767852783203125,60.276084899902344,14.329999923706055,15.380999994277953,0.16645664680089572
2015-11-09,37.42914962768555,59.353092193603516,16.520000457763672,15.398500013351441,0.24661929298366103
2015-11-10,37.60221481323242,60.44092559814453,15.289999961853027,15.279500007629395,0.10616327076062401
