Date,SHEL,MS,VIX,AvgVIX,zscore
2023-01-31,51.649627685546875,87.6962661743164,19.399999618530273,20.202999973297118,-0.7009647144042203
2023-02-01,51.21928787231445,88.47115325927734,17.8700008392334,19.951500034332277,-0.7929545639862245
2023-02-02,50.6132926940918,89.39017486572266,18.729999542236328,19.7875,-0.9343197275701483
2023-02-03,51.201725006103516,89.58841705322266,18.329999923706055,19.58100004196167,-0.722126456797386
2023-02-06,50.80651092529297,89.11089324951172,19.43000030517578,19.49600009918213,-0.8883020661936335
2023-02-07,52.35222625732422,89.39921569824219,18.65999984741211,19.33050012588501,-0.3468726178763247
2023-02-08,52.22927474975586,89.16492462158203,19.6299991607666,19.28300008773804,-0.40445978932550974
2023-02-09,52.510311126708984,88.34500885009766,20.709999084472656,19.264000034332277,-0.3659477756115347
2023-02-10,54.24044418334961,88.69640350341797,20.530000686645508,19.34900007247925,0.2420488592409873
2023-02-13,54.301937103271484,89.58841705322266,20.34000015258789,19.448500061035155,0.3240809107656535
2023-02-14,54.96061706542969,90.60658264160156,18.90999984741211,19.426000022888182,0.6163081094116923
2023-02-15,54.855228424072266,90.849853515625,18.229999542236328,19.320499992370607,0.5974557961780612
2023-02-16,54.86851501464844,89.71456146240234,20.170000076293945,19.30299997329712,0.5239460797641831
2023-02-17,53.769378662109375,89.66050720214844,20.020000457763672,19.311499977111815,0.14931457948175794
2023-02-21,53.24639129638672,87.95757293701172,22.8700008392334,19.46450004577637,-0.144164303813656
2023-02-22,52.25362014770508,87.6422119140625,22.290000915527344,19.619000053405763,-0.5008529848692801
2023-02-23,53.41481399536133,88.24588775634766,21.139999389648438,19.72200002670288,-0.06752090230603752
2023-02-24,53.7427864074707,88.02964782714844,21.670000076293945,19.869000053405763,0.028302232738534418
2023-02-27,54.24803924560547,87.12862396240234,20.950000762939453,19.99100008010864,0.13690699521496427
2023-02-28,53.866886138916016,86.94844055175781,20.700000762939453,20.029000091552735,-0.004096559887233472
2023-03-01,54.90397644042969,86.66912078857422,20.579999923706055,20.088000106811524,0.32669421538281673
2023-03-02,55.32944869995117,86.56999206542969,19.59000015258789,20.17400007247925,0.4634653819904176
