Date,AVGO,AMAT,VIX,AvgVIX,zscore
2022-01-31,54.15768051147461,133.10206604003906,24.829999923706055,23.18100004196167,-2.9431486668061817
2022-02-01,54.78996276855469,133.5162811279297,21.959999084472656,23.448999977111818,-2.904303723564758
2022-02-02,55.779972076416016,135.5872802734375,22.09000015258789,23.707999992370606,-2.9890743026089104
2022-02-03,53.69271469116211,131.49343872070312,24.350000381469727,23.939000034332274,-2.8382413111813904
2022-02-04,54.55331039428711,130.58802795410156,23.219999313354492,24.119499969482423,-2.6349903563171053
2022-02-07,54.31944274902344,131.12742614746094,22.860000610351562,24.324499988555907,-2.720249972930879
2022-02-08,55.48324966430664,133.65113830566406,21.440000534057617,24.426500034332275,-2.829026678206182
2022-02-09,56.51115417480469,138.90086364746094,19.959999084472656,24.503999996185303,-3.234286021110521
2022-02-10,54.664241790771484,134.6336669921875,23.90999984741211,24.818499946594237,-3.034827409239415
2022-02-11,53.005897521972656,127.62117767333984,27.360000610351562,25.171000003814697,-2.5301458032575677
2022-02-14,53.482887268066406,127.01435089111328,28.329999923706055,25.62799997329712,-2.406745825172521
2022-02-15,55.71896743774414,134.70106506347656,25.700000762939453,25.773499965667725,-2.90620439067675
2022-02-16,55.20500183105469,135.77992248535156,24.290000915527344,25.795499992370605,-3.0826699973205662
2022-02-17,53.52170944213867,131.45492553710938,28.110000610351562,25.92150001525879,-2.8562717396342356
2022-02-18,53.613224029541016,128.4495849609375,27.75,25.866499996185304,-2.536901983889264
2022-02-22,53.37935256958008,125.69935607910156,28.809999465942383,25.811999988555907,-2.285452939791149
2022-02-23,52.24513244628906,123.38337707519531,31.020000457763672,25.805000019073486,-2.1941371195127792
2022-02-24,53.61414337158203,128.7487335205078,30.31999969482422,25.723000049591064,-2.5674031514408355
2022-02-25,54.354576110839844,130.9681854248047,27.59000015258789,25.57800006866455,-2.6994366389565827
2022-02-28,54.3018913269043,129.5014190673828,30.149999618530273,25.70250005722046,-2.556075508380699
2022-03-01,52.70085525512695,125.0721206665039,33.31999969482422,26.127000045776366,-2.308432393965676
2022-03-02,54.14842987060547,128.51715087890625,30.739999771118164,26.566000080108644,-2.475049164762862
2022-03-03,53.48473358154297,126.06604766845703,30.479999542236328,26.985500049591064,-2.309445197439511
2022-03-04,55.092227935791016,121.33761596679688,31.979999542236328,27.367000007629393,-1.618920772901084
2022-03-07,52.75446319580078,115.0458984375,36.45000076293945,28.028500080108643,-1.27531225702541
2022-03-08,53.23977279663086,119.80330657958984,35.130001068115234,28.642000102996825,-1.6998985030365816
2022-03-09,55.18743896484375,124.11676788330078,32.45000076293945,29.192500114440918,-1.8911466860120854
2022-03-10,54.32869338989258,120.59457397460938,30.229999542236328,29.706000137329102,-1.6409732874623657
2022-03-11,53.415401458740234,119.31114959716797,30.75,30.048000144958497,-1.6269573694830792
2022-03-14,52.48639678955078,115.92401885986328,31.770000457763672,30.268500137329102,-1.3996359161930845
2022-03-15,54.79365539550781,120.05418395996094,29.829999923706055,30.3435001373291,-1.5259188745454009
2022-03-16,56.12107849121094,125.91167449951172,26.670000076293945,30.392000102996825,-1.954900811469244
2022-03-17,55.709716796875,127.36878967285156,25.670000076293945,30.461000061035158,-2.156899357173989
2022-03-18,56.425193786621094,130.4084930419922,23.8700008392334,30.249000072479248,-2.376096087076128
2022-03-21,55.9580078125,129.5014190673828,23.530000686645508,30.038000106811523,-2.3432813572521116
2022-03-22,56.89329528808594,130.7366180419922,22.940000534057617,29.744500160217285,-2.3495349692342278
2022-03-23,55.78025817871094,126.8187484741211,23.56999969482422,29.37200012207031,-2.091536144109283
2022-03-24,58.2976188659668,133.73770141601562,21.670000076293945,28.9395001411438,-2.4762689653291146
2022-03-25,58.52470016479492,132.2612762451172,20.809999465942383,28.600500106811523,-2.295972108034325
2022-03-28,58.89787673950195,132.8402557373047,19.6299991607666,28.07450008392334,-2.307284042979065
2022-03-29,59.69729995727539,136.4879150390625,18.899999618530273,27.353500080108642,-2.5779217483683734
