Date,BAC,AMAT,VIX,AvgVIX,zscore
2020-01-30,28.7337646484375,56.85921096801758,15.489999771118164,13.696000051498412,3.0184619175607357
2020-01-31,28.175912857055664,54.72639083862305,18.84000015258789,14.014500045776368,2.9374768979984354
2020-02-03,28.296070098876953,56.359031677246094,17.969999313354492,14.211999988555908,2.8628092822522917
2020-02-04,28.853923797607422,59.46387481689453,16.049999237060547,14.32199993133545,2.8674819589160525
2020-02-05,29.78940200805664,60.209407806396484,15.149999618530273,14.389999914169312,3.225553398474755
2020-02-06,29.75507164001465,59.63374328613281,14.960000038146973,14.465499925613404,3.2554600419036337
2020-02-07,29.70357322692871,58.23703384399414,15.470000267028809,14.611999940872192,3.3421810756596
2020-02-10,29.772232055664062,59.37894058227539,15.039999961853027,14.735999917984008,3.283106681098636
2020-02-11,29.840890884399414,60.822837829589844,15.180000305175781,14.878999948501587,3.2003231155109306
2020-02-12,29.969621658325195,61.69107437133789,13.739999771118164,14.946499919891357,3.189486728596101
2020-02-13,29.961044311523438,63.57850646972656,14.149999618530273,15.032999897003174,3.0374852743881964
2020-02-14,29.909549713134766,63.0877685546875,13.680000305175781,15.100999927520752,3.05308049388945
2020-02-18,29.411771774291992,61.68665313720703,14.829999923706055,15.237499904632568,2.9414026930154145
2020-02-19,29.79798126220703,63.81672668457031,14.380000114440918,15.313999891281128,2.946164692259611
2020-02-20,29.909549713134766,62.860565185546875,15.5600004196167,15.446499919891357,3.0709181522782902
2020-02-21,29.489015579223633,60.84409713745117,17.079999923706055,15.651499938964843,3.04195099246881
2020-02-24,28.090085983276367,57.82414245605469,25.030000686645508,16.174999952316284,2.6560516086527266
2020-02-25,26.67399787902832,55.722476959228516,27.850000381469727,16.655999994277956,2.1904163395891048
2020-02-26,26.287792205810547,56.62183380126953,27.559999465942383,17.219999933242796,1.947816500948071
2020-02-27,25.000436782836914,53.96161651611328,39.15999984741211,18.35849995613098,1.5833623555849852
2020-02-28,24.459745407104492,55.02192306518555,40.11000061035156,19.589499998092652,1.2593282249593376
2020-03-02,25.2064151763916,56.95317840576172,33.41999816894531,20.318499898910524,1.44022564214343
2020-03-03,23.816070556640625,54.94618606567383,36.81999969482422,21.26099991798401,0.9786221400072492
2020-03-04,24.365339279174805,57.29398727416992,31.989999771118164,22.05799994468689,1.0389067115862969
2020-03-05,23.13023567199707,55.978084564208984,39.619998931884766,23.281499910354615,0.5921805534922726
2020-03-06,22.2060604095459,54.70951461791992,41.939998626708984,24.630499839782715,0.28020618553490095
2020-03-09,18.941226959228516,49.294403076171875,54.459999084472656,26.57999978065491,-0.7486061187903521
