Date,XOM,AMAT,VIX,AvgVIX,zscore
2020-01-30,48.712589263916016,56.85920715332031,15.489999771118164,13.696000051498412,-0.07830512040398713
2020-01-31,46.70513153076172,54.726402282714844,18.84000015258789,14.014500045776368,-0.1392703997002118
2020-02-03,45.660057067871094,56.35903549194336,17.969999313354492,14.211999988555908,-0.22308979259032685
2020-02-04,45.088645935058594,59.46387481689453,16.049999237060547,14.32199993133545,-0.31092225880972824
2020-02-05,47.16376876831055,60.209415435791016,15.149999618530273,14.389999914169312,-0.2201968132478223
2020-02-06,46.52470016479492,59.63374710083008,14.960000038146973,14.465499925613404,-0.2415663953173908
2020-02-07,46.21642303466797,58.237030029296875,15.470000267028809,14.611999940872192,-0.23062767262698744
2020-02-10,45.72833251953125,59.37893295288086,15.039999961853027,14.735999917984008,-0.2769783221599774
2020-02-11,46.16304016113281,60.82283020019531,15.180000305175781,14.878999948501587,-0.2824227940637866
2020-02-12,46.72740173339844,61.69104766845703,13.739999771118164,14.946499919891357,-0.2703837466066129
2020-02-13,46.468101501464844,63.57851028442383,14.149999618530273,15.032999897003174,-0.3193269162346427
2020-02-14,46.25456237792969,63.08775329589844,13.680000305175781,15.100999927520752,-0.32080155300867924
2020-02-18,45.66731643676758,61.6866455078125,14.829999923706055,15.237499904632568,-0.3238791445209437
2020-02-19,46.01814651489258,63.816734313964844,14.380000114440918,15.313999891281128,-0.3465918064382462
2020-02-20,45.65208053588867,62.86054611206055,15.5600004196167,15.446499919891357,-0.3469382541057553
2020-02-21,45.09535217285156,60.844093322753906,17.079999923706055,15.651499938964843,-0.3367897594920533
2020-02-24,42.98281478881836,57.82413101196289,25.030000686645508,16.174999952316284,-0.3862213772292784
2020-02-25,41.33549118041992,55.722469329833984,27.850000381469727,16.655999994277956,-0.4295760272691346
2020-02-26,40.42793273925781,56.62184143066406,27.559999465942383,17.219999933242796,-0.4925225098196425
2020-02-27,37.995094299316406,53.96162414550781,39.15999984741211,18.35849995613098,-0.5649733705180124
2020-02-28,39.23057556152344,55.02192687988281,40.11000061035156,19.589499998092652,-0.5226616521024842
2020-03-02,41.09143829345703,56.95317840576172,33.41999816894531,20.318499898910524,-0.4652786699636435
2020-03-03,39.123817443847656,54.9461784362793,36.81999969482422,21.26099991798401,-0.526619187292136
2020-03-04,39.97797393798828,57.29398727416992,31.989999771118164,22.05799994468689,-0.5280265416161117
2020-03-05,38.21625900268555,55.978084564208984,39.619998931884766,23.281499910354615,-0.5920821164167731
2020-03-06,36.37064743041992,54.709510803222656,41.939998626708984,24.630499839782715,-0.661276649996231
2020-03-09,31.92442512512207,49.29441833496094,54.459999084472656,26.57999978065491,-0.7831809524259851
2020-03-10,33.10651397705078,53.17586898803711,47.29999923706055,28.192999744415282,-0.7971334259873714
2020-03-11,32.015933990478516,49.69203186035156,53.900001525878906,30.12899980545044,-0.7861054552938396
2020-03-12,28.355226516723633,42.70541763305664,75.47000122070312,33.21549987792969,-0.83846939851175
2020-03-13,29.07211685180664,48.17731857299805,57.83000183105469,35.39949998855591,-0.9061321575912893
2020-03-16,26.3037109375,38.36955261230469,82.69000244140625,38.850000095367434,-0.8598315703409143
2020-03-17,28.073055267333984,42.46875,75.91000366210938,41.9040002822876,-0.8482372886853604
2020-03-18,25.25888442993164,37.09151077270508,76.44999694824219,45.007500123977664,-0.8883729387311773
2020-03-19,26.25794792175293,38.04768371582031,72.0,47.829500102996825,-0.8560331506217062
2020-03-20,24.969072341918945,35.9649543762207,66.04000091552734,50.27750015258789,-0.8816305408685486
2020-03-23,23.985261917114258,38.02873229980469,61.59000015258789,52.10550012588501,-0.9705397375113888
2020-03-24,27.028223037719727,42.73381423950195,61.66999816894531,53.796500015258786,-0.9060781692136393
2020-03-25,28.439115524291992,42.34566879272461,63.95000076293945,55.61600008010864,-0.8273988546404987
2020-03-26,29.605972290039062,46.5774040222168,61.0,56.708000087738036,-0.8487721045227962
2020-03-27,28.179819107055664,42.64862060546875,65.54000091552734,57.97950010299682,-0.8462564498492261
