Date,INTC,GILD,VIX,AvgVIX,zscore
2020-01-30,58.632652282714844,50.49644088745117,15.489999771118164,13.696000051498412,1.2163614508886669
2020-01-31,56.392127990722656,49.841880798339844,18.84000015258789,14.014500045776368,0.8769063760876457
2020-02-03,56.82435989379883,52.33396530151367,17.969999313354492,14.211999988555908,1.141767704301984
2020-02-04,57.741737365722656,53.15415954589844,16.049999237060547,14.32199993133545,1.32729148146122
2020-02-05,59.40007019042969,51.947547912597656,15.149999618530273,14.389999914169312,1.4360265960015242
2020-02-06,59.470985412597656,53.7929573059082,14.960000038146973,14.465499925613404,1.6005439985076333
2020-02-07,58.522491455078125,54.313453674316406,15.470000267028809,14.611999940872192,1.524056704035541
2020-02-10,58.85047149658203,54.40808868408203,15.039999961853027,14.735999917984008,1.5736482723433873
2020-02-11,59.754642486572266,53.43805694580078,15.180000305175781,14.878999948501587,1.6066276265795403
2020-02-12,59.79896545410156,52.79926681518555,13.739999771118164,14.946499919891357,1.558418515927158
2020-02-13,59.78123092651367,52.68098068237305,14.149999618530273,15.032999897003174,1.5461998462975342
2020-02-14,59.63054275512695,53.280338287353516,13.680000305175781,15.100999927520752,1.5775894970038704
2020-02-18,58.62886047363281,52.84658432006836,14.829999923706055,15.237499904632568,1.4139352448162887
2020-02-19,59.488712310791016,53.11473083496094,14.380000114440918,15.313999891281128,1.545636757227162
2020-02-20,58.0172233581543,52.83869934082031,15.5600004196167,15.446499919891357,1.3356620688673004
2020-02-21,57.03327560424805,54.968013763427734,17.079999923706055,15.651499938964843,1.3902569602648622
2020-02-24,54.746273040771484,57.491668701171875,25.030000686645508,16.174999952316284,1.3127438613921167
2020-02-25,52.946807861328125,55.283470153808594,27.850000381469727,16.655999994277956,0.898322744596915
2020-02-26,52.87589645385742,58.91119384765625,27.559999465942383,17.219999933242796,1.1950461679610063
2020-02-27,49.489715576171875,57.30239486694336,39.15999984741211,18.35849995613098,0.6298052901340484
2020-02-28,49.21491622924805,54.69989013671875,40.11000061035156,19.589499998092652,0.37561457206385135
2020-03-02,51.572845458984375,59.4632453918457,33.41999816894531,20.318499898910524,1.0762295296420796
2020-03-03,49.61381530761719,58.5247688293457,36.81999969482422,21.26099991798401,0.7485656991633929
2020-03-04,52.016056060791016,59.944339752197266,31.989999771118164,22.05799994468689,1.173010636327334
2020-03-05,50.49138641357422,60.038936614990234,39.619998931884766,23.281499910354615,0.9875221859114963
2020-03-06,49.4365234375,63.26448440551758,41.939998626708984,24.630499839782715,1.1255023461140516
2020-03-09,45.075260162353516,57.98060989379883,54.459999084472656,26.57999978065491,0.1268247233149359
2020-03-10,47.84981155395508,57.050018310546875,47.29999923706055,28.192999744415282,0.4004544368257928
2020-03-11,45.79328536987305,58.12257766723633,53.900001525878906,30.12899980545044,0.22989677733252756
2020-03-12,40.36829376220703,54.58842849731445,75.47000122070312,33.21549987792969,-0.756298375445954
2020-03-13,48.24870300292969,56.315696716308594,57.83000183105469,35.39949998855591,0.389184613384711
2020-03-16,39.54390335083008,54.843143463134766,82.69000244140625,38.850000095367434,-0.8394369088671183
2020-03-17,44.39270782470703,59.3165397644043,75.91000366210938,41.9040002822876,0.15280138597778936
2020-03-18,42.20321273803711,63.21685791015625,76.44999694824219,45.007500123977664,0.2036769919322161
2020-03-19,40.722862243652344,62.524356842041016,72.0,47.829500102996825,-0.04251947764074069
2020-03-20,40.625362396240234,58.313602447509766,66.04000091552734,50.27750015258789,-0.4097461329571322
2020-03-23,43.949485778808594,57.796226501464844,61.59000015258789,52.10550012588501,-0.03155983648358467
2020-03-24,46.449241638183594,58.87078857421875,61.66999816894531,53.796500015258786,0.3761833614072308
2020-03-25,45.43870162963867,55.44807052612305,63.95000076293945,55.61600008010864,-0.040485426275301516
2020-03-26,49.23264694213867,58.791194915771484,61.0,56.708000087738036,0.7226531337263361
2020-03-27,46.42264938354492,57.98725891113281,65.54000091552734,57.97950010299682,0.29835097598550775
2020-03-30,49.18833541870117,60.43889236450195,57.08000183105469,59.16250028610229,0.8558878953974329
2020-03-31,47.973907470703125,59.50758361816406,53.540000915527344,59.99850034713745,0.6233083184675925
2020-04-01,45.98828887939453,57.71662139892578,57.060001373291016,61.252000427246095,0.2204287751491055
2020-04-02,48.17777633666992,61.274654388427734,50.90999984741211,61.81650047302246,0.7980939106671615
2020-04-03,47.9827766418457,62.25370407104492,46.79999923706055,62.059500503540036,0.8558590120249667
2020-04-06,51.79444885253906,61.87165451049805,45.2400016784668,61.598500633239745,1.3073132572668682
2020-04-07,51.767852783203125,59.435943603515625,46.70000076293945,61.568500709533694,1.0986725678424818
2020-04-08,52.281982421875,59.69065475463867,43.349998474121094,61.041000556945804,1.1853742485257364
2020-04-09,50.65095138549805,58.512611389160156,41.66999816894531,59.35100040435791,0.8791400341486576
2020-04-13,52.03378677368164,59.92148971557617,41.16999816894531,58.51800022125244,1.1733347762269406
2020-04-14,53.771202087402344,61.8875617980957,37.7599983215332,56.27150001525879,1.5594777275063174
2020-04-15,52.184478759765625,59.404090881347656,40.84000015258789,54.51799983978272,1.148852565924966
2020-04-16,53.886436462402344,60.92443084716797,40.11000061035156,52.70100002288818,1.4929329873802724
2020-04-17,53.50526809692383,66.85449981689453,38.150001525878906,51.00850009918213,1.9443157001554079
2020-04-20,52.45927047729492,64.68145751953125,43.83000183105469,49.898000144958495,1.6284624182952414
2020-04-21,49.95952606201172,62.50843048095703,45.40999984741211,49.089000129699706,1.1281491329059041
2020-04-22,53.2747917175293,64.72126770019531,41.97999954223633,48.104500198364256,1.7352962498639128
