Date,KO,ASML,VIX,AvgVIX,zscore
2022-01-31,53.774879455566406,648.6134643554688,24.829999923706055,23.18100004196167,-0.8141688669827186
2022-02-01,53.37824249267578,652.7127075195312,21.959999084472656,23.448999977111818,-1.0139864075790572
2022-02-02,53.92470932006836,657.7603149414062,22.09000015258789,23.707999992370606,-0.7695644724929085
2022-02-03,54.3037223815918,618.6634521484375,24.350000381469727,23.939000034332274,-0.4770636372048431
2022-02-04,53.73080062866211,625.2528686523438,23.219999313354492,24.119499969482423,-0.7676190828401948
2022-02-07,54.29491424560547,622.5903930664062,22.860000610351562,24.324499988555907,-0.4925750323734773
2022-02-08,54.64748001098633,625.8850708007812,21.440000534057617,24.426500034332275,-0.3349905267711664
2022-02-09,53.80132293701172,651.6495971679688,19.959999084472656,24.503999996185303,-0.8104012990405813
2022-02-10,54.10100173950195,629.151123046875,23.90999984741211,24.818499946594237,-0.6034189198788519
2022-02-11,53.14026641845703,601.7201538085938,27.360000610351562,25.171000003814697,-0.9795610506300413
2022-02-14,53.4840087890625,601.4039916992188,28.329999923706055,25.62799997329712,-0.8157340534350738
2022-02-15,53.68674087524414,628.7009887695312,25.700000762939453,25.773499965667725,-0.7984554050513141
2022-02-16,53.67793273925781,635.8363647460938,24.290000915527344,25.795499992370605,-0.8232293587761763
2022-02-17,54.75324249267578,622.973388671875,28.110000610351562,25.92150001525879,-0.276459298663227
2022-02-18,55.12343978881836,620.4833374023438,27.75,25.866499996185304,-0.09381829039195155
2022-02-22,54.89427947998047,613.2423095703125,28.809999465942383,25.811999988555907,-0.18152278116696022
2022-02-23,54.28609085083008,605.062744140625,31.020000457763672,25.805000019073486,-0.44615555209817537
2022-02-24,53.334171295166016,629.1128540039062,30.31999969482422,25.723000049591064,-0.9667422846609184
2022-02-25,55.39667510986328,638.9589233398438,27.59000015258789,25.57800006866455,-0.017658252323347213
2022-02-28,54.8590202331543,638.3746948242188,30.149999618530273,25.70250005722046,-0.2707893317163909
2022-03-01,54.62103271484375,607.438232421875,33.31999969482422,26.127000045776366,-0.29427012490592674
2022-03-02,55.02648162841797,627.7049560546875,30.739999771118164,26.566000080108644,-0.16061929979704048
2022-03-03,55.06174087524414,604.1624755859375,30.479999542236328,26.985500049591064,-0.07594270849639892
2022-03-04,55.149871826171875,569.2320556640625,31.979999542236328,27.367000007629393,0.06666834616217643
2022-03-07,53.836570739746094,550.095458984375,36.45000076293945,28.028500080108643,-0.5005151796060452
2022-03-08,51.70356369018555,548.8501586914062,35.130001068115234,28.642000102996825,-1.5078436212190616
2022-03-09,51.967994689941406,595.1114501953125,32.45000076293945,29.192500114440918,-1.5160719853065059
2022-03-10,51.01607131958008,574.7391967773438,30.229999542236328,29.706000137329102,-1.908415841545324
2022-03-11,51.05131149291992,561.1194458007812,30.75,30.048000144958497,-1.852394611724572
2022-03-14,51.992767333984375,553.1698608398438,31.770000457763672,30.268500137329102,-1.3832483269973017
2022-03-15,52.95197296142578,571.511474609375,29.829999923706055,30.3435001373291,-0.981590762489423
2022-03-16,52.80986785888672,623.1649169921875,26.670000076293945,30.392000102996825,-1.1980608406325186
2022-03-17,53.369407653808594,626.4884033203125,25.670000076293945,30.461000061035158,-0.9424656317547145
2022-03-18,53.37828826904297,651.1610107421875,23.8700008392334,30.249000072479248,-1.0094850571607545
2022-03-21,53.80460739135742,654.082275390625,23.530000686645508,30.038000106811523,-0.8158676505668946
2022-03-22,54.000003814697266,659.6661987304688,22.940000534057617,29.744500160217285,-0.739381352875655
2022-03-23,53.644737243652344,637.2733154296875,23.56999969482422,29.37200012207031,-0.8431105182367516
2022-03-24,54.15985870361328,661.3901977539062,21.670000076293945,28.9395001411438,-0.6685963443468248
2022-03-25,54.64835739135742,658.3444213867188,20.809999465942383,28.600500106811523,-0.42828288652400387
2022-03-28,54.9947395324707,665.4992065429688,19.6299991607666,28.07450008392334,-0.28477296311980377
2022-03-29,55.20790481567383,679.2049560546875,18.899999618530273,27.353500080108642,-0.2233124628804226
2022-03-30,55.25230407714844,655.6627197265625,19.329999923706055,26.78300008773804,-0.13430473134331541
2022-03-31,55.065792083740234,639.734619140625,20.559999465942383,26.28700008392334,-0.1767173005508174
2022-04-01,55.83848190307617,639.5430908203125,19.6299991607666,25.669500064849853,0.19004648454733572
2022-04-04,55.545406341552734,652.090087890625,18.56999969482422,24.77550001144409,0.014922978768744988
2022-04-05,55.48322296142578,619.1712036132812,21.030000686645508,24.070499992370607,0.08048644122028452
2022-04-06,56.042762756347656,601.9786987304688,22.100000381469727,23.55299997329712,0.395310079678216
2022-04-07,56.34474182128906,598.904296875,21.549999237060547,23.11899995803833,0.5473065264745475
2022-04-08,56.69112777709961,585.140869140625,21.15999984741211,22.639499950408936,0.7512078771441951
2022-04-11,56.67335510253906,572.5076293945312,24.3700008392334,22.26949996948242,0.7792560456129433
2022-04-12,57.339473724365234,568.9254150390625,24.260000228881836,21.99099998474121,1.105299874359235
2022-04-13,57.49047088623047,586.8936767578125,21.81999969482422,21.748499965667726,1.1249906191087273
2022-04-14,57.74803161621094,572.6322631835938,22.700000762939453,21.6,1.2882315396780042
2022-04-18,57.2328987121582,580.0167846679688,22.170000076293945,21.51499996185303,1.022769288576198
2022-04-19,57.79243850708008,591.0983276367188,21.3700008392334,21.40699996948242,1.2559674557174612
2022-04-20,58.58290100097656,607.1506958007812,20.31999969482422,21.27599992752075,1.584259324054009
2022-04-21,58.8049430847168,593.8087768554688,22.68000030517578,21.23149995803833,1.7280119088409085
2022-04-22,57.952301025390625,581.9609375,28.209999084472656,21.558499908447267,1.3581122557434946
2022-04-25,58.56513977050781,574.4998168945312,27.020000457763672,21.86899995803833,1.670102633627308
2022-04-26,57.77467346191406,536.772705078125,33.52000045776367,22.563500022888185,1.4043826353516309
2022-04-27,58.22763442993164,533.37255859375,31.600000381469727,23.198500061035155,1.6288762883608112
2022-04-28,58.78718948364258,565.6116333007812,29.989999771118164,23.73150005340576,1.801001168897012
2022-04-29,57.383888244628906,539.9716796875,33.400001525878906,24.37350015640259,1.209937509076415
2022-05-02,56.34474182128906,546.9826049804688,32.34000015258789,25.00900020599365,0.6972013202691938
2022-05-03,56.02500534057617,550.3462524414062,29.25,25.54300022125244,0.5359538377091712
2022-05-04,57.75690460205078,571.52392578125,25.420000076293945,25.762500190734862,1.2956365315771126
2022-05-05,57.29507064819336,544.0682373046875,31.200000762939453,26.21750020980835,1.1560165249486176
2022-05-06,57.49934387207031,531.3675537109375,30.190000534057617,26.6495002746582,1.2894964769526036
2022-05-09,57.383888244628906,494.3935852050781,34.75,27.3290002822876,1.34151871964007
2022-05-10,56.850990295410156,504.7220458984375,32.9900016784668,27.76000032424927,1.0591378765130204
2022-05-11,57.117435455322266,502.7257385253906,32.560001373291016,28.175000381469726,1.191180887518168
2022-05-12,57.29507064819336,503.7480163574219,31.770000457763672,28.6725004196167,1.2724185716485163
2022-05-13,58.3697395324707,528.7830200195312,28.8700008392334,28.981000423431396,1.7094757140049435
2022-05-16,58.58290100097656,515.8893432617188,27.469999313354492,29.246000385284425,1.8477253460790741
2022-05-17,58.423030853271484,541.6188354492188,26.100000381469727,29.48250036239624,1.6976765319834801
2022-05-18,54.35527038574219,509.4761962890625,30.959999084472656,30.01450033187866,-0.13741580254932265
2022-05-19,53.28947830200195,507.25836181640625,29.350000381469727,30.34800033569336,-0.6361376399602116
2022-05-20,54.15985870361328,513.8545532226562,29.43000030517578,30.409000396728516,-0.2426698344924483
2022-05-23,55.829612731933594,534.848876953125,28.479999542236328,30.48200035095215,0.48808888657105404
2022-05-24,56.859867095947266,526.9603271484375,29.450000762939453,30.278500366210938,0.9991443960347479
2022-05-25,56.90427780151367,528.5515747070312,28.3700008392334,30.117000389099122,1.0155986989022199
2022-05-26,57.10856246948242,540.1143798828125,27.5,29.992500400543214,1.0790368456820856
2022-05-27,57.4460563659668,562.59375,25.719999313354492,29.608500289916993,1.174093095883086
2022-05-31,56.29146194458008,555.7564086914062,26.190000534057617,29.301000308990478,0.6466202586657048
2022-06-01,56.01611328125,543.5764770507812,25.690000534057617,29.12300033569336,0.5512834426759938
2022-06-02,56.6023063659668,559.8551025390625,24.719999313354492,29.088000297546387,0.7821100834310809
2022-06-03,55.92729568481445,543.5668334960938,24.790000915527344,28.76750030517578,0.5092168137411649
2022-06-06,55.83848190307617,551.3203735351562,25.06999969482422,28.51150026321411,0.4447401498139467
2022-06-07,56.175987243652344,556.4509887695312,24.020000457763672,27.975000286102294,0.5898866331356254
2022-06-08,55.85625457763672,547.2217407226562,23.959999084472656,27.523500156402587,0.4649958885457422
2022-06-09,54.888160705566406,523.0836791992188,26.09000015258789,27.200000095367432,0.07585979875457667
2022-06-10,54.541778564453125,502.9475402832031,27.75,26.999000072479248,-0.030173739077521026
2022-06-13,54.47960662841797,475.9934387207031,34.02000045776367,27.256500053405762,0.018175179178834475
2022-06-14,52.98566818237305,473.6693420410156,32.689998626708984,27.517500019073488,-0.6831568145604041
2022-06-15,53.379276275634766,487.32476806640625,29.6200008392334,27.69350004196167,-0.5360314446247089
2022-06-16,52.84253692626953,451.4695739746094,32.95000076293945,27.79300012588501,-0.6869034654358933
2022-06-17,53.164581298828125,456.4842224121094,31.1299991607666,27.882000064849855,-0.5487498089952975
2022-06-21,54.30069351196289,476.7359924316406,30.190000534057617,27.920000076293945,-0.0687631300129862
2022-06-22,54.703250885009766,468.2013244628906,28.950000762939453,27.943500137329103,0.14666515091647092
2022-06-23,55.356285095214844,468.2013244628906,29.049999237060547,27.923500061035156,0.45616607881528987
2022-06-24,56.39400863647461,496.9010314941406,27.229999542236328,27.866499996185304,0.8651334604740182
2022-06-27,56.2776985168457,489.9382629394531,26.950000762939453,27.839000034332276,0.830110197971678
2022-06-28,55.7141227722168,472.9364013671875,28.360000610351562,27.971000099182127,0.6120908239517081
