Date,NEE,FDX,VIX,AvgVIX,zscore
2022-01-31,69.62189483642578,224.87991333007812,24.829999923706055,23.18100004196167,0.6686386969066682
2022-02-01,68.8287124633789,230.49600219726562,21.959999084472656,23.448999977111818,0.668750387858601
2022-02-02,69.27433776855469,230.33139038085938,22.09000015258789,23.707999992370606,0.7355591887947273
2022-02-03,67.52753448486328,226.21536254882812,24.350000381469727,23.939000034332274,0.3672112798685328
2022-02-04,67.74142456054688,223.2792510986328,23.219999313354492,24.119499969482423,0.33539189529742797
2022-02-07,67.44733428955078,222.93167114257812,22.860000610351562,24.324499988555907,0.28110026246217207
2022-02-08,67.25125122070312,223.05056762695312,21.440000534057617,24.426500034332275,0.25274216474606664
2022-02-09,68.32073974609375,223.398193359375,19.959999084472656,24.503999996185303,0.42968833640974374
2022-02-10,67.24235534667969,219.89498901367188,23.90999984741211,24.818499946594237,0.1807748193978431
2022-02-11,66.8056640625,212.3947296142578,27.360000610351562,25.171000003814697,-0.05601082029088124
2022-02-14,66.77000427246094,208.9647216796875,28.329999923706055,25.62799997329712,-0.13834808248087527
2022-02-15,66.9215087890625,210.7391815185547,25.700000762939453,25.773499965667725,-0.07470516346738094
2022-02-16,67.04627227783203,209.46778869628906,24.290000915527344,25.795499992370605,-0.08339883710339298
2022-02-17,67.17994689941406,205.2237548828125,28.110000610351562,25.92150001525879,-0.15715255124903307
2022-02-18,66.08377075195312,203.266357421875,27.75,25.866499996185304,-0.3743154398202853
2022-02-22,65.7540283203125,199.20521545410156,28.809999465942383,25.811999988555907,-0.5172835271632198
2022-02-23,64.45282745361328,196.5069580078125,31.020000457763672,25.805000019073486,-0.7834434642371645
2022-02-24,67.23342895507812,197.4947967529297,30.31999969482422,25.723000049591064,-0.321515736089005
2022-02-25,68.76632690429688,201.8852081298828,27.59000015258789,25.57800006866455,0.019131687663310422
2022-02-28,70.14191436767578,203.30294799804688,30.149999618530273,25.70250005722046,0.2684252343593358
2022-03-01,69.39813232421875,196.5709991455078,33.31999969482422,26.127000045776366,0.00024335067432799552
2022-03-02,69.49668884277344,200.5406036376953,30.739999771118164,26.566000080108644,0.1045953264450284
2022-03-03,70.6079330444336,202.4248504638672,30.479999542236328,26.985500049591064,0.32250601791316186
2022-03-04,71.88045501708984,196.8998260498047,31.979999542236328,27.367000007629393,0.40025313790086353
2022-03-07,75.43817901611328,184.5557403564453,36.45000076293945,28.028500080108643,0.6869991825904914
2022-03-08,73.43977355957031,187.21725463867188,35.130001068115234,28.642000102996825,0.43040145967588056
2022-03-09,71.97904205322266,198.90060424804688,32.45000076293945,29.192500114440918,0.46058608254575034
2022-03-10,71.83563995361328,201.25010681152344,30.229999542236328,29.706000137329102,0.49043850423171087
2022-03-11,71.0649642944336,195.65167236328125,30.75,30.048000144958497,0.24334845473587263
2022-03-14,71.04703521728516,193.77023315429688,31.770000457763672,30.268500137329102,0.19844256658354634
2022-03-15,73.46665954589844,198.4508514404297,29.829999923706055,30.3435001373291,0.6858426942715755
2022-03-16,73.94160461425781,207.35330200195312,26.670000076293945,30.392000102996825,0.9600330049765189
2022-03-17,74.10292053222656,209.2347412109375,25.670000076293945,30.461000061035158,1.0276200121115422
2022-03-18,73.81614685058594,200.91050720214844,23.8700008392334,30.249000072479248,0.796124085906763
