Date,PEP,META,VIX,AvgVIX,zscore
2022-01-31,151.71258544921875,310.8208312988281,24.829999923706055,23.18100004196167,-0.8633063166671103
2022-02-01,150.6808624267578,316.51617431640625,21.959999084472656,23.448999977111818,-1.0014885642796787
2022-02-02,153.41748046875,320.48504638671875,22.09000015258789,23.707999992370606,-0.6875106295476305
2022-02-03,153.33004760742188,235.90870666503906,24.350000381469727,23.939000034332274,-0.4649123125432887
2022-02-04,150.81198120117188,235.2439422607422,23.219999313354492,24.119499969482423,-0.7620439271174448
2022-02-07,150.21746826171875,223.1587677001953,22.860000610351562,24.324499988555907,-0.7993382118607522
2022-02-08,150.40109252929688,218.465576171875,21.440000534057617,24.426500034332275,-0.7646088863931306
2022-02-09,150.33111572265625,230.1935577392578,19.959999084472656,24.503999996185303,-0.8052236215264547
2022-02-10,147.2097930908203,226.29415893554688,23.90999984741211,24.818499946594237,-1.1650678057413282
2022-02-11,147.39340209960938,217.8404998779297,27.360000610351562,25.171000003814697,-1.1199814864108204
2022-02-14,145.74969482421875,216.00489807128906,28.329999923706055,25.62799997329712,-1.3100776874400606
2022-02-15,145.10267639160156,219.27920532226562,25.700000762939453,25.773499965667725,-1.3959159329080446
2022-02-16,145.39990234375,214.85394287109375,24.290000915527344,25.795499992370605,-1.3484370579639349
2022-02-17,145.79339599609375,206.09271240234375,28.110000610351562,25.92150001525879,-1.2775844815840651
2022-02-18,146.6327667236328,204.55474853515625,27.75,25.866499996185304,-1.1736918327758128
2022-02-22,147.19232177734375,200.5065155029297,28.809999465942383,25.811999988555907,-1.0961059622572307
2022-02-23,145.74090576171875,196.90480041503906,31.020000457763672,25.805000019073486,-1.2585069329139564
2022-02-24,143.2053680419922,205.98355102539062,30.31999969482422,25.723000049591064,-1.5845529272415655
2022-02-25,147.2185516357422,208.84112548828125,27.59000015258789,25.57800006866455,-1.1159507741813741
2022-02-28,143.1616973876953,209.38685607910156,30.149999618530273,25.70250005722046,-1.59911276366184
2022-03-01,141.87643432617188,201.9055633544922,33.31999969482422,26.127000045776366,-1.7310999566494558
2022-03-02,143.84365844726562,206.48956298828125,30.739999771118164,26.566000080108644,-1.5101644255824638
2022-03-03,143.68960571289062,201.3896026611328,30.479999542236328,26.985500049591064,-1.51440601429091
2022-03-04,145.87220764160156,198.5022430419922,31.979999542236328,27.367000007629393,-1.2473182463183434
2022-03-07,142.96800231933594,186.01028442382812,36.45000076293945,28.028500080108643,-1.5577151423924587
2022-03-08,138.937255859375,188.80831909179688,35.130001068115234,28.642000102996825,-2.043981758514624
2022-03-09,138.52359008789062,196.95437622070312,32.45000076293945,29.192500114440918,-2.115534720096242
2022-03-10,135.98019409179688,193.6900177001953,30.229999542236328,29.706000137329102,-2.4085126491692184
2022-03-11,135.29373168945312,186.14920043945312,30.75,30.048000144958497,-2.469241984797747
2022-03-14,137.19468688964844,185.1768341064453,31.770000457763672,30.268500137329102,-2.240868479764072
2022-03-15,139.9317169189453,190.53477478027344,29.829999923706055,30.3435001373291,-1.930668041204953
2022-03-16,140.54776000976562,202.04449462890625,26.670000076293945,30.392000102996825,-1.8892323617763838
2022-03-17,141.6390838623047,206.22166442871094,25.670000076293945,30.461000061035158,-1.7711692839640738
2022-03-18,143.26719665527344,214.8043212890625,23.8700008392334,30.249000072479248,-1.6015104066941659
2022-03-21,143.06478881835938,209.84327697753906,23.530000686645508,30.038000106811523,-1.6118757245036397
2022-03-22,144.6313018798828,214.96307373046875,22.940000534057617,29.744500160217285,-1.4399914084036118
2022-03-23,143.8744354248047,211.7979278564453,23.56999969482422,29.37200012207031,-1.5211330979076563
2022-03-24,144.74571228027344,217.8603515625,21.670000076293945,28.9395001411438,-1.4343888014655402
2022-03-25,145.4233856201172,220.09283447265625,20.809999465942383,28.600500106811523,-1.360080315388441
2022-03-28,145.85462951660156,221.84902954101562,19.6299991607666,28.07450008392334,-1.3137176808951578
2022-03-29,148.01959228515625,228.07022094726562,18.899999618530273,27.353500080108642,-1.07381511140259
2022-03-30,147.8171844482422,226.07589721679688,19.329999923706055,26.78300008773804,-1.0923527325808309
2022-03-31,147.3067626953125,220.6286163330078,20.559999465942383,26.28700008392334,-1.1379482447025233
2022-04-01,149.40133666992188,223.0992431640625,19.6299991607666,25.669500064849853,-0.8960712089184572
2022-04-04,149.01405334472656,232.06884765625,18.56999969482422,24.77550001144409,-0.9667604503059953
2022-04-05,149.17250061035156,230.0347900390625,21.030000686645508,24.070499992370607,-0.9423453251833244
2022-04-06,151.71591186523438,221.56129455566406,22.100000381469727,23.55299997329712,-0.6170318000189158
