Date,KO,LOW,VIX,AvgVIX,zscore
2015-01-30,28.899126052856445,55.221248626708984,20.969999313354492,19.119499969482423,-0.35623873940061773
2015-02-02,29.193954467773438,55.7509651184082,19.43000030517578,19.201499938964844,-0.2853550671226042
2015-02-03,29.22203254699707,56.74519729614258,17.329999923706055,19.071999931335448,-0.3968196535092381
2015-02-04,29.25711441040039,57.592742919921875,18.329999923706055,18.932499885559082,-0.4866507232777826
2015-02-05,29.334327697753906,58.244712829589844,16.850000381469727,18.80949993133545,-0.5323736810295502
2015-02-06,29.09566307067871,58.595115661621094,17.290000915527344,18.823499965667725,-0.687355463768909
2015-02-09,28.94124412536621,57.82093811035156,18.549999237060547,18.873499965667726,-0.6622622083047918
2015-02-10,29.76251983642578,58.48107147216797,17.229999542236328,18.754999923706055,-0.36266802835181666
2015-02-11,29.74146270751953,58.21211242675781,16.959999084472656,18.57499990463257,-0.33878062549621735
2015-02-12,29.601070404052734,58.831485748291016,15.34000015258789,18.267999935150147,-0.4817097916136021
2015-02-13,29.474721908569336,58.71739196777344,14.6899995803833,17.88299994468689,-0.5262303862507285
2015-02-17,29.348365783691406,59.059669494628906,15.800000190734863,17.62549991607666,-0.6279180425226086
2015-02-18,29.29221534729004,59.10041809082031,15.449999809265137,17.403499937057497,-0.6591584860507135
2015-02-19,29.5589656829834,58.912967681884766,15.289999961853027,17.22549991607666,-0.5115144771604128
2015-02-20,29.46068572998047,59.94795608520508,14.300000190734863,17.12049994468689,-0.6869000798483352
2015-02-23,29.376455307006836,60.086524963378906,14.5600004196167,17.015499973297118,-0.7434635839602606
2015-02-24,29.5730037689209,60.83625411987305,13.6899995803833,16.9239999294281,-0.7458844384378387
2015-02-25,29.516830444335938,60.656982421875,13.84000015258789,16.754999971389772,-0.7495765455983343
2015-02-26,29.80463981628418,60.38802719116211,13.90999984741211,16.428499937057495,-0.5819211454092269
2015-02-27,30.39426612854004,60.3798828125,13.34000015258789,16.157499933242796,-0.3064469138457268
2015-03-02,30.324081420898438,61.19485092163086,13.039999961853027,15.760999965667725,-0.44119599749612437
2015-03-03,30.148584365844727,61.12967300415039,13.859999656677246,15.482499933242797,-0.5147208672595893
2015-03-04,29.83270835876465,60.32282638549805,14.229999542236328,15.327499914169312,-0.5606892158518285
2015-03-05,29.76251983642578,60.76293182373047,14.039999961853027,15.11299991607666,-0.6484860580226146
2015-03-06,29.144813537597656,59.90724563598633,15.199999809265137,15.03049988746643,-0.8288302512195592
2015-03-09,29.053556442260742,60.518455505371094,15.0600004196167,14.918999862670898,-0.9478658646439886
2015-03-10,28.562192916870117,59.54049301147461,16.690000534057617,14.825999927520751,-1.0540852173599096
2015-03-11,28.148046493530273,59.54863357543945,16.8700008392334,14.807999992370606,-1.2478781284811062
2015-03-12,28.714263916015625,61.072601318359375,15.420000076293945,14.73100004196167,-1.1752071905699903
2015-03-13,28.24713706970215,60.43693542480469,16.0,14.764000034332275,-1.3130199684692327
2015-03-16,28.516094207763672,61.4800910949707,15.609999656677246,14.810000038146972,-1.3184902685592523
2015-03-17,28.671796798706055,60.771026611328125,15.65999984741211,14.803000020980836,-1.1572001953888567
2015-03-18,28.735492706298828,60.730308532714844,13.970000267028809,14.729000043869018,-1.1224513745075348
2015-03-19,28.32499122619629,60.76293182373047,14.069999694824219,14.668000030517579,-1.3176142920804974
2015-03-20,28.770885467529297,61.30894088745117,13.020000457763672,14.604000043869018,-1.1784545731733307
2015-03-23,28.7496395111084,61.42301940917969,13.40999984741211,14.54650001525879,-1.2026330407742378
2015-03-24,28.64348030090332,61.6186408996582,13.619999885559082,14.543000030517579,-1.2765499800599143
2015-03-25,28.62933349609375,60.518455505371094,15.4399995803833,14.623000001907348,-1.145329448182848
2015-03-26,28.558547973632812,59.37751770019531,15.800000190734863,14.717500019073487,-1.0353681030883741
2015-03-27,28.367450714111328,60.037620544433594,15.069999694824219,14.803999996185302,-1.2070006091294827
2015-03-30,28.671796798706055,60.958526611328125,14.510000228881836,14.877500009536742,-1.1806858046315862
2015-03-31,28.700117111206055,60.62437438964844,15.289999961853027,14.949000024795533,-1.1256487481063195
2015-04-01,28.7921199798584,60.62437438964844,15.109999656677246,14.993000030517578,-1.0828240581547406
2015-04-02,28.7921199798584,60.9910774230957,14.670000076293945,15.024500036239624,-1.1287560269636265
2015-04-06,29.13892936706543,61.170387268066406,14.739999771118164,15.001500034332276,-0.9897859676210802
2015-04-07,29.02567481994629,60.396202087402344,14.779999732971191,14.9875,-0.9455309127873072
2015-04-08,28.94074249267578,60.966644287109375,13.979999542236328,14.851999950408935,-1.0565161095506166
2015-04-09,29.053993225097656,60.51029586791992,13.09000015258789,14.66299991607666,-0.9466405064898313
2015-04-10,28.933671951293945,61.040000915527344,12.579999923706055,14.520999908447266,-1.0689956438496664
2015-04-13,28.8062686920166,60.15170669555664,13.9399995803833,14.417999887466431,-1.0170334993897945
2015-04-14,28.671796798706055,60.290252685546875,13.670000076293945,14.320999908447266,-1.0969800964289016
2015-04-15,28.59393882751465,59.82572555541992,12.84000015258789,14.179999923706054,-1.0750356624703241
2015-04-16,28.735492706298828,60.37173843383789,12.600000381469727,14.111499929428101,-1.0775381092896625
2015-04-17,28.52317237854004,59.124881744384766,13.890000343322754,14.102499961853027,-1.0201901089575103
2015-04-20,28.7779598236084,59.37830352783203,13.300000190734863,14.116499948501588,-0.9333366258715006
2015-04-21,28.86289405822754,59.87700271606445,13.25,14.10849995613098,-0.9562675378915838
2015-04-22,29.238014221191406,59.73801040649414,12.710000038146973,14.062999963760376,-0.7642501863477104
2015-04-23,28.98322105407715,59.9832878112793,12.479999542236328,13.914999961853027,-0.9135716889588538
2015-04-24,28.94074249267578,59.81160354614258,12.289999961853027,13.739499950408936,-0.9118396535411276
2015-04-27,28.898283004760742,58.732460021972656,13.119999885559082,13.641999959945679,-0.7964334943034088
2015-04-28,28.85580825805664,58.650691986083984,12.40999984741211,13.536999940872192,-0.805962282852189
2015-04-29,28.657642364501953,57.5878791809082,13.390000343322754,13.44199995994568,-0.7650785083859405
2015-04-30,28.707176208496094,56.296146392822266,14.550000190734863,13.413999986648559,-0.5802238935748711
2015-05-01,28.95490837097168,57.80044174194336,12.699999809265137,13.315499973297118,-0.653334589807476
2015-05-04,28.99030113220215,58.25008010864258,12.850000381469727,13.221000003814698,-0.6931804423522007
2015-05-05,28.84166145324707,57.579708099365234,14.3100004196167,13.197500038146973,-0.6783994320207174
2015-05-06,28.7779598236084,57.8576545715332,15.149999618530273,13.25600004196167,-0.7428653342288396
2015-05-07,28.8062686920166,59.100337982177734,15.130000114440918,13.358000040054321,-0.885342647270069
2015-05-08,29.00444221496582,59.893367767333984,12.859999656677246,13.372000026702882,-0.8924307713338565
2015-05-11,28.97614288330078,59.86064910888672,13.850000381469727,13.367500066757202,-0.9015050691733323
2015-05-12,28.799192428588867,60.228553771972656,13.859999656677246,13.377000045776366,-1.0299528987247557
2015-05-13,29.053993225097656,59.77072525024414,13.760000228881836,13.423000049591064,-0.8540044183077626
2015-05-14,29.372501373291016,59.07582092285156,12.739999771118164,13.430000019073486,-0.6187066922508164
2015-05-15,29.386640548706055,59.75436782836914,12.380000114440918,13.354500007629394,-0.6971177791840046
2015-05-18,29.245075225830078,59.7298583984375,12.729999542236328,13.325999975204468,-0.7599423990463982
2015-05-19,29.238014221191406,58.72427749633789,12.850000381469727,13.305999994277954,-0.6372734663241112
2015-05-20,29.266319274902344,56.00183868408203,12.880000114440918,13.314499998092652,-0.2830948956548194
2015-05-21,29.181385040283203,56.18171691894531,12.109999656677246,13.296000003814697,-0.34516027270014615
2015-05-22,29.167238235473633,56.85209274291992,12.130000114440918,13.288000011444092,-0.43571418835601866
2015-05-26,29.01152801513672,56.884796142578125,14.0600004196167,13.335000038146973,-0.5122891347878193
2015-05-27,29.10353660583496,57.81678009033203,13.270000457763672,13.378000068664551,-0.5861989057481091
2015-05-28,29.117698669433594,57.596038818359375,13.3100004196167,13.374000072479248,-0.5519575749798596
2015-05-29,28.99030113220215,57.21181869506836,13.84000015258789,13.3385000705719,-0.5631313658134904
2015-06-01,28.97614288330078,57.34261703491211,13.970000267028809,13.402000093460083,-0.5861049766398498
2015-06-02,29.01152801513672,57.35078048706055,14.239999771118164,13.471500062942505,-0.5706567413357857
2015-06-03,28.926589965820312,57.75956344604492,13.65999984741211,13.439000034332276,-0.6613957175037919
2015-06-04,28.728422164916992,57.34261703491211,14.710000038146973,13.41700005531311,-0.7014118482055106
2015-06-05,28.381610870361328,57.05649185180664,14.210000038146973,13.371000051498413,-0.8270034711369995
2015-06-08,28.424076080322266,56.14900588989258,15.289999961853027,13.492500066757202,-0.6935685465521974
2015-06-09,28.452381134033203,56.0263786315918,14.470000267028809,13.523500061035156,-0.6650334866078277
2015-06-10,28.54439926147461,56.54961395263672,13.220000267028809,13.491500091552734,-0.6877403623529784
2015-06-11,28.61575698852539,56.443336486816406,12.850000381469727,13.446000099182129,-0.6412134400174833
