Date,AVGO,NEE,VIX,AvgVIX,zscore
2020-01-30,27.060230255126953,57.78909683227539,15.489999771118164,13.696000051498412,-0.5231657003587205
2020-01-31,26.198280334472656,57.41872787475586,18.84000015258789,14.014500045776368,-0.7786702210408614
2020-02-03,26.20429039001465,57.12114334106445,17.969999313354492,14.211999988555908,-0.6788364408046599
2020-02-04,26.751161575317383,56.635162353515625,16.049999237060547,14.32199993133545,-0.28121993452253985
2020-02-05,27.24738121032715,57.0997428894043,15.149999618530273,14.389999914169312,-0.21623685615401755
2020-02-06,27.445695877075195,57.44655990600586,14.960000038146973,14.465499925613404,-0.2429064039666513
2020-02-07,27.06279945373535,57.70561981201172,15.470000267028809,14.611999940872192,-0.49477498750814425
2020-02-10,26.974374771118164,58.17660140991211,15.039999961853027,14.735999917984008,-0.6872481491278819
2020-02-11,27.486047744750977,58.26436996459961,15.180000305175781,14.878999948501587,-0.4924262252901839
2020-02-12,27.875810623168945,57.85974884033203,13.739999771118164,14.946499919891357,-0.19000957988160977
2020-02-13,27.813138961791992,58.97515106201172,14.149999618530273,15.032999897003174,-0.5817399371927244
2020-02-14,27.280866622924805,59.628135681152344,13.680000305175781,15.100999927520752,-1.0275330890664016
2020-02-18,26.67818832397461,60.3817253112793,14.829999923706055,15.237499904632568,-1.5369422091117766
2020-02-19,27.10228729248047,58.80388259887695,14.380000114440918,15.313999891281128,-0.8362846111668981
2020-02-20,26.548553466796875,59.309139251708984,15.5600004196167,15.446499919891357,-1.2431952017280974
2020-02-21,26.14162254333496,59.42902755737305,17.079999923706055,15.651499938964843,-1.4601000976447003
2020-02-24,25.034141540527344,58.64759826660156,25.030000686645508,16.174999952316284,-1.6885729491407313
2020-02-25,24.268354415893555,57.87474060058594,27.850000381469727,16.655999994277956,-1.7705982158917926
2020-02-26,24.54307746887207,57.690616607666016,27.559999465942383,17.219999933242796,-1.590456888094725
2020-02-27,23.51888084411621,55.060794830322266,39.15999984741211,18.35849995613098,-1.1787581465065646
2020-02-28,23.40468978881836,54.39579391479492,40.11000061035156,19.589499998092652,-1.0114068330463515
2020-03-02,24.464942932128906,57.75088119506836,33.41999816894531,20.318499898910524,-1.6442710391413897
2020-03-03,23.544626235961914,57.062217712402344,36.81999969482422,21.26099991798401,-1.8212956637734905
2020-03-04,24.506160736083984,60.735809326171875,31.989999771118164,22.05799994468689,-2.6013212344180703
2020-03-05,23.52659797668457,59.431636810302734,39.619998931884766,23.281499910354615,-2.6031622333439866
2020-03-06,23.132543563842773,58.497657775878906,41.939998626708984,24.630499839782715,-2.470187589093373
2020-03-09,21.267000198364258,56.22936248779297,54.459999084472656,26.57999978065491,-2.544074387172185
2020-03-10,22.570220947265625,55.03495788574219,47.29999923706055,28.192999744415282,-1.5846809727388342
2020-03-11,21.116764068603516,51.92091369628906,53.900001525878906,30.12899980545044,-1.202302099593816
2020-03-12,18.782480239868164,44.954647064208984,75.47000122070312,33.21549987792969,0.05370575211315481
2020-03-13,20.108016967773438,47.68132781982422,57.83000183105469,35.39949998855591,-0.2580112833476609
2020-03-16,16.10392951965332,43.3362922668457,82.69000244140625,38.850000095367434,-0.5876013255623906
2020-03-17,17.12812614440918,47.724369049072266,75.91000366210938,41.9040002822876,-1.5736498738354692
2020-03-18,14.411802291870117,45.33126449584961,76.44999694824219,45.007500123977664,-1.9783768061245264
2020-03-19,16.69371795654297,44.56943130493164,72.0,47.829500102996825,-0.7328051180746727
2020-03-20,16.78277015686035,41.26599884033203,66.04000091552734,50.27750015258789,0.3851876789474714
2020-03-23,16.89191436767578,39.09455490112305,61.59000015258789,52.10550012588501,1.142182183049652
2020-03-24,18.576128005981445,44.4467658996582,61.66999816894531,53.796500015258786,0.12947764395150246
2020-03-25,18.994342803955078,45.25163269042969,63.95000076293945,55.61600008010864,0.04923162697635333
2020-03-26,21.231233596801758,49.734405517578125,61.0,56.708000087738036,-0.4380606946370857
2020-03-27,20.141605377197266,49.917335510253906,65.54000091552734,57.97950010299682,-0.97375230621878
2020-03-30,20.964067459106445,52.94314193725586,57.08000183105469,59.16250028610229,-1.6029181019885097
2020-03-31,20.70125961303711,51.78317642211914,53.540000915527344,59.99850034713745,-1.3387960942756514
2020-04-01,19.525192260742188,46.964683532714844,57.060001373291016,61.252000427246095,-0.2784834757934506
2020-04-02,20.69776725769043,48.733699798583984,50.90999984741211,61.81650047302246,-0.34418255268232617
2020-04-03,20.45330047607422,47.69853973388672,46.79999923706055,62.059500503540036,-0.1128182215584936
2020-04-06,22.040599822998047,50.4682502746582,45.2400016784668,61.598500633239745,-0.3242567076259991
2020-04-07,22.113067626953125,49.17272186279297,46.70000076293945,61.568500709533694,0.13059232102837248
2020-04-08,22.796709060668945,50.25090026855469,43.349998474121094,61.041000556945804,0.07700161951749218
2020-04-09,22.202999114990234,52.786048889160156,41.66999816894531,59.35100040435791,-1.010452499874578
2020-04-13,22.693681716918945,50.834110260009766,41.16999816894531,58.51800022125244,-0.15851021444968644
2020-04-14,23.36684799194336,52.16194152832031,37.7599983215332,56.27150001525879,-0.29822768566741925
2020-04-15,22.477149963378906,51.051475524902344,40.84000015258789,54.51799983978272,-0.3240928758322998
2020-04-16,22.551368713378906,51.107425689697266,40.11000061035156,52.70100002288818,-0.30995168487316177
2020-04-17,23.21404457092285,52.996944427490234,38.150001525878906,51.00850009918213,-0.6377315006569254
2020-04-20,22.550493240356445,51.135406494140625,43.83000183105469,49.898000144958495,-0.3194742618252299
2020-04-21,21.62238311767578,50.66410446166992,45.40999984741211,49.089000129699706,-0.570906029126615
2020-04-22,22.698047637939453,53.19279098510742,41.97999954223633,48.104500198364256,-0.927087502045444
2020-04-23,22.607242584228516,51.895084381103516,41.380001068115234,46.976000213623045,-0.5428424754809529
2020-04-24,23.120628356933594,51.58518600463867,35.93000030517578,45.722500228881835,-0.21737094389684736
2020-04-27,23.438438415527344,52.424503326416016,33.290000915527344,44.11000022888184,-0.3527260623533794
2020-04-28,23.1136417388916,51.49910354614258,33.56999969482422,42.93450012207031,-0.1923030015975825
2020-04-29,24.099374771118164,50.6016845703125,31.229999542236328,41.81900005340576,0.5314027511581481
2020-04-30,23.7152099609375,49.73870086669922,34.150001525878906,40.673500061035156,0.6455057861482226
