Date,CVX,HD,VIX,AvgVIX,zscore
2020-01-30,84.41715240478516,200.0087127685547,15.489999771118164,13.696000051498412,2.3993349293260304
2020-01-31,81.18899536132812,195.97914123535156,18.84000015258789,14.014500045776368,2.0772749604637806
2020-02-03,80.53730010986328,198.93467712402344,17.969999313354492,14.211999988555908,1.9174301944930605
2020-02-04,80.96923065185547,201.907470703125,16.049999237060547,14.32199993133545,1.8992923900554006
2020-02-05,83.56842803955078,204.5795135498047,15.149999618530273,14.389999914169312,2.173005741444053
2020-02-06,82.96977996826172,205.20672607421875,14.960000038146973,14.465499925613404,2.0786994405409147
2020-02-07,82.55301666259766,203.8835906982422,15.470000267028809,14.611999940872192,2.0573216742599403
2020-02-10,83.19711303710938,206.7274627685547,15.039999961853027,14.735999917984008,2.070257687563339
2020-02-11,84.27317810058594,207.61245727539062,15.180000305175781,14.878999948501587,2.1891408022168486
2020-02-12,84.90213012695312,207.56947326660156,13.739999771118164,14.946499919891357,2.272723050272
2020-02-13,84.61418151855469,208.23109436035156,14.149999618530273,15.032999897003174,2.218306048706244
2020-02-14,84.39186096191406,210.5250701904297,13.680000305175781,15.100999927520752,2.131427865062664
2020-02-18,84.5145034790039,209.5885772705078,14.829999923706055,15.237499904632568,2.1710770891935356
2020-02-19,84.8978271484375,209.3307647705078,14.380000114440918,15.313999891281128,2.2278448636608164
2020-02-20,84.18485260009766,212.23483276367188,15.5600004196167,15.446499919891357,2.061256903518547
2020-02-21,83.5715560913086,210.79141235351562,17.079999923706055,15.651499938964843,2.0171258687824984
2020-02-24,80.27498626708984,205.94561767578125,25.030000686645508,16.174999952316284,1.7066280894068102
2020-02-25,77.20842742919922,203.9523468017578,27.850000381469727,16.655999994277956,1.354532315593324
2020-02-26,75.1614990234375,202.14805603027344,27.559999465942383,17.219999933242796,1.1314286126193691
2020-02-27,72.16390991210938,193.08367919921875,39.15999984741211,18.35849995613098,0.9662873953987953
2020-02-28,71.55827331542969,187.16390991210938,40.11000061035156,19.589499998092652,1.0357852061640154
2020-03-02,74.04985046386719,197.56004333496094,33.41999816894531,20.318499898910524,1.1010451750423256
2020-03-03,72.3632583618164,195.84164428710938,36.81999969482422,21.26099991798401,0.923046419581504
2020-03-04,75.5371322631836,207.13128662109375,31.989999771118164,22.05799994468689,1.0553239784878732
2020-03-05,74.50984191894531,201.74420166015625,39.619998931884766,23.281499910354615,1.05611046634928
2020-03-06,73.07621765136719,196.33140563964844,41.939998626708984,24.630499839782715,1.0042442814729198
2020-03-09,61.84494400024414,180.8231658935547,54.459999084472656,26.57999978065491,-0.07879792049714233
2020-03-10,65.1491470336914,193.91708374023438,47.29999923706055,28.192999744415282,0.02517992062040869
2020-03-11,63.65420150756836,184.134765625,53.900001525878906,30.12899980545044,0.07520645452124604
2020-03-12,58.46405029296875,164.84681701660156,75.47000122070312,33.21549987792969,-0.1203140034689469
2020-03-13,63.953208923339844,177.8899688720703,57.83000183105469,35.39949998855591,0.27154569083180075
2020-03-16,53.43488693237305,142.6787109375,82.69000244140625,38.850000095367434,-0.22225318183975792
2020-03-17,54.1938591003418,150.18630981445312,75.91000366210938,41.9040002822876,-0.31158717602508557
2020-03-18,42.203590393066406,134.60888671875,76.44999694824219,45.007500123977664,-1.4924474969813608
2020-03-19,43.99753189086914,139.3660125732422,72.0,47.829500102996825,-1.376821311293876
2020-03-20,45.53082275390625,131.5989532470703,66.04000091552734,50.27750015258789,-0.9802790404547591
