Date,BAC,CVX,VIX,AvgVIX,zscore
2022-01-31,41.44382095336914,110.67057800292969,24.829999923706055,23.18100004196167,1.8402042751349519
2022-02-01,42.162391662597656,113.58629608154297,21.959999084472656,23.448999977111818,1.8255046024486887
2022-02-02,42.11748123168945,114.1087646484375,22.09000015258789,23.707999992370606,1.7998630329399854
2022-02-03,41.704307556152344,113.08910369873047,24.350000381469727,23.939000034332274,1.7835581048187812
2022-02-04,43.366004943847656,114.50482177734375,23.219999313354492,24.119499969482423,1.950336714156197
2022-02-07,43.57260513305664,116.75479125976562,22.860000610351562,24.324499988555907,1.8929047325671982
2022-02-08,44.35404968261719,114.97674560546875,21.440000534057617,24.426500034332275,2.063443389188006
2022-02-09,44.26422882080078,116.11436462402344,19.959999084472656,24.503999996185303,2.00866704994921
2022-02-10,44.05763626098633,114.63965606689453,23.90999984741211,24.818499946594237,2.036880290820169
2022-02-11,43.04263687133789,116.97391510009766,27.360000610351562,25.171000003814697,1.8144370969269588
2022-02-14,42.59354019165039,115.17053985595703,28.329999923706055,25.62799997329712,1.8229115438053716
2022-02-15,42.92588424682617,114.3275375366211,25.700000762939453,25.773499965667725,1.8987125552243183
2022-02-16,42.82707977294922,114.3615951538086,24.290000915527344,25.795499992370605,1.8843395577015676
2022-02-17,41.38093185424805,113.7740249633789,28.110000610351562,25.92150001525879,1.714903306450228
2022-02-18,41.282127380371094,113.61225128173828,27.75,25.866499996185304,1.7079112328065265
2022-02-22,40.9228515625,112.74365997314453,28.809999465942383,25.811999988555907,1.6930527047207764
2022-02-23,40.22224044799805,115.42603302001953,31.020000457763672,25.805000019073486,1.499138355988942
2022-02-24,39.16234588623047,114.82994842529297,30.31999969482422,25.723000049591064,1.3811928501687376
2022-02-25,40.43781661987305,119.5389404296875,27.59000015258789,25.57800006866455,1.3726809569603398
2022-02-28,39.70127868652344,122.62151336669922,30.149999618530273,25.70250005722046,1.1589234969684807
2022-03-01,38.147361755371094,127.4923095703125,33.31999969482422,26.127000045776366,0.7694832821237593
2022-03-02,38.76712417602539,131.25611877441406,30.739999771118164,26.566000080108644,0.7097290080993981
2022-03-03,38.351924896240234,133.02732849121094,30.479999542236328,26.985500049591064,0.5879672160156569
2022-03-04,36.96189498901367,135.09654235839844,31.979999542236328,27.367000007629393,0.3258305683226201
2022-03-07,34.60609436035156,137.98326110839844,36.45000076293945,28.028500080108643,-0.0950607969222804
2022-03-08,34.831748962402344,145.21282958984375,35.130001068115234,28.642000102996825,-0.33765065967640223
