Date,SHEL,ADI,VIX,AvgVIX,zscore
2020-01-30,42.153472900390625,100.57748413085938,15.489999771118164,13.696000051498412,2.3212042881255353
2020-01-31,40.83030319213867,98.23245239257812,18.84000015258789,14.014500045776368,2.2453345585122593
2020-02-03,40.117835998535156,98.45620727539062,17.969999313354492,14.211999988555908,2.1329854704887556
2020-02-04,40.438838958740234,100.65803527832031,16.049999237060547,14.32199993133545,2.072849809369119
2020-02-05,41.4566535949707,104.43518829345703,15.149999618530273,14.389999914169312,2.0362971004182437
2020-02-06,40.82247543334961,103.63859558105469,14.960000038146973,14.465499925613404,1.9841884829698286
2020-02-07,40.5484504699707,100.48798370361328,15.470000267028809,14.611999940872192,2.096658007731516
2020-02-10,40.23527145385742,101.0518798828125,15.039999961853027,14.735999917984008,2.024880736181703
2020-02-11,40.70502853393555,104.61419677734375,15.180000305175781,14.878999948501587,1.9205169674137303
2020-02-12,41.221771240234375,106.34166717529297,13.739999771118164,14.946499919891357,1.911106856189199
2020-02-13,40.64780044555664,106.40431213378906,14.149999618530273,15.032999897003174,1.8262544166543337
2020-02-14,40.24923324584961,105.30339050292969,13.680000305175781,15.100999927520752,1.8223781565089625
2020-02-18,40.02602005004883,106.12686157226562,14.829999923706055,15.237499904632568,1.7509433206394134
2020-02-19,40.03398513793945,110.88856506347656,14.380000114440918,15.313999891281128,1.5230459491169526
2020-02-20,39.55568313598633,111.47930908203125,15.5600004196167,15.446499919891357,1.4264333621681202
2020-02-21,39.196956634521484,109.87713623046875,17.079999923706055,15.651499938964843,1.4523474352132717
2020-02-24,37.690303802490234,105.04383850097656,25.030000686645508,16.174999952316284,1.4699989243517888
2020-02-25,36.5901985168457,102.6271743774414,27.850000381469727,16.655999994277956,1.429380145967984
2020-02-26,36.47063064575195,102.78828430175781,27.559999465942383,17.219999933242796,1.4045824102536875
2020-02-27,35.027740478515625,96.93885803222656,39.15999984741211,18.35849995613098,1.4802002043852378
2020-02-28,35.0994987487793,98.13572692871094,40.11000061035156,19.589499998092652,1.432863644210138
2020-03-02,35.73723602294922,100.13352966308594,33.41999816894531,20.318499898910524,1.427702761837377
2020-03-03,35.0436897277832,96.47087860107422,36.81999969482422,21.26099991798401,1.5049836506155705
2020-03-04,36.111907958984375,101.20442962646484,31.989999771118164,22.05799994468689,1.4296159416680405
2020-03-05,34.8603401184082,97.97373962402344,39.619998931884766,23.281499910354615,1.4065547782271253
2020-03-06,33.37759780883789,96.29090118408203,41.939998626708984,24.630499839782715,1.276081664560978
2020-03-09,27.645931243896484,87.75069427490234,54.459999084472656,26.57999978065491,0.8696106487178724
2020-03-10,29.463478088378906,92.18727111816406,47.29999923706055,28.192999744415282,0.9153696646092421
2020-03-11,27.494474411010742,84.96099090576172,53.900001525878906,30.12899980545044,0.982197146565321
2020-03-12,23.381057739257812,81.0013427734375,75.47000122070312,33.21549987792969,0.5861431267156316
2020-03-13,23.978939056396484,89.80252838134766,57.83000183105469,35.39949998855591,0.24806364729811678
2020-03-16,20.18440055847168,74.8819351196289,82.69000244140625,38.850000095367434,0.4246869328692243
2020-03-17,20.45543670654297,85.88789367675781,75.91000366210938,41.9040002822876,-0.06604289305234583
2020-03-18,17.234861373901367,74.00000762939453,76.44999694824219,45.007500123977664,0.04654846989236768
2020-03-19,19.164026260375977,81.28032684326172,72.0,47.829500102996825,-0.0285586228523611
2020-03-20,19.99308204650879,76.56478118896484,66.04000091552734,50.27750015258789,0.31646472260504965
2020-03-23,21.388134002685547,76.63677215576172,61.59000015258789,52.10550012588501,0.5119146761595665
2020-03-24,25.597200393676758,84.34905242919922,61.66999816894531,53.796500015258786,0.7411090850958248
2020-03-25,27.374893188476562,84.91598510742188,63.95000076293945,55.61600008010864,0.967311462637833
2020-03-26,27.845226287841797,83.35011291503906,61.0,56.708000087738036,1.109690476429867
2020-03-27,25.22252655029297,79.79547882080078,65.54000091552734,57.97950010299682,0.9067086743871802
2020-03-30,26.657445907592773,81.86527252197266,57.08000183105469,59.16250028610229,1.0117508287415993
