Date,AMD,GILD,VIX,AvgVIX,zscore
2020-01-30,48.779998779296875,50.49644088745117,15.489999771118164,13.696000051498412,-1.6008539198234262
2020-01-31,47.0,49.841880798339844,18.84000015258789,14.014500045776368,-1.6658455951013276
2020-02-03,48.02000045776367,52.33396530151367,17.969999313354492,14.211999988555908,-1.6541214070358625
2020-02-04,49.45000076293945,53.15415954589844,16.049999237060547,14.32199993133545,-1.6054569084781682
2020-02-05,49.84000015258789,51.947547912597656,15.149999618530273,14.389999914169312,-1.5749439746622382
2020-02-06,49.31999969482422,53.7929573059082,14.960000038146973,14.465499925613404,-1.6184798375511178
2020-02-07,49.72999954223633,54.313453674316406,15.470000267028809,14.611999940872192,-1.6079665222310036
2020-02-10,52.2599983215332,54.40808868408203,15.039999961853027,14.735999917984008,-1.5055169022481567
2020-02-11,53.79999923706055,53.43805694580078,15.180000305175781,14.878999948501587,-1.4307690914522648
2020-02-12,53.88999938964844,52.79926681518555,13.739999771118164,14.946499919891357,-1.4193840846986028
2020-02-13,54.529998779296875,52.68098068237305,14.149999618530273,15.032999897003174,-1.3917536045401457
2020-02-14,55.310001373291016,53.280338287353516,13.680000305175781,15.100999927520752,-1.3670411848776396
2020-02-18,56.88999938964844,52.84658432006836,14.829999923706055,15.237499904632568,-1.297119984041872
2020-02-19,58.900001525878906,53.11473083496094,14.380000114440918,15.313999891281128,-1.2180530389542104
2020-02-20,57.27000045776367,52.83869934082031,15.5600004196167,15.446499919891357,-1.2814658626362572
2020-02-21,53.279998779296875,54.968013763427734,17.079999923706055,15.651499938964843,-1.4705024937754734
2020-02-24,49.119998931884766,57.491668701171875,25.030000686645508,16.174999952316284,-1.6712530442259963
2020-02-25,47.56999969482422,55.283470153808594,27.850000381469727,16.655999994277956,-1.708099894826855
2020-02-26,47.4900016784668,58.91119384765625,27.559999465942383,17.219999933242796,-1.7551039257608478
2020-02-27,44.0099983215332,57.30239486694336,39.15999984741211,18.35849995613098,-1.8781996042487894
2020-02-28,45.47999954223633,54.69989013671875,40.11000061035156,19.589499998092652,-1.786640113777625
2020-03-02,47.459999084472656,59.4632453918457,33.41999816894531,20.318499898910524,-1.7629867975685907
2020-03-03,46.75,58.5247688293457,36.81999969482422,21.26099991798401,-1.780745201240767
2020-03-04,50.11000061035156,59.944339752197266,31.989999771118164,22.05799994468689,-1.6602820616757232
2020-03-05,48.11000061035156,60.038936614990234,39.619998931884766,23.281499910354615,-1.7433119742548346
2020-03-06,48.59000015258789,63.26448440551758,41.939998626708984,24.630499839782715,-1.7625391827492245
2020-03-09,43.27000045776367,57.98060989379883,54.459999084472656,26.57999978065491,-1.9166738785032627
2020-03-10,45.380001068115234,57.050018310546875,47.29999923706055,28.192999744415282,-1.8190629428563925
2020-03-11,45.70000076293945,58.12257766723633,53.900001525878906,30.12899980545044,-1.8188892266308536
2020-03-12,39.0099983215332,54.58842849731445,75.47000122070312,33.21549987792969,-2.0502096033397432
2020-03-13,43.900001525878906,56.315696716308594,57.83000183105469,35.39949998855591,-1.8708097588846007
2020-03-16,38.709999084472656,54.843143463134766,82.69000244140625,38.850000095367434,-2.065563348952696
2020-03-17,41.880001068115234,59.3165397644043,75.91000366210938,41.9040002822876,-1.9896904341059123
2020-03-18,39.119998931884766,63.21685791015625,76.44999694824219,45.007500123977664,-2.149712605313377
2020-03-19,39.81999969482422,62.524356842041016,72.0,47.829500102996825,-2.112703801496688
2020-03-20,39.61000061035156,58.313602447509766,66.04000091552734,50.27750015258789,-2.0705458069254092
2020-03-23,41.63999938964844,57.796226501464844,61.59000015258789,52.10550012588501,-1.9811914270152882
2020-03-24,46.220001220703125,58.87078857421875,61.66999816894531,53.796500015258786,-1.8066168235276985
2020-03-25,44.630001068115234,55.44807052612305,63.95000076293945,55.61600008010864,-1.8304617048310552
2020-03-26,47.5,58.791194915771484,61.0,56.708000087738036,-1.7532480809622282
2020-03-27,46.58000183105469,57.98725891113281,65.54000091552734,57.97950010299682,-1.7812266095534346
2020-03-30,47.86000061035156,60.43889236450195,57.08000183105469,59.16250028610229,-1.7583692402255457
2020-03-31,45.47999954223633,59.50758361816406,53.540000915527344,59.99850034713745,-1.8445919781281148
2020-04-01,43.65999984741211,57.71662139892578,57.060001373291016,61.252000427246095,-1.8975233097096917
2020-04-02,44.4900016784668,61.274654388427734,50.90999984741211,61.81650047302246,-1.9064275084374054
2020-04-03,42.59000015258789,62.25370407104492,46.79999923706055,62.059500503540036,-1.996024182205567
2020-04-06,47.52000045776367,61.87165451049805,45.2400016784668,61.598500633239745,-1.7895609790462208
2020-04-07,47.560001373291016,59.435943603515625,46.70000076293945,61.568500709533694,-1.7585631263391948
2020-04-08,48.790000915527344,59.69065475463867,43.349998474121094,61.041000556945804,-1.711271298728207
2020-04-09,48.380001068115234,58.512611389160156,41.66999816894531,59.35100040435791,-1.7138585525127106
2020-04-13,50.939998626708984,59.92148971557617,41.16999816894531,58.51800022125244,-1.6260225068775505
2020-04-14,54.93000030517578,61.8875617980957,37.7599983215332,56.27150001525879,-1.4863516025934072
2020-04-15,54.9900016784668,59.404090881347656,40.84000015258789,54.51799983978272,-1.45395913627527
2020-04-16,56.95000076293945,60.92443084716797,40.11000061035156,52.70100002288818,-1.3920334781037884
2020-04-17,56.599998474121094,66.85449981689453,38.150001525878906,51.00850009918213,-1.4778452208924084
2020-04-20,56.970001220703125,64.68145751953125,43.83000183105469,49.898000144958495,-1.4365017054862332
2020-04-21,52.91999816894531,62.50843048095703,45.40999984741211,49.089000129699706,-1.5761347233991325
2020-04-22,55.91999816894531,64.72126770019531,41.97999954223633,48.104500198364256,-1.4799737645543691
2020-04-23,55.900001525878906,61.91143798828125,41.380001068115234,46.976000213623045,-1.4469228787835007
2020-04-24,56.18000030517578,63.39197540283203,35.93000030517578,45.722500228881835,-1.453304754237986
2020-04-27,56.4900016784668,63.59894943237305,33.290000915527344,44.11000022888184,-1.443106665092133
2020-04-28,55.5099983215332,62.619873046875,33.56999969482422,42.93450012207031,-1.4714309559113548
2020-04-29,53.65999984741211,66.17790222167969,31.229999542236328,41.81900005340576,-1.59006724334686
2020-04-30,52.38999938964844,66.86244201660156,34.150001525878906,40.673500061035156,-1.6503186179790217
2020-05-01,49.880001068115234,63.63871765136719,37.189998626708984,39.9875,-1.7142313271243363
2020-05-04,52.560001373291016,63.87751388549805,35.970001220703125,39.44600009918213,-1.6073776386207896
2020-05-05,52.189998626708984,62.99397277832031,33.61000061035156,38.86450004577637,-1.6118771440002129
2020-05-06,52.15999984741211,61.66469955444336,34.119998931884766,38.235499954223634,-1.5970823993786396
2020-05-07,51.95000076293945,61.77610778808594,31.440000534057617,37.64000005722046,-1.607023687612176
2020-05-08,53.189998626708984,61.68062210083008,27.979999542236328,36.95550012588501,-1.5551012131270197
2020-05-11,55.7400016784668,64.31529998779297,27.56999969482422,36.275500202178954,-1.4824501601145854
2020-05-12,53.7599983215332,62.0467529296875,33.040000915527344,36.03950033187866,-1.5361760127063997
2020-05-13,52.18000030517578,61.338348388671875,35.279998779296875,35.76150026321411,-1.592329652195909
2020-05-14,54.5099983215332,61.473670959472656,32.61000061035156,35.38650026321411,-1.498559475038349
2020-05-15,54.20000076293945,60.70154571533203,31.889999389648438,35.07350015640259,-1.5019450838178616
2020-05-18,54.59000015258789,59.50758361816406,29.299999237060547,34.34700002670288,-1.4715846273187358
2020-05-19,55.470001220703125,57.581298828125,30.530000686645508,33.60300006866455,-1.412333732815659
2020-05-20,56.38999938964844,58.81508255004883,27.989999771118164,32.90350008010864,-1.3895365820929908
2020-05-21,54.650001525878906,58.50465393066406,29.530000686645508,32.31100006103516,-1.4570385825359613
2020-05-22,55.16999816894531,58.37728500366211,28.15999984741211,31.92250003814697,-1.4342121095780669
2020-05-26,53.189998626708984,58.24993896484375,28.010000228881836,31.658500003814698,-1.5137478106080173
2020-05-27,52.7400016784668,59.6190299987793,27.6200008392334,31.361000061035156,-1.5486758579962645
2020-05-28,51.7400016784668,59.95332717895508,28.59000015258789,31.229000091552734,-1.593650292853289
2020-05-29,53.79999923706055,61.95124053955078,27.510000228881836,30.89700002670288,-1.5333868774487833
2020-06-01,53.630001068115234,59.825984954833984,28.229999542236328,30.449000072479247,-1.5147296235644068
2020-06-02,53.540000915527344,58.313602447509766,26.84000015258789,29.992500019073486,-1.5001844279477474
2020-06-03,52.72999954223633,59.221031188964844,25.65999984741211,29.594999980926513,-1.5442879220603336
2020-06-04,52.630001068115234,61.72040939331055,25.809999465942383,29.179500007629393,-1.5785098087446332
2020-06-05,53.099998474121094,61.09157180786133,24.520000457763672,28.8335000038147,-1.5516858500263628
2020-06-08,52.970001220703125,61.266700744628906,25.809999465942383,28.725,-1.5591195659401276
2020-06-09,56.38999938964844,61.76020050048828,27.56999969482422,28.725,-1.4250369892255919
2020-06-10,57.439998626708984,61.34629440307617,27.56999969482422,28.451499938964844,-1.3770557398396075
2020-06-11,52.83000183105469,58.49542236328125,40.790000915527344,28.727000045776368,-1.5314468683875926
2020-06-12,53.5,58.78451919555664,36.09000015258789,28.901000022888184,-1.507498681645246
2020-06-15,54.68000030517578,59.402870178222656,34.400001525878906,29.026500129699706,-1.4666373728989401
2020-06-16,54.459999084472656,59.924861907958984,33.66999816894531,29.245000076293945,-1.4819373640555003
2020-06-17,54.54999923706055,59.234222412109375,33.470001220703125,29.392000102996825,-1.469927365839234
2020-06-18,54.040000915527344,59.45909118652344,32.939998626708984,29.639500045776366,-1.493519720987314
2020-06-19,54.22999954223633,62.21361541748047,35.119998931884766,29.91899995803833,-1.5189432544176966
2020-06-22,54.7599983215332,60.768089294433594,31.770000457763672,30.09949998855591,-1.4798181989145383
2020-06-23,53.9900016784668,60.27019119262695,31.3700008392334,30.267500019073488,-1.5053439180135624
2020-06-24,52.38999938964844,60.976898193359375,33.84000015258789,30.57849998474121,-1.579374361946531
2020-06-25,51.93000030517578,60.6235466003418,32.220001220703125,30.760000038146973,-1.5939496477029318
2020-06-26,50.099998474121094,59.88471984863281,34.72999954223633,31.121000003814697,-1.6599729399465941
2020-06-29,50.279998779296875,59.876670837402344,31.780000686645508,31.298500061035156,-1.6525058368832595
2020-06-30,52.61000061035156,61.78799819946289,30.43000030517578,31.47800006866455,-1.5801434383668258
2020-07-01,52.58000183105469,61.08128356933594,28.6200008392334,31.626000118255615,-1.5728530055975933
2020-07-02,52.34000015258789,61.31416702270508,27.68000030517578,31.719500160217287,-1.5854870051504573
2020-07-06,53.400001525878906,61.6434211730957,27.940000534057617,31.890500164031984,-1.54605426244197
2020-07-07,52.93000030517578,61.370399475097656,29.43000030517578,32.07150020599365,-1.562007379220018
2020-07-08,53.43000030517578,60.71990966796875,28.079999923706055,32.097000217437746,-1.5336939740877633
2020-07-09,57.2599983215332,59.99714660644531,29.260000228881836,32.18150024414062,-1.368163213153324
2020-07-10,55.880001068115234,61.29008865356445,27.290000915527344,31.506500244140625,-1.4402520584985572
2020-07-13,53.59000015258789,61.57918930053711,32.189998626708984,31.31150016784668,-1.537500552527183
2020-07-14,54.720001220703125,61.988746643066406,29.520000457763672,31.067500114440918,-1.4961696582548583
2020-07-15,55.34000015258789,61.555091857910156,27.760000228881836,30.772000217437743,-1.4655566443187378
2020-07-16,54.91999816894531,61.54704666137695,28.0,30.49850015640259,-1.4826565739816362
2020-07-17,55.040000915527344,62.24574279785156,25.68000030517578,30.13550024032593,-1.4861651555558435
2020-07-20,57.459999084472656,62.70348358154297,24.459999084472656,29.602500247955323,-1.3925963624472786
2020-07-21,57.0,61.659488677978516,24.84000015258789,29.256000232696532,-1.3988466442070948
2020-07-22,61.790000915527344,61.23388671875,24.31999969482422,28.903500175476076,-1.1975907111434927
2020-07-23,59.56999969482422,60.67975997924805,26.079999923706055,28.515500164031984,-1.2818088300125219
2020-07-24,69.4000015258789,59.13785934448242,25.84000015258789,28.19650011062622,-0.8607351107078786
2020-07-27,68.97000122070312,59.86063003540039,24.739999771118164,27.697000122070314,-0.8870536634930521
2020-07-28,67.61000061035156,59.210140228271484,25.440000534057617,27.380000114440918,-0.9348976517404111
2020-07-29,76.08999633789062,58.63192367553711,24.100000381469727,27.063500118255615,-0.5807159249749495
2020-07-30,78.19999694824219,58.085838317871094,24.760000228881836,26.870500087738037,-0.48773982154296
2020-07-31,77.43000030517578,55.837249755859375,24.459999084472656,26.70950002670288,-0.4921627443715779
2020-08-03,77.66999816894531,57.60399627685547,24.280000686645508,26.526500034332276,-0.5036324104114897
2020-08-04,85.04000091552734,56.92139434814453,23.760000228881836,26.243000030517578,-0.19364088861585319
2020-08-05,85.30999755859375,55.41163635253906,22.989999771118164,25.988500022888182,-0.16438732420783086
2020-08-06,86.70999908447266,55.25904083251953,22.649999618530273,25.657999992370605,-0.10522512724548243
2020-08-07,84.8499984741211,55.69270324707031,22.209999084472656,25.403999900817873,-0.18660988079665145
2020-08-10,82.23999786376953,55.01813888549805,22.1299991607666,24.90099992752075,-0.285344701872734
2020-08-11,76.87999725341797,54.68886947631836,24.030000686645508,24.626499938964844,-0.5008399627857268
2020-08-12,82.61000061035156,55.28313446044922,22.280000686645508,24.352499961853027,-0.2733892580237439
2020-08-13,81.83999633789062,54.753116607666016,22.1299991607666,24.058999919891356,-0.2985281185155654
2020-08-14,81.30000305175781,55.01010513305664,22.049999237060547,23.877499866485596,-0.3237357831329093
2020-08-17,82.41999816894531,55.5320930480957,21.350000381469727,23.72199993133545,-0.28416981715421763
2020-08-18,81.66000366210938,55.45981216430664,21.510000228881836,23.555499935150145,-0.3144163840630147
2020-08-19,81.08999633789062,52.761505126953125,22.540000915527344,23.466499996185302,-0.3052298802016682
2020-08-20,82.7699966430664,53.04258346557617,22.719999313354492,23.298499965667723,-0.23983068125920987
2020-08-21,83.80999755859375,53.403968811035156,22.540000915527344,23.133500003814696,-0.2016041626663737
2020-08-24,83.08000183105469,53.06666946411133,22.3700008392334,23.01500005722046,-0.22742790636772336
2020-08-25,86.3499984741211,53.04258346557617,22.030000686645508,22.844500064849854,-0.0932481445492697
2020-08-26,86.0199966430664,52.68121337890625,23.270000457763672,22.803000068664552,-0.10240406114016241
2020-08-27,83.80000305175781,52.64106369018555,24.469999313354492,22.788500022888183,-0.19281733920426347
2020-08-28,85.55000305175781,52.408164978027344,22.959999084472656,22.713500022888184,-0.11835654365789074
2020-08-31,90.81999969482422,53.604732513427734,26.40999984741211,22.819999980926514,0.08299912239402846
2020-09-01,92.18000030517578,52.86591339111328,26.1200008392334,22.938000011444093,0.1475898194178007
2020-09-02,90.22000122070312,53.63684844970703,26.56999969482422,23.117000007629393,0.05804516683309961
2020-09-03,82.54000091552734,52.930152893066406,33.599998474121094,23.664499950408935,-0.24789257890156824
2020-09-04,82.01000213623047,53.01045608520508,30.75,24.091499996185302,-0.27056125788956153
2020-09-08,78.69000244140625,51.508731842041016,31.459999084472656,24.557999992370604,-0.3883962922221539
2020-09-09,81.91000366210938,51.80585479736328,28.809999465942383,24.79699993133545,-0.2601354319198271
2020-09-10,78.9800033569336,51.211585998535156,29.709999084472656,25.168499851226805,-0.37294046494536626
2020-09-11,76.33999633789062,52.66513442993164,26.8700008392334,25.405499935150146,-0.49855613242419433
2020-09-14,77.9000015258789,53.833675384521484,25.850000381469727,25.595499992370605,-0.44876757308231896
2020-09-15,78.93000030517578,53.72006607055664,25.59000015258789,25.807499980926515,-0.4052250117494607
2020-09-16,76.66000366210938,53.27375411987305,26.040000915527344,26.03400001525879,-0.4927897821038567
2020-09-17,76.55000305175781,52.778743743896484,26.459999084472656,26.229999923706053,-0.49132688991451096
2020-09-18,74.93000030517578,52.78687286376953,25.829999923706055,26.385499954223633,-0.557755601837961
2020-09-21,77.94000244140625,52.1052131652832,27.780000686645508,26.64749994277954,-0.4262948853369095
