Date,META,KRE,VIX,AvgVIX,zscore
2015-01-30,75.31893157958984,28.101734161376953,20.969999313354492,19.119499969482423,-0.7551264080765493
2015-02-02,74.40608978271484,28.9024715423584,19.43000030517578,19.201499938964844,-0.9971384755661556
2015-02-03,74.81291198730469,29.520164489746094,17.329999923706055,19.071999931335448,-1.1182745978333626
2015-02-04,75.04112243652344,29.329517364501953,18.329999923706055,18.932499885559082,-1.060012557308272
2015-02-05,75.02127075195312,30.031108856201172,16.850000381469727,18.80949993133545,-1.2260380021077584
2015-02-06,73.89014434814453,30.503910064697266,17.290000915527344,18.823499965667725,-1.403874069329305
2015-02-09,73.86038208007812,30.10736656188965,18.549999237060547,18.873499965667726,-1.3124536852648436
2015-02-10,74.60455322265625,30.22937774658203,17.229999542236328,18.754999923706055,-1.2972136470450804
2015-02-11,75.91427612304688,30.069231033325195,16.959999084472656,18.57499990463257,-1.182304583532742
2015-02-12,75.6364517211914,30.656442642211914,15.34000015258789,18.267999935150147,-1.3366754668278251
2015-02-13,75.15025329589844,30.763212203979492,14.6899995803833,17.88299994468689,-1.390451026571068
2015-02-17,75.01134490966797,31.03773307800293,15.800000190734863,17.62549991607666,-1.4631518254901688
2015-02-18,76.11270904541016,30.442914962768555,15.449999809265137,17.403499937057497,-1.2584013422347342
2015-02-19,78.8016128540039,30.389524459838867,15.289999961853027,17.22549991607666,-1.0871995235292953
2015-02-20,79.27787017822266,30.648822784423828,14.300000190734863,17.12049994468689,-1.1200261066147095
2015-02-23,78.22611999511719,30.564931869506836,14.5600004196167,17.015499973297118,-1.162371776663467
2015-02-24,77.83914947509766,30.73270606994629,13.6899995803833,16.9239999294281,-1.2246268360159056
2015-02-25,78.94050598144531,30.671693801879883,13.84000015258789,16.754999971389772,-1.145306045138395
2015-02-26,79.78390502929688,30.824216842651367,13.90999984741211,16.428499937057495,-1.131380567001911
2015-02-27,78.35511016845703,30.66407012939453,13.34000015258789,16.157499933242796,-1.178055498060582
2015-03-02,79.12903594970703,30.88521385192871,13.039999961853027,15.760999965667725,-1.1843531480567644
2015-03-03,78.98020935058594,30.763212203979492,13.859999656677246,15.482499933242797,-1.1644676106118577
2015-03-04,80.27007293701172,30.55729866027832,14.229999542236328,15.327499914169312,-1.0399764218375116
2015-03-05,80.5776596069336,30.73270606994629,14.039999961853027,15.11299991607666,-1.0630432916110633
2015-03-06,79.38701629638672,30.96910858154297,15.199999809265137,15.03049988746643,-1.1888441125605267
2015-03-09,78.82145690917969,31.236011505126953,15.0600004196167,14.918999862670898,-1.284929101478437
2015-03-10,76.94617462158203,30.610687255859375,16.690000534057617,14.825999927520751,-1.2486451224702588
2015-03-11,76.96601104736328,30.900466918945312,16.8700008392334,14.807999992370606,-1.3155646968339538
2015-03-12,78.31542205810547,31.708812713623047,15.420000076293945,14.73100004196167,-1.4258821542849047
2015-03-13,77.44227600097656,31.53342628479004,16.0,14.764000034332275,-1.436190582224854
2015-03-16,77.46211242675781,31.47241973876953,15.609999656677246,14.810000038146972,-1.4206853412367022
2015-03-17,78.74208068847656,31.64781951904297,15.65999984741211,14.803000020980836,-1.3863758399705375
2015-03-18,80.2800064086914,31.3427734375,13.970000267028809,14.729000043869018,-1.2239546121660243
2015-03-19,82.10567474365234,31.19025421142578,14.069999694824219,14.668000030517579,-1.0803948546976925
2015-03-20,83.14750671386719,31.67556381225586,13.020000457763672,14.604000043869018,-1.1329564127815146
2015-03-23,83.77259063720703,31.453588485717773,13.40999984741211,14.54650001525879,-1.0439159391633202
2015-03-24,84.6457290649414,31.308134078979492,13.619999885559082,14.543000030517579,-0.9582194599525534
2015-03-25,82.27434539794922,30.795270919799805,15.4399995803833,14.623000001907348,-0.9776327041893912
2015-03-26,82.36366271972656,31.017255783081055,15.800000190734863,14.717500019073487,-1.0245227591029882
2015-03-27,82.65140533447266,30.84886360168457,15.069999694824219,14.803999996185302,-0.9679773529148893
2015-03-30,82.55218505859375,31.37704086303711,14.510000228881836,14.877500009536742,-1.097938448019447
2015-03-31,81.57980346679688,31.25455093383789,15.289999961853027,14.949000024795533,-1.1265313652459097
2015-04-01,81.03407287597656,31.216279983520508,15.109999656677246,14.993000030517578,-1.1497391627369231
2015-04-02,80.9249496459961,31.392343521118164,14.670000076293945,15.024500036239624,-1.1975478298635933
2015-04-06,81.79810333251953,31.246904373168945,14.739999771118164,15.001500034332276,-1.1118540357033777
2015-04-07,81.67902374267578,31.300485610961914,14.779999732971191,14.9875,-1.1314703012479406
2015-04-08,81.63933563232422,31.36172103881836,13.979999542236328,14.851999950408935,-1.148200655346573
2015-04-09,81.53018951416016,31.315793991088867,13.09000015258789,14.66299991607666,-1.1438491782195772
2015-04-10,81.40119934082031,31.37704086303711,12.579999923706055,14.520999908447266,-1.1658514163430294
2015-04-13,82.36366271972656,31.690872192382812,13.9399995803833,14.417999887466431,-1.1828035201856553
2015-04-14,82.86967468261719,31.52247428894043,13.670000076293945,14.320999908447266,-1.113377965600135
2015-04-15,82.06598663330078,31.951139450073242,12.84000015258789,14.179999923706054,-1.261523081256314
2015-04-16,81.66910552978516,31.943500518798828,12.600000381469727,14.111499929428101,-1.2831457929690486
2015-04-17,80.15101623535156,31.384675979614258,13.890000343322754,14.102499961853027,-1.2414114811350485
2015-04-20,82.44303131103516,31.59902572631836,13.300000190734863,14.116499948501588,-1.1565391256078705
2015-04-21,82.96890258789062,31.591371536254883,13.25,14.10849995613098,-1.1237120045074016
2015-04-22,83.9710464477539,31.8133544921875,12.710000038146973,14.062999963760376,-1.1167410300014131
2015-04-23,81.76832580566406,31.74447250366211,12.479999542236328,13.914999961853027,-1.2305254402832042
2015-04-24,80.89517974853516,31.46889877319336,12.289999961853027,13.739499950408936,-1.2172926923629015
2015-04-27,81.272216796875,31.239233016967773,13.119999885559082,13.641999959945679,-1.1410809881994983
2015-04-28,80.05178833007812,31.67556381225586,12.40999984741211,13.536999940872192,-1.315616737136975
