Date,INTC,LOW,VIX,AvgVIX,zscore
2015-01-30,25.349252700805664,55.221248626708984,20.969999313354492,19.119499969482423,0.2277851111031279
2015-02-02,25.817270278930664,55.7509651184082,19.43000030517578,19.201499938964844,0.27898635566095764
2015-02-03,25.855634689331055,56.74519729614258,17.329999923706055,19.071999931335448,0.14435082774204538
2015-02-04,25.96381378173828,57.592742919921875,18.329999923706055,18.932499885559082,0.05030936281684571
2015-02-05,26.226533889770508,58.244712829589844,16.850000381469727,18.80949993133545,0.027271833415927038
2015-02-06,25.73198890686035,58.595115661621094,17.290000915527344,18.823499965667725,-0.15972622400957212
2015-02-09,25.44607925415039,57.82093811035156,18.549999237060547,18.873499965667726,-0.12521388399169123
2015-02-10,26.041093826293945,58.48107147216797,17.229999542236328,18.754999923706055,-0.058173896404779324
2015-02-11,25.925168991088867,58.21211242675781,16.959999084472656,18.57499990463257,-0.05074226610121433
2015-02-12,26.373367309570312,58.831485748291016,15.34000015258789,18.267999935150147,-0.01807591660791862
2015-02-13,26.55108070373535,58.71739196777344,14.6899995803833,17.88299994468689,0.04739506005684376
2015-02-17,26.844728469848633,59.059669494628906,15.800000190734863,17.62549991607666,0.07807201320155686
2015-02-18,26.481536865234375,59.10041809082031,15.449999809265137,17.403499937057497,-0.027633748125357818
2015-02-19,26.43517303466797,58.912967681884766,15.289999961853027,17.22549991607666,-0.012997665361019012
2015-02-20,26.5897216796875,59.94795608520508,14.300000190734863,17.12049994468689,-0.1216725274009931
2015-02-23,26.087448120117188,60.086524963378906,14.5600004196167,17.015499973297118,-0.27986240330691325
2015-02-24,26.5897216796875,60.83625411987305,13.6899995803833,16.9239999294281,-0.25137741797661856
2015-02-25,26.234272003173828,60.656982421875,13.84000015258789,16.754999971389772,-0.32283046983976765
2015-02-26,26.00244903564453,60.38802719116211,13.90999984741211,16.428499937057495,-0.34723250297768427
2015-02-27,25.693355560302734,60.3798828125,13.34000015258789,16.157499933242796,-0.43094031622666396
2015-03-02,26.319271087646484,61.19485092163086,13.039999961853027,15.760999965667725,-0.3780211370725622
2015-03-03,26.350173950195312,61.12967300415039,13.859999656677246,15.482499933242797,-0.36001625923654673
2015-03-04,26.36563491821289,60.32282638549805,14.229999542236328,15.327499914169312,-0.23795792246755323
2015-03-05,26.064266204833984,60.76293182373047,14.039999961853027,15.11299991607666,-0.38499524135679125
2015-03-06,25.646997451782227,59.90724563598633,15.199999809265137,15.03049988746643,-0.374661098921774
2015-03-09,25.283809661865234,60.518455505371094,15.0600004196167,14.918999862670898,-0.5636617493563395
2015-03-10,24.495616912841797,59.54049301147461,16.690000534057617,14.825999927520751,-0.6373530910620417
2015-03-11,24.982440948486328,59.54863357543945,16.8700008392334,14.807999992370606,-0.5048284393910903
2015-03-12,23.80016326904297,61.072601318359375,15.420000076293945,14.73100004196167,-1.0520804275638627
2015-03-13,23.900615692138672,60.43693542480469,16.0,14.764000034332275,-0.9316729162387448
2015-03-16,23.82334327697754,61.4800910949707,15.609999656677246,14.810000038146972,-1.105213345564645
2015-03-17,23.637880325317383,60.771026611328125,15.65999984741211,14.803000020980836,-1.0526193477277699
2015-03-18,23.869699478149414,60.730308532714844,13.970000267028809,14.729000043869018,-0.983001395598892
2015-03-19,23.75379180908203,60.76293182373047,14.069999694824219,14.668000030517579,-1.0196006132279407
2015-03-20,24.19425392150879,61.30894088745117,13.020000457763672,14.604000043869018,-0.9783468386756939
2015-03-23,24.1092529296875,61.42301940917969,13.40999984741211,14.54650001525879,-1.0183507785961448
2015-03-24,23.79243278503418,61.6186408996582,13.619999885559082,14.543000030517579,-1.1339337194165942
2015-03-25,23.09697151184082,60.518455505371094,15.4399995803833,14.623000001907348,-1.1643086294818392
2015-03-26,23.243793487548828,59.37751770019531,15.800000190734863,14.717500019073487,-0.957387738276887
2015-03-27,24.72743797302246,60.037620544433594,15.069999694824219,14.803999996185302,-0.6462681741426285
2015-03-30,24.310161590576172,60.958526611328125,14.510000228881836,14.877500009536742,-0.8953453513797032
2015-03-31,24.163341522216797,60.62437438964844,15.289999961853027,14.949000024795533,-0.8868803603492156
2015-04-01,23.807884216308594,60.62437438964844,15.109999656677246,14.993000030517578,-0.9845118754246198
2015-04-02,23.807884216308594,60.9910774230957,14.670000076293945,15.024500036239624,-1.0380560407506247
2015-04-06,23.985610961914062,61.170387268066406,14.739999771118164,15.001500034332276,-1.0154227448146014
2015-04-07,24.155616760253906,60.396202087402344,14.779999732971191,14.9875,-0.8556854861519968
2015-04-08,24.19425392150879,60.966644287109375,13.979999542236328,14.851999950408935,-0.9283663801369831
2015-04-09,24.140161514282227,60.51029586791992,13.09000015258789,14.66299991607666,-0.876589904250825
2015-04-10,24.67334747314453,61.040000915527344,12.579999923706055,14.520999908447266,-0.8074875457947749
2015-04-13,24.518800735473633,60.15170669555664,13.9399995803833,14.417999887466431,-0.7202317198152286
2015-04-14,24.333343505859375,60.290252685546875,13.670000076293945,14.320999908447266,-0.7914000442567564
2015-04-15,25.36880874633789,59.82572555541992,12.84000015258789,14.179999923706054,-0.4391665104715486
2015-04-16,25.399715423583984,60.37173843383789,12.600000381469727,14.111499929428101,-0.5104036454330745
2015-04-17,25.090620040893555,59.124881744384766,13.890000343322754,14.102499961853027,-0.41324133053480305
2015-04-20,25.291528701782227,59.37830352783203,13.300000190734863,14.116499948501588,-0.3950622437760599
2015-04-21,25.059707641601562,59.87700271606445,13.25,14.10849995613098,-0.5315528588547561
2015-04-22,25.268352508544922,59.73801040649414,12.710000038146973,14.062999963760376,-0.4539505434451508
2015-04-23,24.997888565063477,59.9832878112793,12.479999542236328,13.914999961853027,-0.5640515911925668
2015-04-24,24.78925895690918,59.81160354614258,12.289999961853027,13.739499950408936,-0.596286256946492
2015-04-27,25.113801956176758,58.732460021972656,13.119999885559082,13.641999959945679,-0.3495745993589643
2015-04-28,25.515621185302734,58.650691986083984,12.40999984741211,13.536999940872192,-0.22726974363187777
2015-04-29,25.41516876220703,57.5878791809082,13.390000343322754,13.44199995994568,-0.09967378633938162
2015-04-30,25.152437210083008,56.296146392822266,14.550000190734863,13.413999986648559,0.01677561467022555
2015-05-01,25.824718475341797,57.80044174194336,12.699999809265137,13.315499973297118,-0.018222340514374952
2015-05-04,25.832447052001953,58.25008010864258,12.850000381469727,13.221000003814698,-0.08175354757523601
2015-05-05,25.404367446899414,57.579708099365234,14.3100004196167,13.197500038146973,-0.10144742360916975
2015-05-06,25.077476501464844,57.8576545715332,15.149999618530273,13.25600004196167,-0.23181714334460907
2015-05-07,25.09304428100586,59.100337982177734,15.130000114440918,13.358000040054321,-0.4089917188512174
2015-05-08,25.528898239135742,59.893367767333984,12.859999656677246,13.372000026702882,-0.405072386239754
2015-05-11,25.443281173706055,59.86064910888672,13.850000381469727,13.367500066757202,-0.4238109407012316
2015-05-12,25.1008243560791,60.228553771972656,13.859999656677246,13.377000045776366,-0.5715913040781793
2015-05-13,25.404367446899414,59.77072525024414,13.760000228881836,13.423000049591064,-0.421368923728542
2015-05-14,25.661212921142578,59.07582092285156,12.739999771118164,13.430000019073486,-0.24935608452683422
2015-05-15,25.676786422729492,59.75436782836914,12.380000114440918,13.354500007629394,-0.3441566629075725
2015-05-18,26.003679275512695,59.7298583984375,12.729999542236328,13.325999975204468,-0.25079204414691775
2015-05-19,25.801315307617188,58.72427749633789,12.850000381469727,13.305999994277954,-0.15954429350142266
2015-05-20,25.9725399017334,56.00183868408203,12.880000114440918,13.314499998092652,0.2850020954887751
2015-05-21,26.112640380859375,56.18171691894531,12.109999656677246,13.296000003814697,0.29721779701404316
2015-05-22,26.034812927246094,56.85209274291992,12.130000114440918,13.288000011444092,0.17795638981236656
2015-05-26,25.762405395507812,56.884796142578125,14.0600004196167,13.335000038146973,0.09836051335543801
2015-05-27,26.23717498779297,57.81678009033203,13.270000457763672,13.378000068664551,0.09267919011545038
2015-05-28,26.47066879272461,57.596038818359375,13.3100004196167,13.374000072479248,0.18904320711012143
2015-05-29,26.820913314819336,57.21181869506836,13.84000015258789,13.3385000705719,0.3413448795971667
2015-06-01,26.392839431762695,57.34261703491211,13.970000267028809,13.402000093460083,0.20466963883852027
2015-06-02,25.894718170166016,57.35078048706055,14.239999771118164,13.471500062942505,0.06666140798620945
2015-06-03,25.474414825439453,57.75956344604492,13.65999984741211,13.439000034332276,-0.10846948225095508
2015-06-04,25.147533416748047,57.34261703491211,14.710000038146973,13.41700005531311,-0.13737175673147958
2015-06-05,24.78171730041504,57.05649185180664,14.210000038146973,13.371000051498413,-0.19606988394217806
2015-06-08,24.361421585083008,56.14900588989258,15.289999961853027,13.492500066757202,-0.17900359357095194
2015-06-09,24.322509765625,56.0263786315918,14.470000267028809,13.523500061035156,-0.17178586386330585
2015-06-10,24.766141891479492,56.54961395263672,13.220000267028809,13.491500091552734,-0.12633608965530974
2015-06-11,24.78949737548828,56.443336486816406,12.850000381469727,13.446000099182129,-0.10440305601943224
2015-06-12,24.376991271972656,56.43514633178711,13.779999732971191,13.49800009727478,-0.21650796649576626
2015-06-15,24.431474685668945,56.50054168701172,15.390000343322754,13.648500108718872,-0.2110920117922668
2015-06-16,24.626052856445312,56.737640380859375,14.8100004196167,13.75250015258789,-0.19226826924389415
2015-06-17,24.867332458496094,56.95835876464844,14.5,13.835000133514404,-0.15822552791349628
2015-06-18,25.20200538635254,57.35078048706055,13.1899995803833,13.850500106811523,-0.12360222556891641
2015-06-19,24.96072769165039,57.219966888427734,13.960000038146973,13.94300012588501,-0.17077189559143166
2015-06-22,25.10860824584961,57.46526336669922,12.739999771118164,13.973500108718872,-0.16597133209387113
2015-06-23,24.976295471191406,57.718685150146484,12.109999656677246,13.8760000705719,-0.23931635545271415
2015-06-24,24.83619499206543,57.29354476928711,13.260000228881836,13.875500059127807,-0.21572009008484638
2015-06-25,24.898460388183594,56.950199127197266,14.010000228881836,13.910500049591064,-0.1484843596801005
2015-06-26,24.143491744995117,56.09177017211914,14.020000457763672,13.919500064849853,-0.23050391466694625
2015-06-29,23.653146743774414,55.20882034301758,18.850000381469727,14.1635000705719,-0.2362603236179842
2015-06-30,23.676498413085938,54.7509765625,18.229999542236328,14.363000059127808,-0.1629943613102975
2015-07-01,23.489700317382812,54.97172927856445,16.09000015258789,14.484500074386597,-0.24653439412709
2015-07-02,23.78546142578125,54.53025436401367,16.790000915527344,14.588500118255615,-0.10083732127697488
2015-07-06,23.380739212036133,54.16237258911133,17.010000228881836,14.728500127792358,-0.15828387994706714
2015-07-07,23.271774291992188,55.07801818847656,16.09000015258789,14.768500137329102,-0.32191072573720936
2015-07-08,22.96044921875,54.39126968383789,19.65999984741211,15.028000116348267,-0.30714505780581725
2015-07-09,22.516801834106445,54.791873931884766,19.969999313354492,15.36550006866455,-0.48749351290882914
2015-07-10,22.703598022460938,55.47043228149414,16.829999923706055,15.564500045776366,-0.5352669629286332
2015-07-13,23.13945770263672,55.838321685791016,13.899999618530273,15.570500040054322,-0.46926916057620716
2015-07-14,23.077199935913086,55.911895751953125,13.369999885559082,15.469500017166137,-0.4971120826887111
2015-07-15,23.108327865600586,55.813804626464844,13.229999542236328,15.39049997329712,-0.4742395628594338
2015-07-16,23.271774291992188,55.78111267089844,12.109999656677246,15.270999956130982,-0.42457310857242747
2015-07-17,22.937097549438477,55.20882034301758,11.949999809265137,15.208999967575073,-0.43293364148078856
2015-07-20,22.64911651611328,54.757293701171875,12.25,15.123499965667724,-0.4461021280593179
2015-07-21,22.353357315063477,54.5028076171875,12.220000267028809,15.097499990463257,-0.4901778902688791
2015-07-22,22.267744064331055,55.36482620239258,12.119999885559082,15.098000001907348,-0.6395605090283003
2015-07-23,22.25995635986328,55.57823944091797,12.640000343322754,15.067000007629394,-0.6728610620092801
2015-07-24,21.83966636657715,55.15135955810547,13.739999771118164,15.053499984741212,-0.72596892533378
2015-07-27,22.065378189086914,55.03642272949219,15.600000381469727,15.132499980926514,-0.647191385025136
2015-07-28,22.54015350341797,55.66034698486328,13.4399995803833,14.861999940872192,-0.6078897822433892
2015-07-29,22.57906723022461,56.43204879760742,12.5,14.575499963760375,-0.709881647895718
2015-07-30,22.501237869262695,56.530548095703125,12.130000114440918,14.377499961853028,-0.7456409939033323
2015-07-31,22.532371520996094,56.94103240966797,12.119999885559082,14.143999910354614,-0.7970265755916689
2015-08-03,22.610197067260742,56.57158279418945,12.5600004196167,13.921499919891357,-0.7217054505739947
2015-08-04,22.672466278076172,56.94103240966797,13.0,13.766999912261962,-0.7585475145047067
2015-08-05,22.852968215942383,57.41715621948242,12.510000228881836,13.40949993133545,-0.7784912804817817
2015-08-06,22.766639709472656,56.899986267089844,13.770000457763672,13.099499988555909,-0.7266880579507572
2015-08-07,22.66461181640625,57.08060073852539,13.390000343322754,12.927500009536743,-0.7810839344267436
2015-08-10,23.261056900024414,57.113426208496094,12.229999542236328,12.844000005722046,-0.6220546367863782
2015-08-11,22.735254287719727,56.99028778076172,13.710000038146973,12.86100001335144,-0.7484939010835235
2015-08-12,23.119796752929688,56.62085723876953,13.609999656677246,12.880000019073487,-0.5889313016502072
2015-08-13,22.656770706176758,58.45979309082031,13.489999771118164,12.949000024795533,-0.984620462986416
2015-08-14,22.77448844909668,59.19862747192383,12.829999923706055,12.993000030517578,-1.0601685203283033
2015-08-17,22.821575164794922,59.50239944458008,13.020000457763672,13.031500053405761,-1.0915907522578676
2015-08-18,22.68816566467285,59.945674896240234,13.789999961853027,13.110000038146973,-1.192958501905499
2015-08-19,22.25653076171875,61.05398941040039,15.25,13.26650004386902,-1.4733439110966946
2015-08-20,21.605161666870117,60.07705307006836,19.139999389648438,13.591499996185302,-1.509604481542645
2015-08-21,20.843915939331055,58.37766647338867,28.030000686645508,14.30600004196167,-1.4705556487186735
2015-08-24,20.600627899169922,56.07902526855469,40.7400016784668,15.563000106811524,-1.2017420119701598
2015-08-25,20.302413940429688,54.995384216308594,36.02000045776367,16.692000150680542,-1.1254228968527409
2015-08-26,21.424657821655273,56.44024658203125,30.31999969482422,17.583000135421752,-1.0281539694497848
2015-08-27,21.754261016845703,56.69473648071289,26.100000381469727,18.281500148773194,-0.9747830193840167
2015-08-28,22.30361557006836,56.19395446777344,26.049999237060547,18.978000116348266,-0.7507730918220739
2015-08-31,22.397785186767578,56.78506088256836,28.43000030517578,19.77150011062622,-0.8112184764431762
2015-09-01,21.832744598388672,55.619293212890625,31.399999618530273,20.691500091552733,-0.7961954501091727
2015-09-02,22.444875717163086,56.678340911865234,26.09000015258789,21.370500087738037,-0.7827016549890753
2015-09-03,22.821575164794922,56.72758102416992,25.610000610351562,21.96250009536743,-0.6864254749069431
2015-09-04,22.382099151611328,55.66034698486328,27.799999237060547,22.68300004005432,-0.6513017070362034
2015-09-08,23.151185989379883,56.899986267089844,24.899999618530273,23.31650004386902,-0.6210668334044578
2015-09-09,22.947141647338867,55.91483688354492,26.229999542236328,23.942500019073485,-0.5332639313414019
2015-09-10,22.970680236816406,55.767059326171875,24.3700008392334,24.480500078201295,-0.5052209667811877
2015-09-11,23.127647399902344,56.34173583984375,23.200000762939453,24.96600012779236,-0.5460190796309498
2015-09-14,23.064857482910156,55.947662353515625,24.25,25.537000131607055,-0.5057245792468336
2015-09-15,23.33168601989746,57.006717681884766,22.540000915527344,26.013000154495238,-0.587074270645983
2015-09-16,23.363080978393555,57.52388381958008,21.350000381469727,26.391000175476073,-0.6539652334966392
2015-09-17,23.31598663330078,57.860496520996094,21.139999389648438,26.685500144958496,-0.7160509035155781
2015-09-18,22.77448844909668,55.98051834106445,22.280000686645508,26.84250020980835,-0.5902761234205974
2015-09-21,22.88435935974121,57.138057708740234,20.139999389648438,26.448000144958495,-0.7291166609049546
2015-09-22,22.499814987182617,56.37457275390625,22.440000534057617,25.53300008773804,-0.7232570602996194
2015-09-23,22.55474853515625,56.423831939697266,22.1299991607666,24.838500022888184,-0.7153613459314634
2015-09-24,22.350704193115234,56.21858215332031,23.469999313354492,24.496000003814697,-0.7414355301195962
2015-09-25,22.609678268432617,56.390987396240234,23.6200008392334,24.37200002670288,-0.6954782983964786
2015-09-28,22.57044792175293,55.12673568725586,27.6299991607666,24.451000022888184,-0.5216536944823443
2015-09-29,22.947141647338867,54.81476593017578,26.829999923706055,24.371000003814697,-0.37263700539587646
2015-09-30,23.653451919555664,56.57981872558594,24.5,24.026000022888184,-0.4363629133525536
2015-10-01,23.5435791015625,57.29404830932617,22.549999237060547,23.848999977111816,-0.570829354960519
2015-10-02,23.943815231323242,57.65525436401367,20.940000534057617,23.61549997329712,-0.5136402087690419
2015-10-05,24.493167877197266,58.919517517089844,19.540000915527344,23.20250005722046,-0.5473539804013091
2015-10-06,24.909109115600586,58.443363189697266,19.399999618530273,22.92750005722046,-0.3635839716809946
2015-10-07,25.36427879333496,58.93592834472656,18.399999618530273,22.536000061035157,-0.3104869350469855
2015-10-08,25.521240234375,60.06883239746094,17.420000076293945,22.188500022888185,-0.43279624698986874
2015-10-09,25.2230224609375,60.200199127197266,17.079999923706055,21.882499980926514,-0.5338876134732937
2015-10-12,25.2779541015625,60.59425354003906,16.170000076293945,21.478499984741212,-0.5763377186529862
2015-10-13,25.144540786743164,59.90465545654297,17.670000076293945,21.23499994277954,-0.5122899191787269
2015-10-14,25.740976333618164,59.14115524291992,18.030000686645508,21.06899995803833,-0.23698769870196112
2015-10-15,25.701740264892578,59.64194869995117,16.049999237060547,20.814499950408937,-0.3208878417440805
2015-10-16,25.9293270111084,59.748653411865234,15.050000190734863,20.452999925613405,-0.27395832916567
2015-10-19,26.360960006713867,60.515079498291016,14.979999542236328,20.194999933242798,-0.26731380459779236
2015-10-20,26.24323844909668,60.02887725830078,15.75,19.860499906539918,-0.22865489218821158
2015-10-21,26.188304901123047,59.92998123168945,16.700000762939453,19.58899998664856,-0.229302880279989
2015-10-22,26.996639251708984,60.50685119628906,14.449999809265137,19.138000011444092,-0.09151380536292752
2015-10-23,27.3890323638916,60.61398696899414,14.460000038146973,18.67999997138977,0.0006192294600529571
2015-10-26,27.1457462310791,61.11672592163086,15.289999961853027,18.063000011444093,-0.13961030088433274
2015-10-27,27.05156898498535,60.61398696899414,15.430000305175781,17.493000030517578,-0.09206999205109798
2015-10-28,27.23992347717285,61.00131607055664,14.329999923706055,16.984500026702882,-0.09689157523174871
2015-10-29,26.706266403198242,60.87772750854492,14.609999656677246,16.587500047683715,-0.2254224551952844
