Date,AMAT,GILD,VIX,AvgVIX,zscore
2020-01-30,56.85920715332031,50.496456146240234,15.489999771118164,13.696000051498412,-1.210083075459561
2020-01-31,54.72639465332031,49.841880798339844,18.84000015258789,14.014500045776368,-1.2537451013982974
2020-02-03,56.359031677246094,52.333984375,17.969999313354492,14.211999988555908,-1.3049364108338843
2020-02-04,59.4638786315918,53.1541633605957,16.049999237060547,14.32199993133545,-1.2357350201122894
2020-02-05,60.20941162109375,51.947547912597656,15.149999618530273,14.389999914169312,-1.159470878612029
2020-02-06,59.63374328613281,53.792945861816406,14.960000038146973,14.465499925613404,-1.2571887508794846
2020-02-07,58.23703384399414,54.313446044921875,15.470000267028809,14.611999940872192,-1.3261184893653768
2020-02-10,59.378936767578125,54.40808868408203,15.039999961853027,14.735999917984008,-1.2918704318254515
2020-02-11,60.82283020019531,53.43806838989258,15.180000305175781,14.878999948501587,-1.2022558900327742
2020-02-12,61.6910514831543,52.79927062988281,13.739999771118164,14.946499919891357,-1.1460107398908255
2020-02-13,63.57849884033203,52.68098068237305,14.149999618530273,15.032999897003174,-1.0777271545218134
2020-02-14,63.08776092529297,53.280338287353516,13.680000305175781,15.100999927520752,-1.1196450902040613
2020-02-18,61.68666458129883,52.846580505371094,14.829999923706055,15.237499904632568,-1.148168313556146
2020-02-19,63.816715240478516,53.11473083496094,14.380000114440918,15.313999891281128,-1.0881767673175518
2020-02-20,62.86054992675781,52.83869934082031,15.5600004196167,15.446499919891357,-1.108491384873147
2020-02-21,60.844093322753906,54.968013763427734,17.079999923706055,15.651499938964843,-1.2665620620311502
2020-02-24,57.82414627075195,57.49165344238281,25.030000686645508,16.174999952316284,-1.475021886545524
2020-02-25,55.72247314453125,55.28348159790039,27.850000381469727,16.655999994277956,-1.45161639246596
2020-02-26,56.62184143066406,58.911190032958984,27.559999465942383,17.219999933242796,-1.5756430453713233
2020-02-27,53.96161651611328,57.30240249633789,39.15999984741211,18.35849995613098,-1.5964293593673726
2020-02-28,55.021915435791016,54.69988250732422,40.11000061035156,19.589499998092652,-1.450293646908874
2020-03-02,56.953182220458984,59.463253021240234,33.41999816894531,20.318499898910524,-1.5879996501347577
2020-03-03,54.9461784362793,58.524776458740234,36.81999969482422,21.26099991798401,-1.615380198900961
2020-03-04,57.293983459472656,59.9443244934082,31.989999771118164,22.05799994468689,-1.5970222350481902
2020-03-05,55.978084564208984,60.03895950317383,39.619998931884766,23.281499910354615,-1.6451454729536115
2020-03-06,54.70950698852539,63.26449966430664,41.939998626708984,24.630499839782715,-1.8247382828474759
2020-03-09,49.29442596435547,57.98060607910156,54.459999084472656,26.57999978065491,-1.7816691260242015
2020-03-10,53.17586898803711,57.05002212524414,47.29999923706055,28.192999744415282,-1.6120376489965913
2020-03-11,49.69204330444336,58.122554779052734,53.900001525878906,30.12899980545044,-1.7743757001908673
2020-03-12,42.705421447753906,54.588417053222656,75.47000122070312,33.21549987792969,-1.8583358848879727
2020-03-13,48.17732620239258,56.315696716308594,57.83000183105469,35.39949998855591,-1.7483535752502464
2020-03-16,38.36954879760742,54.84313201904297,82.69000244140625,38.850000095367434,-2.0144745585012993
2020-03-17,42.46873474121094,59.3165397644043,75.91000366210938,41.9040002822876,-2.067201488681853
2020-03-18,37.09151840209961,63.216854095458984,76.44999694824219,45.007500123977664,-2.413168826206208
2020-03-19,38.04768371582031,62.52435302734375,72.0,47.829500102996825,-2.3516940352558784
2020-03-20,35.96494674682617,58.3136100769043,66.04000091552734,50.27750015258789,-2.242549723671175
2020-03-23,38.02873992919922,57.79621124267578,61.59000015258789,52.10550012588501,-2.1513949095916987
2020-03-24,42.73381805419922,58.87080001831055,61.66999816894531,53.796500015258786,-2.0393745880737066
2020-03-25,42.34567642211914,55.44806671142578,63.95000076293945,55.61600008010864,-1.9069254306031507
2020-03-26,46.57740020751953,58.79119873046875,61.0,56.708000087738036,-1.9071765947749348
2020-03-27,42.64861297607422,57.987247467041016,65.54000091552734,57.97950010299682,-2.0046814416977665
2020-03-30,44.77867889404297,60.438880920410156,57.08000183105469,59.16250028610229,-2.037481869818462
2020-03-31,43.37757110595703,59.50759506225586,53.540000915527344,59.99850034713745,-2.0448617974158854
2020-04-01,40.99189758300781,57.71662902832031,57.060001373291016,61.252000427246095,-2.0487045778555437
2020-04-02,40.93510055541992,61.274662017822266,50.90999984741211,61.81650047302246,-2.2018154561456766
2020-04-03,40.02626419067383,62.25370407104492,46.79999923706055,62.059500503540036,-2.273881312267433
2020-04-06,43.689979553222656,61.87165069580078,45.2400016784668,61.598500633239745,-2.134857991411501
2020-04-07,45.024818420410156,59.435943603515625,46.70000076293945,61.568500709533694,-1.9866103765921683
2020-04-08,48.7169303894043,59.690670013427734,43.349998474121094,61.041000556945804,-1.8736968852195879
2020-04-09,46.94660568237305,58.512611389160156,41.66999816894531,59.35100040435791,-1.8829636606074154
2020-04-13,47.221153259277344,59.92149353027344,41.16999816894531,58.51800022125244,-1.9336362900334572
2020-04-14,49.67308807373047,61.88755798339844,37.7599983215332,56.27150001525879,-1.9350140437557952
2020-04-15,47.68503952026367,59.404109954833984,40.84000015258789,54.51799983978272,-1.896101957971376
2020-04-16,49.44588851928711,60.9244270324707,40.11000061035156,52.70100002288818,-1.901697869517239
2020-04-17,50.364173889160156,66.8544921875,38.150001525878906,51.00850009918213,-2.1229348403338393
2020-04-20,47.93117904663086,64.68146514892578,43.83000183105469,49.898000144958495,-2.1121269417409305
2020-04-21,45.75376510620117,62.5084228515625,45.40999984741211,49.089000129699706,-2.0927527679959113
2020-04-22,49.332279205322266,64.72126007080078,41.97999954223633,48.104500198364256,-2.066861169827132
2020-04-23,48.186790466308594,61.91143798828125,41.380001068115234,46.976000213623045,-1.985841175038849
2020-04-24,48.98200607299805,63.391990661621094,35.93000030517578,45.722500228881835,-2.0221097716949523
2020-04-27,48.309852600097656,63.598915100097656,33.290000915527344,44.11000022888184,-2.053430318465535
2020-04-28,47.73236846923828,62.619873046875,33.56999969482422,42.93450012207031,-2.0311775211675847
2020-04-29,51.44341278076172,66.17791748046875,31.229999542236328,41.81900005340576,-2.0580121488411383
2020-04-30,47.03181457519531,66.86245727539062,34.150001525878906,40.673500061035156,-2.2349551781843213
2020-05-01,44.390541076660156,63.63872528076172,37.189998626708984,39.9875,-2.1864753110815895
2020-05-04,45.04375457763672,63.87751007080078,35.970001220703125,39.44600009918213,-2.1747310349898163
2020-05-05,46.246055603027344,62.99401092529297,33.61000061035156,38.86450004577637,-2.096890233654278
2020-05-06,47.80809783935547,61.66468811035156,34.119998931884766,38.235499954223634,-1.9880465676722818
2020-05-07,48.51811981201172,61.77614212036133,31.440000534057617,37.64000005722046,-1.9689871581505298
2020-05-08,50.94166564941406,61.680606842041016,27.979999542236328,36.95550012588501,-1.8837035986509996
2020-05-11,51.13100051879883,64.31531524658203,27.56999969482422,36.275500202178954,-1.9893265782646252
2020-05-12,49.540557861328125,62.046756744384766,33.040000915527344,36.03950033187866,-1.9462212500088367
2020-05-13,48.745330810546875,61.33835220336914,35.279998779296875,35.76150026321411,-1.9427673709199442
2020-05-14,51.52861785888672,61.47365951538086,32.61000061035156,35.38650026321411,-1.8552375437823718
2020-05-15,49.26601028442383,60.701568603515625,31.889999389648438,35.07350015640259,-1.898255453782235
2020-05-18,51.46234893798828,59.50759506225586,29.299999237060547,34.34700002670288,-1.7739057587182414
2020-05-19,52.513179779052734,57.581302642822266,30.530000686645508,33.60300006866455,-1.6568253165089466
2020-05-20,54.06243896484375,58.81508255004883,27.989999771118164,32.90350008010864,-1.657335420378438
2020-05-21,52.29457473754883,58.50464630126953,29.530000686645508,32.31100006103516,-1.7033914812115634
2020-05-22,51.69578170776367,58.37728500366211,28.15999984741211,31.92250003814697,-1.7180471061852385
2020-05-26,52.40862274169922,58.249942779541016,28.010000228881836,31.658500003814698,-1.6887449843668922
2020-05-27,53.60622024536133,59.6190299987793,27.6200008392334,31.361000061035156,-1.7067910164202047
2020-05-28,51.9619140625,59.95332336425781,28.59000015258789,31.229000091552734,-1.7761054809529315
2020-05-29,53.39711380004883,61.95125198364258,27.510000228881836,30.89700002670288,-1.8129125915854662
2020-06-01,52.9313850402832,59.825965881347656,28.229999542236328,30.449000072479247,-1.7382019260347386
2020-06-02,53.02642822265625,58.3136100769043,26.84000015258789,29.992500019073486,-1.6707453363337097
2020-06-03,54.94636154174805,59.22102737426758,25.65999984741211,29.594999980926513,-1.644962957365592
2020-06-04,55.25050354003906,61.72040557861328,25.809999465942383,29.179500007629393,-1.7409870614692138
2020-06-05,57.208473205566406,61.09158706665039,24.520000457763672,28.8335000038147,-1.6486438000618633
2020-06-08,56.93284225463867,61.26668930053711,25.809999465942383,28.725,-1.6653227911238127
2020-06-09,56.828285217285156,61.76021194458008,27.56999969482422,28.725,-1.6898004104189321
2020-06-10,56.89482498168945,61.34629440307617,27.56999969482422,28.451499938964844,-1.6699799297755173
2020-06-11,52.66524887084961,58.49541091918945,40.790000915527344,28.727000045776368,-1.6905760999113002
2020-06-12,53.748779296875,58.784507751464844,36.09000015258789,28.901000022888184,-1.6665481676382428
2020-06-15,54.22401809692383,59.40288543701172,34.400001525878906,29.026500129699706,-1.6769003309140234
2020-06-16,55.64020919799805,59.92488479614258,33.66999816894531,29.245000076293945,-1.6516212595119506
2020-06-17,57.027889251708984,59.23423767089844,33.470001220703125,29.392000102996825,-1.5757633222783616
2020-06-18,57.38905715942383,59.4590950012207,32.939998626708984,29.639500045776366,-1.5732148814861906
2020-06-19,57.930824279785156,62.21360778808594,35.119998931884766,29.91899995803833,-1.6721177067180195
2020-06-22,58.234981536865234,60.768089294433594,31.770000457763672,30.09949998855591,-1.6004932115510349
2020-06-23,57.82627868652344,60.270198822021484,31.3700008392334,30.267500019073488,-1.5930315399265946
2020-06-24,56.99937438964844,60.97688293457031,33.84000015258789,30.57849998474121,-1.6507769758376032
2020-06-25,57.008872985839844,60.623538970947266,32.220001220703125,30.760000038146973,-1.6354424157977254
2020-06-26,55.488136291503906,59.884727478027344,34.72999954223633,31.121000003814697,-1.6550112994603614
2020-06-29,56.13444900512695,59.876686096191406,31.780000686645508,31.298500061035156,-1.6330088134841254
2020-06-30,57.45560836791992,61.78799057006836,30.43000030517578,31.47800006866455,-1.6699566065328832
2020-07-01,56.72374725341797,61.0812873840332,28.6200008392334,31.626000118255615,-1.6644513628181032
2020-07-02,57.97834777832031,61.31416702270508,27.68000030517578,31.719500160217287,-1.6323010402107438
2020-07-06,60.316497802734375,61.643428802490234,27.940000534057617,31.890500164031984,-1.567932261301087
2020-07-07,59.09989929199219,61.370399475097656,29.43000030517578,32.07150020599365,-1.5971027114981489
2020-07-08,59.660675048828125,60.71990203857422,28.079999923706055,32.097000217437746,-1.5506641904551515
2020-07-09,60.345008850097656,59.99715042114258,29.260000228881836,32.18150024414062,-1.4970140832731982
2020-07-10,59.489593505859375,61.29008483886719,27.290000915527344,31.506500244140625,-1.5806291969150092
2020-07-13,58.46308898925781,61.57917404174805,32.189998626708984,31.31150016784668,-1.6273173807949644
2020-07-14,59.44206237792969,61.988746643066406,29.520000457763672,31.067500114440918,-1.6119135233336068
2020-07-15,59.023860931396484,61.555091857910156,27.760000228881836,30.772000217437743,-1.607500044466348
