Date,GOOGL,CVX,VIX,AvgVIX,zscore
2015-01-30,26.657180786132812,63.32252883911133,20.969999313354492,19.119499969482423,-1.8170337213029577
2015-02-02,26.391874313354492,65.50265502929688,19.43000030517578,19.201499938964844,-2.192393638370901
2015-02-03,26.446420669555664,67.64572143554688,17.329999923706055,19.071999931335448,-2.5022814465558505
2015-02-04,26.089372634887695,66.91690826416016,18.329999923706055,18.932499885559082,-2.460325288820002
2015-02-05,26.274343490600586,67.50984191894531,16.850000381469727,18.80949993133545,-2.514230322607804
2015-02-06,26.475181579589844,67.69509887695312,17.290000915527344,18.823499965667725,-2.504267496659535
2015-02-09,26.2470703125,68.2015609741211,18.549999237060547,18.873499965667726,-2.62266283066769
2015-02-10,26.78660774230957,68.04717254638672,17.229999542236328,18.754999923706055,-2.4984991782277355
2015-02-11,26.679494857788086,67.92363739013672,16.959999084472656,18.57499990463257,-2.5001184145507347
2015-02-12,27.076711654663086,69.1397933959961,15.34000015258789,18.267999935150147,-2.607341677947549
2015-02-13,27.332101821899414,70.33722686767578,14.6899995803833,17.88299994468689,-2.738344935186409
2015-02-17,27.02712059020996,70.1002197265625,15.800000190734863,17.62549991607666,-2.7600930021483254
2015-02-18,26.91008949279785,68.87783813476562,15.449999809265137,17.403499937057497,-2.5994364579646576
2015-02-19,27.09853172302246,67.57435607910156,15.289999961853027,17.22549991607666,-2.3694240053293227
2015-02-20,26.867937088012695,67.73028564453125,14.300000190734863,17.12049994468689,-2.4359257626321633
2015-02-23,26.530723571777344,67.26878356933594,14.5600004196167,17.015499973297118,-2.430181030030616
2015-02-24,26.711729049682617,67.33113098144531,13.6899995803833,16.9239999294281,-2.405575633793255
2015-02-25,27.14217185974121,67.71782684326172,13.84000015258789,16.754999971389772,-2.382676559455905
2015-02-26,27.735265731811523,66.76984405517578,13.90999984741211,16.428499937057495,-2.129938156334647
2015-02-27,27.90089988708496,66.53285217285156,13.34000015258789,16.157499933242796,-2.0635009452775273
