Date,XLF,ADI,VIX,AvgVIX,zscore
2020-01-30,27.216049194335938,100.5775146484375,15.489999771118164,13.696000051498412,0.5724853347635469
2020-01-31,26.64682960510254,98.23245239257812,18.84000015258789,14.014500045776368,0.526887098198516
2020-02-03,26.833606719970703,98.4561996459961,17.969999313354492,14.211999988555908,0.5607098863150094
2020-02-04,27.091533660888672,100.6580581665039,16.049999237060547,14.32199993133545,0.5419985977032566
2020-02-05,27.634078979492188,104.43519592285156,15.149999618530273,14.389999914169312,0.5321692628702046
2020-02-06,27.5985050201416,103.63858795166016,14.960000038146973,14.465499925613404,0.5517854746501697
2020-02-07,27.50066566467285,100.48799896240234,15.470000267028809,14.611999940872192,0.6389025880511477
2020-02-10,27.580718994140625,101.05191040039062,15.039999961853027,14.735999917984008,0.6372245238961869
2020-02-11,27.678543090820312,104.61420440673828,15.180000305175781,14.878999948501587,0.5358753884847092
2020-02-12,27.696332931518555,106.34165954589844,13.739999771118164,14.946499919891357,0.4801321268365103
2020-02-13,27.687440872192383,106.40432739257812,14.149999618530273,15.032999897003174,0.4759879397043563
2020-02-14,27.723012924194336,105.30341339111328,13.680000305175781,15.100999927520752,0.5219501318150123
2020-02-18,27.482873916625977,106.1268539428711,14.829999923706055,15.237499904632568,0.44006392739297023
2020-02-19,27.687440872192383,110.88854217529297,14.380000114440918,15.313999891281128,0.32101236876681805
2020-02-20,27.634078979492188,111.47927856445312,15.5600004196167,15.446499919891357,0.2887240261876539
2020-02-21,27.36725425720215,109.87712860107422,17.079999923706055,15.651499938964843,0.28472959492874994
2020-02-24,26.477842330932617,105.0438461303711,25.030000686645508,16.174999952316284,0.2538861138608034
2020-02-25,25.579532623291016,102.627197265625,27.850000381469727,16.655999994277956,0.13754353427355798
2020-02-26,25.392757415771484,102.78829193115234,27.559999465942383,17.219999933242796,0.09042093870507101
2020-02-27,24.30767059326172,96.93885803222656,39.15999984741211,18.35849995613098,0.05116070965586063
2020-02-28,23.649505615234375,98.13573455810547,40.11000061035156,19.589499998092652,-0.1366370317669205
2020-03-02,24.859106063842773,100.1335220336914,33.41999816894531,20.318499898910524,0.06343975822523072
2020-03-03,23.92521858215332,96.47087860107422,36.81999969482422,21.26099991798401,-0.017756546479578195
2020-03-04,24.7168025970459,101.2044448852539,31.989999771118164,22.05799994468689,-0.005232323776232567
2020-03-05,23.524991989135742,97.9737548828125,39.619998931884766,23.281499910354615,-0.15874168297639318
2020-03-06,22.724515914916992,96.2909164428711,41.939998626708984,24.630499839782715,-0.27867818467543737
2020-03-09,20.28752326965332,87.75071716308594,54.459999084472656,26.57999978065491,-0.5257268640641165
2020-03-10,21.479333877563477,92.18730163574219,47.29999923706055,28.192999744415282,-0.4138935157304164
2020-03-11,20.314207077026367,84.96097564697266,53.900001525878906,30.12899980545044,-0.42337589788266045
2020-03-12,18.11735725402832,81.0013427734375,75.47000122070312,33.21549987792969,-0.7753013399231331
