Date,KRE,CL,VIX,AvgVIX,zscore
2020-01-30,46.2675666809082,59.944278717041016,15.489999771118164,13.696000051498412,3.3757958453848573
2020-01-31,45.338871002197266,63.66329574584961,18.84000015258789,14.014500045776368,2.6024666601188775
2020-02-03,45.94126510620117,64.65559387207031,17.969999313354492,14.211999988555908,2.581420085111727
2020-02-04,46.585506439208984,65.06114196777344,16.049999237060547,14.32199993133545,2.6595691324795805
2020-02-05,47.6313362121582,65.34589385986328,15.149999618530273,14.389999914169312,2.843785173394267
2020-02-06,47.137699127197266,65.84638977050781,14.960000038146973,14.465499925613404,2.65936705827761
2020-02-07,46.67753982543945,65.60476684570312,15.470000267028809,14.611999940872192,2.5961720712522913
2020-02-10,46.635704040527344,66.74376678466797,15.039999961853027,14.735999917984008,2.4121998894528205
2020-02-11,46.99546432495117,65.67379760742188,15.180000305175781,14.878999948501587,2.6548637746803045
2020-02-12,47.12095642089844,65.53573608398438,13.739999771118164,14.946499919891357,2.7034083547749534
2020-02-13,47.346866607666016,65.89815521240234,14.149999618530273,15.032999897003174,2.6970065683824327
2020-02-14,47.03730392456055,66.17427825927734,13.680000305175781,15.100999927520752,2.587150711124707
2020-02-18,46.401432037353516,65.63926696777344,14.829999923706055,15.237499904632568,2.5307003535165813
2020-02-19,46.78630065917969,65.18196105957031,14.380000114440918,15.313999891281128,2.684782937607553
2020-02-20,47.20463180541992,64.85408020019531,15.5600004196167,15.446499919891357,2.826289619595537
2020-02-21,46.560401916503906,65.81185913085938,17.079999923706055,15.651499938964843,2.5388509085412885
2020-02-24,45.12134552001953,64.21551513671875,25.030000686645508,16.174999952316284,2.4702844139751607
2020-02-25,43.38106918334961,63.68054962158203,27.850000381469727,16.655999994277956,2.1731312248342083
2020-02-26,42.66155242919922,62.92119598388672,27.559999465942383,17.219999933242796,2.132891242516432
2020-02-27,40.938011169433594,60.531028747558594,39.15999984741211,18.35849995613098,2.1241879905839407
2020-02-28,39.74994659423828,58.3047981262207,40.11000061035156,19.589499998092652,2.2070205969227583
2020-03-02,41.5404052734375,62.50703430175781,33.41999816894531,20.318499898910524,1.9521268414543655
2020-03-03,39.8168830871582,61.93753433227539,36.81999969482422,21.26099991798401,1.663926662976677
2020-03-04,40.52804946899414,65.03526306152344,31.989999771118164,22.05799994468689,1.3433693673348215
2020-03-05,38.402915954589844,62.42073440551758,39.619998931884766,23.281499910354615,1.2815854185607856
2020-03-06,36.721221923828125,62.56743621826172,41.939998626708984,24.630499839782715,0.8925530933381514
2020-03-09,31.031906127929688,60.39296340942383,54.459999084472656,26.57999978065491,-0.013570367727620561
2020-03-10,33.22396469116211,61.96339797973633,47.29999923706055,28.192999744415282,0.22308421781984314
2020-03-11,30.914770126342773,59.45243835449219,53.900001525878906,30.12899980545044,0.10528621088756594
2020-03-12,28.32110595703125,55.12939453125,75.47000122070312,33.21549987792969,0.20367385664590756
2020-03-13,31.492063522338867,59.625003814697266,57.83000183105469,35.39949998855591,0.2046110115663758
2020-03-16,27.19161033630371,53.79194259643555,82.69000244140625,38.850000095367434,0.16282956350425465
2020-03-17,29.24980354309082,60.574188232421875,75.91000366210938,41.9040002822876,-0.429785731303076
2020-03-18,26.212711334228516,58.4083366394043,76.44999694824219,45.007500123977664,-0.7592025170809716
2020-03-19,27.609939575195312,57.510948181152344,72.0,47.829500102996825,-0.31692493889301443
2020-03-20,25.786012649536133,53.56759262084961,66.04000091552734,50.27750015258789,-0.1090675599060599
2020-03-23,23.795576095581055,52.1783561706543,61.59000015258789,52.10550012588501,-0.32959706173708486
2020-03-24,26.553258895874023,52.79099655151367,61.66999816894531,53.796500015258786,0.17736712644379546
2020-03-25,26.84086799621582,51.67787551879883,63.95000076293945,55.61600008010864,0.4109307476286568
2020-03-26,29.141756057739258,55.06900405883789,61.0,56.708000087738036,0.39179863834079637
2020-03-27,28.19432830810547,56.31154251098633,65.54000091552734,57.97950010299682,-0.005434604433068733
2020-03-30,28.152036666870117,57.450557708740234,57.08000183105469,59.16250028610229,-0.18950847880752522
2020-03-31,27.5683536529541,57.260719299316406,53.540000915527344,59.99850034713745,-0.28757417421143705
2020-04-01,25.78347396850586,56.5617790222168,57.060001373291016,61.252000427246095,-0.5692755866522436
2020-04-02,26.265647888183594,58.82251739501953,50.90999984741211,61.81650047302246,-0.8112486988653296
2020-04-03,24.971399307250977,58.347957611083984,46.79999923706055,62.059500503540036,-1.0204670627667525
2020-04-06,27.052345275878906,60.83304214477539,45.2400016784668,61.598500633239745,-0.9484417134009067
2020-04-07,27.822124481201172,59.573238372802734,46.70000076293945,61.568500709533694,-0.5872750013888465
2020-04-08,29.302474975585938,60.591453552246094,43.349998474121094,61.041000556945804,-0.42095692712084704
2020-04-09,31.620288848876953,60.32394790649414,41.66999816894531,59.35100040435791,0.12525773991022274
2020-04-13,29.83540916442871,59.96152877807617,41.16999816894531,58.51800022125244,-0.20810496582363033
2020-04-14,29.353235244750977,63.08515930175781,37.7599983215332,56.27150001525879,-0.7927172312279007
2020-04-15,27.373794555664062,62.68824005126953,40.84000015258789,54.51799983978272,-1.1631865849719576
2020-04-16,26.367156982421875,62.852169036865234,40.11000061035156,52.70100002288818,-1.4077405876445688
2020-04-17,28.75263786315918,63.73766326904297,38.150001525878906,51.00850009918213,-1.0237820866112166
2020-04-20,28.684959411621094,62.643821716308594,43.83000183105469,49.898000144958495,-0.870610148850477
2020-04-21,27.889799118041992,61.29823684692383,45.40999984741211,49.089000129699706,-0.8373402926132655
2020-04-22,27.771377563476562,61.81909942626953,41.97999954223633,48.104500198364256,-0.9431098942808003
2020-04-23,28.28737449645996,61.83647155761719,41.380001068115234,46.976000213623045,-0.8333195313355497
2020-04-24,29.074087142944336,61.98405838012695,35.93000030517578,45.722500228881835,-0.6845189251631405
2020-04-27,31.00277328491211,61.66286087036133,33.290000915527344,44.11000022888184,-0.2148688785341898
2020-04-28,31.78947639465332,61.7322998046875,33.56999969482422,42.93450012207031,-0.05407341990242264
2020-04-29,33.608184814453125,60.90758514404297,31.229999542236328,41.81900005340576,0.4689057011209339
2020-04-30,32.254722595214844,61.00307846069336,34.150001525878906,40.673500061035156,0.15927009130968042
2020-05-01,30.732084274291992,59.4925537109375,37.189998626708984,39.9875,0.059313003617189254
2020-05-04,30.427541732788086,60.31725311279297,35.970001220703125,39.44600009918213,-0.13366386063971436
2020-05-05,29.8438663482666,60.35197448730469,33.61000061035156,38.86450004577637,-0.2662013547704752
2020-05-06,29.057167053222656,58.89352035522461,34.119998931884766,38.235499954223634,-0.2137602855397167
2020-05-07,29.4462833404541,59.72694778442383,31.440000534057617,37.64000005722046,-0.25689984187191867
2020-05-08,30.909717559814453,60.22177505493164,27.979999542236328,36.95550012588501,-0.01392024731544585
2020-05-11,29.590087890625,60.230445861816406,27.56999969482422,36.275500202178954,-0.30285371114412124
2020-05-12,28.07590103149414,59.666168212890625,33.040000915527344,36.03950033187866,-0.5462326969913587
2020-05-13,26.561716079711914,59.29286575317383,35.279998779296875,35.76150026321411,-0.8189289647131905
2020-05-14,27.407636642456055,58.21638870239258,32.61000061035156,35.38650026321411,-0.4693114117158212
2020-05-15,27.10310173034668,59.85715866088867,31.889999389648438,35.07350015640259,-0.7875662889135385
2020-05-18,29.810028076171875,60.95967102050781,29.299999237060547,34.34700002670288,-0.36686710917775933
2020-05-19,28.51577377319336,60.117584228515625,30.530000686645508,33.60300006866455,-0.5196655394006151
2020-05-20,29.970752716064453,61.17668914794922,27.989999771118164,32.90350008010864,-0.3651542033906209
2020-05-21,29.86078643798828,60.99441146850586,29.530000686645508,32.31100006103516,-0.3611379501475577
2020-05-22,29.547792434692383,61.41975784301758,28.15999984741211,31.92250003814697,-0.4946497648498447
2020-05-26,32.03478240966797,60.27385711669922,28.010000228881836,31.658500003814698,0.2232829037272441
2020-05-27,34.35258483886719,61.28086471557617,27.6200008392334,31.361000061035156,0.5738372322412519
2020-05-28,33.10909652709961,62.583072662353516,28.59000015258789,31.229000091552734,0.10291983499451736
2020-05-29,32.297019958496094,62.791404724121094,27.510000228881836,30.89700002670288,-0.10604777899873134
2020-06-01,32.61000442504883,63.13866424560547,28.229999542236328,30.449000072479247,-0.09114520889564975
2020-06-02,32.50849151611328,62.88689041137695,26.84000015258789,29.992500019073486,-0.07461786019576294
2020-06-03,34.38642883300781,62.20107650756836,25.65999984741211,29.594999980926513,0.4399462559474881
2020-06-04,35.62146759033203,61.41975784301758,25.809999465942383,29.179500007629393,0.8290574389579284
2020-06-05,37.68549728393555,62.852169036865234,24.520000457763672,28.8335000038147,1.0589979534099279
2020-06-08,38.928993225097656,63.8157958984375,25.809999465942383,28.725,1.1820757052397652
2020-06-09,37.98155975341797,63.61612319946289,27.56999969482422,28.725,1.0062433280408583
2020-06-10,35.4522819519043,64.55370330810547,27.56999969482422,28.451499938964844,0.31107487171579723
2020-06-11,32.15321350097656,63.45984649658203,40.790000915527344,28.727000045776368,-0.24000553914726336
2020-06-12,33.329036712646484,63.19076919555664,36.09000015258789,28.901000022888184,0.057562993879952055
2020-06-15,33.811214447021484,63.277565002441406,34.400001525878906,29.026500129699706,0.14932511559682304
2020-06-16,35.02086639404297,63.83314895629883,33.66999816894531,29.245000076293945,0.3276678582515116
2020-06-17,33.946556091308594,64.07623291015625,33.470001220703125,29.392000102996825,0.056213611029474385
2020-06-18,34.098819732666016,63.902626037597656,32.939998626708984,29.639500045776366,0.11604959833730578
2020-06-19,33.73507308959961,63.685577392578125,35.119998931884766,29.91899995803833,0.07009441312092948
2020-06-22,33.68727493286133,63.45984649658203,31.770000457763672,30.09949998855591,0.09433044630365332
2020-06-23,33.328800201416016,63.3036003112793,31.3700008392334,30.267500019073488,0.04019009594788059
2020-06-24,31.579160690307617,62.53095626831055,33.84000015258789,30.57849998474121,-0.22251632435277
2020-06-25,32.62895202636719,63.06052780151367,32.220001220703125,30.760000038146973,-0.07502056202887751
2020-06-26,30.64031219482422,62.08822250366211,34.72999954223633,31.121000003814697,-0.3591639776280295
2020-06-29,31.954681396484375,62.878231048583984,31.780000686645508,31.298500061035156,-0.19398684115320974
2020-06-30,32.765506744384766,63.59877014160156,30.43000030517578,31.47800006866455,-0.127888263394318
2020-07-01,31.39992904663086,63.39909744262695,28.6200008392334,31.626000118255615,-0.3948517119958702
2020-07-02,31.246295928955078,63.61612319946289,27.68000030517578,31.719500160217287,-0.46165164749286103
2020-07-06,31.579160690307617,63.76371765136719,27.940000534057617,31.890500164031984,-0.411764600783328
2020-07-07,30.4781494140625,64.21513366699219,29.43000030517578,32.07150020599365,-0.7210203547770557
2020-07-08,30.435474395751953,64.66654968261719,28.079999923706055,32.097000217437746,-0.7996204854817875
2020-07-09,29.18084144592285,63.65085983276367,29.260000228881836,32.18150024414062,-0.9171329679322124
2020-07-10,30.623245239257812,63.96337890625,27.290000915527344,31.506500244140625,-0.6507496027312042
2020-07-13,31.05851936340332,63.77238464355469,32.189998626708984,31.31150016784668,-0.526564586251533
2020-07-14,30.409875869750977,64.9791030883789,29.520000457763672,31.067500114440918,-0.8531813397346942
2020-07-15,32.21074295043945,64.84017181396484,27.760000228881836,30.772000217437743,-0.4393691351025336
