Date,KDP,V,VIX,AvgVIX,zscore
2022-01-31,33.881465911865234,218.55075073242188,24.829999923706055,23.18100004196167,1.2933684387962476
2022-02-01,34.051090240478516,224.5322265625,21.959999084472656,23.448999977111818,1.6514137532734234
2022-02-02,34.61355972290039,227.4891357421875,22.09000015258789,23.707999992370606,2.115195408442291
2022-02-03,34.59569549560547,223.7398223876953,24.350000381469727,23.939000034332274,1.9437697126959153
2022-02-04,34.14037322998047,220.6959686279297,23.219999313354492,24.119499969482423,1.5404629194892967
2022-02-07,34.435001373291016,219.50738525390625,22.860000610351562,24.324499988555907,1.6660512455286336
2022-02-08,34.68497085571289,220.26112365722656,21.440000534057617,24.426500034332275,1.8481417742137385
2022-02-09,34.53321075439453,223.0924072265625,19.959999084472656,24.503999996185303,1.8785765626453856
2022-02-10,34.17609405517578,218.3449249267578,23.90999984741211,24.818499946594237,1.4610845686064093
2022-02-11,33.952884674072266,217.47381591796875,27.360000610351562,25.171000003814697,1.289997199121464
2022-02-14,34.015384674072266,218.10293579101562,28.329999923706055,25.62799997329712,1.3544152292323608
2022-02-15,33.863616943359375,220.50331115722656,25.700000762939453,25.773499965667725,1.3663737326993648
2022-02-16,33.85468292236328,221.47119140625,24.290000915527344,25.795499992370605,1.4025105846216317
2022-02-17,33.85468292236328,217.3964080810547,28.110000610351562,25.92150001525879,1.2278371169636304
2022-02-18,34.35465621948242,215.53807067871094,27.75,25.866499996185304,1.447756610626631
2022-02-22,34.435001373291016,214.2120361328125,28.809999465942383,25.811999988555907,1.4390558645173344
2022-02-23,33.97967529296875,209.0145263671875,31.020000457763672,25.805000019073486,0.9434261558168995
2022-02-24,32.72084045410156,210.32118225097656,30.31999969482422,25.723000049591064,0.24515290844068371
2022-02-25,34.193946838378906,212.2279052734375,27.59000015258789,25.57800006866455,1.2095639617624152
2022-02-28,34.52427673339844,209.17904663085938,30.149999618530273,25.70250005722046,1.2768002461962562
2022-03-01,34.06896209716797,202.25872802734375,33.31999969482422,26.127000045776366,0.707325862059801
2022-03-02,34.470703125,201.78443908691406,30.739999771118164,26.566000080108644,0.9277151382636604
2022-03-03,34.470703125,200.5745849609375,30.479999542236328,26.985500049591064,0.8758524013573901
2022-03-04,34.71176528930664,193.85745239257812,31.979999542236328,27.367000007629393,0.7323523909651446
2022-03-07,34.051090240478516,184.57545471191406,36.45000076293945,28.028500080108643,-0.06141054646451428
2022-03-08,33.220794677734375,185.55303955078125,35.130001068115234,28.642000102996825,-0.5170121370937434
2022-03-09,33.595767974853516,193.34449768066406,32.45000076293945,29.192500114440918,0.041665324137572124
2022-03-10,33.21186828613281,191.61195373535156,30.229999542236328,29.706000137329102,-0.26263369824064786
2022-03-11,32.863685607910156,190.39248657226562,30.75,30.048000144958497,-0.5235372936592639
2022-03-14,33.069026947021484,193.8961944580078,31.770000457763672,30.268500137329102,-0.25030489556801805
2022-03-15,33.33686828613281,199.51959228515625,29.829999923706055,30.3435001373291,0.15124170130097545
2022-03-16,33.444000244140625,205.0655517578125,26.670000076293945,30.392000102996825,0.4531727462670267
2022-03-17,33.7475471496582,206.59481811523438,25.670000076293945,30.461000061035158,0.7006110210447076
2022-03-18,33.75647735595703,212.07301330566406,23.8700008392334,30.249000072479248,0.9407953734747476
2022-03-21,33.72969436645508,210.06954956054688,23.530000686645508,30.038000106811523,0.8388648338015707
2022-03-22,33.77433395385742,211.4535675048828,22.940000534057617,29.744500160217285,0.9249411875893702
2022-03-23,32.91725158691406,207.7853240966797,23.56999969482422,29.37200012207031,0.2541367069707378
2022-03-24,33.265438079833984,210.3308563232422,21.670000076293945,28.9395001411438,0.5718869316191763
2022-03-25,33.55113220214844,211.41485595703125,20.809999465942383,28.600500106811523,0.7895407165649838
2022-03-28,33.926109313964844,213.67971801757812,19.6299991607666,28.07450008392334,1.1113122348703595
2022-03-29,34.18501663208008,220.79368591308594,18.899999618530273,27.353500080108642,1.5714017936229545
2022-03-30,34.06001281738281,216.75758361816406,19.329999923706055,26.78300008773804,1.3234849972593192
