Date,CVX,UPS,VIX,AvgVIX,zscore
2022-01-31,110.67057800292969,165.7238311767578,24.829999923706055,23.18100004196167,-2.741234497973179
2022-02-01,113.5863037109375,189.06492614746094,21.959999084472656,23.448999977111818,-2.1731120477060375
2022-02-02,114.1087646484375,190.22872924804688,22.09000015258789,23.707999992370606,-2.1082815900210368
2022-02-03,113.089111328125,187.4258270263672,24.350000381469727,23.939000034332274,-2.2413174425757325
2022-02-04,114.50482177734375,184.22952270507812,23.219999313354492,24.119499969482423,-2.1434149066019494
2022-02-07,116.75479888916016,184.45079040527344,22.860000610351562,24.324499988555907,-1.9228949397479114
2022-02-08,114.97675323486328,184.56553649902344,21.440000534057617,24.426500034332275,-2.0936141236259624
2022-02-09,116.11439514160156,184.45901489257812,19.959999084472656,24.503999996185303,-1.984788784868404
2022-02-10,114.63966369628906,180.8611297607422,23.90999984741211,24.818499946594237,-2.171615037206524
2022-02-11,116.97389221191406,174.96847534179688,27.360000610351562,25.171000003814697,-2.01781783101133
2022-02-14,115.1705551147461,175.37823486328125,28.329999923706055,25.62799997329712,-2.187372260067644
2022-02-15,114.3275375366211,178.0582275390625,25.700000762939453,25.773499965667725,-2.2361584050966146
2022-02-16,114.36158752441406,176.46006774902344,24.290000915527344,25.795499992370605,-2.2524352492266613
2022-02-17,113.77404022216797,172.6901092529297,28.110000610351562,25.92150001525879,-2.3554846681576493
2022-02-18,113.61225128173828,172.8303985595703,27.75,25.866499996185304,-2.369428560486489
2022-02-22,112.74366760253906,172.5084686279297,28.809999465942383,25.811999988555907,-2.4574549513548734
2022-02-23,115.42601776123047,168.80189514160156,31.020000457763672,25.805000019073486,-2.2431841851783423
2022-02-24,114.82997131347656,171.03904724121094,30.31999969482422,25.723000049591064,-2.2734857598835823
2022-02-25,119.5389404296875,173.3174591064453,27.59000015258789,25.57800006866455,-1.7897276006576122
2022-02-28,122.62149047851562,173.70547485351562,30.149999618530273,25.70250005722046,-1.4865678309331427
2022-03-01,127.4923095703125,169.7099609375,33.31999969482422,26.127000045776366,-1.0639800732138136
2022-03-02,131.25613403320312,174.56396484375,30.739999771118164,26.566000080108644,-0.640173137481432
2022-03-03,133.02731323242188,175.36473083496094,30.479999542236328,26.985500049591064,-0.45890615504805743
2022-03-04,135.09654235839844,173.68067932128906,31.979999542236328,27.367000007629393,-0.27921850607436005
2022-03-07,137.98324584960938,166.07769775390625,36.45000076293945,28.028500080108643,-0.09288552224929507
2022-03-08,145.2128143310547,167.91859436035156,35.130001068115234,28.642000102996825,0.6295220305873215
2022-03-09,141.5852813720703,170.7006072998047,32.45000076293945,29.192500114440918,0.31242909114257167
2022-03-10,145.45980834960938,171.03077697753906,30.229999542236328,29.706000137329102,0.6915480877808492
2022-03-11,145.5279083251953,168.32308959960938,30.75,30.048000144958497,0.6649788020953841
2022-03-14,141.9684600830078,168.65330505371094,31.770000457763672,30.268500137329102,0.32444904828005544
2022-03-15,134.78147888183594,173.79629516601562,29.829999923706055,30.3435001373291,-0.30830239088603106
2022-03-16,134.296142578125,179.8803253173828,26.670000076293945,30.392000102996825,-0.2807729286766835
2022-03-17,136.6208038330078,183.5291290283203,25.670000076293945,30.461000061035158,-0.011045226506603337
2022-03-18,137.71926879882812,181.43228149414062,23.8700008392334,30.249000072479248,0.06961154418347137
2022-03-21,140.19725036621094,180.4251708984375,23.530000686645508,30.038000106811523,0.29715932409449414
2022-03-22,139.72891235351562,180.3096160888672,22.940000534057617,29.744500160217285,0.25040642328431906
2022-03-23,141.2361297607422,177.13961791992188,23.56999969482422,29.37200012207031,0.3574895095635526
2022-03-24,141.61082458496094,177.2056884765625,21.670000076293945,28.9395001411438,0.39457119323844964
2022-03-25,144.17396545410156,177.77528381347656,20.809999465942383,28.600500106811523,0.6496731752769771
2022-03-28,141.65341186523438,181.242431640625,19.6299991607666,28.07450008392334,0.44813289192994515
2022-03-29,139.9248046875,183.636474609375,18.899999618530273,27.353500080108642,0.31011474920795246
2022-03-30,140.9125518798828,181.77899169921875,19.329999923706055,26.78300008773804,0.3829849953884231
2022-03-31,138.6559600830078,177.04058837890625,20.559999465942383,26.28700008392334,0.10650218477115808
2022-04-01,139.83961486816406,170.58499145507812,19.6299991607666,25.669500064849853,0.14202308434843605
2022-04-04,139.96734619140625,169.40451049804688,18.56999969482422,24.77550001144409,0.13993052264347403
2022-04-05,139.1072998046875,162.80039978027344,21.030000686645508,24.070499992370607,-0.024208874039613408
2022-04-06,140.34202575683594,160.472412109375,22.100000381469727,23.55299997329712,0.06680787074307779
2022-04-07,142.29205322265625,159.07728576660156,21.549999237060547,23.11899995803833,0.2384946893357397
2022-04-08,144.70188903808594,157.64915466308594,21.15999984741211,22.639499950408936,0.45428924411535376
2022-04-11,140.98069763183594,157.54180908203125,24.3700008392334,22.26949996948242,0.09274294960215428
2022-04-12,143.91848754882812,155.1065673828125,24.260000228881836,21.99099998474121,0.3473119993540444
2022-04-13,146.18359375,155.9155731201172,21.81999969482422,21.748499965667726,0.5764947213847607
2022-04-14,146.11546325683594,155.21385192871094,22.700000762939453,21.6,0.56130516088493
2022-04-18,148.07400512695312,154.5039520263672,22.170000076293945,21.51499996185303,0.742208362309361
2022-04-19,146.31982421875,157.41799926757812,21.3700008392334,21.40699996948242,0.6080831674002519
2022-04-20,146.9158935546875,157.20338439941406,20.31999969482422,21.27599992752075,0.6631574845173211
2022-04-21,140.1461639404297,155.85775756835938,22.68000030517578,21.23149995803833,-0.008669465565939146
2022-04-22,137.05508422851562,154.4956817626953,28.209999084472656,21.558499908447267,-0.32458451387195186
2022-04-25,134.10877990722656,156.5511932373047,27.020000457763672,21.86899995803833,-0.5846284567779891
2022-04-26,133.29129028320312,151.1110382080078,33.52000045776367,22.563500022888185,-0.7303928662471854
2022-04-27,133.0443572998047,153.8765106201172,31.600000381469727,23.198500061035155,-0.7204278822521724
2022-04-28,137.7703857421875,156.98046875,29.989999771118164,23.73150005340576,-0.22490761269859944
2022-04-29,133.41050720214844,148.57672119140625,33.400001525878906,24.37350015640259,-0.7498904424553721
2022-05-02,136.03321838378906,147.4209747314453,32.34000015258789,25.00900020599365,-0.5101524283591582
2022-05-03,138.36642456054688,147.04122924804688,29.25,25.54300022125244,-0.28893619545233723
2022-05-04,142.70928955078125,151.73016357421875,25.420000076293945,25.762500190734862,0.1889033696462392
2022-05-05,141.5767364501953,148.41983032226562,31.200000762939453,26.21750020980835,0.03872356654541442
2022-05-06,145.34906005859375,148.5271453857422,30.190000534057617,26.6495002746582,0.40521936310379125
2022-05-09,135.60743713378906,149.77371215820312,34.75,27.3290002822876,-0.5225558012665112
2022-05-10,136.9103240966797,150.2524871826172,32.9900016784668,27.76000032424927,-0.39056556424414884
2022-05-11,138.93699645996094,146.4964141845703,32.560001373291016,28.175000381469726,-0.24037421471675552
2022-05-12,140.2568817138672,147.47879028320312,31.770000457763672,28.6725004196167,-0.10057072034625816
2022-05-13,142.94773864746094,148.23641967773438,28.8700008392334,28.981000423431396,0.16919777351104529
2022-05-16,147.3246307373047,149.67681884765625,27.469999313354492,29.246000385284425,0.6105457128707673
2022-05-17,148.19320678710938,152.48268127441406,26.100000381469727,29.48250036239624,0.7289927167605998
2022-05-18,144.28683471679688,143.39901733398438,30.959999084472656,30.01450033187866,0.2395846760941047
2022-05-19,143.25657653808594,139.3692169189453,29.350000381469727,30.34800033569336,0.09049608194681506
2022-05-20,144.08078002929688,142.408203125,29.43000030517578,30.409000396728516,0.20750270644859098
2022-05-23,147.42913818359375,145.1974334716797,28.479999542236328,30.48200035095215,0.5658024337771571
2022-05-24,148.21897888183594,144.96432495117188,29.450000762939453,30.278500366210938,0.6394083782267092
2022-05-25,150.59715270996094,144.7561492919922,28.3700008392334,30.117000389099122,0.8670789840018651
2022-05-26,151.61019897460938,148.51951599121094,27.5,29.992500400543214,1.0112382897476915
2022-05-27,153.06117248535156,151.97482299804688,25.719999313354492,29.608500289916993,1.1940184540783612
2022-05-31,149.95323181152344,151.74166870117188,26.190000534057617,29.301000308990478,0.8902973609713025
2022-06-01,151.37843322753906,150.05982971191406,25.690000534057617,29.12300033569336,1.0076667154808587
2022-06-02,151.10369873046875,153.2570037841797,24.719999313354492,29.088000297546387,1.0202275212343759
