Date,XOM,AVGO,VIX,AvgVIX,zscore
2020-01-30,48.712581634521484,27.060224533081055,15.489999771118164,13.696000051498412,0.5085748613639657
2020-01-31,46.70512771606445,26.198284149169922,18.84000015258789,14.014500045776368,0.44459520815506615
2020-02-03,45.660057067871094,26.204296112060547,17.969999313354492,14.211999988555908,0.38085718943059776
2020-02-04,45.08865737915039,26.751163482666016,16.049999237060547,14.32199993133545,0.30963190747249814
2020-02-05,47.16376495361328,27.24738311767578,15.149999618530273,14.389999914169312,0.402185476568563
2020-02-06,46.524681091308594,27.445695877075195,14.960000038146973,14.465499925613404,0.3501833177025053
2020-02-07,46.2164306640625,27.062801361083984,15.470000267028809,14.611999940872192,0.35712511458433827
2020-02-10,45.728336334228516,26.974376678466797,15.039999961853027,14.735999917984008,0.3334618616050618
2020-02-11,46.16303253173828,27.48604393005371,15.180000305175781,14.878999948501587,0.32556581724350286
2020-02-12,46.72740173339844,27.875808715820312,13.739999771118164,14.946499919891357,0.3336861469884267
2020-02-13,46.46810531616211,27.813135147094727,14.149999618530273,15.032999897003174,0.3221657658263002
2020-02-14,46.25456619262695,27.280864715576172,13.680000305175781,15.100999927520752,0.3448436170406191
2020-02-18,45.667327880859375,26.678192138671875,14.829999923706055,15.237499904632568,0.34958498709329067
2020-02-19,46.01813888549805,27.102293014526367,14.380000114440918,15.313999891281128,0.34246503577130577
2020-02-20,45.652069091796875,26.548551559448242,15.5600004196167,15.446499919891357,0.35733571151636706
2020-02-21,45.095340728759766,26.141620635986328,17.079999923706055,15.651499938964843,0.3508271967847907
2020-02-24,42.98280334472656,25.03414535522461,25.030000686645508,16.174999952316284,0.296910092476186
2020-02-25,41.335487365722656,24.268356323242188,27.850000381469727,16.655999994277956,0.24832192958123908
2020-02-26,40.42794418334961,24.54307746887207,27.559999465942383,17.219999933242796,0.17493679597239475
2020-02-27,37.995094299316406,23.51887321472168,39.15999984741211,18.35849995613098,0.0960349510177967
2020-02-28,39.23057556152344,23.404691696166992,40.11000061035156,19.589499998092652,0.1785513016136919
2020-03-02,41.09144592285156,24.464954376220703,33.41999816894531,20.318499898910524,0.2203757594210441
2020-03-03,39.123809814453125,23.54463005065918,36.81999969482422,21.26099991798401,0.16271625307935364
2020-03-04,39.97797775268555,24.506162643432617,31.989999771118164,22.05799994468689,0.15013724550187854
2020-03-05,38.21625900268555,23.526594161987305,39.619998931884766,23.281499910354615,0.10892178625239302
2020-03-06,36.37065124511719,23.132545471191406,41.939998626708984,24.630499839782715,0.023439657085985197
2020-03-09,31.924419403076172,21.267004013061523,54.459999084472656,26.57999978065491,-0.12117985807439255
2020-03-10,33.10652542114258,22.570220947265625,47.29999923706055,28.192999744415282,-0.1367497467835917
2020-03-11,32.01593780517578,21.116764068603516,53.900001525878906,30.12899980545044,-0.10557948677515283
2020-03-12,28.355234146118164,18.78247833251953,75.47000122070312,33.21549987792969,-0.171224579083939
2020-03-13,29.07212257385254,20.108013153076172,57.83000183105469,35.39949998855591,-0.21648212140628156
2020-03-16,26.303709030151367,16.10392189025879,82.69000244140625,38.850000095367434,-0.11630825133664878
2020-03-17,28.073047637939453,17.128124237060547,75.91000366210938,41.9040002822876,-0.0776178685854321
2020-03-18,25.258880615234375,14.41180419921875,76.44999694824219,45.007500123977664,-0.06639374850438017
2020-03-19,26.257946014404297,16.693721771240234,72.0,47.829500102996825,-0.15855074602146885
2020-03-20,24.96907615661621,16.782779693603516,66.04000091552734,50.27750015258789,-0.2426214149985671
2020-03-23,23.985260009765625,16.89191436767578,61.59000015258789,52.10550012588501,-0.3095480632428496
2020-03-24,27.028223037719727,18.576128005981445,61.66999816894531,53.796500015258786,-0.2378382222941915
2020-03-25,28.439117431640625,18.99434471130371,63.95000076293945,55.61600008010864,-0.18031887107097447
2020-03-26,29.605972290039062,21.231231689453125,61.0,56.708000087738036,-0.25929369669737795
2020-03-27,28.179821014404297,20.141603469848633,65.54000091552734,57.97950010299682,-0.272807214452904
2020-03-30,28.599271774291992,20.964069366455078,57.08000183105469,59.16250028610229,-0.30242565998989873
2020-03-31,28.957727432250977,20.701261520385742,53.540000915527344,59.99850034713745,-0.26311478390012283
2020-04-01,28.622159957885742,19.52519416809082,57.060001373291016,61.252000427246095,-0.2047498542785117
2020-04-02,30.810956954956055,20.697771072387695,50.90999984741211,61.81650047302246,-0.15056765735106145
2020-04-03,29.903406143188477,20.453298568725586,46.79999923706055,62.059500503540036,-0.18920911861359566
2020-04-06,30.864341735839844,22.040603637695312,45.2400016784668,61.598500633239745,-0.2371938820826751
2020-04-07,31.45158576965332,22.113067626953125,46.70000076293945,61.568500709533694,-0.20645365741626176
