Date,MS,MS,VIX,AvgVIX,zscore
2020-01-30,44.35104751586914,44.35104751586914,15.489999771118164,13.696000051498412,-1.179477508233634
2020-01-31,43.06549835205078,43.06549835205078,18.84000015258789,14.014500045776368,-1.179477508233634
2020-02-03,43.3456916809082,43.3456916809082,17.969999313354492,14.211999988555908,-1.179477508233634
2020-02-04,44.5158576965332,44.5158576965332,16.049999237060547,14.32199993133545,-1.179477508233634
2020-02-05,45.31520462036133,45.31520462036133,15.149999618530273,14.389999914169312,-1.179477508233634
2020-02-06,45.331668853759766,45.331668853759766,14.960000038146973,14.465499925613404,-1.179477508233634
2020-02-07,45.348167419433594,45.348167419433594,15.470000267028809,14.611999940872192,-1.179477508233634
2020-02-10,45.611854553222656,45.611854553222656,15.039999961853027,14.735999917984008,-1.179477508233634
2020-02-11,45.96620559692383,45.96620559692383,15.180000305175781,14.878999948501587,-1.179477508233634
2020-02-12,46.29583740234375,46.29583740234375,13.739999771118164,14.946499919891357,-1.179477508233634
2020-02-13,46.08982467651367,46.08982467651367,14.149999618530273,15.032999897003174,-1.179477508233634
2020-02-14,46.01565170288086,46.01565170288086,13.680000305175781,15.100999927520752,-1.179477508233634
2020-02-18,45.751956939697266,45.751956939697266,14.829999923706055,15.237499904632568,-1.179477508233634
2020-02-19,46.40296936035156,46.40296936035156,14.380000114440918,15.313999891281128,-1.179477508233634
2020-02-20,44.293365478515625,44.293365478515625,15.5600004196167,15.446499919891357,-1.179477508233634
2020-02-21,43.197357177734375,43.197357177734375,17.079999923706055,15.651499938964843,-1.179477508233634
2020-02-24,40.93943405151367,40.93943405151367,25.030000686645508,16.174999952316284,-1.179477508233634
2020-02-25,39.57971954345703,39.57971954345703,27.850000381469727,16.655999994277956,-1.179477508233634
2020-02-26,38.92871856689453,38.92871856689453,27.559999465942383,17.219999933242796,-1.179477508233634
2020-02-27,37.42067337036133,37.42067337036133,39.15999984741211,18.35849995613098,-1.179477508233634
2020-02-28,37.1075439453125,37.1075439453125,40.11000061035156,19.589499998092652,-1.179477508233634
2020-03-02,38.30242156982422,38.30242156982422,33.41999816894531,20.318499898910524,-1.179477508233634
2020-03-03,36.58838653564453,36.58838653564453,36.81999969482422,21.26099991798401,-1.179477508233634
2020-03-04,37.28059768676758,37.28059768676758,31.989999771118164,22.05799994468689,-1.179477508233634
2020-03-05,35.09681701660156,35.09681701660156,39.619998931884766,23.281499910354615,-1.179477508233634
2020-03-06,34.47878646850586,34.47878646850586,41.939998626708984,24.630499839782715,-1.179477508233634
2020-03-09,30.9023494720459,30.9023494720459,54.459999084472656,26.57999978065491,-1.179477508233634
2020-03-10,32.55046081542969,32.55046081542969,47.29999923706055,28.192999744415282,-1.179477508233634
2020-03-11,30.383182525634766,30.383182525634766,53.900001525878906,30.12899980545044,-1.179477508233634
2020-03-12,25.8013973236084,25.8013973236084,75.47000122070312,33.21549987792969,-1.179477508233634
2020-03-13,30.9023494720459,30.9023494720459,57.83000183105469,35.39949998855591,-1.179477508233634
2020-03-16,26.081581115722656,26.081581115722656,82.69000244140625,38.850000095367434,-1.179477508233634
2020-03-17,27.845077514648438,27.845077514648438,75.91000366210938,41.9040002822876,-1.179477508233634
2020-03-18,25.339929580688477,25.339929580688477,76.44999694824219,45.007500123977664,-1.179477508233634
2020-03-19,25.480012893676758,25.480012893676758,72.0,47.829500102996825,-1.179477508233634
2020-03-20,24.44993782043457,24.44993782043457,66.04000091552734,50.27750015258789,-1.179477508233634
2020-03-23,22.91717529296875,22.91717529296875,61.59000015258789,52.10550012588501,-2.1904582295767487
2020-03-24,27.375354766845703,27.375354766845703,61.66999816894531,53.796500015258786,-1.179477508233634
2020-03-25,28.009885787963867,28.009885787963867,63.95000076293945,55.61600008010864,-1.179477508233634
2020-03-26,29.427268981933594,29.427268981933594,61.0,56.708000087738036,-1.179477508233634
2020-03-27,28.02635955810547,28.02635955810547,65.54000091552734,57.97950010299682,-1.179477508233634
2020-03-30,28.710344314575195,28.710344314575195,57.08000183105469,59.16250028610229,-1.179477508233634
2020-03-31,28.018125534057617,28.018125534057617,53.540000915527344,59.99850034713745,-1.179477508233634
2020-04-01,26.056861877441406,26.056861877441406,57.060001373291016,61.252000427246095,-1.179477508233634
2020-04-02,27.935720443725586,27.935720443725586,50.90999984741211,61.81650047302246,-1.179477508233634
2020-04-03,27.894514083862305,27.894514083862305,46.79999923706055,62.059500503540036,-1.179477508233634
2020-04-06,30.498552322387695,30.498552322387695,45.2400016784668,61.598500633239745,-1.179477508233634
2020-04-07,30.440876007080078,30.440876007080078,46.70000076293945,61.568500709533694,-1.179477508233634
2020-04-08,32.44334411621094,32.44334411621094,43.349998474121094,61.041000556945804,-1.179477508233634
2020-04-09,33.85248947143555,33.85248947143555,41.66999816894531,59.35100040435791,-1.179477508233634
2020-04-13,32.616397857666016,32.616397857666016,41.16999816894531,58.51800022125244,-1.179477508233634
2020-04-14,32.84714126586914,32.84714126586914,37.7599983215332,56.27150001525879,-1.179477508233634
2020-04-15,31.644001007080078,31.644001007080078,40.84000015258789,54.51799983978272,-1.179477508233634
2020-04-16,31.61103630065918,31.61103630065918,40.11000061035156,52.70100002288818,-1.179477508233634
2020-04-17,32.21259307861328,32.21259307861328,38.150001525878906,51.00850009918213,-1.179477508233634
2020-04-20,31.61103630065918,31.61103630065918,43.83000183105469,49.898000144958495,-1.179477508233634
2020-04-21,30.44911003112793,30.44911003112793,45.40999984741211,49.089000129699706,-1.179477508233634
2020-04-22,31.157806396484375,31.157806396484375,41.97999954223633,48.104500198364256,-1.179477508233634
2020-04-23,30.877634048461914,30.877634048461914,41.380001068115234,46.976000213623045,-1.179477508233634
2020-04-24,31.289653778076172,31.289653778076172,35.93000030517578,45.722500228881835,-1.179477508233634
2020-04-27,32.39390563964844,32.39390563964844,33.290000915527344,44.11000022888184,-1.179477508233634
2020-04-28,33.06963348388672,33.06963348388672,33.56999969482422,42.93450012207031,-1.179477508233634
2020-04-29,33.90925598144531,33.90925598144531,31.229999542236328,41.81900005340576,-1.179477508233634
2020-04-30,32.7786750793457,32.7786750793457,34.150001525878906,40.673500061035156,-1.179477508233634
