Date,ASML,MNST,VIX,AvgVIX,zscore
2022-01-31,648.6134033203125,43.36000061035156,24.829999923706055,23.18100004196167,1.171203698367573
2022-02-01,652.7125854492188,43.23500061035156,21.959999084472656,23.448999977111818,1.22713428510575
2022-02-02,657.7601318359375,43.60499954223633,22.09000015258789,23.707999992370606,1.2258581909495458
2022-02-03,618.6633911132812,43.040000915527344,24.350000381469727,23.939000034332274,0.9276791540557502
2022-02-04,625.2528686523438,42.14500045776367,23.219999313354492,24.119499969482423,1.110514820959323
2022-02-07,622.5902709960938,42.27000045776367,22.860000610351562,24.324499988555907,1.0683202176136815
2022-02-08,625.885009765625,42.36000061035156,21.440000534057617,24.426500034332275,1.0877730890190556
2022-02-09,651.6495361328125,43.14500045776367,19.959999084472656,24.503999996185303,1.2290198381709827
2022-02-10,629.151123046875,41.915000915527344,23.90999984741211,24.818499946594237,1.1785824262313156
2022-02-11,601.7200317382812,41.400001525878906,27.360000610351562,25.171000003814697,0.9852508454412982
2022-02-14,601.4041137695312,41.28499984741211,28.329999923706055,25.62799997329712,0.9976275464496454
2022-02-15,628.7008666992188,41.38999938964844,25.700000762939453,25.773499965667725,1.2445687874780273
2022-02-16,635.83642578125,41.61000061035156,24.290000915527344,25.795499992370605,1.2833402688990276
2022-02-17,622.9734497070312,41.06999969482422,28.110000610351562,25.92150001525879,1.232649952352245
2022-02-18,620.4830932617188,40.6349983215332,27.75,25.866499996185304,1.2670798225363884
2022-02-22,613.2423706054688,40.82500076293945,28.809999465942383,25.811999988555907,1.1724081587123578
2022-02-23,605.0628662109375,39.70500183105469,31.020000457763672,25.805000019073486,1.244154014723419
2022-02-24,629.11279296875,40.17499923706055,30.31999969482422,25.723000049591064,1.4111816349961435
2022-02-25,638.9588623046875,42.28499984741211,27.59000015258789,25.57800006866455,1.2228211844678223
2022-02-28,638.3746948242188,42.20000076293945,30.149999618530273,25.70250005722046,1.2286160091539304
2022-03-01,607.4379272460938,41.6150016784668,33.31999969482422,26.127000045776366,1.0111368407467727
2022-03-02,627.704833984375,41.875,30.739999771118164,26.566000080108644,1.1701093026928011
2022-03-03,604.1625366210938,41.67499923706055,30.479999542236328,26.985500049591064,0.9717860431925017
2022-03-04,569.23193359375,40.65999984741211,31.979999542236328,27.367000007629393,0.7736915617063008
2022-03-07,550.0953979492188,37.5,36.45000076293945,28.028500080108643,1.0138032097045209
2022-03-08,548.8501586914062,36.244998931884766,35.130001068115234,28.642000102996825,1.1699266264817927
2022-03-09,595.1113891601562,38.34000015258789,32.45000076293945,29.192500114440918,1.3317600326416388
2022-03-10,574.7393798828125,37.69499969482422,30.229999542236328,29.706000137329102,1.2233298723484891
2022-03-11,561.1195068359375,36.61000061035156,30.75,30.048000144958497,1.2383712701074419
2022-03-14,553.1698608398438,36.6150016784668,31.770000457763672,30.268500137329102,1.161690697881378
