Date,PG,GILD,VIX,AvgVIX,zscore
2020-01-30,107.52604675292969,50.496456146240234,15.489999771118164,13.696000051498412,-0.9852704024729172
2020-01-31,106.39061737060547,49.841880798339844,18.84000015258789,14.014500045776368,-1.0438972520084104
2020-02-03,106.8089370727539,52.333984375,17.969999313354492,14.211999988555908,-1.1441571464556404
2020-02-04,107.27847290039062,53.1541633605957,16.049999237060547,14.32199993133545,-1.1496609622939893
2020-02-05,108.26026153564453,51.947547912597656,15.149999618530273,14.389999914169312,-1.0030029013686739
2020-02-06,108.54198455810547,53.792945861816406,14.960000038146973,14.465499925613404,-1.0795682703724443
2020-02-07,107.63704681396484,54.313446044921875,15.470000267028809,14.611999940872192,-1.1827154062754857
2020-02-10,107.7138671875,54.40808868408203,15.039999961853027,14.735999917984008,-1.181474966442596
2020-02-11,105.9979019165039,53.43806838989258,15.180000305175781,14.878999948501587,-1.2711185323556187
2020-02-12,105.39173889160156,52.79927062988281,13.739999771118164,14.946499919891357,-1.2867529275950549
2020-02-13,106.6808853149414,52.68098068237305,14.149999618530273,15.032999897003174,-1.173550850531381
2020-02-14,107.6882553100586,53.280338287353516,13.680000305175781,15.100999927520752,-1.1225436409080136
2020-02-18,106.60404968261719,52.846580505371094,14.829999923706055,15.237499904632568,-1.1888813227501545
2020-02-19,107.09066009521484,53.11473083496094,14.380000114440918,15.313999891281128,-1.1630853873292437
2020-02-20,108.06390380859375,52.83869934082031,15.5600004196167,15.446499919891357,-1.0675143255332793
2020-02-21,108.16635131835938,54.968013763427734,17.079999923706055,15.651499938964843,-1.1743020273017373
2020-02-24,105.2636947631836,57.49165344238281,25.030000686645508,16.174999952316284,-1.551392558046383
2020-02-25,103.667236328125,55.28348159790039,27.850000381469727,16.655999994277956,-1.5641057693362552
2020-02-26,102.58301544189453,58.911190032958984,27.559999465942383,17.219999933242796,-1.850320656946577
2020-02-27,96.89722442626953,57.30240249633789,39.15999984741211,18.35849995613098,-2.2342599563971737
2020-02-28,96.66673278808594,54.69988250732422,40.11000061035156,19.589499998092652,-2.1124619881261815
