Date,FDX,HD,VIX,AvgVIX,zscore
2023-01-31,181.0133819580078,298.3699035644531,19.399999618530273,20.202999973297118,-3.413110108663365
2023-02-01,188.71670532226562,301.97796630859375,17.8700008392334,19.951500034332277,-3.0948914186371366
2023-02-02,200.28564453125,312.7467041015625,18.729999542236328,19.7875,-2.861532356948738
2023-02-03,200.4444122314453,305.11651611328125,18.329999923706055,19.58100004196167,-2.50281029394316
2023-02-06,196.634765625,303.0639343261719,19.43000030517578,19.49600009918213,-2.647923666255027
2023-02-07,195.99978637695312,299.3179626464844,18.65999984741211,19.33050012588501,-2.5165256105601412
2023-02-08,195.5983123779297,295.25897216796875,19.6299991607666,19.28300008773804,-2.356174928555768
2023-02-09,194.79530334472656,290.4359436035156,20.709999084472656,19.264000034332277,-2.186084726736014
2023-02-10,195.49560546875,291.3471374511719,20.530000686645508,19.34900007247925,-2.1838124106647814
2023-02-13,197.6338348388672,297.7807922363281,20.34000015258789,19.448500061035155,-2.343779435683055
2023-02-14,198.57691955566406,293.08673095703125,18.90999984741211,19.426000022888182,-2.0700724472897263
2023-02-15,198.9224090576172,295.1668395996094,18.229999542236328,19.320499992370607,-2.1434826487076393
2023-02-16,197.6431884765625,295.67303466796875,20.170000076293945,19.30299997329712,-2.246850354701296
2023-02-17,196.3639678955078,292.6448974609375,20.020000457763672,19.311499977111815,-2.1886690309423162
2023-02-21,192.02212524414062,271.9816589355469,22.8700008392334,19.46450004577637,-1.5164955106506262
2023-02-22,189.38897705078125,272.7179870605469,22.290000915527344,19.619000053405763,-1.7152980252336423
2023-02-23,191.58323669433594,275.4884338378906,21.139999389648438,19.72200002670288,-1.704311191510399
2023-02-24,189.80917358398438,273.04937744140625,21.670000076293945,19.869000053405763,-1.7040914532414535
2023-02-27,190.53744506835938,272.4510803222656,20.950000762939453,19.99100008010864,-1.631068382831307
2023-02-28,189.7531280517578,272.9389343261719,20.700000762939453,20.029000091552735,-1.7025583334852732
2023-03-01,190.7895965576172,267.6465759277344,20.579999923706055,20.088000106811524,-1.3956472266132407
2023-03-02,193.21725463867188,269.6990661621094,19.59000015258789,20.17400007247925,-1.337205368381416
2023-03-03,195.22482299804688,274.6968994140625,18.489999771118164,20.16200008392334,-1.4397379543965678
2023-03-06,196.20526123046875,274.4759826660156,18.610000610351562,20.176000118255615,-1.3681489548904318
2023-03-07,192.64773559570312,267.563720703125,19.59000015258789,20.184000110626222,-1.2753210827456352
2023-03-08,195.65431213378906,270.23370361328125,19.110000610351562,20.206500148773195,-1.208795221524427
2023-03-09,194.05764770507812,266.9981689453125,22.610000610351562,20.35550022125244,-1.1610435467152151
2023-03-10,188.9029541015625,265.4314270019531,24.799999237060547,20.560000228881837,-1.412722726166093
2023-03-13,185.33502197265625,265.6260986328125,26.520000457763672,20.859500217437745,-1.6453948096813875
2023-03-14,185.8044891357422,264.74542236328125,23.729999542236328,21.029000186920165,-1.5756963277457785
2023-03-15,183.37266540527344,266.97039794921875,26.139999389648438,21.390500164031984,-1.8299159976165136
2023-03-16,191.58827209472656,265.82080078125,22.989999771118164,21.628500175476074,-1.2621023671301221
2023-03-17,206.85525512695312,267.3597412109375,25.510000228881836,21.89550018310547,-0.37492881120286586
2023-03-20,203.03379821777344,268.16632080078125,24.149999618530273,22.102000141143797,-0.6514708834784744
2023-03-21,206.40455627441406,268.32391357421875,21.3799991607666,22.027500057220458,-0.4472666615732817
2023-03-22,203.8037109375,262.00128173828125,22.260000228881836,22.026000022888184,-0.3213887250230283
2023-03-23,203.67225646972656,263.2064208984375,22.610000610351562,22.09950008392334,-0.38471840419126757
2023-03-24,204.31077575683594,262.38128662109375,21.739999771118164,22.10300006866455,-0.306956034908057
