Date,XOM,QCOM,VIX,AvgVIX,zscore
2020-01-30,48.71258544921875,76.35943603515625,15.489999771118164,13.696000051498412,1.7818787454818692
2020-01-31,46.70513916015625,74.21076965332031,18.84000015258789,14.014500045776368,1.5695535942817136
2020-02-03,45.66006088256836,75.22856903076172,17.969999313354492,14.211999988555908,1.4102846418771025
2020-02-04,45.08864974975586,77.35980987548828,16.049999237060547,14.32199993133545,1.2872813937335574
2020-02-05,47.16375732421875,79.08219146728516,15.149999618530273,14.389999914169312,1.518138730930045
2020-02-06,46.52469253540039,78.82124328613281,14.960000038146973,14.465499925613404,1.4408951026938832
2020-02-07,46.216434478759766,76.04627990722656,15.470000267028809,14.611999940872192,1.4640631642137214
2020-02-10,45.72834014892578,77.07275390625,15.039999961853027,14.735999917984008,1.3771067181311596
2020-02-11,46.16304397583008,78.29060363769531,15.180000305175781,14.878999948501587,1.40591841788634
2020-02-12,46.72740936279297,79.78681945800781,13.739999771118164,14.946499919891357,1.4452603024325994
2020-02-13,46.468109130859375,78.3166732788086,14.149999618530273,15.032999897003174,1.4450383476937088
2020-02-14,46.25456237792969,77.94261932373047,13.680000305175781,15.100999927520752,1.4257703444851908
2020-02-18,45.667327880859375,76.5769271850586,14.829999923706055,15.237499904632568,1.3804739573392422
2020-02-19,46.01814270019531,78.77774047851562,14.380000114440918,15.313999891281128,1.3759427576522472
2020-02-20,45.652076721191406,77.82955932617188,15.5600004196167,15.446499919891357,1.3499153284681014
2020-02-21,45.09534454345703,75.70701599121094,17.079999923706055,15.651499938964843,1.3258540126277627
2020-02-24,42.982810974121094,72.47970581054688,25.030000686645508,16.174999952316284,1.1244525929800657
2020-02-25,41.335487365722656,69.78301239013672,27.850000381469727,16.655999994277956,0.971510414094162
2020-02-26,40.42793655395508,69.2958755493164,27.559999465942383,17.219999933242796,0.8644736884929562
2020-02-27,37.99509811401367,66.05985260009766,39.15999984741211,18.35849995613098,0.6215724533987181
2020-02-28,39.2305793762207,68.1128158569336,40.11000061035156,19.589499998092652,0.7355831731359518
2020-03-02,41.0914421081543,70.07879638671875,33.41999816894531,20.318499898910524,0.9329926522937831
2020-03-03,39.12379837036133,68.33898162841797,36.81999969482422,21.26099991798401,0.7165230428034876
2020-03-04,39.977970123291016,71.7235107421875,31.989999771118164,22.05799994468689,0.7505196882882553
2020-03-05,38.21625900268555,69.41747283935547,39.619998931884766,23.281499910354615,0.5737750396432547
2020-03-06,36.37065124511719,67.9268798828125,41.939998626708984,24.630499839782715,0.3675076826483862
2020-03-09,31.924427032470703,63.69186782836914,54.459999084472656,26.57999978065491,-0.11471664910001024
2020-03-10,33.10652160644531,69.17198181152344,47.29999923706055,28.192999744415282,-0.08583106085575155
2020-03-11,32.01593780517578,65.427978515625,53.900001525878906,30.12899980545044,-0.14240497636121474
2020-03-12,28.355222702026367,58.76416015625,75.47000122070312,33.21549987792969,-0.466966317849759
2020-03-13,29.072114944458008,66.47136688232422,57.83000183105469,35.39949998855591,-0.5494437251269957
2020-03-16,26.303712844848633,56.53705978393555,82.69000244140625,38.850000095367434,-0.683238720087683
2020-03-17,28.073049545288086,60.37751388549805,75.91000366210938,41.9040002822876,-0.5405021524724883
2020-03-18,25.258882522583008,53.6523323059082,76.44999694824219,45.007500123977664,-0.7534567821087719
2020-03-19,26.257953643798828,56.99299621582031,72.0,47.829500102996825,-0.699595974840397
2020-03-20,24.96907615661621,53.406822204589844,66.04000091552734,50.27750015258789,-0.7855847144131309
2020-03-23,23.985261917114258,54.8272590637207,61.59000015258789,52.10550012588501,-0.9460624359395944
2020-03-24,27.028226852416992,57.39634323120117,61.66999816894531,53.796500015258786,-0.608519303659193
2020-03-25,28.439119338989258,55.30952453613281,63.95000076293945,55.61600008010864,-0.37724233593238077
2020-03-26,29.605972290039062,60.48273468017578,61.0,56.708000087738036,-0.34334033086359456
2020-03-27,28.179819107055664,58.38713455200195,65.54000091552734,57.97950010299682,-0.4812009086930889
2020-03-30,28.599275588989258,60.52656173706055,57.08000183105469,59.16250028610229,-0.47539581640320755
2020-03-31,28.957721710205078,59.316566467285156,53.540000915527344,59.99850034713745,-0.40113127522024045
2020-04-01,28.622148513793945,57.78213119506836,57.060001373291016,61.252000427246095,-0.4098162801917488
2020-04-02,30.810956954956055,59.640987396240234,50.90999984741211,61.81650047302246,-0.16726996816835388
2020-04-03,29.90340805053711,57.19467544555664,46.79999923706055,62.059500503540036,-0.22961667070582772
2020-04-06,30.864334106445312,62.21004867553711,45.2400016784668,61.598500633239745,-0.21892270556363497
2020-04-07,31.451574325561523,63.770774841308594,46.70000076293945,61.568500709533694,-0.178074398260695
2020-04-08,33.44208908081055,64.29686737060547,43.349998474121094,61.041000556945804,0.06905826863430671
2020-04-09,32.89297866821289,62.76246643066406,41.66999816894531,59.35100040435791,0.032573359022707235
2020-04-13,32.61079788208008,64.27056884765625,41.16999816894531,58.51800022125244,-0.0385626331803173
2020-04-14,32.3591194152832,67.99703979492188,37.7599983215332,56.27150001525879,-0.1563298202245577
2020-04-15,30.871959686279297,66.62918853759766,40.84000015258789,54.51799983978272,-0.31873279178577724
2020-04-16,29.857648849487305,67.38326263427734,40.11000061035156,52.70100002288818,-0.46798060976507755
2020-04-17,32.96162796020508,66.78702545166016,38.150001525878906,51.00850009918213,-0.05029182991123463
2020-04-20,31.405820846557617,65.15614318847656,43.83000183105469,49.898000144958495,-0.21563171997594427
2020-04-21,31.23802947998047,62.990421295166016,45.40999984741211,49.089000129699706,-0.1880742540776536
2020-04-22,32.13032531738281,65.48058319091797,41.97999954223633,48.104500198364256,-0.12871349570087562
