Date,META,FDX,VIX,AvgVIX,zscore
2020-01-30,207.89852905273438,132.14720153808594,15.489999771118164,13.696000051498412,0.8123524127682326
2020-01-31,200.33786010742188,128.92063903808594,18.84000015258789,14.014500045776368,0.7324949297544264
2020-02-03,202.60011291503906,128.20758056640625,17.969999313354492,14.211999988555908,0.7923352294855999
2020-02-04,208.1961669921875,131.478759765625,16.049999237060547,14.32199993133545,0.8325314121272102
2020-02-05,208.47402954101562,133.6535186767578,15.149999618530273,14.389999914169312,0.7914319075724113
2020-02-06,209.20826721191406,132.47702026367188,14.960000038146973,14.465499925613404,0.8310929115331143
2020-02-07,210.67672729492188,138.74301147460938,15.470000267028809,14.611999940872192,0.7258336639147625
2020-02-10,211.40101623535156,139.74127197265625,15.039999961853027,14.735999917984008,0.7187248572593767
2020-02-11,205.57675170898438,140.8287353515625,15.180000305175781,14.878999948501587,0.5806895684489225
2020-02-12,209.1189422607422,141.2832489013672,13.739999771118164,14.946499919891357,0.6407422503603006
2020-02-13,211.4804229736328,143.9215850830078,14.149999618530273,15.032999897003174,0.6307652984626274
2020-02-14,212.51231384277344,141.3813018798828,13.680000305175781,15.100999927520752,0.7054968028116413
2020-02-18,216.10411071777344,141.33676147460938,14.829999923706055,15.237499904632568,0.7772143511844669
2020-02-19,215.79652404785156,143.62741088867188,14.380000114440918,15.313999891281128,0.7220987680955202
2020-02-20,212.90919494628906,146.98773193359375,15.5600004196167,15.446499919891357,0.5932507809427859
2020-02-21,208.54342651367188,145.5081329345703,17.079999923706055,15.651499938964843,0.5389252402435151
2020-02-24,199.15711975097656,138.02099609375,25.030000686645508,16.174999952316284,0.5143428359447837
2020-02-25,195.23789978027344,129.77633666992188,27.850000381469727,16.655999994277956,0.6136929070432177
2020-02-26,195.66453552246094,128.82257080078125,27.559999465942383,17.219999933242796,0.6425237449373361
2020-02-27,188.27255249023438,123.67970275878906,39.15999984741211,18.35849995613098,0.6070284901977039
2020-02-28,190.97137451171875,125.82772827148438,40.11000061035156,19.589499998092652,0.6141979648442386
2020-03-02,194.91046142578125,124.56209564208984,33.41999816894531,20.318499898910524,0.7189080829936018
2020-03-03,184.4425811767578,118.62586212158203,36.81999969482422,21.26099991798401,0.639803535197583
2020-03-04,190.26687622070312,121.5850601196289,31.989999771118164,22.05799994468689,0.691177671227051
2020-03-05,183.7281951904297,115.80931091308594,39.619998931884766,23.281499910354615,0.6860472638100122
2020-03-06,179.6799774169922,114.37602996826172,41.939998626708984,24.630499839782715,0.6369860089999301
2020-03-09,168.18019104003906,103.64431762695312,54.459999084472656,26.57999978065491,0.640249533111465
2020-03-10,176.8025665283203,108.09644317626953,47.29999923706055,28.192999744415282,0.7147780085571181
2020-03-11,168.91444396972656,99.44300079345703,53.900001525878906,30.12899980545044,0.7446891933526869
2020-03-12,153.26724243164062,86.89281463623047,75.47000122070312,33.21549987792969,0.7051862713931742
2020-03-13,168.95413208007812,95.5193862915039,57.83000183105469,35.39949998855591,0.8294977367324861
2020-03-16,144.87310791015625,81.06114196777344,82.69000244140625,38.850000095367434,0.664698333171136
2020-03-17,148.25656127929688,85.06536102294922,75.91000366210938,41.9040002822876,0.6456045218746361
2020-03-18,145.81570434570312,89.29357147216797,76.44999694824219,45.007500123977664,0.5069663060442723
2020-03-19,151.93768310546875,100.04318237304688,72.0,47.829500102996825,0.39736874327314764
2020-03-20,148.5641632080078,99.48780822753906,66.04000091552734,50.27750015258789,0.3427991136361764
2020-03-23,146.9468536376953,100.1148452758789,61.59000015258789,52.10550012588501,0.2975073474243932
2020-03-24,159.72654724121094,107.53209686279297,61.66999816894531,53.796500015258786,0.3904411058198416
2020-03-25,154.99366760253906,105.98234558105469,63.95000076293945,55.61600008010864,0.33038528820224317
2020-03-26,162.0681915283203,112.51277160644531,61.0,56.708000087738036,0.32991071936740063
2020-03-27,155.56915283203125,108.01582336425781,65.54000091552734,57.97950010299682,0.29817501142420083
2020-03-30,164.6578369140625,111.357177734375,57.08000183105469,59.16250028610229,0.4056783041022401
2020-03-31,165.50123596191406,108.62496948242188,53.540000915527344,59.99850034713745,0.48080643550105673
2020-04-01,158.35728454589844,101.6556396484375,57.060001373291016,61.252000427246095,0.4893125768142289
2020-04-02,156.95826721191406,104.48637390136719,50.90999984741211,61.81650047302246,0.4011279517255041
2020-04-03,152.97950744628906,97.8395004272461,46.79999923706055,62.059500503540036,0.46508742771488076
2020-04-06,164.26097106933594,106.61839294433594,45.2400016784668,61.598500633239745,0.4993434671087082
2020-04-07,167.5154266357422,103.86827087402344,46.70000076293945,61.568500709533694,0.6223565981715615
2020-04-08,172.92298889160156,112.45899200439453,43.349998474121094,61.041000556945804,0.5449179366751693
2020-04-09,173.82591247558594,109.54763793945312,41.66999816894531,59.35100040435791,0.6250553073857926
2020-04-13,173.42901611328125,110.65843963623047,41.16999816894531,58.51800022125244,0.5934473597833512
2020-04-14,176.78269958496094,112.04692840576172,37.7599983215332,56.27150001525879,0.6297845181226438
2020-04-15,175.592041015625,107.40666961669922,40.84000015258789,54.51799983978272,0.7057008002421582
2020-04-16,174.87767028808594,106.67211151123047,40.11000061035156,52.70100002288818,0.7073576606060447
2020-04-17,177.8443603515625,111.84091186523438,38.150001525878906,51.00850009918213,0.6551127702538849
2020-04-20,176.85215759277344,109.8611831665039,43.83000183105469,49.898000144958495,0.6779620281474067
2020-04-21,169.4700927734375,107.92625427246094,45.40999984741211,49.089000129699706,0.573962177608632
2020-04-22,180.86070251464844,106.18839263916016,41.97999954223633,48.104500198364256,0.835591345229382
2020-04-23,183.68849182128906,108.2845687866211,41.380001068115234,46.976000213623045,0.8464120515201924
2020-04-24,188.59005737304688,110.23741149902344,35.93000030517578,45.722500228881835,0.9011587779709601
2020-04-27,186.04006958007812,114.02664184570312,33.290000915527344,44.11000022888184,0.7697715536577613
2020-04-28,181.4857940673828,114.42977905273438,33.56999969482422,42.93450012207031,0.6714121865772494
2020-04-29,192.67796325683594,115.98845672607422,31.229999542236328,41.81900005340576,0.8585343567368605
2020-04-30,203.11607360839844,113.56082153320312,34.150001525878906,40.673500061035156,1.116169810661271
2020-05-01,200.695068359375,105.8838119506836,37.189998626708984,39.9875,1.232880346063963
2020-05-04,203.6617431640625,103.77869415283203,35.970001220703125,39.44600009918213,1.3364106072315587
2020-05-05,205.4576873779297,105.40904235839844,33.61000061035156,38.86450004577637,1.3368784388324537
2020-05-06,206.8468017578125,103.12474822998047,34.119998931884766,38.235499954223634,1.4131656082021724
2020-05-07,209.6150360107422,104.57594299316406,31.440000534057617,37.64000005722046,1.4366256671388637
2020-05-08,210.6965789794922,107.89041137695312,27.979999542236328,36.95550012588501,1.3869522677946948
2020-05-11,211.5200958251953,105.31050109863281,27.56999969482422,36.275500202178954,1.4584271353128113
2020-05-12,208.46409606933594,101.35106658935547,33.040000915527344,36.03950033187866,1.4830131763062564
2020-05-13,203.50302124023438,97.94700622558594,35.279998779296875,35.76150026321411,1.4581727522367223
2020-05-14,205.19970703125,97.7409896850586,32.61000061035156,35.38650026321411,1.496011932549105
2020-05-15,209.238037109375,96.31664276123047,31.889999389648438,35.07350015640259,1.6060762518785328
2020-05-18,211.53001403808594,106.77066040039062,29.299999237060547,34.34700002670288,1.427352324960573
2020-05-19,215.1912841796875,102.82913970947266,30.530000686645508,33.60300006866455,1.5838948399550028
2020-05-20,228.17935180664062,104.81783294677734,27.989999771118164,32.90350008010864,1.7971898051192237
2020-05-21,229.5883026123047,103.7070083618164,29.530000686645508,32.31100006103516,1.8487372058711564
2020-05-22,233.08091735839844,104.80885314941406,28.15999984741211,31.92250003814697,1.8939501729250214
2020-05-26,230.39199829101562,111.80506896972656,28.010000228881836,31.658500003814698,1.6911462222272202
2020-05-27,227.3558349609375,116.8394775390625,27.6200008392334,31.361000061035156,1.5235143627469683
2020-05-28,223.70449829101562,117.48445892333984,28.59000015258789,31.229000091552734,1.4377649781221085
2020-05-29,223.3373565673828,116.95594024658203,27.510000228881836,30.89700002670288,1.4418502995385343
2020-06-01,230.10427856445312,116.19450378417969,28.229999542236328,30.449000072479247,1.5914752608864688
2020-06-02,230.90794372558594,120.21666717529297,26.84000015258789,29.992500019073486,1.521171533600063
2020-06-03,228.36788940429688,123.69236755371094,25.65999984741211,29.594999980926513,1.3966944513241568
2020-06-04,224.5280303955078,124.7046127319336,25.809999465942383,29.179500007629393,1.2993657178890783
2020-06-05,228.97314453125,127.39202880859375,24.520000457763672,28.8335000038147,1.329388336703919
2020-06-08,229.59823608398438,133.81494140625,25.809999465942383,28.725,1.2041529185457305
2020-06-09,236.8116455078125,129.61361694335938,27.56999969482422,28.725,1.4362416669515665
2020-06-10,234.88673400878906,125.7706298828125,27.56999969482422,28.451499938964844,1.4806180182829989
2020-06-11,222.6824951171875,115.38825988769531,40.790000915527344,28.727000045776368,1.4625214081902143
2020-06-12,226.8001708984375,118.89088439941406,36.09000015258789,28.901000022888184,1.4686348168087904
2020-06-15,230.68966674804688,119.75082397460938,34.400001525878906,29.026500129699706,1.5268474756969281
2020-06-16,233.81515502929688,121.41703796386719,33.66999816894531,29.245000076293945,1.5527411955213501
2020-06-17,233.69606018066406,121.5245132446289,33.470001220703125,29.392000102996825,1.5480932020606477
2020-06-18,234.1029052734375,123.9700698852539,32.939998626708984,29.639500045776366,1.5037355428573698
2020-06-19,236.93069458007812,123.28926849365234,35.119998931884766,29.91899995803833,1.5740269391807273
2020-06-22,237.35736083984375,123.06529998779297,31.770000457763672,30.09949998855591,1.587229316803063
2020-06-23,240.35382080078125,124.57923126220703,31.3700008392334,30.267500019073488,1.613842217139055
2020-06-24,232.19784545898438,121.013916015625,33.84000015258789,30.57849998474121,1.529510920808217
2020-06-25,233.8448944091797,121.9276123046875,32.220001220703125,30.760000038146973,1.542392840084044
2020-06-26,214.3975372314453,117.08506774902344,34.72999954223633,31.121000003814697,1.2629573477059473
