Date,PEP,LRCX,VIX,AvgVIX,zscore
2020-01-30,118.7242202758789,28.930830001831055,15.489999771118164,13.696000051498412,-0.2574134937579696
2020-01-31,117.23019409179688,27.745500564575195,18.84000015258789,14.014500045776368,-0.2868799564348854
2020-02-03,117.63463592529297,28.69729995727539,17.969999313354492,14.211999988555908,-0.31056231233753734
2020-02-04,118.22073364257812,30.275257110595703,16.049999237060547,14.32199993133545,-0.3548499576081516
2020-02-05,119.1122055053711,30.295730590820312,15.149999618530273,14.389999914169312,-0.30280457096815594
2020-02-06,119.13697814941406,30.10034942626953,14.960000038146973,14.465499925613404,-0.2915257332298695
2020-02-07,119.99542999267578,29.344865798950195,15.470000267028809,14.611999940872192,-0.2025094180154501
2020-02-10,120.23480224609375,29.757030487060547,15.039999961853027,14.735999917984008,-0.20894067726730442
2020-02-11,120.58151245117188,30.300390243530273,15.180000305175781,14.878999948501587,-0.21556493303383373
2020-02-12,120.58151245117188,31.133100509643555,13.739999771118164,14.946499919891357,-0.2573494851212675
2020-02-13,120.90341186523438,31.780649185180664,14.149999618530273,15.032999897003174,-0.2706789157661293
2020-02-14,121.33265686035156,31.568525314331055,13.680000305175781,15.100999927520752,-0.2344801621406707
2020-02-18,120.18531799316406,30.269681930541992,14.829999923706055,15.237499904632568,-0.23761099056425405
2020-02-19,120.12751007080078,31.061450958251953,14.380000114440918,15.313999891281128,-0.2807826794718033
2020-02-20,119.82210540771484,30.56275177001953,15.5600004196167,15.446499919891357,-0.27394036879879335
2020-02-21,120.39163970947266,29.475114822387695,17.079999923706055,15.651499938964843,-0.18545730342551536
2020-02-24,117.74195098876953,27.954843521118164,25.030000686645508,16.174999952316284,-0.2669177297880858
2020-02-25,116.47077178955078,27.188196182250977,27.850000381469727,16.655999994277956,-0.3041263010751392
2020-02-26,117.19715881347656,27.5957088470459,27.559999465942383,17.219999933242796,-0.2813302770810349
2020-02-27,112.56639099121094,26.581565856933594,39.15999984741211,18.35849995613098,-0.5061289117493706
2020-02-28,108.98394775390625,27.30077362060547,40.11000061035156,19.589499998092652,-0.7554945531883204
2020-03-02,113.56519317626953,27.9427490234375,33.41999816894531,20.318499898910524,-0.514969186086698
2020-03-03,111.91427612304688,27.117483139038086,36.81999969482422,21.26099991798401,-0.5718435834005896
