Date,JPM,AMAT,VIX,AvgVIX,zscore
2022-01-31,133.30429077148438,133.10206604003906,24.829999923706055,23.18100004196167,-0.45892609406762785
2022-02-01,135.591796875,133.5162811279297,21.959999084472656,23.448999977111818,-0.1721326157791531
2022-02-02,134.50636291503906,135.5872802734375,22.09000015258789,23.707999992370606,-0.5259295565855451
2022-02-03,133.3939971923828,131.49343872070312,24.350000381469727,23.939000034332274,-0.29167196921647964
2022-02-04,136.85670471191406,130.58802795410156,23.219999313354492,24.119499969482423,0.2895926771132199
2022-02-07,137.31419372558594,131.12742614746094,22.860000610351562,24.324499988555907,0.30311480961303705
2022-02-08,139.89773559570312,133.65113830566406,21.440000534057617,24.426500034332275,0.4296329539297742
2022-02-09,140.4808349609375,138.90086364746094,19.959999084472656,24.503999996185303,0.00883875855340981
2022-02-10,139.89773559570312,134.6336669921875,23.90999984741211,24.818499946594237,0.3352983129413524
2022-02-11,138.07666015625,127.62117767333984,27.360000610351562,25.171000003814697,0.7486063799071306
2022-02-14,136.79385375976562,127.01435089111328,28.329999923706055,25.62799997329712,0.6237363430981052
2022-02-15,138.79437255859375,134.70106506347656,25.700000762939453,25.773499965667725,0.17131177035593448
2022-02-16,139.04551696777344,135.77992248535156,24.290000915527344,25.795499992370605,0.10358164580126124
2022-02-17,135.84298706054688,131.45492553710938,28.110000610351562,25.92150001525879,0.06164223563006823
2022-02-18,136.47991943359375,128.4495849609375,27.75,25.866499996185304,0.441119413120723
2022-02-22,136.2377166748047,125.69935607910156,28.809999465942383,25.811999988555907,0.6705979240383818
2022-02-23,133.38504028320312,123.38337707519531,31.020000457763672,25.805000019073486,0.485713384467879
2022-02-24,129.67117309570312,128.7487335205078,30.31999969482422,25.723000049591064,-0.5596154242772818
2022-02-25,132.73912048339844,130.9681854248047,27.59000015258789,25.57800006866455,-0.3347311439704891
2022-02-28,127.20423126220703,129.5014190673828,30.149999618530273,25.70250005722046,-0.9840616292757385
2022-03-01,122.4049072265625,125.0721206665039,33.31999969482422,26.127000045776366,-1.2439443070109522
2022-03-02,124.94361877441406,128.51715087890625,30.739999771118164,26.566000080108644,-1.2122837950628056
2022-03-03,124.05552673339844,126.06604766845703,30.479999542236328,26.985500049591064,-1.1037317732743352
2022-03-04,120.56594848632812,121.33761596679688,31.979999542236328,27.367000007629393,-1.147915432420555
2022-03-07,115.91014862060547,115.0458984375,36.45000076293945,28.028500080108643,-1.208493908306993
2022-03-08,115.09382629394531,119.80330657958984,35.130001068115234,28.642000102996825,-1.7818003825063684
2022-03-09,119.70475769042969,124.11676788330078,32.45000076293945,29.192500114440918,-1.5376907735923877
2022-03-10,118.28739166259766,120.59457397460938,30.229999542236328,29.706000137329102,-1.401859955240633
2022-03-11,115.62307739257812,119.31114959716797,30.75,30.048000144958497,-1.6589917563440448
2022-03-14,116.77132415771484,115.92401885986328,31.770000457763672,30.268500137329102,-1.1698631373591584
2022-03-15,118.84354400634766,120.05418395996094,29.829999923706055,30.3435001373291,-1.2705799671894
2022-03-16,124.15420532226562,125.91167449951172,26.670000076293945,30.392000102996825,-1.074822779231519
2022-03-17,125.72407531738281,127.36878967285156,25.670000076293945,30.461000061035158,-0.9906096705697397
2022-03-18,125.67919921875,130.4084930419922,23.8700008392334,30.249000072479248,-1.288864457378236
2022-03-21,125.27552032470703,129.5014190673828,23.530000686645508,30.038000106811523,-1.259403362900081
2022-03-22,127.93985748291016,130.7366180419922,22.940000534057617,29.744500160217285,-0.9976380721670257
2022-03-23,125.39215087890625,126.8187484741211,23.56999969482422,29.37200012207031,-0.9851844147298948
2022-03-24,126.20850372314453,133.73770141601562,21.670000076293945,28.9395001411438,-1.5329455138856631
2022-03-25,127.3118896484375,132.2612762451172,20.809999465942383,28.600500106811523,-1.2336720551776312
2022-03-28,126.36994934082031,132.8402557373047,19.6299991607666,28.07450008392334,-1.4237319816801612
2022-03-29,126.64801788330078,136.4879150390625,18.899999618530273,27.353500080108642,-1.7342544904909738
2022-03-30,126.07390594482422,131.04537963867188,19.329999923706055,26.78300008773804,-1.2936651565865753
2022-03-31,122.28826904296875,127.1854476928711,20.559999465942383,26.28700008392334,-1.4635004737482111
2022-04-01,121.38227844238281,122.94915771484375,19.6299991607666,25.669500064849853,-1.1861041129796093
2022-04-04,121.92050170898438,124.90807342529297,18.56999969482422,24.77550001144409,-1.2973472576711378
2022-04-05,120.50169372558594,117.44871520996094,21.030000686645508,24.070499992370607,-0.7837068850636496
2022-04-06,118.82979583740234,115.15204620361328,22.100000381469727,23.55299997329712,-0.8018781154583218
2022-04-07,118.46830749511719,118.11455535888672,21.549999237060547,23.11899995803833,-1.1379207170153496
2022-04-08,120.63722229003906,115.75997161865234,21.15999984741211,22.639499950408936,-0.6022190843096887
2022-04-11,120.19439697265625,112.17023468017578,24.3700008392334,22.26949996948242,-0.3207784115059926
2022-04-12,118.87496185302734,110.54905700683594,24.260000228881836,21.99099998474121,-0.3534875874550733
2022-04-13,115.04322052001953,112.76852416992188,21.81999969482422,21.748499965667726,-1.1136006141607195
2022-04-14,113.9768295288086,109.39105987548828,22.700000762939453,21.6,-0.9415605827737125
2022-04-18,116.091552734375,110.84821319580078,22.170000076293945,21.51499996185303,-0.7795681861022031
2022-04-19,118.49542999267578,112.96151733398438,21.3700008392334,21.40699996948242,-0.6392947296808638
2022-04-20,118.91111755371094,113.762451171875,20.31999969482422,21.27599992752075,-0.6568507360763663
2022-04-21,117.98933410644531,111.63948059082031,22.68000030517578,21.23149995803833,-0.5846131836010718
2022-04-22,114.60038757324219,108.85066986083984,28.209999084472656,21.558499908447267,-0.8006577932328789
2022-04-25,114.56425476074219,110.46219635009766,27.020000457763672,21.86899995803833,-0.9605421340198342
2022-04-26,111.17530059814453,105.10652160644531,33.52000045776367,22.563500022888185,-0.9301378324106067
2022-04-27,109.72933959960938,105.0003662109375,31.600000381469727,23.198500061035155,-1.1263702427247475
2022-04-28,111.4645004272461,110.61659240722656,29.989999771118164,23.73150005340576,-1.4178852809583138
2022-04-29,107.86770629882812,106.4864501953125,33.400001525878906,24.37350015640259,-1.5348180509191005
2022-05-02,108.85274505615234,109.01471710205078,32.34000015258789,25.00900020599365,-1.636938660159098
2022-05-03,111.1843490600586,109.81566619873047,29.25,25.54300022125244,-1.3809809331140297
2022-05-04,114.86248016357422,114.65025329589844,25.420000076293945,25.762500190734862,-1.3200717721202868
2022-05-05,111.98865509033203,109.49722290039062,31.200000762939453,26.21750020980835,-1.235584228538843
2022-05-06,111.80791473388672,108.56117248535156,30.190000534057617,26.6495002746582,-1.171514459773122
2022-05-09,110.12699890136719,102.0475082397461,34.75,27.3290002822876,-0.7860905249303356
2022-05-10,107.44295501708984,103.42743682861328,32.9900016784668,27.76000032424927,-1.3017530223584617
2022-05-11,106.76515197753906,100.28157043457031,32.560001373291016,28.175000381469726,-1.096474584904301
2022-05-12,106.67479705810547,103.02213287353516,31.770000457763672,28.6725004196167,-1.3725007552107265
2022-05-13,107.62368774414062,107.9435806274414,28.8700008392334,28.981000423431396,-1.7095561587460744
2022-05-16,106.87359619140625,106.61190032958984,27.469999313354492,29.246000385284425,-1.68878140455047
2022-05-17,110.41618347167969,112.74920654296875,26.100000381469727,29.48250036239624,-1.7722992027368667
2022-05-18,108.52741241455078,107.44178009033203,30.959999084472656,30.01450033187866,-1.532361989442133
2022-05-19,106.91880798339844,106.86279296875,29.350000381469727,30.34800033569336,-1.7064157222738623
2022-05-20,106.04219055175781,102.73262786865234,29.43000030517578,30.409000396728516,-1.435015335971033
2022-05-23,112.6031723022461,106.08114624023438,28.479999542236328,30.48200035095215,-0.819871394031156
2022-05-24,114.19371795654297,102.85807800292969,29.450000762939453,30.278500366210938,-0.28335240898672304
2022-05-25,114.9889907836914,104.98625946044922,28.3700008392334,30.117000389099122,-0.37415085656931074
2022-05-26,116.9771728515625,111.31271362304688,27.5,29.992500400543214,-0.6977351963856194
2022-05-27,118.6309814453125,115.5787124633789,25.719999313354492,29.608500289916993,-0.871225873828959
2022-05-31,119.4985122680664,113.46023559570312,26.190000534057617,29.301000308990478,-0.5439782316782099
2022-06-01,117.40192413330078,110.72262573242188,25.690000534057617,29.12300033569336,-0.5804423557443715
2022-06-02,119.29067993164062,113.4989242553711,24.719999313354492,29.088000297546387,-0.5773628433803372
2022-06-03,117.62785339355469,111.20628356933594,24.790000915527344,28.76750030517578,-0.5946258202121095
2022-06-06,117.2392349243164,111.24498748779297,25.06999969482422,28.51150026321411,-0.6538208277968741
2022-06-07,117.54651641845703,111.89311218261719,24.020000457763672,27.975000286102294,-0.6721812993686036
2022-06-08,115.67581939697266,108.78792572021484,23.959999084472656,27.523500156402587,-0.641105529260197
2022-06-09,113.24480438232422,103.73837280273438,26.09000015258789,27.200000095367432,-0.5033377502517242
2022-06-10,108.03941345214844,98.55339050292969,27.75,26.999000072479248,-0.7486355220231802
2022-06-13,104.82218170166016,93.1749496459961,34.02000045776367,27.256500053405762,-0.6915303991309162
2022-06-14,103.0780029296875,93.46516418457031,32.689998626708984,27.517500019073488,-0.9683925271417463
2022-06-15,104.29802703857422,94.23902130126953,29.6200008392334,27.69350004196167,-0.8685221887816467
2022-06-16,102.50865936279297,86.66468048095703,32.95000076293945,27.79300012588501,-0.39674299689097886
2022-06-17,102.14717102050781,86.89685821533203,31.1299991607666,27.882000064849855,-0.4706407492413884
2022-06-21,104.6775894165039,92.0625,30.190000534057617,27.920000076293945,-0.6053636908656557
2022-06-22,104.09015655517578,90.87264251708984,28.950000762939453,27.943500137329103,-0.5749845756497605
2022-06-23,102.95146179199219,90.23420715332031,29.049999237060547,27.923500061035156,-0.6762465071394924
