Date,INTC,KDP,VIX,AvgVIX,zscore
2020-01-30,58.632652282714844,24.535133361816406,15.489999771118164,13.696000051498412,1.1685081066805039
2020-01-31,56.392127990722656,24.423843383789062,18.84000015258789,14.014500045776368,0.8967499673163996
2020-02-03,56.82435989379883,24.552255630493164,17.969999313354492,14.211999988555908,0.9635549629449988
2020-02-04,57.74173355102539,24.543691635131836,16.049999237060547,14.32199993133545,1.0675471999223305
2020-02-05,59.400054931640625,24.56081199645996,15.149999618530273,14.389999914169312,1.2599155788150913
2020-02-06,59.470985412597656,24.44952392578125,14.960000038146973,14.465499925613404,1.2530823121643582
2020-02-07,58.522499084472656,24.458086013793945,15.470000267028809,14.611999940872192,1.145523877284496
2020-02-10,58.85047912597656,24.57793426513672,15.039999961853027,14.735999917984008,1.1992287264686288
2020-02-11,59.75464630126953,24.543691635131836,15.180000305175781,14.878999948501587,1.2982547803509523
2020-02-12,59.7989501953125,24.518007278442383,13.739999771118164,14.946499919891357,1.2998793106769522
2020-02-13,59.78123092651367,24.46664810180664,14.149999618530273,15.032999897003174,1.2909431054729061
2020-02-14,59.63053894042969,24.71490478515625,13.680000305175781,15.100999927520752,1.3070502759871938
2020-02-18,58.628868103027344,24.71490478515625,14.829999923706055,15.237499904632568,1.1922449744384915
2020-02-19,59.488712310791016,24.697790145874023,14.380000114440918,15.313999891281128,1.2884938933177246
2020-02-20,58.01721954345703,25.08302116394043,15.5600004196167,15.446499919891357,1.1716355089988275
2020-02-21,57.03327560424805,25.25423812866211,17.079999923706055,15.651499938964843,1.0818823794514825
2020-02-24,54.74627685546875,24.9460506439209,25.030000686645508,16.174999952316284,0.7783244066843505
2020-02-25,52.946807861328125,24.75771141052246,27.850000381469727,16.655999994277956,0.546757882096233
2020-02-26,52.87590026855469,24.595060348510742,27.559999465942383,17.219999933242796,0.5167621693989294
2020-02-27,49.48970031738281,24.17558479309082,39.15999984741211,18.35849995613098,0.07225769063886424
2020-02-28,49.21492385864258,23.867387771606445,40.11000061035156,19.589499998092652,-0.0006731201999087774
2020-03-02,51.57284164428711,24.19270133972168,33.41999816894531,20.318499898910524,0.31331578522138115
2020-03-03,49.61381530761719,23.58489227294922,36.81999969482422,21.26099991798401,0.0070633235215038165
2020-03-04,52.01605224609375,23.77322769165039,31.989999771118164,22.05799994468689,0.30771486015116045
2020-03-05,50.491390228271484,23.114051818847656,39.619998931884766,23.281499910354615,0.04434018559627098
2020-03-06,49.436527252197266,22.79729652404785,41.939998626708984,24.630499839782715,-0.11914998077039306
2020-03-09,45.07526397705078,20.931060791015625,54.459999084472656,26.57999978065491,-0.8699296468147213
2020-03-10,47.84981155395508,21.615915298461914,47.29999923706055,28.192999744415282,-0.4598483001043769
2020-03-11,45.79327392578125,20.982421875,53.900001525878906,30.12899980545044,-0.7807302088657927
2020-03-12,40.368282318115234,19.681180953979492,75.47000122070312,33.21549987792969,-1.5774632664482278
2020-03-13,48.24870681762695,20.09209632873535,57.83000183105469,35.39949998855591,-0.6190095632799985
2020-03-16,39.54389953613281,16.779088973999023,82.69000244140625,38.850000095367434,-2.062140328285371
2020-03-17,44.39271926879883,17.395462036132812,75.91000366210938,41.9040002822876,-1.4235262183633624
2020-03-18,42.203208923339844,17.044469833374023,76.44999694824219,45.007500123977664,-1.7216658450375228
