Date,AMD,CL,VIX,AvgVIX,zscore
2022-01-31,114.25,74.4527816772461,24.829999923706055,23.18100004196167,0.4792949408003421
2022-02-01,116.77999877929688,73.97419738769531,21.959999084472656,23.448999977111818,0.6734032584904915
2022-02-02,122.76000213623047,74.76883697509766,22.09000015258789,23.707999992370606,0.8930576334411396
2022-02-03,120.08000183105469,74.70563507080078,24.350000381469727,23.939000034332274,0.7582424392119382
2022-02-04,123.5999984741211,73.25179290771484,23.219999313354492,24.119499969482423,1.1261568478636963
2022-02-07,123.66999816894531,73.25179290771484,22.860000610351562,24.324499988555907,1.1298831166612113
2022-02-08,128.22999572753906,73.0711898803711,21.440000534057617,24.426500034332275,1.3950508220586229
2022-02-09,132.85000610351562,73.02605438232422,19.959999084472656,24.503999996185303,1.6465910377004673
2022-02-10,125.7699966430664,71.98758697509766,23.90999984741211,24.818499946594237,1.3986585598982872
2022-02-11,113.18000030517578,71.8160171508789,27.360000610351562,25.171000003814697,0.7497650266897443
2022-02-14,114.2699966430664,71.57221221923828,28.329999923706055,25.62799997329712,0.8380637007815204
2022-02-15,121.47000122070312,70.95816040039062,25.700000762939453,25.773499965667725,1.297590902799634
2022-02-16,117.69000244140625,70.74143981933594,24.290000915527344,25.795499992370605,1.1232835738756313
2022-02-17,112.37000274658203,71.4728775024414,28.110000610351562,25.92150001525879,0.7492572216866576
2022-02-18,113.83000183105469,71.8340835571289,27.75,25.866499996185304,0.7821228701326739
2022-02-22,115.6500015258789,71.20198059082031,28.809999465942383,25.811999988555907,0.9574997515902952
2022-02-23,109.76000213623047,71.01234436035156,31.020000457763672,25.805000019073486,0.6675082232092515
2022-02-24,116.61000061035156,68.2491455078125,30.31999969482422,25.723000049591064,1.3752811505487232
2022-02-25,121.05999755859375,70.56083679199219,27.59000015258789,25.57800006866455,1.3251043035824495
2022-02-28,123.33999633789062,69.48625183105469,30.149999618530273,25.70250005722046,1.5799148245394852
2022-03-01,113.83000183105469,68.6645278930664,33.31999969482422,26.127000045776366,1.175712978504303
2022-03-02,118.27999877929688,69.260498046875,30.739999771118164,26.566000080108644,1.3385915049756794
