Date,XLF,CVX,VIX,AvgVIX,zscore
2020-01-30,27.21605682373047,84.41716003417969,15.489999771118164,13.696000051498412,0.6633612015049671
2020-01-31,26.64682960510254,81.18895721435547,18.84000015258789,14.014500045776368,0.6988755810537742
2020-02-03,26.833606719970703,80.53730773925781,17.969999313354492,14.211999988555908,0.8543737448074146
2020-02-04,27.091535568237305,80.96925354003906,16.049999237060547,14.32199993133545,0.9389904204008549
2020-02-05,27.634077072143555,83.56845092773438,15.149999618530273,14.389999914169312,0.9518078536673591
2020-02-06,27.598499298095703,82.96977996826172,14.960000038146973,14.465499925613404,0.9928040612556548
2020-02-07,27.500667572021484,82.5530014038086,15.470000267028809,14.611999940872192,0.985421136714299
2020-02-10,27.580713272094727,83.1971206665039,15.039999961853027,14.735999917984008,0.9618484408998136
2020-02-11,27.678552627563477,84.27317810058594,15.180000305175781,14.878999948501587,0.9048249877436255
2020-02-12,27.696338653564453,84.90216827392578,13.739999771118164,14.946499919891357,0.8521189220732021
2020-02-13,27.68744468688965,84.61418914794922,14.149999618530273,15.032999897003174,0.8758809336308587
2020-02-14,27.7230167388916,84.39183807373047,13.680000305175781,15.100999927520752,0.9150940011003948
2020-02-18,27.48287582397461,84.51451110839844,14.829999923706055,15.237499904632568,0.7850381175288502
2020-02-19,27.68744468688965,84.89784240722656,14.380000114440918,15.313999891281128,0.8481686197280041
2020-02-20,27.634077072143555,84.18484497070312,15.5600004196167,15.446499919891357,0.8915874802081598
2020-02-21,27.36725425720215,83.57154083251953,17.079999923706055,15.651499938964843,0.8203161942408453
2020-02-24,26.47784423828125,80.27499389648438,25.030000686645508,16.174999952316284,0.7050821589436075
2020-02-25,25.57953453063965,77.20843505859375,27.850000381469727,16.655999994277956,0.5630030370617493
2020-02-26,25.392759323120117,75.16149139404297,27.559999465942383,17.219999933242796,0.671152561970978
2020-02-27,24.30767250061035,72.1639175415039,39.15999984741211,18.35849995613098,0.43050034492460304
2020-02-28,23.649503707885742,71.55827331542969,40.11000061035156,19.589499998092652,0.1660661452972144
2020-03-02,24.859111785888672,74.04985046386719,33.41999816894531,20.318499898910524,0.5173769895678101
2020-03-03,23.925220489501953,72.3632583618164,36.81999969482422,21.26099991798401,0.22298354865283335
2020-03-04,24.7168025970459,75.53714752197266,31.989999771118164,22.05799994468689,0.3021015659733439
2020-03-05,23.524988174438477,74.50984191894531,39.619998931884766,23.281499910354615,-0.1835167879506193
