Date,MS,MNST,VIX,AvgVIX,zscore
2023-01-31,87.6962661743164,52.040000915527344,19.399999618530273,20.202999973297118,1.6815651398913833
2023-02-01,88.47115325927734,52.02000045776367,17.8700008392334,19.951500034332277,1.818775380519355
2023-02-02,89.39017486572266,51.290000915527344,18.729999542236328,19.7875,1.9896643671371914
2023-02-03,89.58841705322266,50.900001525878906,18.329999923706055,19.58100004196167,2.0292122898000247
2023-02-06,89.11089324951172,51.40999984741211,19.43000030517578,19.49600009918213,1.938909023803301
2023-02-07,89.39921569824219,51.255001068115234,18.65999984741211,19.33050012588501,1.9916667496520635
2023-02-08,89.16492462158203,51.04499816894531,19.6299991607666,19.28300008773804,1.95267564780375
2023-02-09,88.34500885009766,51.42499923706055,20.709999084472656,19.264000034332277,1.8033479728554778
2023-02-10,88.69640350341797,51.400001525878906,20.530000686645508,19.34900007247925,1.865753818851134
2023-02-13,89.58841705322266,52.11000061035156,20.34000015258789,19.448500061035155,2.0152382696992195
2023-02-14,90.60658264160156,52.125,18.90999984741211,19.426000022888182,2.195049420985315
2023-02-15,90.849853515625,52.54999923706055,18.229999542236328,19.320499992370607,2.2331449636042744
2023-02-16,89.71456146240234,52.02000045776367,20.170000076293945,19.30299997329712,2.0385766114144395
2023-02-17,89.66050720214844,52.09000015258789,20.020000457763672,19.311499977111815,2.0282128560813972
2023-02-21,87.95757293701172,51.189998626708984,22.8700008392334,19.46450004577637,1.737573663397853
2023-02-22,87.6422119140625,51.165000915527344,22.290000915527344,19.619000053405763,1.682114983502494
2023-02-23,88.24588775634766,51.345001220703125,21.139999389648438,19.72200002670288,1.7867499011532675
2023-02-24,88.02964782714844,50.6150016784668,21.670000076293945,19.869000053405763,1.7569550879575153
2023-02-27,87.12862396240234,51.15999984741211,20.950000762939453,19.99100008010864,1.5913841607107406
2023-02-28,86.94844055175781,50.880001068115234,20.700000762939453,20.029000091552735,1.5627662108470548
2023-03-01,86.66912078857422,49.595001220703125,20.579999923706055,20.088000106811524,1.528230153935428
2023-03-02,86.56999206542969,51.07500076293945,19.59000015258789,20.17400007247925,1.4936146560937182
2023-03-03,88.59730529785156,51.005001068115234,18.489999771118164,20.16200008392334,1.8527976888508824
2023-03-06,88.64234924316406,51.9900016784668,18.610000610351562,20.176000118255615,1.8493846896773456
2023-03-07,86.5519790649414,51.61000061035156,19.59000015258789,20.184000110626222,1.4842518420115753
2023-03-08,86.40782165527344,51.560001373291016,19.110000610351562,20.206500148773195,1.459346107737875
2023-03-09,83.07405090332031,51.0,22.610000610351562,20.35550022125244,0.8764921627963999
2023-03-10,81.1368637084961,50.084999084472656,24.799999237060547,20.560000228881837,0.5446165578879653
2023-03-13,79.28075408935547,50.15999984741211,26.520000457763672,20.859500217437745,0.21563997722454553
2023-03-14,81.06475830078125,50.81999969482422,23.729999542236328,21.029000186920165,0.5233818906368787
2023-03-15,76.9381103515625,51.17499923706055,26.139999389648438,21.390500164031984,-0.21019863289153864
2023-03-16,78.39774322509766,51.70000076293945,22.989999771118164,21.628500175476074,0.04176219201047261
2023-03-17,75.84786224365234,51.494998931884766,25.510000228881836,21.89550018310547,-0.406620873517105
2023-03-20,77.1633529663086,52.275001525878906,24.149999618530273,22.102000141143797,-0.1830854687011413
2023-03-21,79.97454833984375,51.89500045776367,21.3799991607666,22.027500057220458,0.3182470478486423
2023-03-22,78.88430786132812,51.17499923706055,22.260000228881836,22.026000022888184,0.13383690357695277
2023-03-23,77.34355163574219,51.19499969482422,22.610000610351562,22.09950008392334,-0.1387584659176748
