Date,KBE,V,VIX,AvgVIX,zscore
2020-01-30,37.88279342651367,198.74412536621094,15.489999771118164,13.696000051498412,0.035874649129780695
2020-01-31,37.118412017822266,189.92422485351562,18.84000015258789,14.014500045776368,0.11637015871391129
2020-02-03,37.530006408691406,191.68052673339844,17.969999313354492,14.211999988555908,0.13681308481075108
2020-02-04,38.07599639892578,194.30551147460938,16.049999237060547,14.32199993133545,0.15763947647154564
2020-02-05,38.94955825805664,193.58956909179688,15.149999618530273,14.389999914169312,0.29572973091167015
2020-02-06,38.57157897949219,193.80914306640625,14.960000038146973,14.465499925613404,0.2379023196342414
2020-02-07,38.260780334472656,193.52276611328125,15.470000267028809,14.611999940872192,0.20030433015713042
2020-02-10,38.243988037109375,196.62501525878906,15.039999961853027,14.735999917984008,0.1318260762078277
2020-02-11,38.563175201416016,194.66822814941406,15.180000305175781,14.878999948501587,0.21841130120361424
2020-02-12,38.563175201416016,198.0090789794922,13.739999771118164,14.946499919891357,0.14720898491046652
2020-02-13,38.73116683959961,198.2576141357422,14.149999618530273,15.032999897003174,0.16553337192879494
2020-02-14,38.48757553100586,201.02023315429688,13.680000305175781,15.100999927520752,0.07240329242943476
2020-02-18,37.99199295043945,201.89013671875,14.829999923706055,15.237499904632568,-0.015820567161313165
2020-02-19,38.218772888183594,203.9071044921875,14.380000114440918,15.313999891281128,-0.026919899511578582
2020-02-20,38.62196731567383,202.12911987304688,15.5600004196167,15.446499919891357,0.06766684576641412
2020-02-21,38.1011848449707,199.60549926757812,17.079999923706055,15.651499938964843,0.048224550223287525
2020-02-24,36.91682815551758,190.0271759033203,25.030000686645508,16.174999952316284,0.0858312696429534
2020-02-25,35.42167282104492,180.0951690673828,27.850000381469727,16.655999994277956,0.08727447848518717
2020-02-26,34.86729049682617,178.9576416015625,27.559999465942383,17.219999933242796,0.033566413761179914
2020-02-27,33.4813346862793,172.07501220703125,39.15999984741211,18.35849995613098,-0.014626070932825211
2020-02-28,32.54895782470703,173.7478790283203,40.11000061035156,19.589499998092652,-0.1813808861571239
2020-03-02,33.99372100830078,183.8519287109375,33.41999816894531,20.318499898910524,-0.19357642695093222
2020-03-03,32.67496871948242,177.54287719726562,36.81999969482422,21.26099991798401,-0.24454386917533716
2020-03-04,33.34694290161133,185.72552490234375,31.989999771118164,22.05799994468689,-0.32445123711272117
2020-03-05,31.74259376525879,178.71865844726562,39.619998931884766,23.281499910354615,-0.40070421554630126
2020-03-06,30.47422981262207,176.23326110839844,41.939998626708984,24.630499839782715,-0.5260786728202959
2020-03-09,25.988773345947266,163.58645629882812,54.459999084472656,26.57999978065491,-0.8872425874526934
2020-03-10,27.685516357421875,174.55088806152344,47.29999923706055,28.192999744415282,-0.8823442184851009
2020-03-11,25.795578002929688,165.32627868652344,53.900001525878906,30.12899980545044,-0.9514879983316874
2020-03-12,23.51085090637207,153.02352905273438,75.47000122070312,33.21549987792969,-1.0105398081840877
2020-03-13,26.232364654541016,168.0792694091797,57.83000183105469,35.39949998855591,-0.9487448455108186
2020-03-16,22.847270965576172,145.3092803955078,82.69000244140625,38.850000095367434,-0.9394349403607086
2020-03-17,24.132434844970703,150.93002319335938,75.91000366210938,41.9040002822876,-0.8785206997731182
2020-03-18,21.452917098999023,141.93487548828125,76.44999694824219,45.007500123977664,-1.0635777657925651
2020-03-19,22.838871002197266,145.53866577148438,72.0,47.829500102996825,-0.9455048657905676
2020-03-20,21.326923370361328,140.3576202392578,66.04000091552734,50.27750015258789,-1.0476783024438376
2020-03-23,19.553335189819336,129.7564697265625,61.59000015258789,52.10550012588501,-1.0711243587341706
2020-03-24,21.852741241455078,147.71820068359375,61.66999816894531,53.796500015258786,-1.1306163120772408
2020-03-25,22.27542495727539,154.64857482910156,63.95000076293945,55.61600008010864,-1.218887200371
2020-03-26,24.236675262451172,161.43565368652344,61.0,56.708000087738036,-1.0877660533741509
2020-03-27,23.3405818939209,154.4383087158203,65.54000091552734,57.97950010299682,-1.0646340297302166
2020-03-30,23.408214569091797,158.27154541015625,57.08000183105469,59.16250028610229,-1.1368205448594828
2020-03-31,22.791091918945312,154.01771545410156,53.540000915527344,59.99850034713745,-1.1329339337702888
2020-04-01,21.269439697265625,146.36077880859375,57.060001373291016,61.252000427246095,-1.1837041837564133
2020-04-02,21.624492645263672,150.4521484375,50.90999984741211,61.81650047302246,-1.2209779908696816
2020-04-03,20.669221878051758,145.1563262939453,46.79999923706055,62.059500503540036,-1.2424308342486403
2020-04-06,22.28387451171875,161.97096252441406,45.2400016784668,61.598500633239745,-1.3737584442335737
2020-04-07,23.112335205078125,161.1583709716797,46.70000076293945,61.568500709533694,-1.2399500222568365
2020-04-08,24.219762802124023,167.2285614013672,43.349998474121094,61.041000556945804,-1.2136062129230767
2020-04-09,26.028852462768555,166.0335693359375,41.66999816894531,59.35100040435791,-0.9337614716966202
2020-04-13,24.7100772857666,161.54078674316406,41.16999816894531,58.51800022125244,-1.0234415989979575
2020-04-14,24.35502815246582,166.92257690429688,37.7599983215332,56.27150001525879,-1.1880652012544102
2020-04-15,22.782642364501953,158.64439392089844,40.84000015258789,54.51799983978272,-1.2327287110968026
2020-04-16,21.99645233154297,155.26036071777344,40.11000061035156,52.70100002288818,-1.2711523413606471
2020-04-17,23.8055362701416,162.06651306152344,38.150001525878906,51.00850009918213,-1.161833831887521
2020-04-20,23.644920349121094,156.98101806640625,43.83000183105469,49.898000144958495,-1.07603278497547
2020-04-21,22.84181785583496,153.45372009277344,45.40999984741211,49.089000129699706,-1.1137811293611855
2020-04-22,22.892539978027344,159.24659729003906,41.97999954223633,48.104500198364256,-1.2301105315982461
2020-04-23,23.18842124938965,159.04583740234375,41.380001068115234,46.976000213623045,-1.1842279087982244
2020-04-24,23.780179977416992,159.94444274902344,35.93000030517578,45.722500228881835,-1.1201722847446742
