Date,KLAC,XLU,VIX,AvgVIX,zscore
2022-01-31,372.63623046875,30.442842483520508,24.829999923706055,23.18100004196167,-0.5603721155287047
2022-02-01,371.44921875,30.038408279418945,21.959999084472656,23.448999977111818,-0.6838111355647742
2022-02-02,378.56170654296875,30.48240852355957,22.09000015258789,23.707999992370606,-0.4914832983537264
2022-02-03,357.7123718261719,30.346128463745117,24.350000381469727,23.939000034332274,-0.7330629305734728
2022-02-04,361.2543029785156,30.10434913635254,23.219999313354492,24.119499969482423,-0.7652792165974202
2022-02-07,359.5503845214844,30.060386657714844,22.860000610351562,24.324499988555907,-0.7940988554059747
2022-02-08,368.75927734375,30.082366943359375,21.440000534057617,24.426500034332275,-0.6979624293656062
2022-02-09,383.03216552734375,30.214248657226562,19.959999084472656,24.503999996185303,-0.5219135356245762
2022-02-10,373.05743408203125,29.449329376220703,23.90999984741211,24.818499946594237,-0.8309704885010891
2022-02-11,354.407470703125,29.466915130615234,27.360000610351562,25.171000003814697,-1.0084956782459946
2022-02-14,350.50079345703125,29.21633529663086,28.329999923706055,25.62799997329712,-1.1159892814934786
2022-02-15,371.94403076171875,29.080060958862305,25.700000762939453,25.773499965667725,-0.9439659176502132
2022-02-16,370.1682434082031,29.145999908447266,24.290000915527344,25.795499992370605,-0.9430994196918063
2022-02-17,351.3550720214844,29.163583755493164,28.110000610351562,25.92150001525879,-1.122221234205547
2022-02-18,343.916259765625,29.11083221435547,27.75,25.866499996185304,-1.2095557050323797
2022-02-22,341.458984375,29.080060958862305,28.809999465942383,25.811999988555907,-1.2420952979233109
2022-02-23,329.9790954589844,28.587697982788086,31.020000457763672,25.805000019073486,-1.490507098126506
2022-02-24,343.522705078125,28.816295623779297,30.31999969482422,25.723000049591064,-1.2948471635272973
2022-02-25,343.2922668457031,29.70870590209961,27.59000015258789,25.57800006866455,-1.0503392641366684
2022-02-28,334.5096130371094,29.86256217956543,30.149999618530273,25.70250005722046,-1.0936864866981135
2022-03-01,323.269775390625,29.60318946838379,33.31999969482422,26.127000045776366,-1.2753262705674122
