Date,SHEL,HD,VIX,AvgVIX,zscore
2020-01-30,42.15347671508789,200.00868225097656,15.489999771118164,13.696000051498412,1.0904627088797483
2020-01-31,40.83031463623047,195.9791259765625,18.84000015258789,14.014500045776368,1.012150826056385
2020-02-03,40.117835998535156,198.93467712402344,17.969999313354492,14.211999988555908,0.8984032699729165
2020-02-04,40.43883514404297,201.90748596191406,16.049999237060547,14.32199993133545,0.8895366931054332
2020-02-05,41.456661224365234,204.57955932617188,15.149999618530273,14.389999914169312,0.9557490864055734
2020-02-06,40.822479248046875,205.2067413330078,14.960000038146973,14.465499925613404,0.8824830802400422
2020-02-07,40.54845428466797,203.8836212158203,15.470000267028809,14.611999940872192,0.8730885444257255
2020-02-10,40.235267639160156,206.7274932861328,15.039999961853027,14.735999917984008,0.8015153544274151
2020-02-11,40.70503234863281,207.6124267578125,15.180000305175781,14.878999948501587,0.836939514084151
2020-02-12,41.221778869628906,207.5695037841797,13.739999771118164,14.946499919891357,0.8901007405851439
2020-02-13,40.6478157043457,208.23106384277344,14.149999618530273,15.032999897003174,0.8224798798958622
2020-02-14,40.24922561645508,210.52505493164062,13.680000305175781,15.100999927520752,0.7498992411536436
2020-02-18,40.02602005004883,209.58859252929688,14.829999923706055,15.237499904632568,0.7402739161885218
2020-02-19,40.03399658203125,209.3307647705078,14.380000114440918,15.313999891281128,0.744686026290746
2020-02-20,39.55568313598633,212.2348175048828,15.5600004196167,15.446499919891357,0.6554762063014717
2020-02-21,39.19695281982422,210.7913818359375,17.079999923706055,15.651499938964843,0.6391460170648061
2020-02-24,37.69029235839844,205.9456329345703,25.030000686645508,16.174999952316284,0.5535680347240509
2020-02-25,36.590206146240234,203.9523162841797,27.850000381469727,16.655999994277956,0.4695090482759954
2020-02-26,36.47062301635742,202.14804077148438,27.559999465942383,17.219999933242796,0.4825435387472846
2020-02-27,35.02774429321289,193.0836639404297,39.15999984741211,18.35849995613098,0.46236961547437794
2020-02-28,35.09949493408203,187.16390991210938,40.11000061035156,19.589499998092652,0.5523417815628732
2020-03-02,35.73722457885742,197.5600128173828,33.41999816894531,20.318499898910524,0.4720199809982894
2020-03-03,35.04368591308594,195.84165954589844,36.81999969482422,21.26099991798401,0.4254736122979803
2020-03-04,36.11191177368164,207.1313018798828,31.989999771118164,22.05799994468689,0.37646151921577703
2020-03-05,34.86034393310547,201.74424743652344,39.619998931884766,23.281499910354615,0.324390476757397
2020-03-06,33.37759780883789,196.3313751220703,41.939998626708984,24.630499839782715,0.249165298218253
2020-03-09,27.645931243896484,180.82318115234375,54.459999084472656,26.57999978065491,-0.11725729497090044
2020-03-10,29.463483810424805,193.91709899902344,47.29999923706055,28.192999744415282,-0.1152484117732181
2020-03-11,27.494476318359375,184.13475036621094,53.900001525878906,30.12899980545044,-0.1789114116815276
2020-03-12,23.381057739257812,164.84683227539062,75.47000122070312,33.21549987792969,-0.32794432859648776
2020-03-13,23.978939056396484,177.88995361328125,57.83000183105469,35.39949998855591,-0.44928702250847447
2020-03-16,20.184404373168945,142.67869567871094,82.69000244140625,38.850000095367434,-0.3435024022977743
2020-03-17,20.455442428588867,150.18629455566406,75.91000366210938,41.9040002822876,-0.4207826942528059
2020-03-18,17.23486328125,134.6089324951172,76.44999694824219,45.007500123977664,-0.5308196632080833
2020-03-19,19.164016723632812,139.36602783203125,72.0,47.829500102996825,-0.4010289547425767
2020-03-20,19.993078231811523,131.5989532470703,66.04000091552734,50.27750015258789,-0.20822633787107886
2020-03-23,21.388132095336914,140.455810546875,61.59000015258789,52.10550012588501,-0.19001883356245383
2020-03-24,25.597204208374023,159.76971435546875,61.66999816894531,53.796500015258786,-0.03161926108930216
2020-03-25,27.37489128112793,157.2095489501953,63.95000076293945,55.61600008010864,0.184955963354174
2020-03-26,27.84522247314453,168.8428192138672,61.0,56.708000087738036,0.07032894201805696
2020-03-27,25.222522735595703,164.81224060058594,65.54000091552734,57.97950010299682,-0.14015340372476312
2020-03-30,26.657440185546875,169.61260986328125,57.08000183105469,59.16250028610229,-0.061239125383119264
2020-03-31,27.81334114074707,161.49090576171875,53.540000915527344,59.99850034713745,0.16976121052034363
2020-04-01,28.148160934448242,154.50230407714844,57.060001373291016,61.252000427246095,0.301419195303668
2020-04-02,31.057828903198242,156.82029724121094,50.90999984741211,61.81650047302246,0.5650085902926305
2020-04-03,28.8895206451416,154.56280517578125,46.79999923706055,62.059500503540036,0.37598294752134087
2020-04-06,29.758438110351562,165.4868621826172,45.2400016784668,61.598500633239745,0.311803533876241
2020-04-07,29.702634811401367,166.3171844482422,46.70000076293945,61.568500709533694,0.29453131398565063
2020-04-08,30.348342895507812,168.50546264648438,43.349998474121094,61.041000556945804,0.3296496480646893
2020-04-09,30.22079849243164,174.3091278076172,41.66999816894531,59.35100040435791,0.23562359253506787
2020-04-13,29.790325164794922,171.93927001953125,41.16999816894531,58.51800022125244,0.22493413612485436
2020-04-14,29.503345489501953,179.18734741210938,37.7599983215332,56.27150001525879,0.0945185143546906
2020-04-15,27.39083480834961,171.67112731933594,40.84000015258789,54.51799983978272,-0.015389393298695455
2020-04-16,25.98781967163086,172.85610961914062,40.11000061035156,52.70100002288818,-0.1746487167147776
2020-04-17,28.283672332763672,181.13340759277344,38.150001525878906,51.00850009918213,-0.056720898427143764
2020-04-20,26.689321517944336,178.21865844726562,43.83000183105469,49.898000144958495,-0.17818635694619359
2020-04-21,26.250883102416992,173.513427734375,45.40999984741211,49.089000129699706,-0.15707071455300525
2020-04-22,27.7894287109375,176.5925750732422,41.97999954223633,48.104500198364256,-0.043577527364715735
2020-04-23,28.028575897216797,174.99244689941406,41.380001068115234,46.976000213623045,0.0030947683823561653
2020-04-24,27.924945831298828,183.5206756591797,35.93000030517578,45.722500228881835,-0.1265494277474183
2020-04-27,28.554710388183594,188.346923828125,33.290000915527344,44.11000022888184,-0.12989409978745636
2020-04-28,28.698204040527344,188.23451232910156,33.56999969482422,42.93450012207031,-0.11372847937636509
2020-04-29,30.300518035888672,191.8498992919922,31.229999542236328,41.81900005340576,-0.0012379788090850074
2020-04-30,26.410314559936523,190.13735961914062,34.150001525878906,40.673500061035156,-0.373019878294059
2020-05-01,24.943513870239258,189.04754638671875,37.189998626708984,39.9875,-0.5069979888653516
2020-05-04,26.107385635375977,191.8758544921875,35.970001220703125,39.44600009918213,-0.42811224237633316
2020-05-05,26.36248016357422,195.13661193847656,33.61000061035156,38.86450004577637,-0.4477038464946967
2020-05-06,25.557342529296875,193.6749267578125,34.119998931884766,38.235499954223634,-0.5091862665947594
2020-05-07,25.932010650634766,198.45794677734375,31.440000534057617,37.64000005722046,-0.5378748033228474
2020-05-08,27.032108306884766,202.7653045654297,27.979999542236328,36.95550012588501,-0.48613201959954405
2020-05-11,26.1153621673584,204.60763549804688,27.56999969482422,36.275500202178954,-0.6051100233708093
2020-05-12,25.676912307739258,201.4419403076172,33.040000915527344,36.03950033187866,-0.6054963443668696
2020-05-13,24.744224548339844,199.02017211914062,35.279998779296875,35.76150026321411,-0.6665444493533133
2020-05-14,24.301212310791016,202.80857849121094,32.61000061035156,35.38650026321411,-0.7645142250057086
2020-05-15,24.268997192382812,207.0034637451172,31.889999389648438,35.07350015640259,-0.8263758454948006
2020-05-18,26.43572235107422,212.2103729248047,29.299999237060547,34.34700002670288,-0.6787021121027481
2020-05-19,25.904109954833984,205.93960571289062,30.530000686645508,33.60300006866455,-0.6451999007506222
2020-05-20,26.943180084228516,206.01748657226562,27.989999771118164,32.90350008010864,-0.5405967355297996
2020-05-21,26.129650115966797,208.34413146972656,29.530000686645508,32.31100006103516,-0.6558397438683552
2020-05-22,25.968551635742188,209.2090301513672,28.15999984741211,31.92250003814697,-0.6843051331448423
2020-05-26,26.331016540527344,209.7279815673828,28.010000228881836,31.658500003814698,-0.6546839390722887
2020-05-27,26.564599990844727,213.94883728027344,27.6200008392334,31.361000061035156,-0.6898720917827948
2020-05-28,26.26657485961914,212.02871704101562,28.59000015258789,31.229000091552734,-0.6933702800314574
2020-05-29,25.734962463378906,214.9175567626953,27.510000228881836,30.89700002670288,-0.7877890343079524
2020-06-01,26.72570037841797,213.88833618164062,28.229999542236328,30.449000072479247,-0.6726405402970345
2020-06-02,27.386188507080078,218.57623291015625,26.84000015258789,29.992500019073486,-0.6709279261956208
2020-06-03,28.71523094177246,218.3934783935547,25.65999984741211,29.594999980926513,-0.533189748165894
2020-06-04,28.650781631469727,216.60980224609375,25.809999465942383,29.179500007629393,-0.5148349110278534
2020-06-05,30.422832489013672,221.78684997558594,24.520000457763672,28.8335000038147,-0.4068891247388941
2020-06-08,31.647159576416016,223.41395568847656,25.809999465942383,28.725,-0.30507834306221787
2020-06-09,30.012041091918945,223.40524291992188,27.56999969482422,28.725,-0.4712755924989401
2020-06-10,29.198509216308594,221.3953094482422,27.56999969482422,28.451499938964844,-0.525955137855124
2020-06-11,26.73375129699707,208.36135864257812,40.790000915527344,28.727000045776368,-0.594633128810384
2020-06-12,27.74864959716797,210.9542236328125,36.09000015258789,28.901000022888184,-0.5276123338272191
2020-06-15,27.805030822753906,210.00579833984375,34.400001525878906,29.026500129699706,-0.5086319293796504
2020-06-16,28.167495727539062,217.47988891601562,33.66999816894531,29.245000076293945,-0.576144610581322
2020-06-17,27.539228439331055,218.26295471191406,33.470001220703125,29.392000102996825,-0.6509860311016502
2020-06-18,27.627836227416992,216.8360595703125,32.939998626708984,29.639500045776366,-0.6220454456561122
2020-06-19,27.33785629272461,214.60858154296875,35.119998931884766,29.91899995803833,-0.6204328144603996
2020-06-22,27.716434478759766,216.79249572753906,31.770000457763672,30.09949998855591,-0.6124251172977799
2020-06-23,28.07084846496582,217.79312133789062,31.3700008392334,30.267500019073488,-0.5903497875706275
2020-06-24,26.677370071411133,214.15614318847656,33.84000015258789,30.57849998474121,-0.6812966729289616
2020-06-25,27.297584533691406,213.50357055664062,32.220001220703125,30.760000038146973,-0.6090967971931807
2020-06-26,26.508220672607422,209.70127868652344,34.72999954223633,31.121000003814697,-0.636286385255565
2020-06-29,26.935117721557617,214.1474609375,31.780000686645508,31.298500061035156,-0.6549581665982458
2020-06-30,26.331016540527344,217.96714782714844,30.43000030517578,31.47800006866455,-0.7697502417602853
2020-07-01,26.395450592041016,215.9137420654297,28.6200008392334,31.626000118255615,-0.7345188267604554
2020-07-02,26.500167846679688,216.21826171875,27.68000030517578,31.719500160217287,-0.7281201799735294
2020-07-06,26.943180084228516,217.1318817138672,27.940000534057617,31.890500164031984,-0.6958178240764344
2020-07-07,26.282682418823242,215.21766662597656,29.43000030517578,32.07150020599365,-0.7362680086469677
2020-07-08,26.379343032836914,216.8012237548828,28.079999923706055,32.097000217437746,-0.7485516005914254
2020-07-09,25.19529151916504,215.74842834472656,29.260000228881836,32.18150024414062,-0.8542863677205224
2020-07-10,25.944385528564453,217.6190948486328,27.290000915527344,31.506500244140625,-0.8042162619016933
2020-07-13,26.105480194091797,217.19277954101562,32.189998626708984,31.31150016784668,-0.7818764152623815
