Date,KO,CVX,VIX,AvgVIX,zscore
2020-01-30,48.63010025024414,84.41715240478516,15.489999771118164,13.696000051498412,1.050462479368779
2020-01-31,48.25005340576172,81.18899536132812,18.84000015258789,14.014500045776368,1.1087892676982385
2020-02-03,48.39876174926758,80.53730773925781,17.969999313354492,14.211999988555908,1.2013782520768213
2020-02-04,48.61357116699219,80.96924591064453,16.049999237060547,14.32199993133545,1.2523508673944828
2020-02-05,48.62184524536133,83.56842803955078,15.149999618530273,14.389999914169312,1.09865787923761
2020-02-06,48.73751449584961,82.96978759765625,14.960000038146973,14.465499925613404,1.1762054602076806
2020-02-07,48.90275192260742,82.55301666259766,15.470000267028809,14.611999940872192,1.2605609119199996
2020-02-10,49.36542892456055,83.19711303710938,15.039999961853027,14.735999917984008,1.3876037817723983
2020-02-11,49.23322296142578,84.27316284179688,15.180000305175781,14.878999948501587,1.2753533427231811
2020-02-12,49.084510803222656,84.90213012695312,13.739999771118164,14.946499919891357,1.1841324018133166
2020-02-13,49.249752044677734,84.61418151855469,14.149999618530273,15.032999897003174,1.2607247802837025
2020-02-14,49.53066635131836,84.39185333251953,13.680000305175781,15.100999927520752,1.3748294593553034
2020-02-18,49.183650970458984,84.51451110839844,14.829999923706055,15.237499904632568,1.2430357207962721
2020-02-19,49.3819465637207,84.89783477783203,14.380000114440918,15.313999891281128,1.291018444644758
2020-02-20,49.340641021728516,84.18484497070312,15.5600004196167,15.446499919891357,1.3191845654224998
2020-02-21,49.67937469482422,83.57154083251953,17.079999923706055,15.651499938964843,1.4775818828686833
2020-02-24,48.45659255981445,80.2750015258789,25.030000686645508,16.174999952316284,1.2379197491060472
2020-02-25,47.77085876464844,77.20840454101562,27.850000381469727,16.655999994277956,1.1769238082816418
2020-02-26,47.58909225463867,75.16149139404297,27.559999465942383,17.219999933242796,1.2351352215588585
2020-02-27,45.38313293457031,72.1639404296875,39.15999984741211,18.35849995613098,0.6249950950438152
2020-02-28,44.19340515136719,71.55827331542969,40.11000061035156,19.589499998092652,0.23499701656383584
2020-03-02,46.20106887817383,74.04985046386719,33.41999816894531,20.318499898910524,0.8045468474057188
2020-03-03,46.31674575805664,72.3632583618164,36.81999969482422,21.26099991798401,0.947670705211262
2020-03-04,48.6796760559082,75.53714752197266,31.989999771118164,22.05799994468689,1.6034547040094835
2020-03-05,46.878562927246094,74.5098648071289,39.619998931884766,23.281499910354615,1.0196941313295758
2020-03-06,45.655784606933594,73.07623291015625,41.939998626708984,24.630499839782715,0.6677513204453595
2020-03-09,42.846702575683594,61.844940185546875,54.459999084472656,26.57999978065491,0.33766695195735125
2020-03-10,44.3338623046875,65.14916229248047,47.29999923706055,28.192999744415282,0.6716422197530721
