Date,BP,META,VIX,AvgVIX,zscore
2020-01-30,26.357297897338867,207.89852905273438,15.489999771118164,13.696000051498412,0.4435674535363071
2020-01-31,25.716697692871094,200.33786010742188,18.84000015258789,14.014500045776368,0.3599247195107571
2020-02-03,25.076093673706055,202.60011291503906,17.969999313354492,14.211999988555908,0.24340870960774477
2020-02-04,25.980052947998047,208.19618225097656,16.049999237060547,14.32199993133545,0.37841459465573324
2020-02-05,26.81283950805664,208.4739990234375,15.149999618530273,14.389999914169312,0.5191140311189333
2020-02-06,26.250530242919922,209.208251953125,14.960000038146973,14.465499925613404,0.42102682746767056
2020-02-07,25.88752555847168,210.67674255371094,15.470000267028809,14.611999940872192,0.35437752811164996
2020-02-10,25.7593994140625,211.4010467529297,15.039999961853027,14.735999917984008,0.33016365360484046
2020-02-11,26.015634536743164,205.5767364501953,15.180000305175781,14.878999948501587,0.3932318674236222
2020-02-12,26.45694351196289,209.11892700195312,13.739999771118164,14.946499919891357,0.4564297527475663
2020-02-13,26.1962890625,211.48040771484375,14.149999618530273,15.032999897003174,0.4041983957612206
2020-02-14,26.06595802307129,212.51231384277344,13.680000305175781,15.100999927520752,0.3785801455867659
2020-02-18,26.13112449645996,216.10411071777344,14.829999923706055,15.237499904632568,0.37764275590971763
2020-02-19,26.246976852416992,215.7965545654297,14.380000114440918,15.313999891281128,0.3983746126234511
2020-02-20,26.051475524902344,212.9092254638672,15.5600004196167,15.446499919891357,0.3747888831429911
2020-02-21,25.602563858032227,208.54345703125,17.079999923706055,15.651499938964843,0.31305415588269103
2020-02-24,24.661293029785156,199.15713500976562,25.030000686645508,16.174999952316284,0.18438698801156886
2020-02-25,23.843114852905273,195.23788452148438,27.850000381469727,16.655999994277956,0.05835808850846867
2020-02-26,23.66209602355957,195.66452026367188,27.559999465942383,17.219999933242796,0.02614509046808746
2020-02-27,22.82943344116211,188.2725372314453,39.15999984741211,18.35849995613098,-0.0907255451952015
2020-02-28,22.65566635131836,190.97137451171875,40.11000061035156,19.589499998092652,-0.1293092379647604
2020-03-02,23.33626937866211,194.91043090820312,33.41999816894531,20.318499898910524,-0.026743553618961222
2020-03-03,23.111814498901367,184.44259643554688,36.81999969482422,21.26099991798401,-0.029884983913048557
2020-03-04,23.995161056518555,190.2668914794922,31.989999771118164,22.05799994468689,0.10085160461391503
2020-03-05,23.604171752929688,183.72817993164062,39.619998931884766,23.281499910354615,0.05623933787649655
2020-03-06,22.626697540283203,179.6799774169922,41.939998626708984,24.630499839782715,-0.09644895172078077
2020-03-09,18.30409812927246,168.1802215576172,54.459999084472656,26.57999978065491,-0.7930944310609366
2020-03-10,19.397415161132812,176.80255126953125,47.29999923706055,28.192999744415282,-0.6360125690346837
2020-03-11,17.855180740356445,168.91444396972656,53.900001525878906,30.12899980545044,-0.8718973647636735
2020-03-12,15.617856979370117,153.26724243164062,75.47000122070312,33.21549987792969,-1.2000276404356096
