Date,MS,XOM,VIX,AvgVIX,zscore
2020-01-30,44.351043701171875,48.712589263916016,15.489999771118164,13.696000051498412,-0.6590942842812108
2020-01-31,43.065513610839844,46.70513153076172,18.84000015258789,14.014500045776368,-0.6371294439223729
2020-02-03,43.3456916809082,45.660057067871094,17.969999313354492,14.211999988555908,-0.5832158559679046
2020-02-04,44.5158576965332,45.088645935058594,16.049999237060547,14.32199993133545,-0.5082364592370888
2020-02-05,45.31520080566406,47.16376876831055,15.149999618530273,14.389999914169312,-0.5546332753040633
2020-02-06,45.331687927246094,46.52470016479492,14.960000038146973,14.465499925613404,-0.5285927992746462
2020-02-07,45.34817123413086,46.21642303466797,15.470000267028809,14.611999940872192,-0.5156496081416624
2020-02-10,45.61186218261719,45.72833251953125,15.039999961853027,14.735999917984008,-0.4845264967495752
2020-02-11,45.96621322631836,46.16304016113281,15.180000305175781,14.878999948501587,-0.48588367839026886
2020-02-12,46.29582977294922,46.72740173339844,13.739999771118164,14.946499919891357,-0.49348094894415634
2020-02-13,46.08982849121094,46.468101501464844,14.149999618530273,15.032999897003174,-0.4924312799284121
2020-02-14,46.015655517578125,46.25456237792969,13.680000305175781,15.100999927520752,-0.4872952032921234
2020-02-18,45.7519645690918,45.66731643676758,14.829999923706055,15.237499904632568,-0.4758422342045557
2020-02-19,46.402976989746094,46.01814651489258,14.380000114440918,15.313999891281128,-0.46060525747708414
2020-02-20,44.29336929321289,45.65208053588867,15.5600004196167,15.446499919891357,-0.5404992118005055
2020-02-21,43.19736099243164,45.09535217285156,17.079999923706055,15.651499938964843,-0.5674939317481478
2020-02-24,40.939430236816406,42.98281478881836,25.030000686645508,16.174999952316284,-0.5848756267776255
2020-02-25,39.5797233581543,41.33549118041992,27.850000381469727,16.655999994277956,-0.580488476975902
2020-02-26,38.928714752197266,40.42793273925781,27.559999465942383,17.219999933242796,-0.5736825898296366
2020-02-27,37.42068862915039,37.995094299316406,39.15999984741211,18.35849995613098,-0.5448304176111969
2020-02-28,37.1075439453125,39.23057556152344,40.11000061035156,19.589499998092652,-0.6077578187981936
2020-03-02,38.30242919921875,41.09143829345703,33.41999816894531,20.318499898910524,-0.6279741000718493
2020-03-03,36.588382720947266,39.123817443847656,36.81999969482422,21.26099991798401,-0.6267591378163031
2020-03-04,37.28058624267578,39.97797393798828,31.989999771118164,22.05799994468689,-0.6296075317915972
2020-03-05,35.09682083129883,38.21625900268555,39.619998931884766,23.281499910354615,-0.6575611397829763
2020-03-06,34.478782653808594,36.37064743041992,41.939998626708984,24.630499839782715,-0.6121395099422764
2020-03-09,30.90234375,31.92442512512207,54.459999084472656,26.57999978065491,-0.596115463886568
2020-03-10,32.550479888916016,33.10651397705078,47.29999923706055,28.192999744415282,-0.5691775991379575
2020-03-11,30.3831787109375,32.015933990478516,53.900001525878906,30.12899980545044,-0.6229669906338756
2020-03-12,25.801401138305664,28.355226516723633,75.47000122070312,33.21549987792969,-0.6830247290919302
2020-03-13,30.90234375,29.07211685180664,57.83000183105469,35.39949998855591,-0.4831832686781547
2020-03-16,26.081579208374023,26.3037109375,82.69000244140625,38.850000095367434,-0.5892628520591646
2020-03-17,27.84507942199707,28.073055267333984,75.91000366210938,41.9040002822876,-0.5804147492284844
2020-03-18,25.339921951293945,25.25888442993164,76.44999694824219,45.007500123977664,-0.5810778602990586
2020-03-19,25.480012893676758,26.25794792175293,72.0,47.829500102996825,-0.6143661205138243
2020-03-20,24.449935913085938,24.969072341918945,66.04000091552734,50.27750015258789,-0.6094228545482584
2020-03-23,22.91718101501465,23.985261917114258,61.59000015258789,52.10550012588501,-0.6390488420088726
2020-03-24,27.37535858154297,27.028223037719727,61.66999816894531,53.796500015258786,-0.5600625989648345
2020-03-25,28.0098934173584,28.439115524291992,63.95000076293945,55.61600008010864,-0.5875341905447808
2020-03-26,29.427276611328125,29.605972290039062,61.0,56.708000087738036,-0.5703175459907296
2020-03-27,28.026365280151367,28.179819107055664,65.54000091552734,57.97950010299682,-0.576530817750351
2020-03-30,28.71034049987793,28.599275588989258,57.08000183105469,59.16250028610229,-0.5625361685295941
2020-03-31,28.018129348754883,28.957727432250977,53.540000915527344,59.99850034713745,-0.6076992382506169
2020-04-01,26.056859970092773,28.622154235839844,57.060001373291016,61.252000427246095,-0.6821635741040325
2020-04-02,27.935731887817383,30.81095314025879,50.90999984741211,61.81650047302246,-0.6847611063304766
2020-04-03,27.89451789855957,29.90340232849121,46.79999923706055,62.059500503540036,-0.6506721963666288
2020-04-06,30.498552322387695,30.864337921142578,45.2400016784668,61.598500633239745,-0.5722095170465135
2020-04-07,30.440872192382812,31.45157241821289,46.70000076293945,61.568500709533694,-0.5980407620343431
2020-04-08,32.4433479309082,33.44208908081055,43.349998474121094,61.041000556945804,-0.5872573923681303
2020-04-09,33.85249328613281,32.89298629760742,41.66999816894531,59.35100040435791,-0.5024688838889887
2020-04-13,32.616397857666016,32.61079788208008,41.16999816894531,58.51800022125244,-0.5466012904776725
2020-04-14,32.84713363647461,32.359127044677734,37.7599983215332,56.27150001525879,-0.5263132803429829
2020-04-15,31.64400863647461,30.871965408325195,40.84000015258789,54.51799983978272,-0.5212617065893225
2020-04-16,31.611040115356445,29.857650756835938,40.11000061035156,52.70100002288818,-0.48257675040203063
2020-04-17,32.21260070800781,32.96162033081055,38.150001525878906,51.00850009918213,-0.5785581183752004
2020-04-20,31.611040115356445,31.405813217163086,43.83000183105469,49.898000144958495,-0.5438735558068607
2020-04-21,30.449113845825195,31.238035202026367,45.40999984741211,49.089000129699706,-0.5892173799774144
2020-04-22,31.157814025878906,32.13033676147461,41.97999954223633,48.104500198364256,-0.5928379709802996
2020-04-23,30.877614974975586,33.137027740478516,41.380001068115234,46.976000213623045,-0.6452327702350044
2020-04-24,31.289655685424805,33.35056686401367,35.93000030517578,45.722500228881835,-0.6352520272388381
2020-04-27,32.39390182495117,33.510711669921875,33.290000915527344,44.11000022888184,-0.5921866937625423
2020-04-28,33.06963348388672,34.2962532043457,33.56999969482422,42.93450012207031,-0.5930553787316145
