Date,XOM,LRCX,VIX,AvgVIX,zscore
2020-01-30,48.71258544921875,28.930837631225586,15.489999771118164,13.696000051498412,2.970320222517726
2020-01-31,46.70513916015625,27.745498657226562,18.84000015258789,14.014500045776368,2.7090945494916556
2020-02-03,45.66006088256836,28.69729995727539,17.969999313354492,14.211999988555908,2.418808864603349
2020-02-04,45.08864974975586,30.275264739990234,16.049999237060547,14.32199993133545,2.1560866909121605
2020-02-05,47.16375732421875,30.295724868774414,15.149999618530273,14.389999914169312,2.544605267897495
2020-02-06,46.52469253540039,30.100351333618164,14.960000038146973,14.465499925613404,2.4435485442600675
2020-02-07,46.216434478759766,29.34486198425293,15.470000267028809,14.611999940872192,2.4598331244304146
2020-02-10,45.72834014892578,29.75703239440918,15.039999961853027,14.735999917984008,2.3274402258178637
2020-02-11,46.16304397583008,30.30038833618164,15.180000305175781,14.878999948501587,2.355814575546254
2020-02-12,46.72740936279297,31.13309669494629,13.739999771118164,14.946499919891357,2.380134786041862
2020-02-13,46.468109130859375,31.780654907226562,14.149999618530273,15.032999897003174,2.2676513877632023
2020-02-14,46.25456237792969,31.568517684936523,13.680000305175781,15.100999927520752,2.248324842395166
2020-02-18,45.667327880859375,30.269676208496094,14.829999923706055,15.237499904632568,2.2655422517547255
2020-02-19,46.01814270019531,31.06144905090332,14.380000114440918,15.313999891281128,2.2536984865682017
2020-02-20,45.652076721191406,30.56275177001953,15.5600004196167,15.446499919891357,2.233849705063609
2020-02-21,45.09534454345703,29.475116729736328,17.079999923706055,15.651499938964843,2.236036634617723
2020-02-24,42.982810974121094,27.954835891723633,25.030000686645508,16.174999952316284,1.9879733889961893
2020-02-25,41.335487365722656,27.188188552856445,27.850000381469727,16.655999994277956,1.7533460811516481
2020-02-26,40.42793655395508,27.5957088470459,27.559999465942383,17.219999933242796,1.5424697010221446
2020-02-27,37.99509811401367,26.581567764282227,39.15999984741211,18.35849995613098,1.184349816890351
2020-02-28,39.2305793762207,27.300765991210938,40.11000061035156,19.589499998092652,1.3461356443540162
2020-03-02,41.0914421081543,27.9427490234375,33.41999816894531,20.318499898910524,1.6332105732528186
2020-03-03,39.12379837036133,27.117481231689453,36.81999969482422,21.26099991798401,1.344064704106308
2020-03-04,39.977970123291016,28.492612838745117,31.989999771118164,22.05799994468689,1.369581603685743
2020-03-05,38.21625900268555,27.831098556518555,39.619998931884766,23.281499910354615,1.1030875786834287
2020-03-06,36.37065124511719,27.391952514648438,41.939998626708984,24.630499839782715,0.7989357402629743
2020-03-09,31.924427032470703,24.897546768188477,54.459999084472656,26.57999978065491,0.20747664656458276
2020-03-10,33.10652160644531,26.755552291870117,47.29999923706055,28.192999744415282,0.24722000633905916
2020-03-11,32.01593780517578,25.737693786621094,53.900001525878906,30.12899980545044,0.14207510143508242
2020-03-12,28.355222702026367,22.129594802856445,75.47000122070312,33.21549987792969,-0.19202750829907259
2020-03-13,29.072114944458008,24.35604476928711,57.83000183105469,35.39949998855591,-0.2760686232722963
2020-03-16,26.303712844848633,19.867795944213867,82.69000244140625,38.850000095367434,-0.35568215184867097
2020-03-17,28.073049545288086,21.334104537963867,75.91000366210938,41.9040002822876,-0.16689994478275347
2020-03-18,25.258882522583008,18.062814712524414,76.44999694824219,45.007500123977664,-0.3748073162204011
2020-03-19,26.257953643798828,18.143754959106445,72.0,47.829500102996825,-0.1947443250004525
2020-03-20,24.96907615661621,17.481319427490234,66.04000091552734,50.27750015258789,-0.3721614930944186
2020-03-23,23.985261917114258,17.942790985107422,61.59000015258789,52.10550012588501,-0.6026962831697439
2020-03-24,27.028226852416992,21.587507247924805,61.66999816894531,53.796500015258786,-0.3884540068145726
2020-03-25,28.439119338989258,21.859882354736328,63.95000076293945,55.61600008010864,-0.14971366178003456
2020-03-26,29.605972290039062,24.36737823486328,61.0,56.708000087738036,-0.1767124183922453
2020-03-27,28.179819107055664,22.57777976989746,65.54000091552734,57.97950010299682,-0.26911451992070656
2020-03-30,28.599275588989258,23.895647048950195,57.08000183105469,59.16250028610229,-0.31977846464257875
2020-03-31,28.957721710205078,22.463594436645508,53.540000915527344,59.99850034713745,-0.11148547173947311
2020-04-01,28.622148513793945,20.903308868408203,57.060001373291016,61.252000427246095,-0.021194418239657387
2020-04-02,30.810956954956055,20.644973754882812,50.90999984741211,61.81650047302246,0.4161403372787667
2020-04-03,29.90340805053711,20.418468475341797,46.79999923706055,62.059500503540036,0.2676171190706211
2020-04-06,30.864334106445312,23.469772338867188,45.2400016784668,61.598500633239745,0.1483829535298342
2020-04-07,31.451574325561523,23.98175048828125,46.70000076293945,61.568500709533694,0.20855014628827256
2020-04-08,33.44208908081055,24.96734619140625,43.349998474121094,61.041000556945804,0.4862329543236069
2020-04-09,32.89297866821289,24.1745662689209,41.66999816894531,59.35100040435791,0.4608569624660736
2020-04-13,32.61079788208008,24.221364974975586,41.16999816894531,58.51800022125244,0.4031487686006975
2020-04-14,32.3591194152832,25.506471633911133,37.7599983215332,56.27150001525879,0.2294005124331452
2020-04-15,30.871959686279297,24.598567962646484,40.84000015258789,54.51799983978272,0.038807452455519725
2020-04-16,29.857648849487305,25.33799171447754,40.11000061035156,52.70100002288818,-0.22480174536679476
2020-04-17,32.96162796020508,26.11579132080078,38.150001525878906,51.00850009918213,0.2828681851367858
2020-04-20,31.405820846557617,24.965471267700195,43.83000183105469,49.898000144958495,0.10319610731746896
2020-04-21,31.23802947998047,22.80335807800293,45.40999984741211,49.089000129699706,0.28424965260255936
2020-04-22,32.13032531738281,25.438148498535156,41.97999954223633,48.104500198364256,0.19306115393683349
2020-04-23,33.137027740478516,24.706207275390625,41.380001068115234,46.976000213623045,0.4545026008497169
