Date,MS,PEP,VIX,AvgVIX,zscore
2023-01-31,87.6962661743164,153.52731323242188,19.399999618530273,20.202999973297118,1.942124589765784
2023-02-01,88.47115325927734,154.01210021972656,17.8700008392334,19.951500034332277,2.0678437717134543
2023-02-02,89.39017486572266,152.58473205566406,18.729999542236328,19.7875,2.2793583972153497
2023-02-03,89.58841705322266,151.82164001464844,18.329999923706055,19.58100004196167,2.3391722223042133
2023-02-06,89.11089324951172,154.2454833984375,19.43000030517578,19.49600009918213,2.1768370749628008
2023-02-07,89.39921569824219,154.01210021972656,18.65999984741211,19.33050012588501,2.2365117246231248
2023-02-08,89.16492462158203,153.6529998779297,19.6299991607666,19.28300008773804,2.2051240205687948
2023-02-09,88.34500885009766,155.10728454589844,20.709999084472656,19.264000034332277,2.0107821278060753
2023-02-10,88.69640350341797,158.177490234375,20.530000686645508,19.34900007247925,1.9789497775453475
2023-02-13,89.58841705322266,159.5869140625,20.34000015258789,19.448500061035155,2.0971356689359664
2023-02-14,90.60658264160156,157.79150390625,18.90999984741211,19.426000022888182,2.338140458405032
2023-02-15,90.849853515625,158.00694274902344,18.229999542236328,19.320499992370607,2.3756379677785793
2023-02-16,89.71456146240234,157.5580596923828,20.170000076293945,19.30299997329712,2.1832989618034655
2023-02-17,89.66050720214844,158.24929809570312,20.020000457763672,19.311499977111815,2.1519297562699427
2023-02-21,87.95757293701172,158.1595458984375,22.8700008392334,19.46450004577637,1.8452325182431077
2023-02-22,87.6422119140625,158.10568237304688,22.290000915527344,19.619000053405763,1.7895970425753673
2023-02-23,88.24588775634766,158.27622985839844,21.139999389648438,19.72200002670288,1.8939945059218954
2023-02-24,88.02964782714844,157.96205139160156,21.670000076293945,19.869000053405763,1.8644872799508838
2023-02-27,87.12862396240234,157.91714477539062,20.950000762939453,19.99100008010864,1.7021330709679257
2023-02-28,86.94844055175781,155.7805938720703,20.700000762939453,20.029000091552735,1.7359805269110187
2023-03-01,86.66912078857422,153.80560302734375,20.579999923706055,20.088000106811524,1.7467750601766112
2023-03-02,86.56999206542969,156.64346313476562,19.59000015258789,20.17400007247925,1.6403056774463884
2023-03-03,88.59730529785156,156.4898223876953,18.489999771118164,20.16200008392334,2.0135425453816955
2023-03-06,88.64234924316406,156.80616760253906,18.610000610351562,20.176000118255615,2.0118687299035587
2023-03-07,86.5519790649414,156.0289306640625,19.59000015258789,20.184000110626222,1.6561863782254038
2023-03-08,86.40782165527344,156.45370483398438,19.110000610351562,20.206500148773195,1.6167470919061389
2023-03-09,83.07405090332031,155.26974487304688,22.610000610351562,20.35550022125244,1.0477637820756245
2023-03-10,81.1368637084961,155.4775848388672,24.799999237060547,20.560000228881837,0.6892172627735454
2023-03-13,79.28075408935547,156.99598693847656,26.520000457763672,20.859500217437745,0.30455691300298565
2023-03-14,81.06475830078125,156.83331298828125,23.729999542236328,21.029000186920165,0.6338558619615556
2023-03-15,76.9381103515625,159.63504028320312,26.139999389648438,21.390500164031984,-0.20345681934425583
2023-03-16,78.39774322509766,159.5265655517578,22.989999771118164,21.628500175476074,0.06520088322251412
2023-03-17,75.84786224365234,158.27932739257812,25.510000228881836,21.89550018310547,-0.35934438325217927
2023-03-20,77.1633529663086,160.50262451171875,24.149999618530273,22.102000141143797,-0.18956258298137485
2023-03-21,79.97454833984375,160.88223266601562,21.3799991607666,22.027500057220458,0.3095177327453205
2023-03-22,78.88430786132812,159.5265655517578,22.260000228881836,22.026000022888184,0.15363012861118622
2023-03-23,77.34355163574219,158.7493133544922,22.610000610351562,22.09950008392334,-0.10216379123455863
2023-03-24,75.6406021118164,161.85829162597656,21.739999771118164,22.10300006866455,-0.5085653316997111
2023-03-27,76.2623291015625,162.2198486328125,20.600000381469727,22.085500049591065,-0.40684080979207055
2023-03-28,76.47857666015625,162.16558837890625,19.969999313354492,22.048999977111816,-0.3658482962802226
2023-03-29,77.70396423339844,163.28628540039062,19.1200008392334,21.976000022888183,-0.17807497980766684
2023-03-30,77.58683013916016,163.43089294433594,19.020000457763672,21.947500038146973,-0.20387045410666102
