Date,LRCX,CL,VIX,AvgVIX,zscore
2020-01-30,28.930837631225586,59.94426727294922,15.489999771118164,13.696000051498412,0.29038321666136113
2020-01-31,27.745498657226562,63.66328048706055,18.84000015258789,14.014500045776368,-0.706905496165219
2020-02-03,28.69729995727539,64.65559387207031,17.969999313354492,14.211999988555908,-0.839333823761858
2020-02-04,30.275264739990234,65.06114196777344,16.049999237060547,14.32199993133545,-0.7681242263031094
2020-02-05,30.295724868774414,65.34587860107422,15.149999618530273,14.389999914169312,-0.8327559604978657
2020-02-06,30.100351333618164,65.84638214111328,14.960000038146973,14.465499925613404,-0.9707498530607737
2020-02-07,29.34486198425293,65.60476684570312,15.470000267028809,14.611999940872192,-0.9937134037439067
2020-02-10,29.75703239440918,66.74378204345703,15.039999961853027,14.735999917984008,-1.2174358259350526
2020-02-11,30.30038833618164,65.67379760742188,15.180000305175781,14.878999948501587,-0.9091818022190371
2020-02-12,31.13309669494629,65.5357437133789,13.739999771118164,14.946499919891357,-0.7890224022068023
2020-02-13,31.780654907226562,65.89812469482422,14.149999618530273,15.032999897003174,-0.8057631243322679
2020-02-14,31.568517684936523,66.17427062988281,13.680000305175781,15.100999927520752,-0.8928982764356683
2020-02-18,30.269676208496094,65.63926696777344,14.829999923706055,15.237499904632568,-0.9043196332872339
2020-02-19,31.06144905090332,65.1819839477539,14.380000114440918,15.313999891281128,-0.7135962062788929
2020-02-20,30.56275177001953,64.85403442382812,15.5600004196167,15.446499919891357,-0.6892401278468357
2020-02-21,29.475116729736328,65.81185913085938,17.079999923706055,15.651499938964843,-1.02855907143471
2020-02-24,27.954835891723633,64.21552276611328,25.030000686645508,16.174999952316284,-0.8143741129007013
2020-02-25,27.188188552856445,63.68054962158203,27.850000381469727,16.655999994277956,-0.7697031635712839
2020-02-26,27.5957088470459,62.92119216918945,27.559999465942383,17.219999933242796,-0.5486291696685601
2020-02-27,26.581567764282227,60.531028747558594,39.15999984741211,18.35849995613098,-0.09488930812106405
2020-02-28,27.300765991210938,58.3048095703125,40.11000061035156,19.589499998092652,0.5031095839023608
2020-03-02,27.9427490234375,62.50703811645508,33.41999816894531,20.318499898910524,-0.4149021770502547
2020-03-03,27.117481231689453,61.93752670288086,36.81999969482422,21.26099991798401,-0.3683091319486886
2020-03-04,28.492612838745117,65.03526306152344,31.989999771118164,22.05799994468689,-0.9499662973456396
2020-03-05,27.831098556518555,62.42074966430664,39.619998931884766,23.281499910354615,-0.4064314225166021
2020-03-06,27.391952514648438,62.567420959472656,41.939998626708984,24.630499839782715,-0.48712608477611286
2020-03-09,24.897546768188477,60.392974853515625,54.459999084472656,26.57999978065491,-0.2400225128437079
2020-03-10,26.755552291870117,61.96342086791992,47.29999923706055,28.192999744415282,-0.41253445429083146
2020-03-11,25.737693786621094,59.45243453979492,53.900001525878906,30.12899980545044,0.06915404246071188
2020-03-12,22.129594802856445,55.12940216064453,75.47000122070312,33.21549987792969,0.7028386350375044
2020-03-13,24.35604476928711,59.6250114440918,57.83000183105469,35.39949998855591,-0.11696789603717829
2020-03-16,19.867795944213867,53.79193878173828,82.69000244140625,38.850000095367434,0.7781371178847981
2020-03-17,21.334104537963867,60.57417297363281,75.91000366210938,41.9040002822876,-0.6581530951924237
2020-03-18,18.062814712524414,58.408348083496094,76.44999694824219,45.007500123977664,-0.4949643711563448
2020-03-19,18.143754959106445,57.510948181152344,72.0,47.829500102996825,-0.275936170326387
2020-03-20,17.481319427490234,53.56759262084961,66.04000091552734,50.27750015258789,0.5791978243961174
2020-03-23,17.942790985107422,52.1783561706543,61.59000015258789,52.10550012588501,0.9537047559159632
2020-03-24,21.587507247924805,52.7910041809082,61.66999816894531,53.796500015258786,1.1941962204692702
2020-03-25,21.859882354736328,51.677879333496094,63.95000076293945,55.61600008010864,1.4840048187807071
2020-03-26,24.36737823486328,55.06899642944336,61.0,56.708000087738036,0.952895993835753
2020-03-27,22.57777976989746,56.31155014038086,65.54000091552734,57.97950010299682,0.47279524374099596
2020-03-30,23.895647048950195,57.450557708740234,57.08000183105469,59.16250028610229,0.34454561636763315
2020-03-31,22.463594436645508,57.260711669921875,53.540000915527344,59.99850034713745,0.2381212987064131
2020-04-01,20.903308868408203,56.56179428100586,57.060001373291016,61.252000427246095,0.23758866298935705
2020-04-02,20.644973754882812,58.82252883911133,50.90999984741211,61.81650047302246,-0.3199258918240569
2020-04-03,20.418468475341797,58.34794998168945,46.79999923706055,62.059500503540036,-0.23248389536189332
2020-04-06,23.469772338867188,60.833038330078125,45.2400016784668,61.598500633239745,-0.49374886411886953
2020-04-07,23.98175048828125,59.573238372802734,46.70000076293945,61.568500709533694,-0.14427886642176316
2020-04-08,24.96734619140625,60.59144592285156,43.349998474121094,61.041000556945804,-0.2792186641386205
2020-04-09,24.1745662689209,60.323944091796875,41.66999816894531,59.35100040435791,-0.30004107133768065
2020-04-13,24.221364974975586,59.96153259277344,41.16999816894531,58.51800022125244,-0.2100998794997365
2020-04-14,25.506471633911133,63.08515548706055,37.7599983215332,56.27150001525879,-0.8073187280934656
2020-04-15,24.598567962646484,62.688232421875,40.84000015258789,54.51799983978272,-0.8099191820199764
2020-04-16,25.33799171447754,62.85218048095703,40.11000061035156,52.70100002288818,-0.7704313295222401
2020-04-17,26.11579132080078,63.7376708984375,38.150001525878906,51.00850009918213,-0.896144826070533
2020-04-20,24.965471267700195,62.64382553100586,43.83000183105469,49.898000144958495,-0.7608271166695112
2020-04-21,22.80335807800293,61.29823684692383,45.40999984741211,49.089000129699706,-0.6731147125456906
2020-04-22,25.438148498535156,61.8191032409668,41.97999954223633,48.104500198364256,-0.5175526977822542
2020-04-23,24.706207275390625,61.83646774291992,41.380001068115234,46.976000213623045,-0.5987808899125173
2020-04-24,24.959856033325195,61.984046936035156,35.93000030517578,45.722500228881835,-0.6066598648315681
2020-04-27,24.748321533203125,61.66286087036133,33.290000915527344,44.11000022888184,-0.5536199347250774
2020-04-28,24.508712768554688,61.73230743408203,33.56999969482422,42.93450012207031,-0.5951670344174397
2020-04-29,26.206584930419922,60.90756607055664,31.229999542236328,41.81900005340576,-0.22273831708335523
2020-04-30,23.893770217895508,61.00306701660156,34.150001525878906,40.673500061035156,-0.4889368604417296
2020-05-01,21.997468948364258,59.4925422668457,37.189998626708984,39.9875,-0.3345170045974919
2020-05-04,21.95067024230957,60.31726837158203,35.970001220703125,39.44600009918213,-0.5328997584385072
2020-05-05,22.726604461669922,60.351985931396484,33.61000061035156,38.86450004577637,-0.45925067827974964
2020-05-06,22.890399932861328,58.893524169921875,34.119998931884766,38.235499954223634,-0.09988462952681239
2020-05-07,23.17774200439453,59.72693634033203,31.440000534057617,37.64000005722046,-0.265082474487494
2020-05-08,24.84099006652832,60.22175979614258,27.979999542236328,36.95550012588501,-0.20582365631846122
2020-05-11,24.544281005859375,60.23044204711914,27.56999969482422,36.275500202178954,-0.23913677772310807
2020-05-12,23.959291458129883,59.666168212890625,33.040000915527344,36.03950033187866,-0.16844414391106624
2020-05-13,23.23015785217285,59.29288101196289,35.279998779296875,35.76150026321411,-0.1577442314170269
2020-05-14,25.17793846130371,58.21638488769531,32.61000061035156,35.38650026321411,0.30007991618678576
2020-05-15,23.571788787841797,59.85715866088867,31.889999389648438,35.07350015640259,-0.25409059389990524
2020-05-18,24.098752975463867,60.95967102050781,29.299999237060547,34.34700002670288,-0.4571502256380082
2020-05-19,24.490924835205078,60.11760330200195,30.530000686645508,33.60300006866455,-0.2182934280742184
2020-05-20,25.38105010986328,61.17668151855469,27.989999771118164,32.90350008010864,-0.3728836377837322
2020-05-21,24.401079177856445,60.99440002441406,29.530000686645508,32.31100006103516,-0.43342763439229526
2020-05-22,24.442258834838867,61.419769287109375,28.15999984741211,31.92250003814697,-0.5288623972142323
2020-05-26,24.93084144592285,60.27384948730469,28.010000228881836,31.658500003814698,-0.20857054982340228
2020-05-27,25.84342384338379,61.28086471557617,27.6200008392334,31.361000061035156,-0.3485815045070567
2020-05-28,24.973894119262695,62.583045959472656,28.59000015258789,31.229000091552734,-0.7456826558636128
2020-05-29,25.615047454833984,62.791412353515625,27.510000228881836,30.89700002670288,-0.7269725158598189
2020-06-01,25.362327575683594,63.138675689697266,28.229999542236328,30.449000072479247,-0.835067011792606
2020-06-02,25.408187866210938,62.88689422607422,26.84000015258789,29.992500019073486,-0.7711743717943811
2020-06-03,26.852413177490234,62.20108413696289,25.65999984741211,29.594999980926513,-0.4580710232796702
2020-06-04,27.315725326538086,61.419769287109375,25.809999465942383,29.179500007629393,-0.22596554073274955
2020-06-05,28.539989471435547,62.85218811035156,24.520000457763672,28.8335000038147,-0.4329052384468238
2020-06-08,27.853910446166992,63.81578063964844,25.809999465942383,28.725,-0.7312484116621971
2020-06-09,28.29756736755371,63.61613082885742,27.56999969482422,28.725,-0.6376514894008997
2020-06-10,28.20116424560547,64.55369567871094,27.56999969482422,28.451499938964844,-0.8677308386470771
2020-06-11,26.434965133666992,63.45985794067383,40.790000915527344,28.727000045776368,-0.7973357492583585
2020-06-12,26.630584716796875,63.19074630737305,36.09000015258789,28.901000022888184,-0.7135917305914281
2020-06-15,27.250200271606445,63.27756118774414,34.400001525878906,29.026500129699706,-0.6686405250784253
2020-06-16,28.705799102783203,63.83316421508789,33.66999816894531,29.245000076293945,-0.6455269499485669
2020-06-17,29.485742568969727,64.07625579833984,33.470001220703125,29.392000102996825,-0.6203319317796986
2020-06-18,29.581588745117188,63.90260314941406,32.939998626708984,29.639500045776366,-0.5694962687830978
2020-06-19,29.62387466430664,63.685577392578125,35.119998931884766,29.91899995803833,-0.5141327865573625
2020-06-22,29.346660614013672,63.45985794067383,31.770000457763672,30.09949998855591,-0.49040911184112
2020-06-23,29.692476272583008,63.3036003112793,31.3700008392334,30.267500019073488,-0.4173039673930409
2020-06-24,28.73398208618164,62.53097915649414,33.84000015258789,30.57849998474121,-0.3371126555921034
2020-06-25,29.374855041503906,63.06053161621094,32.220001220703125,30.760000038146973,-0.3937702026412453
2020-06-26,28.42764663696289,62.08821487426758,34.72999954223633,31.121000003814697,-0.26554818826197935
2020-06-29,28.985822677612305,62.87822723388672,31.780000686645508,31.298500061035156,-0.39201701848761517
2020-06-30,30.395366668701172,63.59876251220703,30.43000030517578,31.47800006866455,-0.4124450429377549
2020-07-01,29.833423614501953,63.399105072021484,28.6200008392334,31.626000118255615,-0.4248482881044782
2020-07-02,30.417919158935547,63.61613082885742,27.68000030517578,31.719500160217287,-0.4141416993616754
2020-07-06,31.476003646850586,63.763710021972656,27.940000534057617,31.890500164031984,-0.33722377320101926
2020-07-07,30.811649322509766,64.21512603759766,29.43000030517578,32.07150020599365,-0.5131396255792922
2020-07-08,31.367013931274414,64.66655731201172,28.079999923706055,32.097000217437746,-0.5604864665673116
2020-07-09,31.551191329956055,63.6508674621582,29.260000228881836,32.18150024414062,-0.3028295084924695
