Date,XOM,GILD,VIX,AvgVIX,zscore
2022-01-31,65.46409606933594,58.771060943603516,24.829999923706055,23.18100004196167,-2.733760018797245
2022-02-01,69.66114807128906,58.59135818481445,21.959999084472656,23.448999977111818,-2.125757478465643
2022-02-02,69.48017883300781,56.32368469238281,22.09000015258789,23.707999992370606,-1.8369095803886903
2022-02-03,68.6700668334961,55.955726623535156,24.350000381469727,23.939000034332274,-1.898514106358045
2022-02-04,70.16102600097656,54.68069839477539,23.219999313354492,24.119499969482423,-1.5148212936159027
2022-02-07,71.00560760498047,54.56089401245117,22.860000610351562,24.324499988555907,-1.3808902055838108
2022-02-08,69.169921875,54.50956726074219,21.440000534057617,24.426500034332275,-1.6288255106404943
2022-02-09,68.83879852294922,54.235721588134766,19.959999084472656,24.503999996185303,-1.6369126047122442
2022-02-10,68.17655181884766,52.875125885009766,23.90999984741211,24.818499946594237,-1.540528862558166
2022-02-11,69.89315795898438,53.11472702026367,27.360000610351562,25.171000003814697,-1.3352071695693093
2022-02-14,68.82138061523438,52.293235778808594,28.329999923706055,25.62799997329712,-1.3703683584220478
2022-02-15,67.95869445800781,52.48148727416992,25.700000762939453,25.773499965667725,-1.5162922706232416
2022-02-16,68.27239227294922,52.96925735473633,24.290000915527344,25.795499992370605,-1.5402470188248851
2022-02-17,68.16783905029297,52.447265625,28.110000610351562,25.92150001525879,-1.482496164671291
2022-02-18,67.40973663330078,52.24188995361328,27.75,25.866499996185304,-1.5593865022985725
2022-02-22,66.6255111694336,52.18199920654297,28.809999465942383,25.811999988555907,-1.6600506767403773
2022-02-23,66.89562225341797,52.49861145019531,31.020000457763672,25.805000019073486,-1.6663619898129929
2022-02-24,66.05038452148438,51.86537170410156,30.31999969482422,25.723000049591064,-1.696114789607256
2022-02-25,67.8279800415039,52.301788330078125,27.59000015258789,25.57800006866455,-1.5095713427545003
2022-02-28,68.33340454101562,51.685665130615234,30.149999618530273,25.70250005722046,-1.354039018077841
2022-03-01,68.98693084716797,51.565860748291016,33.31999969482422,26.127000045776366,-1.2466523239753302
2022-03-02,70.17200469970703,52.404476165771484,30.739999771118164,26.566000080108644,-1.1981212905551213
2022-03-03,70.61639404296875,52.80665969848633,30.479999542236328,26.985500049591064,-1.1920676754155348
2022-03-04,73.27410888671875,52.93503189086914,31.979999542236328,27.367000007629393,-0.840591227118328
2022-03-07,75.91437530517578,51.565860748291016,36.45000076293945,28.028500080108643,-0.28418325514309306
2022-03-08,76.489501953125,50.94975280761719,35.130001068115234,28.642000102996825,-0.11896892925220394
2022-03-09,72.14131927490234,50.4876594543457,32.45000076293945,29.192500114440918,-0.659103299354781
2022-03-10,74.38076782226562,49.563472747802734,30.229999542236328,29.706000137329102,-0.21999751570440032
2022-03-11,73.99734497070312,49.63193893432617,30.75,30.048000144958497,-0.28274871980312216
2022-03-14,71.34835815429688,50.39457702636719,31.770000457763672,30.268500137329102,-0.7563853175244072
2022-03-15,67.28775024414062,50.541893005371094,29.829999923706055,30.3435001373291,-1.3409465071536109
2022-03-16,67.03504943847656,50.23858642578125,26.670000076293945,30.392000102996825,-1.3340586400770833
2022-03-17,68.82138061523438,51.30453872680664,25.670000076293945,30.461000061035158,-1.2334694812272562
2022-03-18,68.5512466430664,51.49519348144531,23.8700008392334,30.249000072479248,-1.2973995291509994
2022-03-21,71.627197265625,51.703189849853516,23.530000686645508,30.038000106811523,-0.8988402929902428
2022-03-22,71.31351470947266,51.98050308227539,22.940000534057617,29.744500160217285,-0.9808198653862951
2022-03-23,72.43757629394531,51.001216888427734,23.56999969482422,29.37200012207031,-0.6890518143024469
2022-03-24,72.65542602539062,51.25253677368164,21.670000076293945,28.9395001411438,-0.6935834564924906
2022-03-25,74.2413330078125,51.05321502685547,20.809999465942383,28.600500106811523,-0.4456455510191007
2022-03-28,72.15872955322266,51.28719711303711,19.6299991607666,28.07450008392334,-0.767391515465616
2022-03-29,71.77533721923828,52.4571533203125,18.899999618530273,27.353500080108642,-0.9826551142572286
2022-03-30,73.00397491455078,51.703189849853516,19.329999923706055,26.78300008773804,-0.7075567814755643
2022-03-31,71.96704864501953,51.52119064331055,20.559999465942383,26.28700008392334,-0.8264224922568048
2022-04-01,72.42884826660156,51.711849212646484,19.6299991607666,25.669500064849853,-0.7886613913547801
2022-04-04,72.46372985839844,52.57847595214844,18.56999969482422,24.77550001144409,-0.9038116366338023
2022-04-05,72.08904266357422,51.78117752075195,21.030000686645508,24.070499992370607,-0.8454719769753948
2022-04-06,72.89071655273438,52.70846939086914,22.100000381469727,23.55299997329712,-0.8624873604963327
2022-04-07,74.11064910888672,52.855804443359375,21.549999237060547,23.11899995803833,-0.7133958155512959
2022-04-08,75.6703872680664,53.991092681884766,21.15999984741211,22.639499950408936,-0.6538890334228705
2022-04-11,73.0649642944336,53.63576889038086,24.3700008392334,22.26949996948242,-0.9666756663975892
2022-04-12,74.58988189697266,53.41044616699219,24.260000228881836,21.99099998474121,-0.7236111633388341
2022-04-13,75.64424896240234,53.783103942871094,21.81999969482422,21.748499965667726,-0.6287216384393979
2022-04-14,76.53305053710938,53.575096130371094,22.700000762939453,21.6,-0.47643382620152647
2022-04-18,77.16045379638672,53.36711883544922,22.170000076293945,21.51499996185303,-0.36046778706017907
2022-04-19,76.4720687866211,54.407066345214844,21.3700008392334,21.40699996948242,-0.600104229696796
2022-04-20,76.64633178710938,55.117706298828125,20.31999969482422,21.27599992752075,-0.6742908838941625
2022-04-21,75.83597564697266,55.24769973754883,22.68000030517578,21.23149995803833,-0.8048776512793164
2022-04-22,74.18033599853516,53.94776153564453,28.209999084472656,21.558499908447267,-0.8549104894892227
2022-04-25,71.67949676513672,54.29440689086914,27.020000457763672,21.86899995803833,-1.250364116704307
2022-04-26,71.70562744140625,53.53178024291992,33.52000045776367,22.563500022888185,-1.1411373528498832
2022-04-27,73.75334167480469,53.37577819824219,31.600000381469727,23.198500061035155,-0.8350361682155413
2022-04-28,75.98407745361328,53.349788665771484,29.989999771118164,23.73150005340576,-0.5215088074498663
2022-04-29,74.28489685058594,51.42586135864258,33.400001525878906,24.37350015640259,-0.49119105453360956
2022-05-02,75.29570007324219,52.2664909362793,32.34000015258789,25.00900020599365,-0.46715131464496534
2022-05-03,76.84675598144531,52.28382873535156,29.25,25.54300022125244,-0.2540549978885822
2022-05-04,79.90528106689453,53.80043029785156,25.420000076293945,25.762500190734862,-0.039111405303499054
2022-05-05,78.69407653808594,53.16778564453125,31.200000762939453,26.21750020980835,-0.11979244249242775
2022-05-06,79.8965835571289,53.02046203613281,30.190000534057617,26.6495002746582,0.06767766948917386
2022-05-09,73.59651184082031,53.453773498535156,34.75,27.3290002822876,-0.8676249603554216
2022-05-10,74.08448028564453,53.54043960571289,32.9900016784668,27.76000032424927,-0.8118288719523516
2022-05-11,75.6268310546875,52.483154296875,32.560001373291016,28.175000381469726,-0.4511454730581396
2022-05-12,75.97014617919922,54.14707946777344,31.770000457763672,28.6725004196167,-0.6338403742771967
2022-05-13,78.22371673583984,54.0517578125,28.8700008392334,28.981000423431396,-0.3075404505354607
2022-05-16,80.06355285644531,53.939090728759766,27.469999313354492,29.246000385284425,-0.03632127763110499
2022-05-17,81.0846939086914,54.75372314453125,26.100000381469727,29.48250036239624,-0.007245575421284415
2022-05-18,79.7994613647461,54.78839111328125,30.959999084472656,30.01450033187866,-0.19061047046416846
2022-05-19,80.23080444335938,54.831722259521484,29.350000381469727,30.34800033569336,-0.13668133579492134
2022-05-20,80.86461639404297,55.325706481933594,29.43000030517578,30.409000396728516,-0.11702124971587621
2022-05-23,82.6516342163086,55.169708251953125,28.479999542236328,30.48200035095215,0.15285937874454508
2022-05-24,83.10059356689453,55.76768112182617,29.450000762939453,30.278500366210938,0.1324381702301461
2022-05-25,84.77318572998047,56.33966064453125,28.3700008392334,30.117000389099122,0.2856223352298782
2022-05-26,85.07250213623047,55.871681213378906,27.5,29.992500400543214,0.39200632787482165
2022-05-27,85.90876007080078,56.15766143798828,25.719999313354492,29.608500289916993,0.468594430894776
2022-05-31,84.50907897949219,56.20098876953125,26.190000534057617,29.301000308990478,0.26812954198801126
2022-06-01,86.12882995605469,56.13166809082031,25.690000534057617,29.12300033569336,0.5027691266234562
2022-06-02,85.97918701171875,54.996376037597656,24.719999313354492,29.088000297546387,0.6391753822226298
2022-06-03,87.22921752929688,54.98771286010742,24.790000915527344,28.76750030517578,0.8140487349553808
2022-06-06,87.00914001464844,53.75709533691406,25.06999969482422,28.51150026321411,0.9538682560204196
2022-06-07,90.99691772460938,54.199066162109375,24.020000457763672,27.975000286102294,1.4467157682151703
