Date,BAC,CL,VIX,AvgVIX,zscore
2020-01-30,28.7337646484375,59.944278717041016,15.489999771118164,13.696000051498412,3.296465001128482
2020-01-31,28.175912857055664,63.66329574584961,18.84000015258789,14.014500045776368,2.62957073603699
2020-02-03,28.296070098876953,64.65559387207031,17.969999313354492,14.211999988555908,2.560162995196401
2020-02-04,28.853923797607422,65.06114196777344,16.049999237060547,14.32199993133545,2.7370544954263893
2020-02-05,29.78940200805664,65.34589385986328,15.149999618530273,14.389999914169312,3.080652764790947
2020-02-06,29.75507164001465,65.84638977050781,14.960000038146973,14.465499925613404,3.0073423221195332
2020-02-07,29.70357322692871,65.60476684570312,15.470000267028809,14.611999940872192,3.015269929090091
2020-02-10,29.772232055664062,66.74376678466797,15.039999961853027,14.735999917984008,2.9076563270484654
2020-02-11,29.840890884399414,65.67379760742188,15.180000305175781,14.878999948501587,3.06247103966433
2020-02-12,29.969621658325195,65.53573608398438,13.739999771118164,14.946499919891357,3.130810518780217
2020-02-13,29.961044311523438,65.89815521240234,14.149999618530273,15.032999897003174,3.0842940613998575
2020-02-14,29.909549713134766,66.17427825927734,13.680000305175781,15.100999927520752,3.0307143335669284
2020-02-18,29.411771774291992,65.63926696777344,14.829999923706055,15.237499904632568,2.893441333340403
2020-02-19,29.79798126220703,65.18196105957031,14.380000114440918,15.313999891281128,3.103589565802859
2020-02-20,29.909549713134766,64.85408020019531,15.5600004196167,15.446499919891357,3.1875555266449305
2020-02-21,29.489015579223633,65.81185913085938,17.079999923706055,15.651499938964843,2.9041018792673348
2020-02-24,28.090085983276367,64.21551513671875,25.030000686645508,16.174999952316284,2.529338747292705
2020-02-25,26.67399787902832,63.68054962158203,27.850000381469727,16.655999994277956,2.021559758995567
2020-02-26,26.287792205810547,62.92119598388672,27.559999465942383,17.219999933242796,1.955953752844092
2020-02-27,25.000436782836914,60.531028747558594,39.15999984741211,18.35849995613098,1.7205134325622211
2020-02-28,24.459745407104492,58.3047981262207,40.11000061035156,19.589499998092652,1.7668456053122272
2020-03-02,25.2064151763916,62.50703430175781,33.41999816894531,20.318499898910524,1.5688653302640674
2020-03-03,23.816070556640625,61.93753433227539,36.81999969482422,21.26099991798401,1.0755755205406063
2020-03-04,24.365339279174805,65.03526306152344,31.989999771118164,22.05799994468689,0.9291688825636508
2020-03-05,23.13023567199707,62.42073440551758,39.619998931884766,23.281499910354615,0.7414644497939146
2020-03-06,22.2060604095459,62.56743621826172,41.939998626708984,24.630499839782715,0.3511692132914022
2020-03-09,18.941226959228516,60.39296340942383,54.459999084472656,26.57999978065491,-0.7077272892107389
2020-03-10,20.39226531982422,61.96339797973633,47.29999923706055,28.192999744415282,-0.30886233219241443
2020-03-11,19.580371856689453,59.45243835449219,53.900001525878906,30.12899980545044,-0.33812293235493524
2020-03-12,17.714752197265625,55.12939453125,75.47000122070312,33.21549987792969,-0.5772410196561928
2020-03-13,20.867300033569336,59.625003814697266,57.83000183105469,35.39949998855591,0.16059889715608056
2020-03-16,17.654293060302734,53.79194259643555,82.69000244140625,38.850000095367434,-0.44274283054845237
2020-03-17,18.984413146972656,60.574188232421875,75.91000366210938,41.9040002822876,-0.7118331681409763
2020-03-18,17.956594467163086,58.4083366394043,76.44999694824219,45.007500123977664,-0.8692100208815156
2020-03-19,18.31070899963379,57.510948181152344,72.0,47.829500102996825,-0.6197284272320569
2020-03-20,16.989233016967773,53.56759262084961,66.04000091552734,50.27750015258789,-0.6844142660664876
2020-03-23,15.61592960357666,52.1783561706543,61.59000015258789,52.10550012588501,-1.0734429199016868
2020-03-24,18.163883209228516,52.79099655151367,61.66999816894531,53.796500015258786,-0.11823042010952779
2020-03-25,18.224342346191406,51.67787551879883,63.95000076293945,55.61600008010864,0.0384025474360335
