Date,V,XOM,VIX,AvgVIX,zscore
2020-01-30,199.15611267089844,48.712581634521484,15.489999771118164,13.696000051498412,0.11201969521225456
2020-01-31,190.31788635253906,46.70513153076172,18.84000015258789,14.014500045776368,-0.3770711298760647
2020-02-03,192.07789611816406,45.660064697265625,17.969999313354492,14.211999988555908,-0.20690027820981724
2020-02-04,194.70834350585938,45.08865737915039,16.049999237060547,14.32199993133545,-0.0024607883357058704
2020-02-05,193.9909210205078,47.16376876831055,15.149999618530273,14.389999914169312,-0.15489199344390497
2020-02-06,194.21092224121094,46.524688720703125,14.960000038146973,14.465499925613404,-0.10801035044334156
2020-02-07,193.9239501953125,46.216426849365234,15.470000267028809,14.611999940872192,-0.1116469297694204
2020-02-10,197.0326385498047,45.728336334228516,15.039999961853027,14.735999917984008,0.12053223868831912
2020-02-11,195.0718231201172,46.16304397583008,15.180000305175781,14.878999948501587,-0.03230457298627617
2020-02-12,198.41958618164062,46.7274055480957,13.739999771118164,14.946499919891357,0.16282804464713727
2020-02-13,198.66864013671875,46.468101501464844,14.149999618530273,15.032999897003174,0.19252060428850684
2020-02-14,201.43699645996094,46.25456237792969,13.680000305175781,15.100999927520752,0.3881437768449161
2020-02-18,202.30868530273438,45.66732406616211,14.829999923706055,15.237499904632568,0.47593303169951273
2020-02-19,204.32980346679688,46.018150329589844,14.380000114440918,15.313999891281128,0.5932297076352628
2020-02-20,202.548095703125,45.652069091796875,15.5600004196167,15.446499919891357,0.49268893860724405
2020-02-21,200.019287109375,45.095333099365234,17.079999923706055,15.651499938964843,0.3518609506530959
2020-02-24,190.42112731933594,42.982810974121094,25.030000686645508,16.174999952316284,-0.1826848137669821
2020-02-25,180.46856689453125,41.33549118041992,27.850000381469727,16.655999994277956,-0.7643290801856821
2020-02-26,179.3286590576172,40.42793655395508,27.559999465942383,17.219999933242796,-0.7947374444813435
2020-02-27,172.43174743652344,37.995086669921875,39.15999984741211,18.35849995613098,-1.1327625255611191
2020-02-28,174.10806274414062,39.2305793762207,40.11000061035156,19.589499998092652,-1.0830516885443813
2020-03-02,184.2331085205078,41.09144973754883,33.41999816894531,20.318499898910524,-0.5006455411398066
2020-03-03,177.91094970703125,39.12381362915039,36.81999969482422,21.26099991798401,-0.8237220271278946
2020-03-04,186.11056518554688,39.977970123291016,31.989999771118164,22.05799994468689,-0.3191858079386104
2020-03-05,179.08917236328125,38.21625518798828,39.619998931884766,23.281499910354615,-0.6993284222329378
2020-03-06,176.5985870361328,36.37065124511719,41.939998626708984,24.630499839782715,-0.7726840704390991
2020-03-09,163.9255828857422,31.924423217773438,54.459999084472656,26.57999978065491,-1.3950160216907224
2020-03-10,174.91275024414062,33.10652160644531,47.29999923706055,28.192999744415282,-0.7208489895347308
2020-03-11,165.66896057128906,32.01593017578125,53.900001525878906,30.12899980545044,-1.2832046732212465
2020-03-12,153.34075927734375,28.355234146118164,75.47000122070312,33.21549987792969,-1.9220781113847212
2020-03-13,168.42776489257812,29.072124481201172,57.83000183105469,35.39949998855591,-0.9506967750586821
2020-03-16,145.61050415039062,26.30370330810547,82.69000244140625,38.850000095367434,-2.3349597117816643
2020-03-17,151.24295043945312,28.07304573059082,75.91000366210938,41.9040002822876,-2.0479533570110124
2020-03-18,142.2291259765625,25.258880615234375,76.44999694824219,45.007500123977664,-2.50813644065721
2020-03-19,145.84042358398438,26.25795555114746,72.0,47.829500102996825,-2.3173016883872566
2020-03-20,140.64852905273438,24.96907615661621,66.04000091552734,50.27750015258789,-2.5990893214498145
2020-03-23,130.0254669189453,23.985260009765625,61.59000015258789,52.10550012588501,-3.2589292832410157
2020-03-24,148.0244140625,27.02822494506836,61.66999816894531,53.796500015258786,-2.2102558159093952
2020-03-25,154.96920776367188,28.439115524291992,63.95000076293945,55.61600008010864,-1.8175574893743651
2020-03-26,161.7703094482422,29.60597038269043,61.0,56.708000087738036,-1.4221627351275408
2020-03-27,154.7584686279297,28.179824829101562,65.54000091552734,57.97950010299682,-1.8185699943108196
2020-03-30,158.5996856689453,28.599273681640625,57.08000183105469,59.16250028610229,-1.5831859494236231
2020-03-31,154.3369903564453,28.957725524902344,53.540000915527344,59.99850034713745,-1.8858983647006033
2020-04-01,146.6641845703125,28.62215805053711,57.060001373291016,61.252000427246095,-2.3813760613016575
2020-04-02,150.76397705078125,30.810956954956055,50.90999984741211,61.81650047302246,-2.2178462393466987
2020-04-03,145.45724487304688,29.903400421142578,46.79999923706055,62.059500503540036,-2.526509685394425
2020-04-06,162.30670166015625,30.864343643188477,45.2400016784668,61.598500633239745,-1.4497269840947349
2020-04-07,161.4925537109375,31.451568603515625,46.70000076293945,61.568500709533694,-1.5336730594728187
2020-04-08,167.5751495361328,33.44208526611328,43.349998474121094,61.041000556945804,-1.2277467678713632
2020-04-09,166.3778076171875,32.89297866821289,41.66999816894531,59.35100040435791,-1.2800454113500837
2020-04-13,161.8756866455078,32.61079406738281,41.16999816894531,58.51800022125244,-1.5664777254406508
2020-04-14,167.26864624023438,32.3591194152832,37.7599983215332,56.27150001525879,-1.193666043752604
2020-04-15,158.97325134277344,30.871967315673828,40.84000015258789,54.51799983978272,-1.6727145167600261
2020-04-16,155.58226013183594,29.85765266418457,40.11000061035156,52.70100002288818,-1.8480698715469068
2020-04-17,162.4025115966797,32.96162414550781,38.150001525878906,51.00850009918213,-1.5489682232131943
2020-04-20,157.3064727783203,31.405824661254883,43.83000183105469,49.898000144958495,-1.810910060994661
2020-04-21,153.7718505859375,31.2380428314209,45.40999984741211,49.089000129699706,-2.0384964777676875
2020-04-22,159.57672119140625,32.13033676147461,41.97999954223633,48.104500198364256,-1.6957992151532186
2020-04-23,159.37551879882812,33.13702392578125,41.380001068115234,46.976000213623045,-1.7599417416518957
2020-04-24,160.27597045898438,33.3505744934082,35.93000030517578,45.722500228881835,-1.7105672055407106
2020-04-27,164.52902221679688,33.51072311401367,33.290000915527344,44.11000022888184,-1.4346205029568269
2020-04-28,164.04051208496094,34.29624938964844,33.56999969482422,42.93450012207031,-1.5068092727441464
2020-04-29,174.1367950439453,36.19524002075195,31.229999542236328,41.81900005340576,-0.9282439743306106
2020-04-30,171.19601440429688,35.440223693847656,34.150001525878906,40.673500061035156,-1.0865956135700447
2020-05-01,168.17868041992188,32.900604248046875,37.189998626708984,39.9875,-1.1601695363876594
2020-05-04,168.73426818847656,34.22760772705078,35.970001220703125,39.44600009918213,-1.189908811436045
2020-05-05,170.92787170410156,34.18947982788086,33.61000061035156,38.86450004577637,-1.0415022967367236
2020-05-06,171.2535400390625,33.548858642578125,34.119998931884766,38.235499954223634,-0.9874867129793349
2020-05-07,175.0276336669922,33.73952102661133,31.440000534057617,37.64000005722046,-0.7450611870169368
