Date,KRE,AMD,VIX,AvgVIX,zscore
2023-01-31,56.437660217285156,75.1500015258789,19.399999618530273,20.202999973297118,1.9981445180207291
2023-02-01,57.23716735839844,84.63999938964844,17.8700008392334,19.951500034332277,2.247787824094191
2023-02-02,58.76350021362305,88.30999755859375,18.729999542236328,19.7875,2.546527734766754
2023-02-03,58.79983139038086,86.08999633789062,18.329999923706055,19.58100004196167,2.5252340621388862
2023-02-06,58.236541748046875,83.68000030517578,19.43000030517578,19.49600009918213,2.4019900021023988
2023-02-07,58.86342239379883,85.91000366210938,18.65999984741211,19.33050012588501,2.5335822743429457
2023-02-08,58.200199127197266,84.69000244140625,19.6299991607666,19.28300008773804,2.4083861715661845
2023-02-09,57.346187591552734,83.20999908447266,20.709999084472656,19.264000034332277,2.2482948021507396
2023-02-10,57.228084564208984,81.4800033569336,20.530000686645508,19.34900007247925,2.2073780613899703
2023-02-13,57.69142532348633,83.12999725341797,20.34000015258789,19.448500061035155,2.3046622541908146
2023-02-14,57.473384857177734,85.94999694824219,18.90999984741211,19.426000022888182,2.3031558698387533
2023-02-15,58.15477752685547,85.18000030517578,18.229999542236328,19.320499992370607,2.406872630520785
2023-02-16,57.128143310546875,80.08000183105469,20.170000076293945,19.30299997329712,2.1735407975993923
2023-02-17,57.41886901855469,78.5,20.020000457763672,19.311499977111815,2.2023868522491576
2023-02-21,56.08333969116211,76.7699966430664,22.8700008392334,19.46450004577637,1.9592261655779117
2023-02-22,55.81077575683594,76.61000061035156,22.290000915527344,19.619000053405763,1.911977107459806
2023-02-23,56.0288200378418,79.75,21.139999389648438,19.72200002670288,1.986854242551165
2023-02-24,56.03791809082031,78.08999633789062,21.670000076293945,19.869000053405763,1.967930299168577
2023-02-27,56.01974105834961,78.7699966430664,20.950000762939453,19.99100008010864,1.9732817481755187
2023-02-28,55.928890228271484,78.58000183105469,20.700000762939453,20.029000091552735,1.9558503187938436
2023-03-01,55.592735290527344,78.29000091552734,20.579999923706055,20.088000106811524,1.8964368470210617
2023-03-02,54.18451690673828,80.44000244140625,19.59000015258789,20.17400007247925,1.6889652621100926
2023-03-03,54.85682678222656,81.5199966430664,18.489999771118164,20.16200008392334,1.8139473238399981
2023-03-06,54.44799041748047,81.16000366210938,18.610000610351562,20.176000118255615,1.7415980831893918
2023-03-07,52.69453811645508,82.11000061035156,19.59000015258789,20.184000110626222,1.4620022580679106
2023-03-08,52.421974182128906,85.37000274658203,19.110000610351562,20.206500148773195,1.4568548282098515
2023-03-09,48.17007064819336,84.02999877929688,22.610000610351562,20.35550022125244,0.7340151505721156
2023-03-10,46.053199768066406,82.66999816894531,24.799999237060547,20.560000228881837,0.3656096901338724
2023-03-13,40.384002685546875,82.01000213623047,26.520000457763672,20.859500217437745,-0.5843054207216479
2023-03-14,41.22892379760742,87.44999694824219,23.729999542236328,21.029000186920165,-0.376975015086072
2023-03-15,40.55662536621094,89.68000030517578,26.139999389648438,21.390500164031984,-0.46120770159332464
2023-03-16,41.983009338378906,96.5999984741211,22.989999771118164,21.628500175476074,-0.13906283077299245
2023-03-17,39.46638488769531,97.83999633789062,25.510000228881836,21.89550018310547,-0.5418699103524398
2023-03-20,39.908905029296875,96.80999755859375,24.149999618530273,22.102000141143797,-0.48103637070644834
2023-03-21,42.20851516723633,95.93000030517578,21.3799991607666,22.027500057220458,-0.10984883892685217
2023-03-22,39.80812072753906,97.58000183105469,22.260000228881836,22.026000022888184,-0.4882999931880911
2023-03-23,38.699546813964844,100.27999877929688,22.610000610351562,22.09950008392334,-0.639222732320808
2023-03-24,39.87225341796875,97.94999694824219,21.739999771118164,22.10300006866455,-0.47309121067290316
2023-03-27,40.22041320800781,96.61000061035156,20.600000381469727,22.085500049591065,-0.43174940123381367
