Date,LRCX,KDP,VIX,AvgVIX,zscore
2022-01-31,56.30033874511719,33.8814697265625,24.829999923706055,23.18100004196167,0.9834620708971894
2022-02-01,56.25738525390625,34.05109786987305,21.959999084472656,23.448999977111818,1.0551372310247666
2022-02-02,58.38563537597656,34.613555908203125,22.09000015258789,23.707999992370606,1.4939021607234064
2022-02-03,56.18962478637695,34.5956916809082,24.350000381469727,23.939000034332274,1.2914636107611968
2022-02-04,55.26484680175781,34.140384674072266,23.219999313354492,24.119499969482423,1.0069630319618115
2022-02-07,54.529972076416016,34.43500518798828,22.860000610351562,24.324499988555907,1.0729760191190771
2022-02-08,54.99952697753906,34.684974670410156,21.440000534057617,24.426500034332275,1.2257908844576655
2022-02-09,57.97239303588867,34.533203125,19.959999084472656,24.503999996185303,1.4215488538188794
2022-02-10,56.77274703979492,34.17608642578125,23.90999984741211,24.818499946594237,1.1563962920285493
2022-02-11,53.44389343261719,33.952884674072266,27.360000610351562,25.171000003814697,0.7622586692489609
2022-02-14,53.27783203125,34.015380859375,28.329999923706055,25.62799997329712,0.775360343499795
2022-02-15,56.67254638671875,33.863616943359375,25.700000762939453,25.773499965667725,1.008482670949641
2022-02-16,56.44825744628906,33.85468292236328,24.290000915527344,25.795499992370605,0.9846431715761558
2022-02-17,55.41181945800781,33.85468292236328,28.110000610351562,25.92150001525879,0.8928511177815831
2022-02-18,54.39826583862305,34.35464859008789,27.75,25.866499996185304,1.0255552388730669
2022-02-22,53.41812515258789,34.43500518798828,28.809999465942383,25.811999988555907,0.9745053785237745
2022-02-23,51.76420593261719,33.979671478271484,31.020000457763672,25.805000019073486,0.6254165781656901
2022-02-24,53.71970748901367,32.72084426879883,30.31999969482422,25.723000049591064,0.23846584267520807
2022-02-25,54.70463180541992,34.19394302368164,27.59000015258789,25.57800006866455,0.9811794588465227
2022-02-28,53.57368850708008,34.52427291870117,30.149999618530273,25.70250005722046,1.0280042439538684
2022-03-01,51.59050750732422,34.0689582824707,33.31999969482422,26.127000045776366,0.649762885533526
2022-03-02,52.87413787841797,34.470706939697266,30.739999771118164,26.566000080108644,0.9422133727950546
2022-03-03,51.87110137939453,34.470706939697266,30.479999542236328,26.985500049591064,0.8533795194267866
